Region,Work_load,primary_key,Work_1989
"111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Mão-de-obra agrícola total,"111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e ParadaMão-de-obra agrícola total",15
,Mão-de-obra agrícola familiar,,13
,Produtor,,7
,Cônjuge,,4
,Outros membros da família,,3
,Mão-de-obra agrícola não familiar,,3
,Permanente,,1
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,0
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela,Mão-de-obra agrícola total,111160153: União das freguesias de Arcos de Valdevez (São Paio) e GielaMão-de-obra agrícola total,40
,Mão-de-obra agrícola familiar,,34
,Produtor,,18
,Cônjuge,,11
,Outros membros da família,,6
,Mão-de-obra agrícola não familiar,,6
,Permanente,,2
,Eventual,,4
,Mão-de-obra não contratada pelo produtor,,0
111160155: União das freguesias de Eiras e Mei,Mão-de-obra agrícola total,111160155: União das freguesias de Eiras e MeiMão-de-obra agrícola total,51
,Mão-de-obra agrícola familiar,,50
,Produtor,,25
,Cônjuge,,20
,Outros membros da família,,6
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160156: União das freguesias de Grade e Carralcova,Mão-de-obra agrícola total,111160156: União das freguesias de Grade e CarralcovaMão-de-obra agrícola total,70
,Mão-de-obra agrícola familiar,,66
,Produtor,,37
,Cônjuge,,18
,Outros membros da família,,11
,Mão-de-obra agrícola não familiar,,4
,Permanente,,3
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160157: União das freguesias de Guilhadeses e Santar,Mão-de-obra agrícola total,111160157: União das freguesias de Guilhadeses e SantarMão-de-obra agrícola total,63
,Mão-de-obra agrícola familiar,,56
,Produtor,,31
,Cônjuge,,16
,Outros membros da família,,9
,Mão-de-obra agrícola não familiar,,8
,Permanente,,3
,Eventual,,5
,Mão-de-obra não contratada pelo produtor,,0
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão,Mão-de-obra agrícola total,111160158: União das freguesias de Jolda (Madalena) e Rio CabrãoMão-de-obra agrícola total,47
,Mão-de-obra agrícola familiar,,40
,Produtor,,21
,Cônjuge,,8
,Outros membros da família,,10
,Mão-de-obra agrícola não familiar,,7
,Permanente,,4
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,1
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina),Mão-de-obra agrícola total,111160159: União das freguesias de Padreiro (Salvador e Santa Cristina)Mão-de-obra agrícola total,46
,Mão-de-obra agrícola familiar,,41
,Produtor,,21
,Cônjuge,,18
,Outros membros da família,,2
,Mão-de-obra agrícola não familiar,,5
,Permanente,,4
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,0
111160160: União das freguesias de Portela e Extremo,Mão-de-obra agrícola total,111160160: União das freguesias de Portela e ExtremoMão-de-obra agrícola total,46
,Mão-de-obra agrícola familiar,,46
,Produtor,,22
,Cônjuge,,14
,Outros membros da família,,9
,Mão-de-obra agrícola não familiar,,1
,Permanente,,1
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160161: União das freguesias de São Jorge e Ermelo,Mão-de-obra agrícola total,111160161: União das freguesias de São Jorge e ErmeloMão-de-obra agrícola total,54
,Mão-de-obra agrícola familiar,,48
,Produtor,,25
,Cônjuge,,14
,Outros membros da família,,9
,Mão-de-obra agrícola não familiar,,6
,Permanente,,1
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,1
111160162: União das freguesias de Souto e Tabaçô,Mão-de-obra agrícola total,111160162: União das freguesias de Souto e TabaçôMão-de-obra agrícola total,55
,Mão-de-obra agrícola familiar,,51
,Produtor,,25
,Cônjuge,,16
,Outros membros da família,,10
,Mão-de-obra agrícola não familiar,,4
,Permanente,,1
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,1
111160163: União das freguesias de Távora (Santa Maria e São Vicente),Mão-de-obra agrícola total,111160163: União das freguesias de Távora (Santa Maria e São Vicente)Mão-de-obra agrícola total,130
,Mão-de-obra agrícola familiar,,127
,Produtor,,69
,Cônjuge,,45
,Outros membros da família,,14
,Mão-de-obra agrícola não familiar,,2
,Permanente,,0
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,0
"111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá",Mão-de-obra agrícola total,"111160164: União das freguesias de Vilela, São Cosme e São Damião e SáMão-de-obra agrícola total",90
,Mão-de-obra agrícola familiar,,85
,Produtor,,41
,Cônjuge,,27
,Outros membros da família,,17
,Mão-de-obra agrícola não familiar,,5
,Permanente,,2
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,0
111160149: Vale,Mão-de-obra agrícola total,111160149: ValeMão-de-obra agrícola total,82
,Mão-de-obra agrícola familiar,,80
,Produtor,,41
,Cônjuge,,26
,Outros membros da família,,13
,Mão-de-obra agrícola não familiar,,2
,Permanente,,1
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
1111602: Caminha,Mão-de-obra agrícola total,1111602: CaminhaMão-de-obra agrícola total,407
,Mão-de-obra agrícola familiar,,326
,Produtor,,159
,Cônjuge,,83
,Outros membros da família,,84
,Mão-de-obra agrícola não familiar,,81
,Permanente,,59
,Eventual,,20
,Mão-de-obra não contratada pelo produtor,,3
111160201: Âncora,Mão-de-obra agrícola total,111160201: ÂncoraMão-de-obra agrícola total,20
,Mão-de-obra agrícola familiar,,17
,Produtor,,7
,Cônjuge,,5
,Outros membros da família,,5
,Mão-de-obra agrícola não familiar,,3
,Permanente,,0
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,0
111160205: Argela,Mão-de-obra agrícola total,111160205: ArgelaMão-de-obra agrícola total,7
,Mão-de-obra agrícola familiar,,7
,Produtor,,4
,Cônjuge,,1
,Outros membros da família,,2
,Mão-de-obra agrícola não familiar,,0
,Permanente,,0
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160209: Dem,Mão-de-obra agrícola total,111160209: DemMão-de-obra agrícola total,31
,Mão-de-obra agrícola familiar,,30
,Produtor,,14
,Cônjuge,,8
,Outros membros da família,,8
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160211: Lanhelas,Mão-de-obra agrícola total,111160211: LanhelasMão-de-obra agrícola total,7
,Mão-de-obra agrícola familiar,,7
,Produtor,,4
,Cônjuge,,3
,Outros membros da família,,1
,Mão-de-obra agrícola não familiar,,0
,Permanente,,0
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160214: Riba de Âncora,Mão-de-obra agrícola total,111160214: Riba de ÂncoraMão-de-obra agrícola total,64
,Mão-de-obra agrícola familiar,,55
,Produtor,,30
,Cônjuge,,14
,Outros membros da família,,12
,Mão-de-obra agrícola não familiar,,9
,Permanente,,7
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,1
111160215: Seixas,Mão-de-obra agrícola total,111160215: SeixasMão-de-obra agrícola total,4
,Mão-de-obra agrícola familiar,,3
,Produtor,,2
,Cônjuge,,1
,Outros membros da família,,0
,Mão-de-obra agrícola não familiar,,1
,Permanente,,1
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
