primary_key,codes,Perm_crop,year,Nr
5075,111160816,Cereals,2009,33
5076,111160816,Cereals,2019,6
5077,111160816,Dried pulses,1989,76
5078,111160816,Dried pulses,1999,9
5079,111160816,Dried pulses,2009,
5080,111160816,Dried pulses,2019,1
5081,111160816,Potatoes,1989,71
5082,111160816,Potatoes,1999,45
5083,111160816,Potatoes,2009,1
5084,111160816,Potatoes,2019,3
5085,111160816,Industrial crops,1989,
5086,111160816,Industrial crops,1999,
5087,111160816,Industrial crops,2009,
5088,111160816,Industrial crops,2019,
5089,111160816,Fresh vegetables,1989,1
5090,111160816,Fresh vegetables,1999,
5091,111160816,Fresh vegetables,2009,
5092,111160816,Fresh vegetables,2019,
5093,111160816,Other temporary crops,1989,37
5094,111160816,Other temporary crops,1999,3
5095,111160816,Other temporary crops,2009,
5096,111160816,Other temporary crops,2019,
5097,1111609,Total,1989,4850
5098,1111609,Total,1999,2322
5099,1111609,Total,2009,1395
5100,1111609,Total,2019,1189
5101,1111609,Cereals,1989,4422
5102,1111609,Cereals,1999,2038
5103,1111609,Cereals,2009,1214
5104,1111609,Cereals,2019,939
5105,1111609,Dried pulses,1989,3988
5106,1111609,Dried pulses,1999,828
5107,1111609,Dried pulses,2009,323
5108,1111609,Dried pulses,2019,157
5109,1111609,Potatoes,1989,4336
5110,1111609,Potatoes,1999,1796
5111,1111609,Potatoes,2009,967
5112,1111609,Potatoes,2019,550
5113,1111609,Industrial crops,1989,2
5114,1111609,Industrial crops,1999,
5115,1111609,Industrial crops,2009,
5116,1111609,Industrial crops,2019,2
5117,1111609,Fresh vegetables,1989,955
5118,1111609,Fresh vegetables,1999,188
5119,1111609,Fresh vegetables,2009,65
5120,1111609,Fresh vegetables,2019,57
5121,1111609,Other temporary crops,1989,3422
5122,1111609,Other temporary crops,1999,956
5123,1111609,Other temporary crops,2009,51
5124,1111609,Other temporary crops,2019,8
5125,111160901,Total,1989,87
5126,111160901,Total,1999,28
5127,111160901,Total,2009,17
5128,111160901,Total,2019,9
5129,111160901,Cereals,1989,81
5130,111160901,Cereals,1999,25
5131,111160901,Cereals,2009,15
5132,111160901,Cereals,2019,4
5133,111160901,Dried pulses,1989,81
5134,111160901,Dried pulses,1999,11
5135,111160901,Dried pulses,2009,
5136,111160901,Dried pulses,2019,1
5137,111160901,Potatoes,1989,85
5138,111160901,Potatoes,1999,24
5139,111160901,Potatoes,2009,4
5140,111160901,Potatoes,2019,4
5141,111160901,Industrial crops,1989,
5142,111160901,Industrial crops,1999,
5143,111160901,Industrial crops,2009,
5144,111160901,Industrial crops,2019,
5145,111160901,Fresh vegetables,1989,1
5146,111160901,Fresh vegetables,1999,3
5147,111160901,Fresh vegetables,2009,
5148,111160901,Fresh vegetables,2019,1
5149,111160901,Other temporary crops,1989,37
5150,111160901,Other temporary crops,1999,
5151,111160901,Other temporary crops,2009,
5152,111160901,Other temporary crops,2019,
5153,111160902,Total,1989,196
5154,111160902,Total,1999,90
5155,111160902,Total,2009,49
5156,111160902,Total,2019,32
5157,111160902,Cereals,1989,181
5158,111160902,Cereals,1999,79
5159,111160902,Cereals,2009,43
5160,111160902,Cereals,2019,24
5161,111160902,Dried pulses,1989,165
5162,111160902,Dried pulses,1999,26
5163,111160902,Dried pulses,2009,7
5164,111160902,Dried pulses,2019,
5165,111160902,Potatoes,1989,171
5166,111160902,Potatoes,1999,81
5167,111160902,Potatoes,2009,46
5168,111160902,Potatoes,2019,3
5169,111160902,Industrial crops,1989,
5170,111160902,Industrial crops,1999,
5171,111160902,Industrial crops,2009,
5172,111160902,Industrial crops,2019,
5173,111160902,Fresh vegetables,1989,25
5174,111160902,Fresh vegetables,1999,5
5175,111160902,Fresh vegetables,2009,3
5176,111160902,Fresh vegetables,2019,3
5177,111160902,Other temporary crops,1989,167
5178,111160902,Other temporary crops,1999,3
5179,111160902,Other temporary crops,2009,
5180,111160902,Other temporary crops,2019,1
5181,111160903,Total,1989,65
5182,111160903,Total,1999,44
5183,111160903,Total,2009,21
5184,111160903,Total,2019,22
5185,111160903,Cereals,1989,60
5186,111160903,Cereals,1999,44
5187,111160903,Cereals,2009,21
5188,111160903,Cereals,2019,21
5189,111160903,Dried pulses,1989,63
5190,111160903,Dried pulses,1999,28
5191,111160903,Dried pulses,2009,
5192,111160903,Dried pulses,2019,1
5193,111160903,Potatoes,1989,19
5194,111160903,Potatoes,1999,36
5195,111160903,Potatoes,2009,20
5196,111160903,Potatoes,2019,12
5197,111160903,Industrial crops,1989,
5198,111160903,Industrial crops,1999,
5199,111160903,Industrial crops,2009,
5200,111160903,Industrial crops,2019,
5201,111160903,Fresh vegetables,1989,1
5202,111160903,Fresh vegetables,1999,5
5203,111160903,Fresh vegetables,2009,
5204,111160903,Fresh vegetables,2019,
5205,111160903,Other temporary crops,1989,
5206,111160903,Other temporary crops,1999,23
5207,111160903,Other temporary crops,2009,13
5208,111160903,Other temporary crops,2019,1
5209,111160904,Total,1989,131
5210,111160904,Total,1999,48
5211,111160904,Total,2009,27
5212,111160904,Total,2019,32
5213,111160904,Cereals,1989,109
5214,111160904,Cereals,1999,38
5215,111160904,Cereals,2009,20
5216,111160904,Cereals,2019,23
5217,111160904,Dried pulses,1989,64
5218,111160904,Dried pulses,1999,4
5219,111160904,Dried pulses,2009,
5220,111160904,Dried pulses,2019,3
5221,111160904,Potatoes,1989,121
5222,111160904,Potatoes,1999,19
5223,111160904,Potatoes,2009,24
5224,111160904,Potatoes,2019,18
5225,111160904,Industrial crops,1989,
5226,111160904,Industrial crops,1999,
5227,111160904,Industrial crops,2009,
5228,111160904,Industrial crops,2019,
5229,111160904,Fresh vegetables,1989,56
5230,111160904,Fresh vegetables,1999,14
5231,111160904,Fresh vegetables,2009,2
5232,111160904,Fresh vegetables,2019,
5233,111160904,Other temporary crops,1989,103
5234,111160904,Other temporary crops,1999,42
5235,111160904,Other temporary crops,2009,
5236,111160904,Other temporary crops,2019,
5237,111160905,Total,1989,170
5238,111160905,Total,1999,33
5239,111160905,Total,2009,22
5240,111160905,Total,2019,15
5241,111160905,Cereals,1989,166
5242,111160905,Cereals,1999,28
5243,111160905,Cereals,2009,18
5244,111160905,Cereals,2019,10
5245,111160905,Dried pulses,1989,122
5246,111160905,Dried pulses,1999,22
5247,111160905,Dried pulses,2009,4
5248,111160905,Dried pulses,2019,1
5249,111160905,Potatoes,1989,140
5250,111160905,Potatoes,1999,29
5251,111160905,Potatoes,2009,11
5252,111160905,Potatoes,2019,7
5253,111160905,Industrial crops,1989,1
5254,111160905,Industrial crops,1999,
5255,111160905,Industrial crops,2009,
5256,111160905,Industrial crops,2019,
5257,111160905,Fresh vegetables,1989,1
5258,111160905,Fresh vegetables,1999,3
5259,111160905,Fresh vegetables,2009,4
5260,111160905,Fresh vegetables,2019,1
5261,111160905,Other temporary crops,1989,136
5262,111160905,Other temporary crops,1999,
5263,111160905,Other temporary crops,2009,
5264,111160905,Other temporary crops,2019,
5265,111160908,Total,1989,121
5266,111160908,Total,1999,43
5267,111160908,Total,2009,42
5268,111160908,Total,2019,26
