primary_key,codes,Sex,year,No
406,111160158,F,1999,140
407,111160158,F,2009,89
408,111160158,F,2019,58
409,111160159,MF,1989,367
410,111160159,MF,1999,188
411,111160159,MF,2009,131
412,111160159,MF,2019,80
413,111160159,M,1989,159
414,111160159,M,1999,83
415,111160159,M,2009,56
416,111160159,M,2019,36
417,111160159,F,1989,208
418,111160159,F,1999,105
419,111160159,F,2009,75
420,111160159,F,2019,44
421,111160160,MF,1989,400
422,111160160,MF,1999,270
423,111160160,MF,2009,174
424,111160160,MF,2019,80
425,111160160,M,1989,185
426,111160160,M,1999,123
427,111160160,M,2009,84
428,111160160,M,2019,43
429,111160160,F,1989,215
430,111160160,F,1999,147
431,111160160,F,2009,90
432,111160160,F,2019,37
433,111160161,MF,1989,587
434,111160161,MF,1999,317
435,111160161,MF,2009,215
436,111160161,MF,2019,152
437,111160161,M,1989,276
438,111160161,M,1999,140
439,111160161,M,2009,102
440,111160161,M,2019,77
441,111160161,F,1989,311
442,111160161,F,1999,177
443,111160161,F,2009,113
444,111160161,F,2019,75
445,111160162,MF,1989,358
446,111160162,MF,1999,237
447,111160162,MF,2009,157
448,111160162,MF,2019,160
449,111160162,M,1989,176
450,111160162,M,1999,117
451,111160162,M,2009,78
452,111160162,M,2019,78
453,111160162,F,1989,182
454,111160162,F,1999,120
455,111160162,F,2009,79
456,111160162,F,2019,82
457,111160163,MF,1989,723
458,111160163,MF,1999,419
459,111160163,MF,2009,283
460,111160163,MF,2019,200
461,111160163,M,1989,351
462,111160163,M,1999,198
463,111160163,M,2009,137
464,111160163,M,2019,95
465,111160163,F,1989,372
466,111160163,F,1999,221
467,111160163,F,2009,146
468,111160163,F,2019,105
469,111160164,MF,1989,398
470,111160164,MF,1999,379
471,111160164,MF,2009,227
472,111160164,MF,2019,156
473,111160164,M,1989,195
474,111160164,M,1999,176
475,111160164,M,2009,100
476,111160164,M,2019,74
477,111160164,F,1989,203
478,111160164,F,1999,203
479,111160164,F,2009,127
480,111160164,F,2019,82
481,111160149,MF,1989,534
482,111160149,MF,1999,328
483,111160149,MF,2009,271
484,111160149,MF,2019,191
485,111160149,M,1989,239
486,111160149,M,1999,157
487,111160149,M,2009,130
488,111160149,M,2019,92
489,111160149,F,1989,295
490,111160149,F,1999,171
491,111160149,F,2009,141
492,111160149,F,2019,99
493,1111602,MF,1989,4428
494,1111602,MF,1999,2175
495,1111602,MF,2009,1308
496,1111602,MF,2019,968
497,1111602,M,1989,1992
498,1111602,M,1999,993
499,1111602,M,2009,606
500,1111602,M,2019,456
501,1111602,F,1989,2436
502,1111602,F,1999,1182
503,1111602,F,2009,702
504,1111602,F,2019,512
505,111160201,MF,1989,319
506,111160201,MF,1999,99
507,111160201,MF,2009,55
508,111160201,MF,2019,59
509,111160201,M,1989,155
510,111160201,M,1999,45
511,111160201,M,2009,28
512,111160201,M,2019,25
513,111160201,F,1989,164
514,111160201,F,1999,54
515,111160201,F,2009,27
516,111160201,F,2019,34
517,111160205,MF,1989,295
518,111160205,MF,1999,108
519,111160205,MF,2009,96
520,111160205,MF,2019,29
521,111160205,M,1989,130
522,111160205,M,1999,47
523,111160205,M,2009,41
524,111160205,M,2019,14
525,111160205,F,1989,165
526,111160205,F,1999,61
527,111160205,F,2009,55
528,111160205,F,2019,15
529,111160209,MF,1989,385
