primary_key,codes,Sex,year,No
11668,11C180418,MF,2019,174
11669,11C180418,M,1989,371
11670,11C180418,M,1999,217
11671,11C180418,M,2009,125
11672,11C180418,M,2019,97
11673,11C180418,F,1989,352
11674,11C180418,F,1999,195
11675,11C180418,F,2009,112
11676,11C180418,F,2019,77
11677,11C1303,MF,1989,9291
11678,11C1303,MF,1999,5427
11679,11C1303,MF,2009,3298
11680,11C1303,MF,2019,2948
11681,11C1303,M,1989,4698
11682,11C1303,M,1999,2732
11683,11C1303,M,2009,1690
11684,11C1303,M,2019,1571
11685,11C1303,F,1989,4593
11686,11C1303,F,1999,2695
11687,11C1303,F,2009,1608
11688,11C1303,F,2019,1377
11689,11C130301,MF,1989,204
11690,11C130301,MF,1999,152
11691,11C130301,MF,2009,94
11692,11C130301,MF,2019,102
11693,11C130301,M,1989,100
11694,11C130301,M,1999,65
11695,11C130301,M,2009,50
11696,11C130301,M,2019,53
11697,11C130301,F,1989,104
11698,11C130301,F,1999,87
11699,11C130301,F,2009,44
11700,11C130301,F,2019,49
11701,11C130302,MF,1989,404
11702,11C130302,MF,1999,291
11703,11C130302,MF,2009,163
11704,11C130302,MF,2019,130
11705,11C130302,M,1989,185
11706,11C130302,M,1999,152
11707,11C130302,M,2009,83
11708,11C130302,M,2019,72
11709,11C130302,F,1989,219
11710,11C130302,F,1999,139
11711,11C130302,F,2009,80
11712,11C130302,F,2019,58
11713,11C130305,MF,1989,350
11714,11C130305,MF,1999,173
11715,11C130305,MF,2009,154
11716,11C130305,MF,2019,138
11717,11C130305,M,1989,178
11718,11C130305,M,1999,97
11719,11C130305,M,2009,77
11720,11C130305,M,2019,74
11721,11C130305,F,1989,172
11722,11C130305,F,1999,76
11723,11C130305,F,2009,77
11724,11C130305,F,2019,64
11725,11C130306,MF,1989,487
11726,11C130306,MF,1999,288
11727,11C130306,MF,2009,133
11728,11C130306,MF,2019,232
11729,11C130306,M,1989,237
11730,11C130306,M,1999,140
11731,11C130306,M,2009,73
11732,11C130306,M,2019,131
11733,11C130306,F,1989,250
11734,11C130306,F,1999,148
11735,11C130306,F,2009,60
11736,11C130306,F,2019,101
11737,11C130307,MF,1989,447
11738,11C130307,MF,1999,233
11739,11C130307,MF,2009,140
11740,11C130307,MF,2019,96
11741,11C130307,M,1989,234
11742,11C130307,M,1999,121
11743,11C130307,M,2009,73
11744,11C130307,M,2019,50
11745,11C130307,F,1989,213
11746,11C130307,F,1999,112
11747,11C130307,F,2009,67
11748,11C130307,F,2019,46
11749,11C130313,MF,1989,268
11750,11C130313,MF,1999,115
11751,11C130313,MF,2009,62
11752,11C130313,MF,2019,85
11753,11C130313,M,1989,139
11754,11C130313,M,1999,61
11755,11C130313,M,2009,31
11756,11C130313,M,2019,40
11757,11C130313,F,1989,129
11758,11C130313,F,1999,54
11759,11C130313,F,2009,31
11760,11C130313,F,2019,45
11761,11C130314,MF,1989,220
11762,11C130314,MF,1999,106
11763,11C130314,MF,2009,67
11764,11C130314,MF,2019,49
11765,11C130314,M,1989,105
11766,11C130314,M,1999,49
11767,11C130314,M,2009,32
11768,11C130314,M,2019,24
11769,11C130314,F,1989,115
11770,11C130314,F,1999,57
11771,11C130314,F,2009,35
11772,11C130314,F,2019,25
11773,11C130315,MF,1989,336
11774,11C130315,MF,1999,180
11775,11C130315,MF,2009,111
11776,11C130315,MF,2019,73
11777,11C130315,M,1989,186
11778,11C130315,M,1999,90
11779,11C130315,M,2009,57
11780,11C130315,M,2019,37
11781,11C130315,F,1989,150
11782,11C130315,F,1999,90
11783,11C130315,F,2009,54
11784,11C130315,F,2019,36
11785,11C130317,MF,1989,333
11786,11C130317,MF,1999,227
11787,11C130317,MF,2009,134
11788,11C130317,MF,2019,159
11789,11C130317,M,1989,167
11790,11C130317,M,1999,116
11791,11C130317,M,2009,72
11792,11C130317,M,2019,93
11793,11C130317,F,1989,166
11794,11C130317,F,1999,111
11795,11C130317,F,2009,62
11796,11C130317,F,2019,66
11797,11C130318,MF,1989,218
11798,11C130318,MF,1999,125
11799,11C130318,MF,2009,30
11800,11C130318,MF,2019,60
11801,11C130318,M,1989,110
11802,11C130318,M,1999,65
11803,11C130318,M,2009,17
11804,11C130318,M,2019,36
11805,11C130318,F,1989,108
11806,11C130318,F,1999,60
11807,11C130318,F,2009,13
11808,11C130318,F,2019,24
11809,11C130319,MF,1989,133
11810,11C130319,MF,1999,85
11811,11C130319,MF,2009,31
11812,11C130319,MF,2019,54
11813,11C130319,M,1989,67
11814,11C130319,M,1999,41
11815,11C130319,M,2009,16
11816,11C130319,M,2019,26
11817,11C130319,F,1989,66
11818,11C130319,F,1999,44
11819,11C130319,F,2009,15
11820,11C130319,F,2019,28
11821,11C130324,MF,1989,440
11822,11C130324,MF,1999,161
11823,11C130324,MF,2009,101
11824,11C130324,MF,2019,74
11825,11C130324,M,1989,235
11826,11C130324,M,1999,92
11827,11C130324,M,2009,53
11828,11C130324,M,2019,39
11829,11C130324,F,1989,205
11830,11C130324,F,1999,69
11831,11C130324,F,2009,48
11832,11C130324,F,2019,35
11833,11C130334,MF,1989,747
11834,11C130334,MF,1999,578
11835,11C130334,MF,2009,342
11836,11C130334,MF,2019,198
11837,11C130334,M,1989,394
11838,11C130334,M,1999,278
11839,11C130334,M,2009,172
11840,11C130334,M,2019,98
11841,11C130334,F,1989,353
11842,11C130334,F,1999,300
11843,11C130334,F,2009,170
11844,11C130334,F,2019,100
11845,11C130335,MF,1989,1507
11846,11C130335,MF,1999,838
11847,11C130335,MF,2009,443
11848,11C130335,MF,2019,349
11849,11C130335,M,1989,769
11850,11C130335,M,1999,422
11851,11C130335,M,2009,221
11852,11C130335,M,2019,177
11853,11C130335,F,1989,738
11854,11C130335,F,1999,416
11855,11C130335,F,2009,222
11856,11C130335,F,2019,172
11857,11C130336,MF,1989,629
11858,11C130336,MF,1999,310
11859,11C130336,MF,2009,209
11860,11C130336,MF,2019,181
11861,11C130336,M,1989,309
11862,11C130336,M,1999,152
11863,11C130336,M,2009,106
11864,11C130336,M,2019,102
11865,11C130336,F,1989,320
11866,11C130336,F,1999,158
11867,11C130336,F,2009,103
11868,11C130336,F,2019,79
11869,11C130337,MF,1989,469
11870,11C130337,MF,1999,257
11871,11C130337,MF,2009,167
11872,11C130337,MF,2019,104
11873,11C130337,M,1989,252
11874,11C130337,M,1999,129
11875,11C130337,M,2009,76
11876,11C130337,M,2019,55
11877,11C130337,F,1989,217
11878,11C130337,F,1999,128
11879,11C130337,F,2009,91
11880,11C130337,F,2019,49
11881,11C130338,MF,1989,376
11882,11C130338,MF,1999,227
11883,11C130338,MF,2009,184
11884,11C130338,MF,2019,206
11885,11C130338,M,1989,183
11886,11C130338,M,1999,111
11887,11C130338,M,2009,90
11888,11C130338,M,2019,100
11889,11C130338,F,1989,193
11890,11C130338,F,1999,116
11891,11C130338,F,2009,94
11892,11C130338,F,2019,106
11893,11C130339,MF,1989,1024
11894,11C130339,MF,1999,696
11895,11C130339,MF,2009,530
11896,11C130339,MF,2019,457
11897,11C130339,M,1989,500
11898,11C130339,M,1999,357
11899,11C130339,M,2009,282
11900,11C130339,M,2019,252
11901,11C130339,F,1989,524
11902,11C130339,F,1999,339
11903,11C130339,F,2009,248
11904,11C130339,F,2019,205
11905,11C130340,MF,1989,309
11906,11C130340,MF,1999,166
11907,11C130340,MF,2009,82
11908,11C130340,MF,2019,58
11909,11C130340,M,1989,156
11910,11C130340,M,1999,85
11911,11C130340,M,2009,43
11912,11C130340,M,2019,30
11913,11C130340,F,1989,153
11914,11C130340,F,1999,81
11915,11C130340,F,2009,39
11916,11C130340,F,2019,28
11917,11C130341,MF,1989,390
11918,11C130341,MF,1999,219
11919,11C130341,MF,2009,121
11920,11C130341,MF,2019,143
11921,11C130341,M,1989,192
11922,11C130341,M,1999,109
11923,11C130341,M,2009,66
11924,11C130341,M,2019,82
11925,11C130341,F,1989,198
11926,11C130341,F,1999,110
11927,11C130341,F,2009,55
11928,11C130341,F,2019,61
11929,11C1305,MF,1989,6294
11930,11C1305,MF,1999,3717
11931,11C1305,MF,2009,1837
11932,11C1305,MF,2019,1705
11933,11C1305,M,1989,3204
11934,11C1305,M,1999,1871
11935,11C1305,M,2009,937
11936,11C1305,M,2019,898
11937,11C1305,F,1989,3090
11938,11C1305,F,1999,1846
11939,11C1305,F,2009,900
11940,11C1305,F,2019,807
11941,11C130502,MF,1989,180
11942,11C130502,MF,1999,138
11943,11C130502,MF,2009,91
11944,11C130502,MF,2019,76
11945,11C130502,M,1989,90
11946,11C130502,M,1999,66
11947,11C130502,M,2009,49
11948,11C130502,M,2019,45
11949,11C130502,F,1989,90
11950,11C130502,F,1999,72
11951,11C130502,F,2009,42
11952,11C130502,F,2019,31
11953,11C130504,MF,1989,309
11954,11C130504,MF,1999,238
11955,11C130504,MF,2009,106
11956,11C130504,MF,2019,116
11957,11C130504,M,1989,152
11958,11C130504,M,1999,111
11959,11C130504,M,2009,51
11960,11C130504,M,2019,56
11961,11C130504,F,1989,157
11962,11C130504,F,1999,127
11963,11C130504,F,2009,55
11964,11C130504,F,2019,60
11965,11C130510,MF,1989,229
11966,11C130510,MF,1999,157
11967,11C130510,MF,2009,83
11968,11C130510,MF,2019,83
11969,11C130510,M,1989,116
11970,11C130510,M,1999,83
11971,11C130510,M,2009,48
11972,11C130510,M,2019,44
11973,11C130510,F,1989,113
11974,11C130510,F,1999,74
11975,11C130510,F,2009,35
11976,11C130510,F,2019,39
11977,11C130512,MF,1989,184
11978,11C130512,MF,1999,105
11979,11C130512,MF,2009,66
11980,11C130512,MF,2019,51
11981,11C130512,M,1989,88
11982,11C130512,M,1999,55
11983,11C130512,M,2009,35
11984,11C130512,M,2019,29
11985,11C130512,F,1989,96
11986,11C130512,F,1999,50
11987,11C130512,F,2009,31
11988,11C130512,F,2019,22
11989,11C130513,MF,1989,628
11990,11C130513,MF,1999,347
11991,11C130513,MF,2009,205
11992,11C130513,MF,2019,260
11993,11C130513,M,1989,303
11994,11C130513,M,1999,169
11995,11C130513,M,2009,101
11996,11C130513,M,2019,136
11997,11C130513,F,1989,325
11998,11C130513,F,1999,178
11999,11C130513,F,2009,104
12000,11C130513,F,2019,124
12001,11C130515,MF,1989,410
12002,11C130515,MF,1999,193
12003,11C130515,MF,2009,107
12004,11C130515,MF,2019,79
12005,11C130515,M,1989,211
12006,11C130515,M,1999,91
12007,11C130515,M,2009,55
12008,11C130515,M,2019,37
12009,11C130515,F,1989,199
12010,11C130515,F,1999,102
12011,11C130515,F,2009,52
12012,11C130515,F,2019,42
12013,11C130524,MF,1989,358
12014,11C130524,MF,1999,168
12015,11C130524,MF,2009,59
12016,11C130524,MF,2019,46
12017,11C130524,M,1989,179
12018,11C130524,M,1999,85
12019,11C130524,M,2009,27
12020,11C130524,M,2019,25
12021,11C130524,F,1989,179
12022,11C130524,F,1999,83
12023,11C130524,F,2009,32
12024,11C130524,F,2019,21
12025,11C130525,MF,1989,304
12026,11C130525,MF,1999,285
12027,11C130525,MF,2009,165
12028,11C130525,MF,2019,172
12029,11C130525,M,1989,167
12030,11C130525,M,1999,142
12031,11C130525,M,2009,81
12032,11C130525,M,2019,86
12033,11C130525,F,1989,137
12034,11C130525,F,1999,143
12035,11C130525,F,2009,84
12036,11C130525,F,2019,86
12037,11C130527,MF,1989,374
12038,11C130527,MF,1999,285
12039,11C130527,MF,2009,191
12040,11C130527,MF,2019,135
12041,11C130527,M,1989,195
12042,11C130527,M,1999,142
12043,11C130527,M,2009,98
12044,11C130527,M,2019,62
12045,11C130527,F,1989,179
12046,11C130527,F,1999,143
12047,11C130527,F,2009,93
12048,11C130527,F,2019,73
12049,11C130528,MF,1989,701
12050,11C130528,MF,1999,360
12051,11C130528,MF,2009,193
12052,11C130528,MF,2019,169
12053,11C130528,M,1989,370
12054,11C130528,M,1999,176
12055,11C130528,M,2009,96
12056,11C130528,M,2019,84
12057,11C130528,F,1989,331
12058,11C130528,F,1999,184
12059,11C130528,F,2009,97
12060,11C130528,F,2019,85
12061,11C130529,MF,1989,415
12062,11C130529,MF,1999,214
12063,11C130529,MF,2009,72
12064,11C130529,MF,2019,52
12065,11C130529,M,1989,215
12066,11C130529,M,1999,112
12067,11C130529,M,2009,33
12068,11C130529,M,2019,26
12069,11C130529,F,1989,200
12070,11C130529,F,1999,102
12071,11C130529,F,2009,39
12072,11C130529,F,2019,26
12073,11C130530,MF,1989,811
12074,11C130530,MF,1999,408
12075,11C130530,MF,2009,170
12076,11C130530,MF,2019,153
12077,11C130530,M,1989,411
12078,11C130530,M,1999,216
12079,11C130530,M,2009,88
12080,11C130530,M,2019,80
12081,11C130530,F,1989,400
12082,11C130530,F,1999,192
12083,11C130530,F,2009,82
12084,11C130530,F,2019,73
12085,11C130531,MF,1989,414
12086,11C130531,MF,1999,210
12087,11C130531,MF,2009,76
12088,11C130531,MF,2019,105
12089,11C130531,M,1989,209
12090,11C130531,M,1999,108
12091,11C130531,M,2009,41
12092,11C130531,M,2019,61
12093,11C130531,F,1989,205
12094,11C130531,F,1999,102
12095,11C130531,F,2009,35
12096,11C130531,F,2019,44
12097,11C130532,MF,1989,732
12098,11C130532,MF,1999,531
12099,11C130532,MF,2009,196
12100,11C130532,MF,2019,162
12101,11C130532,M,1989,366
12102,11C130532,M,1999,271
12103,11C130532,M,2009,104
12104,11C130532,M,2019,102
12105,11C130532,F,1989,366
12106,11C130532,F,1999,260
12107,11C130532,F,2009,92
12108,11C130532,F,2019,60
12109,11C130526,MF,1989,245
12110,11C130526,MF,1999,78
12111,11C130526,MF,2009,57
12112,11C130526,MF,2019,46
12113,11C130526,M,1989,132
12114,11C130526,M,1999,44
12115,11C130526,M,2009,30
12116,11C130526,M,2019,25
12117,11C130526,F,1989,113
12118,11C130526,F,1999,34
12119,11C130526,F,2009,27
12120,11C130526,F,2019,21
12121,11C1307,MF,1989,13065
12122,11C1307,MF,1999,6478
12123,11C1307,MF,2009,3543
12124,11C1307,MF,2019,2203
12125,11C1307,M,1989,6596
12126,11C1307,M,1999,3302
12127,11C1307,M,2009,1787
12128,11C1307,M,2019,1132
12129,11C1307,F,1989,6469
12130,11C1307,F,1999,3176
12131,11C1307,F,2009,1756
12132,11C1307,F,2019,1071
12133,11C130732,MF,1989,1352
12134,11C130732,MF,1999,427
12135,11C130732,MF,2009,255
12136,11C130732,MF,2019,145
12137,11C130732,M,1989,675
12138,11C130732,M,1999,238
12139,11C130732,M,2009,125
12140,11C130732,M,2019,73
12141,11C130732,F,1989,677
12142,11C130732,F,1999,189
12143,11C130732,F,2009,130
12144,11C130732,F,2019,72
12145,11C130733,MF,1989,523
12146,11C130733,MF,1999,363
12147,11C130733,MF,2009,160
12148,11C130733,MF,2019,105
12149,11C130733,M,1989,271
12150,11C130733,M,1999,188
12151,11C130733,M,2009,77
12152,11C130733,M,2019,58
12153,11C130733,F,1989,252
12154,11C130733,F,1999,175
12155,11C130733,F,2009,83
12156,11C130733,F,2019,47
12157,11C130704,MF,1989,342
12158,11C130704,MF,1999,180
12159,11C130704,MF,2009,83
12160,11C130704,MF,2019,63
12161,11C130704,M,1989,178
12162,11C130704,M,1999,89
12163,11C130704,M,2009,36
12164,11C130704,M,2019,30
12165,11C130704,F,1989,164
12166,11C130704,F,1999,91
12167,11C130704,F,2009,47
12168,11C130704,F,2019,33
12169,11C130734,MF,1989,731
12170,11C130734,MF,1999,342
12171,11C130734,MF,2009,196
12172,11C130734,MF,2019,76
12173,11C130734,M,1989,365
12174,11C130734,M,1999,173
12175,11C130734,M,2009,104
12176,11C130734,M,2019,41
12177,11C130734,F,1989,366
12178,11C130734,F,1999,169
12179,11C130734,F,2009,92
12180,11C130734,F,2019,35
12181,11C130705,MF,1989,417
12182,11C130705,MF,1999,176
12183,11C130705,MF,2009,124
12184,11C130705,MF,2019,108
12185,11C130705,M,1989,210
12186,11C130705,M,1999,88
12187,11C130705,M,2009,64
12188,11C130705,M,2019,57
12189,11C130705,F,1989,207
12190,11C130705,F,1999,88
12191,11C130705,F,2009,60
12192,11C130705,F,2019,51
12193,11C130736,MF,1989,787
12194,11C130736,MF,1999,526
12195,11C130736,MF,2009,230
12196,11C130736,MF,2019,120
12197,11C130736,M,1989,412
12198,11C130736,M,1999,268
12199,11C130736,M,2009,115
12200,11C130736,M,2019,64
12201,11C130736,F,1989,375
12202,11C130736,F,1999,258
12203,11C130736,F,2009,115
12204,11C130736,F,2019,56
12205,11C130737,MF,1989,723
12206,11C130737,MF,1999,414
12207,11C130737,MF,2009,175
12208,11C130737,MF,2019,136
12209,11C130737,M,1989,352
12210,11C130737,M,1999,209
12211,11C130737,M,2009,91
12212,11C130737,M,2019,70
12213,11C130737,F,1989,371
12214,11C130737,F,1999,205
12215,11C130737,F,2009,84
12216,11C130737,F,2019,66
12217,11C130738,MF,1989,1243
12218,11C130738,MF,1999,724
12219,11C130738,MF,2009,403
12220,11C130738,MF,2019,222
12221,11C130738,M,1989,658
12222,11C130738,M,1999,379
12223,11C130738,M,2009,208
12224,11C130738,M,2019,121
12225,11C130738,F,1989,585
12226,11C130738,F,1999,345
12227,11C130738,F,2009,195
12228,11C130738,F,2019,101
12229,11C130739,MF,1989,927
12230,11C130739,MF,1999,397
12231,11C130739,MF,2009,196
12232,11C130739,MF,2019,100
12233,11C130739,M,1989,448
12234,11C130739,M,1999,188
12235,11C130739,M,2009,97
12236,11C130739,M,2019,45
12237,11C130739,F,1989,479
12238,11C130739,F,1999,209
12239,11C130739,F,2009,99
12240,11C130739,F,2019,55
12241,11C130735,MF,1989,319
12242,11C130735,MF,1999,138
12243,11C130735,MF,2009,70
12244,11C130735,MF,2019,48
12245,11C130735,M,1989,163
12246,11C130735,M,1999,71
12247,11C130735,M,2009,37
12248,11C130735,M,2019,22
12249,11C130735,F,1989,156
12250,11C130735,F,1999,67
12251,11C130735,F,2009,33
12252,11C130735,F,2019,26
12253,11C130722,MF,1989,1242
12254,11C130722,MF,1999,706
12255,11C130722,MF,2009,395
12256,11C130722,MF,2019,330
12257,11C130722,M,1989,628
12258,11C130722,M,1999,363
12259,11C130722,M,2009,196
12260,11C130722,M,2019,159
12261,11C130722,F,1989,614
12262,11C130722,F,1999,343
12263,11C130722,F,2009,199
12264,11C130722,F,2019,171
12265,11C130723,MF,1989,249
12266,11C130723,MF,1999,97
12267,11C130723,MF,2009,60
12268,11C130723,MF,2019,53
12269,11C130723,M,1989,122
12270,11C130723,M,1999,43
12271,11C130723,M,2009,29
12272,11C130723,M,2019,27
12273,11C130723,F,1989,127
12274,11C130723,F,1999,54
12275,11C130723,F,2009,31
12276,11C130723,F,2019,26
12277,11C130724,MF,1989,532
12278,11C130724,MF,1999,245
12279,11C130724,MF,2009,121
12280,11C130724,MF,2019,79
12281,11C130724,M,1989,281
12282,11C130724,M,1999,129
12283,11C130724,M,2009,62
12284,11C130724,M,2019,46
12285,11C130724,F,1989,251
12286,11C130724,F,1999,116
12287,11C130724,F,2009,59
12288,11C130724,F,2019,33
12289,11C130740,MF,1989,1306
12290,11C130740,MF,1999,684
12291,11C130740,MF,2009,451
12292,11C130740,MF,2019,236
12293,11C130740,M,1989,673
12294,11C130740,M,1999,353
12295,11C130740,M,2009,242
12296,11C130740,M,2019,125
12297,11C130740,F,1989,633
12298,11C130740,F,1999,331
12299,11C130740,F,2009,209
12300,11C130740,F,2019,111
12301,11C130741,MF,1989,1447
12302,11C130741,MF,1999,738
12303,11C130741,MF,2009,376
12304,11C130741,MF,2019,238
12305,11C130741,M,1989,711
12306,11C130741,M,1999,368
12307,11C130741,M,2009,186
12308,11C130741,M,2019,127
12309,11C130741,F,1989,736
12310,11C130741,F,1999,370
12311,11C130741,F,2009,190
12312,11C130741,F,2019,111
12313,11C130730,MF,1989,925
12314,11C130730,MF,1999,321
12315,11C130730,MF,2009,248
12316,11C130730,MF,2019,144
12317,11C130730,M,1989,449
12318,11C130730,M,1999,155
12319,11C130730,M,2009,118
12320,11C130730,M,2019,67
12321,11C130730,F,1989,476
12322,11C130730,F,1999,166
12323,11C130730,F,2009,130
12324,11C130730,F,2019,77
12325,11C1309,MF,1989,5424
12326,11C1309,MF,1999,2268
12327,11C1309,MF,2009,1271
12328,11C1309,MF,2019,867
12329,11C1309,M,1989,2732
12330,11C1309,M,1999,1135
12331,11C1309,M,2009,647
12332,11C1309,M,2019,457
12333,11C1309,F,1989,2692
12334,11C1309,F,1999,1133
12335,11C1309,F,2009,624
12336,11C1309,F,2019,410
12337,11C130902,MF,1989,617
12338,11C130902,MF,1999,202
12339,11C130902,MF,2009,92
12340,11C130902,MF,2019,75
12341,11C130902,M,1989,314
12342,11C130902,M,1999,103
12343,11C130902,M,2009,48
12344,11C130902,M,2019,40
12345,11C130902,F,1989,303
12346,11C130902,F,1999,99
12347,11C130902,F,2009,44
12348,11C130902,F,2019,35
12349,11C130904,MF,1989,310
12350,11C130904,MF,1999,161
12351,11C130904,MF,2009,138
12352,11C130904,MF,2019,69
12353,11C130904,M,1989,158
12354,11C130904,M,1999,85
12355,11C130904,M,2009,72
12356,11C130904,M,2019,40
12357,11C130904,F,1989,152
12358,11C130904,F,1999,76
12359,11C130904,F,2009,66
12360,11C130904,F,2019,29
12361,11C130905,MF,1989,922
12362,11C130905,MF,1999,326
12363,11C130905,MF,2009,156
12364,11C130905,MF,2019,106
12365,11C130905,M,1989,462
12366,11C130905,M,1999,160
12367,11C130905,M,2009,76
12368,11C130905,M,2019,56
12369,11C130905,F,1989,460
12370,11C130905,F,1999,166
12371,11C130905,F,2009,80
12372,11C130905,F,2019,50
12373,11C130906,MF,1989,260
12374,11C130906,MF,1999,125
12375,11C130906,MF,2009,74
12376,11C130906,MF,2019,56
12377,11C130906,M,1989,125
12378,11C130906,M,1999,60
12379,11C130906,M,2009,32
12380,11C130906,M,2019,30
12381,11C130906,F,1989,135
12382,11C130906,F,1999,65
12383,11C130906,F,2009,42
12384,11C130906,F,2019,26
12385,11C130917,MF,1989,485
12386,11C130917,MF,1999,214
12387,11C130917,MF,2009,104
12388,11C130917,MF,2019,90
12389,11C130917,M,1989,242
12390,11C130917,M,1999,103
12391,11C130917,M,2009,49
12392,11C130917,M,2019,38
12393,11C130917,F,1989,243
12394,11C130917,F,1999,111
12395,11C130917,F,2009,55
12396,11C130917,F,2019,52
12397,11C130908,MF,1989,405
12398,11C130908,MF,1999,185
12399,11C130908,MF,2009,101
12400,11C130908,MF,2019,59
12401,11C130908,M,1989,204
12402,11C130908,M,1999,93
12403,11C130908,M,2009,53
12404,11C130908,M,2019,34
12405,11C130908,F,1989,201
12406,11C130908,F,1999,92
12407,11C130908,F,2009,48
12408,11C130908,F,2019,25
12409,11C130910,MF,1989,353
12410,11C130910,MF,1999,140
12411,11C130910,MF,2009,92
12412,11C130910,MF,2019,63
12413,11C130910,M,1989,178
12414,11C130910,M,1999,65
12415,11C130910,M,2009,50
12416,11C130910,M,2019,30
12417,11C130910,F,1989,175
12418,11C130910,F,1999,75
12419,11C130910,F,2009,42
12420,11C130910,F,2019,33
12421,11C130918,MF,1989,473
12422,11C130918,MF,1999,171
12423,11C130918,MF,2009,85
12424,11C130918,MF,2019,60
12425,11C130918,M,1989,238
12426,11C130918,M,1999,88
12427,11C130918,M,2009,42
12428,11C130918,M,2019,31
12429,11C130918,F,1989,235
12430,11C130918,F,1999,83
12431,11C130918,F,2009,43
12432,11C130918,F,2019,29
12433,11C130913,MF,1989,400
12434,11C130913,MF,1999,123
12435,11C130913,MF,2009,70
12436,11C130913,MF,2019,58
12437,11C130913,M,1989,208
12438,11C130913,M,1999,61
12439,11C130913,M,2009,34
12440,11C130913,M,2019,29
12441,11C130913,F,1989,192
12442,11C130913,F,1999,62
12443,11C130913,F,2009,36
12444,11C130913,F,2019,29
12445,11C130914,MF,1989,252
12446,11C130914,MF,1999,168
12447,11C130914,MF,2009,57
12448,11C130914,MF,2019,43
12449,11C130914,M,1989,135
12450,11C130914,M,1999,88
12451,11C130914,M,2009,29
12452,11C130914,M,2019,24
12453,11C130914,F,1989,117
12454,11C130914,F,1999,80
12455,11C130914,F,2009,28
12456,11C130914,F,2019,19
12457,11C130919,MF,1989,663
12458,11C130919,MF,1999,289
12459,11C130919,MF,2009,215
12460,11C130919,MF,2019,118
12461,11C130919,M,1989,333
12462,11C130919,M,1999,153
12463,11C130919,M,2009,121
12464,11C130919,M,2019,66
12465,11C130919,F,1989,330
12466,11C130919,F,1999,136
12467,11C130919,F,2009,94
12468,11C130919,F,2019,52
12469,11C130916,MF,1989,284
12470,11C130916,MF,1999,164
12471,11C130916,MF,2009,87
12472,11C130916,MF,2019,70
12473,11C130916,M,1989,135
12474,11C130916,M,1999,76
12475,11C130916,M,2009,41
12476,11C130916,M,2019,39
12477,11C130916,F,1989,149
12478,11C130916,F,1999,88
12479,11C130916,F,2009,46
12480,11C130916,F,2019,31
12481,11C1311,MF,1989,15621
12482,11C1311,MF,1999,7262
12483,11C1311,MF,2009,4106
12484,11C1311,MF,2019,2987
12485,11C1311,M,1989,7928
12486,11C1311,M,1999,3638
12487,11C1311,M,2009,2035
12488,11C1311,M,2019,1528
12489,11C1311,F,1989,7693
12490,11C1311,F,1999,3624
12491,11C1311,F,2009,2071
12492,11C1311,F,2019,1459
12493,11C131101,MF,1989,875
12494,11C131101,MF,1999,585
12495,11C131101,MF,2009,279
12496,11C131101,MF,2019,183
12497,11C131101,M,1989,447
12498,11C131101,M,1999,297
12499,11C131101,M,2009,138
12500,11C131101,M,2019,84
12501,11C131101,F,1989,428
12502,11C131101,F,1999,288
12503,11C131101,F,2009,141
12504,11C131101,F,2019,99
12505,11C131102,MF,1989,533
12506,11C131102,MF,1999,151
12507,11C131102,MF,2009,105
12508,11C131102,MF,2019,97
12509,11C131102,M,1989,291
12510,11C131102,M,1999,75
12511,11C131102,M,2009,53
12512,11C131102,M,2019,46
12513,11C131102,F,1989,242
12514,11C131102,F,1999,76
12515,11C131102,F,2009,52
12516,11C131102,F,2019,51
12517,11C131103,MF,1989,596
12518,11C131103,MF,1999,422
12519,11C131103,MF,2009,167
12520,11C131103,MF,2019,131
12521,11C131103,M,1989,285
12522,11C131103,M,1999,198
12523,11C131103,M,2009,80
12524,11C131103,M,2019,64
12525,11C131103,F,1989,311
12526,11C131103,F,1999,224
12527,11C131103,F,2009,87
12528,11C131103,F,2019,67
12529,11C131104,MF,1989,322
12530,11C131104,MF,1999,158
12531,11C131104,MF,2009,82
12532,11C131104,MF,2019,62
12533,11C131104,M,1989,154
12534,11C131104,M,1999,74
12535,11C131104,M,2009,35
12536,11C131104,M,2019,27
12537,11C131104,F,1989,168
12538,11C131104,F,1999,84
12539,11C131104,F,2009,47
12540,11C131104,F,2019,35
12541,11C131105,MF,1989,410
12542,11C131105,MF,1999,247
12543,11C131105,MF,2009,116
12544,11C131105,MF,2019,91
12545,11C131105,M,1989,212
12546,11C131105,M,1999,124
12547,11C131105,M,2009,60
12548,11C131105,M,2019,43
12549,11C131105,F,1989,198
12550,11C131105,F,1999,123
12551,11C131105,F,2009,56
12552,11C131105,F,2019,48
12553,11C131106,MF,1989,411
12554,11C131106,MF,1999,208
12555,11C131106,MF,2009,105
12556,11C131106,MF,2019,82
12557,11C131106,M,1989,212
12558,11C131106,M,1999,107
12559,11C131106,M,2009,53
12560,11C131106,M,2019,39
12561,11C131106,F,1989,199
12562,11C131106,F,1999,101
12563,11C131106,F,2009,52
12564,11C131106,F,2019,43
12565,11C131107,MF,1989,322
12566,11C131107,MF,1999,151
12567,11C131107,MF,2009,79
12568,11C131107,MF,2019,70
12569,11C131107,M,1989,158
12570,11C131107,M,1999,71
12571,11C131107,M,2009,38
12572,11C131107,M,2019,31
12573,11C131107,F,1989,164
12574,11C131107,F,1999,80
12575,11C131107,F,2009,41
