primary_key,codes,year,N_Tractors
215,111160217,1999,"0,2"
216,111160217,1989,"0,2"
217,111160218,2019,"0,8"
218,111160218,2009,"0,7"
219,111160218,1999,"0,4"
220,111160218,1989,"0,1"
221,111160220,2019,"0,9"
222,111160220,2009,"0,9"
223,111160220,1999,"0,6"
224,111160220,1989,"0,2"
225,1111603,2019,"0,8"
226,1111603,2009,"0,7"
227,1111603,1999,"0,4"
228,1111603,1989,"0,2"
229,111160301,2019,"0,8"
230,111160301,2009,"0,8"
231,111160301,1999,"0,4"
232,111160301,1989,"0,2"
233,111160304,2019,"0,5"
234,111160304,2009,"0,5"
235,111160304,1999,"0,3"
236,111160304,1989,"0,1"
237,111160305,2019,"0,8"
238,111160305,2009,"0,7"
239,111160305,1999,"0,5"
240,111160305,1989,"0,2"
241,111160307,2019,"0,9"
242,111160307,2009,"0,7"
243,111160307,1999,"0,4"
244,111160307,1989,"0,2"
245,111160308,2019,"0,5"
246,111160308,2009,"0,5"
247,111160308,1999,"0,4"
248,111160308,1989,"0,2"
249,111160311,2019,"0,9"
250,111160311,2009,"0,8"
251,111160311,1999,"0,6"
252,111160311,1989,"0,2"
253,111160313,2019,"0,9"
254,111160313,2009,"0,8"
255,111160313,1999,"0,5"
256,111160313,1989,"0,2"
257,111160317,2019,"0,8"
258,111160317,2009,"0,7"
259,111160317,1999,"0,5"
260,111160317,1989,"0,3"
261,111160319,2019,"0,6"
262,111160319,2009,"0,5"
263,111160319,1999,"0,3"
264,111160319,1989,"0,1"
265,111160320,2019,"0,5"
266,111160320,2009,"0,5"
267,111160320,1999,"0,3"
268,111160320,1989,"0,1"
269,111160321,2019,"0,5"
270,111160321,2009,"0,4"
271,111160321,1999,"0,3"
272,111160321,1989,"0,1"
273,111160322,2019,"0,9"
274,111160322,2009,"0,8"
275,111160322,1999,"0,7"
276,111160322,1989,"0,3"
277,111160323,2019,"0,7"
278,111160323,2009,"0,7"
279,111160323,1999,"0,4"
280,111160323,1989,"0,2"
281,1111604,2019,"0,9"
282,1111604,2009,"0,8"
283,1111604,1999,"0,6"
284,1111604,1989,"0,3"
285,111160401,2019,"0,9"
286,111160401,2009,"0,6"
287,111160401,1999,"0,5"
288,111160401,1989,"0,2"
289,111160404,2019,"0,9"
290,111160404,2009,1
291,111160404,1999,"0,7"
292,111160404,1989,"0,3"
293,111160405,2019,1
294,111160405,2009,"1,1"
295,111160405,1999,"0,8"
296,111160405,1989,"0,4"
297,111160406,2019,1
298,111160406,2009,"0,9"
299,111160406,1999,"0,6"
300,111160406,1989,"0,4"
301,111160407,2019,1
302,111160407,2009,"0,9"
303,111160407,1999,"0,7"
304,111160407,1989,"0,3"
305,111160410,2019,1
306,111160410,2009,1
307,111160410,1999,"0,7"
308,111160410,1989,"0,3"
309,111160411,2019,1
310,111160411,2009,"0,9"
311,111160411,1999,"0,6"
312,111160411,1989,"0,3"
313,111160415,2019,"0,8"
314,111160415,2009,"0,8"
315,111160415,1999,"0,4"
316,111160415,1989,"0,2"
317,111160418,2019,"1,1"
318,111160418,2009,"0,9"
319,111160418,1999,"0,6"
320,111160418,1989,"0,3"
321,111160420,2019,"1,1"
322,111160420,2009,"0,9"
