primary_key,codes,age,year,No
51682,16E061123,55 - 64 years,1999,86
51683,16E061123,55 - 64 years,2009,38
51684,16E061123,55 - 64 years,2019,25
51685,16E061123,65 and more years,1989,103
51686,16E061123,65 and more years,1999,128
51687,16E061123,65 and more years,2009,82
51688,16E061123,65 and more years,2019,53
51689,16E061124,Total,1989,622
51690,16E061124,Total,1999,304
51691,16E061124,Total,2009,138
51692,16E061124,Total,2019,124
51693,16E061124,16 - 24 years,1989,220
51694,16E061124,16 - 24 years,1999,68
51695,16E061124,16 - 24 years,2009,20
51696,16E061124,16 - 24 years,2019,18
51697,16E061124,25 - 34 years,1989,50
51698,16E061124,25 - 34 years,1999,22
51699,16E061124,25 - 34 years,2009,9
51700,16E061124,25 - 34 years,2019,9
51701,16E061124,35 - 44 years,1989,51
51702,16E061124,35 - 44 years,1999,21
51703,16E061124,35 - 44 years,2009,12
51704,16E061124,35 - 44 years,2019,13
51705,16E061124,45 - 54 years,1989,79
51706,16E061124,45 - 54 years,1999,46
51707,16E061124,45 - 54 years,2009,22
51708,16E061124,45 - 54 years,2019,17
51709,16E061124,55 - 64 years,1989,122
51710,16E061124,55 - 64 years,1999,68
51711,16E061124,55 - 64 years,2009,25
51712,16E061124,55 - 64 years,2019,24
51713,16E061124,65 and more years,1989,100
51714,16E061124,65 and more years,1999,79
51715,16E061124,65 and more years,2009,50
51716,16E061124,65 and more years,2019,43
51717,16E061125,Total,1989,203
51718,16E061125,Total,1999,104
51719,16E061125,Total,2009,58
51720,16E061125,Total,2019,24
51721,16E061125,16 - 24 years,1989,73
51722,16E061125,16 - 24 years,1999,24
51723,16E061125,16 - 24 years,2009,8
51724,16E061125,16 - 24 years,2019,2
51725,16E061125,25 - 34 years,1989,15
51726,16E061125,25 - 34 years,1999,12
51727,16E061125,25 - 34 years,2009,7
51728,16E061125,25 - 34 years,2019,7
51729,16E061125,35 - 44 years,1989,16
51730,16E061125,35 - 44 years,1999,7
51731,16E061125,35 - 44 years,2009,8
51732,16E061125,35 - 44 years,2019,3
51733,16E061125,45 - 54 years,1989,27
51734,16E061125,45 - 54 years,1999,12
51735,16E061125,45 - 54 years,2009,8
51736,16E061125,45 - 54 years,2019,1
51737,16E061125,55 - 64 years,1989,33
51738,16E061125,55 - 64 years,1999,20
51739,16E061125,55 - 64 years,2009,8
51740,16E061125,55 - 64 years,2019,4
51741,16E061125,65 and more years,1989,39
51742,16E061125,65 and more years,1999,29
51743,16E061125,65 and more years,2009,19
51744,16E061125,65 and more years,2019,7
51745,16E061126,Total,1989,287
51746,16E061126,Total,1999,167
51747,16E061126,Total,2009,106
51748,16E061126,Total,2019,82
51749,16E061126,16 - 24 years,1989,102
51750,16E061126,16 - 24 years,1999,39
51751,16E061126,16 - 24 years,2009,12
51752,16E061126,16 - 24 years,2019,1
51753,16E061126,25 - 34 years,1989,25
51754,16E061126,25 - 34 years,1999,14
51755,16E061126,25 - 34 years,2009,10
51756,16E061126,25 - 34 years,2019,1
51757,16E061126,35 - 44 years,1989,25
51758,16E061126,35 - 44 years,1999,22
51759,16E061126,35 - 44 years,2009,11
51760,16E061126,35 - 44 years,2019,6
51761,16E061126,45 - 54 years,1989,39
51762,16E061126,45 - 54 years,1999,22
51763,16E061126,45 - 54 years,2009,18
51764,16E061126,45 - 54 years,2019,7
51765,16E061126,55 - 64 years,1989,43
51766,16E061126,55 - 64 years,1999,26
51767,16E061126,55 - 64 years,2009,15
51768,16E061126,55 - 64 years,2019,24
51769,16E061126,65 and more years,1989,53
51770,16E061126,65 and more years,1999,44
51771,16E061126,65 and more years,2009,40
51772,16E061126,65 and more years,2019,43
51773,16E0612,Total,1989,1890
51774,16E0612,Total,1999,900
51775,16E0612,Total,2009,879
51776,16E0612,Total,2019,638
51777,16E0612,16 - 24 years,1989,293
51778,16E0612,16 - 24 years,1999,145
51779,16E0612,16 - 24 years,2009,34
51780,16E0612,16 - 24 years,2019,40
51781,16E0612,25 - 34 years,1989,128
51782,16E0612,25 - 34 years,1999,45
51783,16E0612,25 - 34 years,2009,37
51784,16E0612,25 - 34 years,2019,22
51785,16E0612,35 - 44 years,1989,192
51786,16E0612,35 - 44 years,1999,61
51787,16E0612,35 - 44 years,2009,57
51788,16E0612,35 - 44 years,2019,55
51789,16E0612,45 - 54 years,1989,347
51790,16E0612,45 - 54 years,1999,130
51791,16E0612,45 - 54 years,2009,92
51792,16E0612,45 - 54 years,2019,64
51793,16E0612,55 - 64 years,1989,423
51794,16E0612,55 - 64 years,1999,214
51795,16E0612,55 - 64 years,2009,168
51796,16E0612,55 - 64 years,2019,123
51797,16E0612,65 and more years,1989,507
51798,16E0612,65 and more years,1999,305
