primary_key,codes,age,year,No
51216,16E180808,Total,2019,245
51217,16E180808,16 - 24 years,1989,453
51218,16E180808,16 - 24 years,1999,163
51219,16E180808,16 - 24 years,2009,37
51220,16E180808,16 - 24 years,2019,17
51221,16E180808,25 - 34 years,1989,131
51222,16E180808,25 - 34 years,1999,71
51223,16E180808,25 - 34 years,2009,34
51224,16E180808,25 - 34 years,2019,8
51225,16E180808,35 - 44 years,1989,132
51226,16E180808,35 - 44 years,1999,73
51227,16E180808,35 - 44 years,2009,28
51228,16E180808,35 - 44 years,2019,16
51229,16E180808,45 - 54 years,1989,220
51230,16E180808,45 - 54 years,1999,89
51231,16E180808,45 - 54 years,2009,63
51232,16E180808,45 - 54 years,2019,29
51233,16E180808,55 - 64 years,1989,175
51234,16E180808,55 - 64 years,1999,134
51235,16E180808,55 - 64 years,2009,114
51236,16E180808,55 - 64 years,2019,71
51237,16E180808,65 and more years,1989,142
51238,16E180808,65 and more years,1999,119
51239,16E180808,65 and more years,2009,142
51240,16E180808,65 and more years,2019,104
51241,16E180809,Total,1989,274
51242,16E180809,Total,1999,187
51243,16E180809,Total,2009,138
51244,16E180809,Total,2019,72
51245,16E180809,16 - 24 years,1989,72
51246,16E180809,16 - 24 years,1999,45
51247,16E180809,16 - 24 years,2009,15
51248,16E180809,16 - 24 years,2019,7
51249,16E180809,25 - 34 years,1989,21
51250,16E180809,25 - 34 years,1999,16
51251,16E180809,25 - 34 years,2009,11
51252,16E180809,25 - 34 years,2019,7
51253,16E180809,35 - 44 years,1989,29
51254,16E180809,35 - 44 years,1999,18
51255,16E180809,35 - 44 years,2009,12
51256,16E180809,35 - 44 years,2019,3
51257,16E180809,45 - 54 years,1989,57
51258,16E180809,45 - 54 years,1999,28
51259,16E180809,45 - 54 years,2009,22
51260,16E180809,45 - 54 years,2019,11
51261,16E180809,55 - 64 years,1989,46
51262,16E180809,55 - 64 years,1999,52
51263,16E180809,55 - 64 years,2009,30
51264,16E180809,55 - 64 years,2019,21
51265,16E180809,65 and more years,1989,49
51266,16E180809,65 and more years,1999,28
51267,16E180809,65 and more years,2009,48
51268,16E180809,65 and more years,2019,23
51269,16E180811,Total,1989,954
51270,16E180811,Total,1999,602
51271,16E180811,Total,2009,350
51272,16E180811,Total,2019,187
51273,16E180811,16 - 24 years,1989,298
51274,16E180811,16 - 24 years,1999,118
51275,16E180811,16 - 24 years,2009,30
51276,16E180811,16 - 24 years,2019,18
51277,16E180811,25 - 34 years,1989,75
51278,16E180811,25 - 34 years,1999,72
51279,16E180811,25 - 34 years,2009,18
51280,16E180811,25 - 34 years,2019,15
51281,16E180811,35 - 44 years,1989,114
51282,16E180811,35 - 44 years,1999,57
51283,16E180811,35 - 44 years,2009,23
51284,16E180811,35 - 44 years,2019,13
51285,16E180811,45 - 54 years,1989,173
51286,16E180811,45 - 54 years,1999,96
51287,16E180811,45 - 54 years,2009,43
51288,16E180811,45 - 54 years,2019,23
51289,16E180811,55 - 64 years,1989,142
51290,16E180811,55 - 64 years,1999,133
51291,16E180811,55 - 64 years,2009,91
51292,16E180811,55 - 64 years,2019,45
51293,16E180811,65 and more years,1989,152
51294,16E180811,65 and more years,1999,126
51295,16E180811,65 and more years,2009,145
51296,16E180811,65 and more years,2019,73
51297,16E0611,Total,1989,7504
51298,16E0611,Total,1999,4495
51299,16E0611,Total,2009,2774
51300,16E0611,Total,2019,1805
51301,16E0611,16 - 24 years,1989,2580
51302,16E0611,16 - 24 years,1999,986
51303,16E0611,16 - 24 years,2009,365
51304,16E0611,16 - 24 years,2019,204
51305,16E0611,25 - 34 years,1989,636
51306,16E0611,25 - 34 years,1999,362
51307,16E0611,25 - 34 years,2009,205
51308,16E0611,25 - 34 years,2019,113
51309,16E0611,35 - 44 years,1989,707
51310,16E0611,35 - 44 years,1999,422
51311,16E0611,35 - 44 years,2009,275
51312,16E0611,35 - 44 years,2019,163
51313,16E0611,45 - 54 years,1989,1068
51314,16E0611,45 - 54 years,1999,605
51315,16E0611,45 - 54 years,2009,383
51316,16E0611,45 - 54 years,2019,259
51317,16E0611,55 - 64 years,1989,1234
51318,16E0611,55 - 64 years,1999,904
51319,16E0611,55 - 64 years,2009,499
51320,16E0611,55 - 64 years,2019,369
51321,16E0611,65 and more years,1989,1279
51322,16E0611,65 and more years,1999,1216
51323,16E0611,65 and more years,2009,1047
51324,16E0611,65 and more years,2019,697
51325,16E061101,Total,1989,153
51326,16E061101,Total,1999,91
51327,16E061101,Total,2009,39
51328,16E061101,Total,2019,71
51329,16E061101,16 - 24 years,1989,48
51330,16E061101,16 - 24 years,1999,10
51331,16E061101,16 - 24 years,2009,1
51332,16E061101,16 - 24 years,2019,9
51333,16E061101,25 - 34 years,1989,21
51334,16E061101,25 - 34 years,1999,7
51335,16E061101,25 - 34 years,2009,3
51336,16E061101,25 - 34 years,2019,4
51337,16E061101,35 - 44 years,1989,11
51338,16E061101,35 - 44 years,1999,6
51339,16E061101,35 - 44 years,2009,1
51340,16E061101,35 - 44 years,2019,6
51341,16E061101,45 - 54 years,1989,16
51342,16E061101,45 - 54 years,1999,16
51343,16E061101,45 - 54 years,2009,4
51344,16E061101,45 - 54 years,2019,4
51345,16E061101,55 - 64 years,1989,27
51346,16E061101,55 - 64 years,1999,17
51347,16E061101,55 - 64 years,2009,8
51348,16E061101,55 - 64 years,2019,20
51349,16E061101,65 and more years,1989,30
51350,16E061101,65 and more years,1999,35
51351,16E061101,65 and more years,2009,22
51352,16E061101,65 and more years,2019,28
51353,16E061102,Total,1989,170
51354,16E061102,Total,1999,89
51355,16E061102,Total,2009,32
51356,16E061102,Total,2019,20
51357,16E061102,16 - 24 years,1989,51
51358,16E061102,16 - 24 years,1999,17
51359,16E061102,16 - 24 years,2009,6
51360,16E061102,16 - 24 years,2019,3
51361,16E061102,25 - 34 years,1989,11
51362,16E061102,25 - 34 years,1999,2
51363,16E061102,25 - 34 years,2009,2
51364,16E061102,25 - 34 years,2019,2
51365,16E061102,35 - 44 years,1989,21
51366,16E061102,35 - 44 years,1999,2
51367,16E061102,35 - 44 years,2009,
51368,16E061102,35 - 44 years,2019,1
51369,16E061102,45 - 54 years,1989,17
51370,16E061102,45 - 54 years,1999,16
51371,16E061102,45 - 54 years,2009,2
51372,16E061102,45 - 54 years,2019,2
51373,16E061102,55 - 64 years,1989,24
51374,16E061102,55 - 64 years,1999,23
51375,16E061102,55 - 64 years,2009,9
51376,16E061102,55 - 64 years,2019,6
51377,16E061102,65 and more years,1989,46
51378,16E061102,65 and more years,1999,29
51379,16E061102,65 and more years,2009,13
51380,16E061102,65 and more years,2019,6
51381,16E061103,Total,1989,103
51382,16E061103,Total,1999,120
51383,16E061103,Total,2009,76
51384,16E061103,Total,2019,86
51385,16E061103,16 - 24 years,1989,37
51386,16E061103,16 - 24 years,1999,29
51387,16E061103,16 - 24 years,2009,10
51388,16E061103,16 - 24 years,2019,
51389,16E061103,25 - 34 years,1989,9
51390,16E061103,25 - 34 years,1999,14
51391,16E061103,25 - 34 years,2009,3
51392,16E061103,25 - 34 years,2019,1
51393,16E061103,35 - 44 years,1989,4
51394,16E061103,35 - 44 years,1999,11
51395,16E061103,35 - 44 years,2009,6
51396,16E061103,35 - 44 years,2019,5
51397,16E061103,45 - 54 years,1989,19
51398,16E061103,45 - 54 years,1999,10
51399,16E061103,45 - 54 years,2009,10
51400,16E061103,45 - 54 years,2019,14
51401,16E061103,55 - 64 years,1989,16
51402,16E061103,55 - 64 years,1999,29
51403,16E061103,55 - 64 years,2009,10
51404,16E061103,55 - 64 years,2019,16
51405,16E061103,65 and more years,1989,18
51406,16E061103,65 and more years,1999,27
51407,16E061103,65 and more years,2009,37
51408,16E061103,65 and more years,2019,50
51409,16E061104,Total,1989,317
51410,16E061104,Total,1999,161
51411,16E061104,Total,2009,134
51412,16E061104,Total,2019,97
51413,16E061104,16 - 24 years,1989,113
51414,16E061104,16 - 24 years,1999,43
51415,16E061104,16 - 24 years,2009,20
51416,16E061104,16 - 24 years,2019,10
51417,16E061104,25 - 34 years,1989,29
51418,16E061104,25 - 34 years,1999,13
51419,16E061104,25 - 34 years,2009,14
51420,16E061104,25 - 34 years,2019,7
51421,16E061104,35 - 44 years,1989,33
51422,16E061104,35 - 44 years,1999,22
51423,16E061104,35 - 44 years,2009,37
51424,16E061104,35 - 44 years,2019,8
51425,16E061104,45 - 54 years,1989,55
51426,16E061104,45 - 54 years,1999,16
51427,16E061104,45 - 54 years,2009,19
51428,16E061104,45 - 54 years,2019,19
51429,16E061104,55 - 64 years,1989,53
51430,16E061104,55 - 64 years,1999,41
51431,16E061104,55 - 64 years,2009,19
51432,16E061104,55 - 64 years,2019,16
51433,16E061104,65 and more years,1989,34
51434,16E061104,65 and more years,1999,26
51435,16E061104,65 and more years,2009,25
51436,16E061104,65 and more years,2019,37
51437,16E061106,Total,1989,715
51438,16E061106,Total,1999,384
51439,16E061106,Total,2009,230
51440,16E061106,Total,2019,143
51441,16E061106,16 - 24 years,1989,272
51442,16E061106,16 - 24 years,1999,87
51443,16E061106,16 - 24 years,2009,18
51444,16E061106,16 - 24 years,2019,12
51445,16E061106,25 - 34 years,1989,67
51446,16E061106,25 - 34 years,1999,34
51447,16E061106,25 - 34 years,2009,19
51448,16E061106,25 - 34 years,2019,9
51449,16E061106,35 - 44 years,1989,67
51450,16E061106,35 - 44 years,1999,41
51451,16E061106,35 - 44 years,2009,23
51452,16E061106,35 - 44 years,2019,13
51453,16E061106,45 - 54 years,1989,108
51454,16E061106,45 - 54 years,1999,45
51455,16E061106,45 - 54 years,2009,48
51456,16E061106,45 - 54 years,2019,26
51457,16E061106,55 - 64 years,1989,110
51458,16E061106,55 - 64 years,1999,78
51459,16E061106,55 - 64 years,2009,40
51460,16E061106,55 - 64 years,2019,42
51461,16E061106,65 and more years,1989,91
51462,16E061106,65 and more years,1999,99
51463,16E061106,65 and more years,2009,82
51464,16E061106,65 and more years,2019,41
51465,16E061109,Total,1989,380
51466,16E061109,Total,1999,204
51467,16E061109,Total,2009,152
51468,16E061109,Total,2019,92
51469,16E061109,16 - 24 years,1989,122
51470,16E061109,16 - 24 years,1999,55
51471,16E061109,16 - 24 years,2009,17
51472,16E061109,16 - 24 years,2019,14
51473,16E061109,25 - 34 years,1989,35
51474,16E061109,25 - 34 years,1999,8
51475,16E061109,25 - 34 years,2009,18
51476,16E061109,25 - 34 years,2019,6
51477,16E061109,35 - 44 years,1989,36
51478,16E061109,35 - 44 years,1999,19
51479,16E061109,35 - 44 years,2009,10
51480,16E061109,35 - 44 years,2019,8
51481,16E061109,45 - 54 years,1989,46
51482,16E061109,45 - 54 years,1999,31
51483,16E061109,45 - 54 years,2009,26
51484,16E061109,45 - 54 years,2019,14
51485,16E061109,55 - 64 years,1989,64
51486,16E061109,55 - 64 years,1999,31
51487,16E061109,55 - 64 years,2009,35
51488,16E061109,55 - 64 years,2019,17
51489,16E061109,65 and more years,1989,77
51490,16E061109,65 and more years,1999,60
51491,16E061109,65 and more years,2009,46
51492,16E061109,65 and more years,2019,33
51493,16E061110,Total,1989,456
51494,16E061110,Total,1999,230
51495,16E061110,Total,2009,145
51496,16E061110,Total,2019,70
51497,16E061110,16 - 24 years,1989,141
51498,16E061110,16 - 24 years,1999,34
51499,16E061110,16 - 24 years,2009,17
51500,16E061110,16 - 24 years,2019,8
51501,16E061110,25 - 34 years,1989,29
51502,16E061110,25 - 34 years,1999,18
51503,16E061110,25 - 34 years,2009,5
51504,16E061110,25 - 34 years,2019,1
51505,16E061110,35 - 44 years,1989,63
51506,16E061110,35 - 44 years,1999,14
51507,16E061110,35 - 44 years,2009,11
51508,16E061110,35 - 44 years,2019,10
51509,16E061110,45 - 54 years,1989,52
51510,16E061110,45 - 54 years,1999,37
51511,16E061110,45 - 54 years,2009,14
51512,16E061110,45 - 54 years,2019,9
51513,16E061110,55 - 64 years,1989,65
51514,16E061110,55 - 64 years,1999,51
51515,16E061110,55 - 64 years,2009,35
51516,16E061110,55 - 64 years,2019,12
51517,16E061110,65 and more years,1989,106
51518,16E061110,65 and more years,1999,76
51519,16E061110,65 and more years,2009,63
51520,16E061110,65 and more years,2019,30
51521,16E061111,Total,1989,838
51522,16E061111,Total,1999,501
51523,16E061111,Total,2009,256
51524,16E061111,Total,2019,308
51525,16E061111,16 - 24 years,1989,323
51526,16E061111,16 - 24 years,1999,131
51527,16E061111,16 - 24 years,2009,33
51528,16E061111,16 - 24 years,2019,33
51529,16E061111,25 - 34 years,1989,71
51530,16E061111,25 - 34 years,1999,37
51531,16E061111,25 - 34 years,2009,28
51532,16E061111,25 - 34 years,2019,26
51533,16E061111,35 - 44 years,1989,90
51534,16E061111,35 - 44 years,1999,62
51535,16E061111,35 - 44 years,2009,19
51536,16E061111,35 - 44 years,2019,33
51537,16E061111,45 - 54 years,1989,118
51538,16E061111,45 - 54 years,1999,60
51539,16E061111,45 - 54 years,2009,31
51540,16E061111,45 - 54 years,2019,40
51541,16E061111,55 - 64 years,1989,119
51542,16E061111,55 - 64 years,1999,90
51543,16E061111,55 - 64 years,2009,56
51544,16E061111,55 - 64 years,2019,54
51545,16E061111,65 and more years,1989,117
51546,16E061111,65 and more years,1999,121
51547,16E061111,65 and more years,2009,89
51548,16E061111,65 and more years,2019,122
51549,16E061115,Total,1989,215
51550,16E061115,Total,1999,149
51551,16E061115,Total,2009,65
51552,16E061115,Total,2019,16
51553,16E061115,16 - 24 years,1989,63
51554,16E061115,16 - 24 years,1999,26
51555,16E061115,16 - 24 years,2009,5
51556,16E061115,16 - 24 years,2019,1
51557,16E061115,25 - 34 years,1989,9
51558,16E061115,25 - 34 years,1999,7
51559,16E061115,25 - 34 years,2009,4
51560,16E061115,25 - 34 years,2019,1
51561,16E061115,35 - 44 years,1989,12
51562,16E061115,35 - 44 years,1999,9
51563,16E061115,35 - 44 years,2009,1
51564,16E061115,35 - 44 years,2019,1
51565,16E061115,45 - 54 years,1989,50
51566,16E061115,45 - 54 years,1999,19
51567,16E061115,45 - 54 years,2009,6
51568,16E061115,45 - 54 years,2019,3
51569,16E061115,55 - 64 years,1989,53
51570,16E061115,55 - 64 years,1999,37
51571,16E061115,55 - 64 years,2009,10
51572,16E061115,55 - 64 years,2019,3
51573,16E061115,65 and more years,1989,28
51574,16E061115,65 and more years,1999,51
51575,16E061115,65 and more years,2009,39
51576,16E061115,65 and more years,2019,7
51577,16E061118,Total,1989,1115
51578,16E061118,Total,1999,670
51579,16E061118,Total,2009,482
51580,16E061118,Total,2019,237
51581,16E061118,16 - 24 years,1989,415
51582,16E061118,16 - 24 years,1999,146
51583,16E061118,16 - 24 years,2009,60
51584,16E061118,16 - 24 years,2019,39
51585,16E061118,25 - 34 years,1989,90
51586,16E061118,25 - 34 years,1999,54
51587,16E061118,25 - 34 years,2009,24
51588,16E061118,25 - 34 years,2019,16
51589,16E061118,35 - 44 years,1989,122
51590,16E061118,35 - 44 years,1999,59
51591,16E061118,35 - 44 years,2009,47
51592,16E061118,35 - 44 years,2019,18
51593,16E061118,45 - 54 years,1989,144
51594,16E061118,45 - 54 years,1999,120
51595,16E061118,45 - 54 years,2009,54
51596,16E061118,45 - 54 years,2019,46
51597,16E061118,55 - 64 years,1989,173
51598,16E061118,55 - 64 years,1999,129
51599,16E061118,55 - 64 years,2009,95
51600,16E061118,55 - 64 years,2019,43
51601,16E061118,65 and more years,1989,171
51602,16E061118,65 and more years,1999,162
51603,16E061118,65 and more years,2009,202
51604,16E061118,65 and more years,2019,75
51605,16E061119,Total,1989,487
51606,16E061119,Total,1999,409
51607,16E061119,Total,2009,282
51608,16E061119,Total,2019,152
51609,16E061119,16 - 24 years,1989,165
51610,16E061119,16 - 24 years,1999,102
51611,16E061119,16 - 24 years,2009,47
51612,16E061119,16 - 24 years,2019,22
51613,16E061119,25 - 34 years,1989,51
51614,16E061119,25 - 34 years,1999,38
51615,16E061119,25 - 34 years,2009,16
51616,16E061119,25 - 34 years,2019,3
51617,16E061119,35 - 44 years,1989,38
51618,16E061119,35 - 44 years,1999,46
51619,16E061119,35 - 44 years,2009,39
51620,16E061119,35 - 44 years,2019,10
51621,16E061119,45 - 54 years,1989,83
51622,16E061119,45 - 54 years,1999,49
51623,16E061119,45 - 54 years,2009,39
51624,16E061119,45 - 54 years,2019,21
51625,16E061119,55 - 64 years,1989,66
51626,16E061119,55 - 64 years,1999,83
51627,16E061119,55 - 64 years,2009,38
51628,16E061119,55 - 64 years,2019,35
51629,16E061119,65 and more years,1989,84
51630,16E061119,65 and more years,1999,91
51631,16E061119,65 and more years,2009,103
51632,16E061119,65 and more years,2019,61
51633,16E061122,Total,1989,861
51634,16E061122,Total,1999,471
51635,16E061122,Total,2009,336
51636,16E061122,Total,2019,135
51637,16E061122,16 - 24 years,1989,246
51638,16E061122,16 - 24 years,1999,72
51639,16E061122,16 - 24 years,2009,46
51640,16E061122,16 - 24 years,2019,15
51641,16E061122,25 - 34 years,1989,77
51642,16E061122,25 - 34 years,1999,44
51643,16E061122,25 - 34 years,2009,25
51644,16E061122,25 - 34 years,2019,5
51645,16E061122,35 - 44 years,1989,70
51646,16E061122,35 - 44 years,1999,42
51647,16E061122,35 - 44 years,2009,24
51648,16E061122,35 - 44 years,2019,12
51649,16E061122,45 - 54 years,1989,120
51650,16E061122,45 - 54 years,1999,59
51651,16E061122,45 - 54 years,2009,48
51652,16E061122,45 - 54 years,2019,14
51653,16E061122,55 - 64 years,1989,166
51654,16E061122,55 - 64 years,1999,95
51655,16E061122,55 - 64 years,2009,58
51656,16E061122,55 - 64 years,2019,28
51657,16E061122,65 and more years,1989,182
51658,16E061122,65 and more years,1999,159
51659,16E061122,65 and more years,2009,135
51660,16E061122,65 and more years,2019,61
51661,16E061123,Total,1989,582
51662,16E061123,Total,1999,441
51663,16E061123,Total,2009,243
51664,16E061123,Total,2019,148
51665,16E061123,16 - 24 years,1989,189
51666,16E061123,16 - 24 years,1999,103
51667,16E061123,16 - 24 years,2009,45
51668,16E061123,16 - 24 years,2019,17
51669,16E061123,25 - 34 years,1989,47
51670,16E061123,25 - 34 years,1999,38
51671,16E061123,25 - 34 years,2009,18
51672,16E061123,25 - 34 years,2019,15
51673,16E061123,35 - 44 years,1989,48
51674,16E061123,35 - 44 years,1999,39
51675,16E061123,35 - 44 years,2009,26
51676,16E061123,35 - 44 years,2019,16
51677,16E061123,45 - 54 years,1989,95
51678,16E061123,45 - 54 years,1999,47
51679,16E061123,45 - 54 years,2009,34
51680,16E061123,45 - 54 years,2019,22
51681,16E061123,55 - 64 years,1989,100
