primary_key,codes,year,vt_euros
245,111160422,1999,108833
246,111160422,2009,105620
247,111160423,2019,104107
248,111160423,1999,185216
249,111160423,2009,102509
250,111160424,2019,411771
251,111160424,1999,335561
252,111160424,2009,508384
253,111160427,2019,200525
254,111160427,1999,224386
255,111160427,2009,181683
256,111160428,2019,380530
257,111160428,1999,453158
258,111160428,2009,427288
259,111160431,2019,136195
260,111160431,1999,183442
261,111160431,2009,110685
262,111160434,2019,262677
263,111160434,1999,370855
264,111160434,2009,249369
265,111160435,2019,349531
266,111160435,1999,462416
267,111160435,2009,326217
268,111160436,2019,918774
269,111160436,1999,570616
270,111160436,2009,512046
271,111160437,2019,438222
272,111160437,1999,462552
273,111160437,2009,350499
274,111160438,2019,764644
275,111160438,1999,518527
276,111160438,2009,487903
277,111160439,2019,483945
278,111160439,1999,355883
279,111160439,2009,312662
280,111160440,2019,133634
281,111160440,1999,136743
282,111160440,2009,96905
283,1111605,2019,5383718
284,1111605,1999,8448622
285,1111605,2009,5377308
286,111160501,2019,60168
287,111160501,1999,225821
288,111160501,2009,141070
289,111160503,2019,170437
290,111160503,1999,427753
291,111160503,2009,216002
292,111160505,2019,99246
293,111160505,1999,199386
294,111160505,2009,119484
295,111160507,2019,237463
296,111160507,1999,425526
297,111160507,2009,369881
298,111160510,2019,150463
299,111160510,1999,297866
300,111160510,2009,167252
301,111160513,2019,195119
302,111160513,1999,162252
303,111160513,2009,492130
304,111160514,2019,199169
305,111160514,1999,313719
306,111160514,2009,195403
307,111160515,2019,163718
308,111160515,1999,289466
309,111160515,2009,232570
310,111160519,2019,988805
311,111160519,1999,2431755
312,111160519,2009,682443
313,111160520,2019,176999
314,111160520,1999,443558
315,111160520,2009,195229
316,111160522,2019,832271
317,111160522,1999,625826
318,111160522,2009,412560
319,111160523,2019,346269
320,111160523,1999,294519
321,111160523,2009,150497
322,111160524,2019,1136038
323,111160524,1999,703820
324,111160524,2009,686884
325,111160525,2019,284157
326,111160525,1999,815613
327,111160525,2009,897944
328,111160526,2019,172695
329,111160526,1999,613305
330,111160526,2009,215810
331,111160521,2019,170702
332,111160521,1999,178437
333,111160521,2009,202149
334,1111606,2019,4831458
335,1111606,1999,4704597
336,1111606,2009,3491409
337,111160601,2019,172956
338,111160601,1999,201951
339,111160601,2009,182444
340,111160602,2019,102083
341,111160602,1999,191570
342,111160602,2009,163710
343,111160603,2019,235388
344,111160603,1999,330855
345,111160603,2009,173388
346,111160604,2019,137847
347,111160604,1999,375500
348,111160604,2009,180720
349,111160606,2019,137446
350,111160606,1999,131749
351,111160606,2009,85466
352,111160611,2019,450680
353,111160611,1999,447152
354,111160611,2009,243138
355,111160612,2019,514131
356,111160612,1999,287602
357,111160612,2009,189980
358,111160613,2019,77837
359,111160613,1999,107042
360,111160613,2009,117191
361,111160614,2019,438129
362,111160614,1999,363354
363,111160614,2009,433676
364,111160619,2019,185929
365,111160619,1999,159355
366,111160619,2009,181064
367,111160626,2019,546514
368,111160626,1999,345876
369,111160626,2009,407930
370,111160627,2019,469246
371,111160627,1999,401406
372,111160627,2009,305952
373,111160628,2019,729673
374,111160628,1999,793228
375,111160628,2009,514099
376,111160629,2019,121867
377,111160629,1999,104687
378,111160629,2009,116805
379,111160630,2019,193498
380,111160630,1999,264085
381,111160630,2009,120823
382,111160623,2019,95661
383,111160623,1999,102523
384,111160623,2009,37555
385,111160624,2019,222573
386,111160624,1999,96662
387,111160624,2009,37466
388,1111607,2019,20001117
389,1111607,1999,23081897
390,1111607,2009,17322659
391,111160701,2019,276648
392,111160701,1999,411849
393,111160701,2009,579625
394,111160752,2019,419611
395,111160752,1999,352621
396,111160752,2009,286423
397,111160704,2019,681511
398,111160704,1999,715473
399,111160704,2009,510340
400,111160753,2019,1362009
401,111160753,1999,1342932
402,111160753,2009,1120533
403,111160754,2019,777238
404,111160754,1999,1252488
405,111160754,2009,974992
406,111160755,2019,271255
407,111160755,1999,473768
408,111160755,2009,157244
409,111160707,2019,495624
410,111160707,1999,415957
411,111160707,2009,384790
412,111160708,2019,279971
413,111160708,1999,269024
414,111160708,2009,367901
415,111160709,2019,41186
416,111160709,1999,90614
417,111160709,2009,106096
418,111160710,2019,153097
419,111160710,1999,239373
420,111160710,2009,118924
421,111160756,2019,577968
422,111160756,1999,741372
423,111160756,2009,480267
424,111160757,2019,605067
425,111160757,1999,1008989
426,111160757,2009,689246
427,111160713,2019,384255
428,111160713,1999,406458
429,111160713,2009,285775
