primary_key,codes,Livestock,year,No_und
376,111160109,Poultry,2019,551
377,111160109,Rabbits,1989,60
378,111160109,Rabbits,1999,261
379,111160109,Rabbits,2009,23
380,111160109,Rabbits,2019,32
381,111160109,Inhabited hives and traditional cork hives,1989,1
382,111160109,Inhabited hives and traditional cork hives,1999,
383,111160109,Inhabited hives and traditional cork hives,2009,
384,111160109,Inhabited hives and traditional cork hives,2019,450
385,111160113,Cattle,1989,1048
386,111160113,Cattle,1999,1199
387,111160113,Cattle,2009,1721
388,111160113,Cattle,2019,2170
389,111160113,Pigs,1989,67
390,111160113,Pigs,1999,5
391,111160113,Pigs,2009,14
392,111160113,Pigs,2019,12
393,111160113,Sheep,1989,31
394,111160113,Sheep,1999,49
395,111160113,Sheep,2009,60
396,111160113,Sheep,2019,11
397,111160113,Goats,1989,1239
398,111160113,Goats,1999,834
399,111160113,Goats,2009,16
400,111160113,Goats,2019,367
401,111160113,Equidae,1989,28
402,111160113,Equidae,1999,120
403,111160113,Equidae,2009,161
404,111160113,Equidae,2019,15
405,111160113,Poultry,1989,1146
406,111160113,Poultry,1999,713
407,111160113,Poultry,2009,881
408,111160113,Poultry,2019,462
409,111160113,Rabbits,1989,12
410,111160113,Rabbits,1999,40
411,111160113,Rabbits,2009,161
412,111160113,Rabbits,2019,111
413,111160113,Inhabited hives and traditional cork hives,1989,303
414,111160113,Inhabited hives and traditional cork hives,1999,3
415,111160113,Inhabited hives and traditional cork hives,2009,27
416,111160113,Inhabited hives and traditional cork hives,2019,77
417,111160115,Cattle,1989,454
418,111160115,Cattle,1999,438
419,111160115,Cattle,2009,494
420,111160115,Cattle,2019,780
421,111160115,Pigs,1989,71
422,111160115,Pigs,1999,26
423,111160115,Pigs,2009,11
424,111160115,Pigs,2019,2
425,111160115,Sheep,1989,666
426,111160115,Sheep,1999,1033
427,111160115,Sheep,2009,761
428,111160115,Sheep,2019,358
429,111160115,Goats,1989,633
430,111160115,Goats,1999,945
431,111160115,Goats,2009,1073
432,111160115,Goats,2019,756
433,111160115,Equidae,1989,15
434,111160115,Equidae,1999,40
435,111160115,Equidae,2009,128
436,111160115,Equidae,2019,126
437,111160115,Poultry,1989,2307
438,111160115,Poultry,1999,2285
439,111160115,Poultry,2009,1480
440,111160115,Poultry,2019,1065
441,111160115,Rabbits,1989,90
442,111160115,Rabbits,1999,240
443,111160115,Rabbits,2009,285
444,111160115,Rabbits,2019,162
445,111160115,Inhabited hives and traditional cork hives,1989,13
446,111160115,Inhabited hives and traditional cork hives,1999,15
447,111160115,Inhabited hives and traditional cork hives,2009,
448,111160115,Inhabited hives and traditional cork hives,2019,22
449,111160142,Cattle,1989,101
450,111160142,Cattle,1999,71
451,111160142,Cattle,2009,35
452,111160142,Cattle,2019,7
453,111160142,Pigs,1989,36
454,111160142,Pigs,1999,19
455,111160142,Pigs,2009,6
456,111160142,Pigs,2019,2
457,111160142,Sheep,1989,23
458,111160142,Sheep,1999,35
459,111160142,Sheep,2009,46
460,111160142,Sheep,2019,89
461,111160142,Goats,1989,11
462,111160142,Goats,1999,8
463,111160142,Goats,2009,7
464,111160142,Goats,2019,2
465,111160142,Equidae,1989,
466,111160142,Equidae,1999,
467,111160142,Equidae,2009,
468,111160142,Equidae,2019,1
469,111160142,Poultry,1989,1614
470,111160142,Poultry,1999,922
471,111160142,Poultry,2009,801
472,111160142,Poultry,2019,434
