primary_key,codes,legal_form,year,area_ha
41,11,Fallow land comissions,1989,45889
42,11,Fallow land comissions,1999,68456
43,11,Fallow land comissions,2009,125558
44,11,Fallow land comissions,2019,130481
45,11,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,3507
46,11,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,6569
47,11,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,5881
48,11,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,5266
49,111,Natural person (sole holder),1989,48717
50,111,Natural person (sole holder),1999,30700
51,111,Natural person (sole holder),2009,24205
52,111,Natural person (sole holder),2019,21081
53,111,Group of natural persons (group holding),1989,1930
54,111,Group of natural persons (group holding),1999,541
55,111,Group of natural persons (group holding),2009,1312
56,111,Group of natural persons (group holding),2019,2408
57,111,Fallow land comissions,1989,35319
58,111,Fallow land comissions,1999,32973
59,111,Fallow land comissions,2009,46553
60,111,Fallow land comissions,2019,46115
61,111,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,1110
62,111,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,4061
63,111,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,136
64,111,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,1295
65,1111601,Natural person (sole holder),1989,8238
66,1111601,Natural person (sole holder),1999,5409
67,1111601,Natural person (sole holder),2009,3933
68,1111601,Natural person (sole holder),2019,3654
69,1111601,Group of natural persons (group holding),1989,16
70,1111601,Group of natural persons (group holding),1999,32
71,1111601,Group of natural persons (group holding),2009,95
72,1111601,Group of natural persons (group holding),2019,212
73,1111601,Fallow land comissions,1989,1523
74,1111601,Fallow land comissions,1999,11079
75,1111601,Fallow land comissions,2009,14428
76,1111601,Fallow land comissions,2019,17038
77,1111601,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,22
78,1111601,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,155
79,1111601,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,21
80,1111601,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,3
81,111160101,Natural person (sole holder),1989,140
82,111160101,Natural person (sole holder),1999,53
83,111160101,Natural person (sole holder),2009,70
84,111160101,Natural person (sole holder),2019,39
85,111160101,Group of natural persons (group holding),1989,
86,111160101,Group of natural persons (group holding),1999,
87,111160101,Group of natural persons (group holding),2009,
88,111160101,Group of natural persons (group holding),2019,
89,111160101,Fallow land comissions,1989,6
90,111160101,Fallow land comissions,1999,26
91,111160101,Fallow land comissions,2009,22
92,111160101,Fallow land comissions,2019,14
93,111160101,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
94,111160101,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
95,111160101,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
96,111160101,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
97,111160102,Natural person (sole holder),1989,84
98,111160102,Natural person (sole holder),1999,78
99,111160102,Natural person (sole holder),2009,70
100,111160102,Natural person (sole holder),2019,65
101,111160102,Group of natural persons (group holding),1989,
102,111160102,Group of natural persons (group holding),1999,
103,111160102,Group of natural persons (group holding),2009,
104,111160102,Group of natural persons (group holding),2019,1
105,111160102,Fallow land comissions,1989,2
106,111160102,Fallow land comissions,1999,82
107,111160102,Fallow land comissions,2009,45
108,111160102,Fallow land comissions,2019,30
109,111160102,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
110,111160102,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
111,111160102,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
112,111160102,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
113,111160104,Natural person (sole holder),1989,135
114,111160104,Natural person (sole holder),1999,57
115,111160104,Natural person (sole holder),2009,56
116,111160104,Natural person (sole holder),2019,58
117,111160104,Group of natural persons (group holding),1989,
118,111160104,Group of natural persons (group holding),1999,
119,111160104,Group of natural persons (group holding),2009,
120,111160104,Group of natural persons (group holding),2019,
121,111160104,Fallow land comissions,1989,14
122,111160104,Fallow land comissions,1999,
123,111160104,Fallow land comissions,2009,
124,111160104,Fallow land comissions,2019,
125,111160104,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
126,111160104,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
127,111160104,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
128,111160104,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
129,111160105,Natural person (sole holder),1989,169
130,111160105,Natural person (sole holder),1999,102
131,111160105,Natural person (sole holder),2009,24
132,111160105,Natural person (sole holder),2019,38
133,111160105,Group of natural persons (group holding),1989,
134,111160105,Group of natural persons (group holding),1999,
135,111160105,Group of natural persons (group holding),2009,
136,111160105,Group of natural persons (group holding),2019,
137,111160105,Fallow land comissions,1989,300
138,111160105,Fallow land comissions,1999,2040
139,111160105,Fallow land comissions,2009,1570
140,111160105,Fallow land comissions,2019,1203
141,111160105,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
