primary_key,Codes,year,value€
322,111160523,1999,"5354,9"
323,111160523,2009,"2687,5"
324,111160523,2019,"6295,8"
325,111160524,1999,5332
326,111160524,2009,"5676,7"
327,111160524,2019,"12085,5"
328,111160525,1999,"8156,1"
329,111160525,2009,"9655,3"
330,111160525,2019,"4305,4"
331,111160526,1999,10395
332,111160526,2009,4496
333,111160526,2019,"4544,6"
334,111160521,1999,"4822,6"
335,111160521,2009,"5945,6"
336,111160521,2019,"4613,6"
337,1111606,1999,"4189,3"
338,1111606,2009,"4206,5"
339,1111606,2019,"5704,2"
340,111160601,1999,"3014,2"
341,111160601,2009,"3200,8"
342,111160601,2019,"3088,5"
343,111160602,1999,"3089,8"
344,111160602,2009,"3274,2"
345,111160602,2019,"3002,5"
346,111160603,1999,"4659,9"
347,111160603,2009,"3769,3"
348,111160603,2019,"3097,2"
349,111160604,1999,"11734,4"
350,111160604,2009,"5647,5"
351,111160604,2019,"5743,6"
352,111160606,1999,3875
353,111160606,2009,"4748,1"
354,111160606,2019,"4908,8"
355,111160611,1999,"3548,8"
356,111160611,2009,"3424,5"
357,111160611,2019,3852
358,111160612,1999,"3268,2"
359,111160612,2009,3333
360,111160612,2019,"9700,6"
361,111160613,1999,"3345,1"
362,111160613,2009,"5580,5"
363,111160613,2019,"5559,8"
364,111160614,1999,"7569,9"
365,111160614,2009,"13989,6"
366,111160614,2019,12518
367,111160619,1999,"2378,4"
368,111160619,2009,"2624,1"
369,111160619,2019,"2905,1"
370,111160626,1999,"3424,5"
371,111160626,2009,"4339,7"
372,111160626,2019,"6747,1"
373,111160627,1999,"4054,6"
374,111160627,2009,"4191,1"
375,111160627,2019,"6900,7"
376,111160628,1999,"7483,3"
377,111160628,2009,"5469,1"
378,111160628,2019,"7680,8"
379,111160629,1999,"3609,9"
380,111160629,2009,"3767,9"
381,111160629,2019,"4874,7"
382,111160630,1999,"2563,9"
383,111160630,2009,"2119,7"
384,111160630,2019,"4607,1"
385,111160623,1999,"4100,9"
386,111160623,2009,"2682,5"
387,111160623,2019,"5978,8"
388,111160624,1999,"2929,2"
389,111160624,2009,"2497,8"
390,111160624,2019,"11714,4"
391,1111607,1999,"6189,8"
392,1111607,2009,"6099,5"
393,1111607,2019,"7918,1"
394,111160701,1999,"3403,7"
395,111160701,2009,"6512,6"
396,111160701,2019,"3640,1"
397,111160752,1999,"14692,5"
398,111160752,2009,"17901,4"
399,111160752,2019,"14986,1"
400,111160704,1999,"5222,4"
401,111160704,2009,"5547,2"
402,111160704,2019,"7025,9"
403,111160753,1999,"9731,4"
404,111160753,2009,"8893,1"
