primary_key,codes,Temp_crop,year,area_ha
247,111160308,Total,2009,30
248,111160308,Total,2019,6
249,111160311,Total,1989,829
250,111160311,Total,1999,105
251,111160311,Total,2009,46
252,111160311,Total,2019,6
253,111160313,Total,1989,134
254,111160313,Total,1999,43
255,111160313,Total,2009,27
256,111160313,Total,2019,2
257,111160317,Total,1989,237
258,111160317,Total,1999,101
259,111160317,Total,2009,55
260,111160317,Total,2019,5
261,111160319,Total,1989,184
262,111160319,Total,1999,75
263,111160319,Total,2009,18
264,111160319,Total,2019,23
265,111160320,Total,1989,347
266,111160320,Total,1999,72
267,111160320,Total,2009,26
268,111160320,Total,2019,5
269,111160321,Total,1989,399
270,111160321,Total,1999,132
271,111160321,Total,2009,40
272,111160321,Total,2019,11
273,111160322,Total,1989,118
274,111160322,Total,1999,35
275,111160322,Total,2009,15
276,111160322,Total,2019,3
277,111160323,Total,1989,328
278,111160323,Total,1999,71
279,111160323,Total,2009,60
280,111160323,Total,2019,10
281,1111604,Total,1989,7891
282,1111604,Total,1999,2665
283,1111604,Total,2009,1935
284,1111604,Total,2019,638
285,111160401,Total,1989,264
286,111160401,Total,1999,82
287,111160401,Total,2009,30
288,111160401,Total,2019,18
289,111160404,Total,1989,333
290,111160404,Total,1999,99
291,111160404,Total,2009,91
292,111160404,Total,2019,32
293,111160405,Total,1989,240
294,111160405,Total,1999,54
295,111160405,Total,2009,53
296,111160405,Total,2019,14
297,111160406,Total,1989,157
298,111160406,Total,1999,89
299,111160406,Total,2009,49
300,111160406,Total,2019,11
301,111160407,Total,1989,196
302,111160407,Total,1999,54
303,111160407,Total,2009,49
304,111160407,Total,2019,1
305,111160410,Total,1989,125
306,111160410,Total,1999,35
307,111160410,Total,2009,29
308,111160410,Total,2019,15
309,111160411,Total,1989,572
310,111160411,Total,1999,194
311,111160411,Total,2009,132
312,111160411,Total,2019,52
313,111160415,Total,1989,1033
314,111160415,Total,1999,426
315,111160415,Total,2009,323
316,111160415,Total,2019,107
317,111160418,Total,1989,296
318,111160418,Total,1999,104
319,111160418,Total,2009,87
320,111160418,Total,2019,7
321,111160420,Total,1989,372
322,111160420,Total,1999,184
323,111160420,Total,2009,129
324,111160420,Total,2019,51
325,111160421,Total,1989,207
326,111160421,Total,1999,49
327,111160421,Total,2009,31
328,111160421,Total,2019,5
329,111160422,Total,1989,151
330,111160422,Total,1999,57
331,111160422,Total,2009,41
332,111160422,Total,2019,7
333,111160423,Total,1989,350
334,111160423,Total,1999,59
335,111160423,Total,2009,35
336,111160423,Total,2019,1
337,111160424,Total,1989,560
338,111160424,Total,1999,167
339,111160424,Total,2009,137
340,111160424,Total,2019,54
341,111160427,Total,1989,139
342,111160427,Total,1999,88
343,111160427,Total,2009,51
344,111160427,Total,2019,8
345,111160428,Total,1989,886
346,111160428,Total,1999,184
347,111160428,Total,2009,142
348,111160428,Total,2019,48
349,111160431,Total,1989,218
350,111160431,Total,1999,71
351,111160431,Total,2009,28
352,111160431,Total,2019,9
353,111160434,Total,1989,347
354,111160434,Total,1999,119
355,111160434,Total,2009,76
356,111160434,Total,2019,56
357,111160435,Total,1989,285
358,111160435,Total,1999,79
359,111160435,Total,2009,75
360,111160435,Total,2019,10
361,111160436,Total,1989,346
362,111160436,Total,1999,102
363,111160436,Total,2009,71
364,111160436,Total,2019,49
365,111160437,Total,1989,303
366,111160437,Total,1999,115
367,111160437,Total,2009,136
368,111160437,Total,2019,12
369,111160438,Total,1989,136
370,111160438,Total,1999,64
371,111160438,Total,2009,32
372,111160438,Total,2019,12
373,111160439,Total,1989,250
374,111160439,Total,1999,163
375,111160439,Total,2009,94
376,111160439,Total,2019,54
377,111160440,Total,1989,125
378,111160440,Total,1999,26
