primary_key,codes,Temp_crop,year,area_ha
2975,11A131633,Total,2009,356
2976,11A131633,Total,2019,280
2977,11A131634,Total,1989,542
2978,11A131634,Total,1999,590
2979,11A131634,Total,2009,485
2980,11A131634,Total,2019,504
2981,11A131635,Total,1989,1486
2982,11A131635,Total,1999,1672
2983,11A131635,Total,2009,1828
2984,11A131635,Total,2019,1709
2985,11A131636,Total,1989,686
2986,11A131636,Total,1999,701
2987,11A131636,Total,2009,784
2988,11A131636,Total,2019,691
2989,11A131637,Total,1989,608
2990,11A131637,Total,1999,524
2991,11A131637,Total,2009,621
2992,11A131637,Total,2019,494
2993,11A131627,Total,1989,324
2994,11A131627,Total,1999,325
2995,11A131627,Total,2009,271
2996,11A131627,Total,2019,273
2997,11A131628,Total,1989,310
2998,11A131628,Total,1999,176
2999,11A131628,Total,2009,184
3000,11A131628,Total,2019,154
3001,11A131630,Total,1989,347
3002,11A131630,Total,1999,319
3003,11A131630,Total,2009,184
3004,11A131630,Total,2019,213
3005,11A1317,Total,1989,3781
3006,11A1317,Total,1999,1736
3007,11A1317,Total,2009,941
3008,11A1317,Total,2019,719
3009,11A131701,Total,1989,138
3010,11A131701,Total,1999,65
3011,11A131701,Total,2009,61
3012,11A131701,Total,2019,46
3013,11A131702,Total,1989,202
3014,11A131702,Total,1999,106
3015,11A131702,Total,2009,26
3016,11A131702,Total,2019,28
3017,11A131703,Total,1989,50
3018,11A131703,Total,1999,35
3019,11A131703,Total,2009,6
3020,11A131703,Total,2019,6
3021,11A131704,Total,1989,144
3022,11A131704,Total,1999,70
3023,11A131704,Total,2009,23
3024,11A131704,Total,2019,15
3025,11A131709,Total,1989,114
3026,11A131709,Total,1999,39
3027,11A131709,Total,2009,11
3028,11A131709,Total,2019,5
3029,11A131712,Total,1989,147
3030,11A131712,Total,1999,63
3031,11A131712,Total,2009,38
3032,11A131712,Total,2019,52
3033,11A131717,Total,1989,114
3034,11A131717,Total,1999,57
3035,11A131717,Total,2009,56
3036,11A131717,Total,2019,66
3037,11A131725,Total,1989,243
3038,11A131725,Total,1999,106
3039,11A131725,Total,2009,64
3040,11A131725,Total,2019,30
3041,11A131726,Total,1989,324
3042,11A131726,Total,1999,230
3043,11A131726,Total,2009,117
3044,11A131726,Total,2019,98
3045,11A131727,Total,1989,188
3046,11A131727,Total,1999,78
3047,11A131727,Total,2009,29
3048,11A131727,Total,2019,27
3049,11A131728,Total,1989,930
3050,11A131728,Total,1999,331
3051,11A131728,Total,2009,204
3052,11A131728,Total,2019,135
3053,11A131729,Total,1989,761
3054,11A131729,Total,1999,388
3055,11A131729,Total,2009,218
3056,11A131729,Total,2019,177
3057,11A131730,Total,1989,67
3058,11A131730,Total,1999,
3059,11A131730,Total,2009,5
3060,11A131730,Total,2019,
3061,11A131731,Total,1989,210
3062,11A131731,Total,1999,110
3063,11A131731,Total,2009,72
3064,11A131731,Total,2019,22
3065,11A131723,Total,1989,149
3066,11A131723,Total,1999,59
3067,11A131723,Total,2009,11
3068,11A131723,Total,2019,11
3069,11B,Total,1989,61504
3070,11B,Total,1999,41357
3071,11B,Total,2009,24810
3072,11B,Total,2019,14600
3073,11B1702,Total,1989,5273
3074,11B1702,Total,1999,3460
3075,11B1702,Total,2009,2361
3076,11B1702,Total,2019,1349
3077,11B170217,Total,1989,809
3078,11B170217,Total,1999,689
3079,11B170217,Total,2009,405
3080,11B170217,Total,2019,250
3081,11B170218,Total,1989,494
3082,11B170218,Total,1999,500
3083,11B170218,Total,2009,381
3084,11B170218,Total,2019,250
3085,11B170203,Total,1989,1176
3086,11B170203,Total,1999,618
3087,11B170203,Total,2009,386
3088,11B170203,Total,2019,261
3089,11B170219,Total,1989,398
3090,11B170219,Total,1999,232
3091,11B170219,Total,2009,168
3092,11B170219,Total,2019,96
3093,11B170220,Total,1989,357
3094,11B170220,Total,1999,248
3095,11B170220,Total,2009,197
3096,11B170220,Total,2019,88
3097,11B170208,Total,1989,205
3098,11B170208,Total,1999,115
3099,11B170208,Total,2009,135
3100,11B170208,Total,2019,41
3101,11B170210,Total,1989,268
3102,11B170210,Total,1999,105
3103,11B170210,Total,2009,98
3104,11B170210,Total,2019,48
3105,11B170213,Total,1989,169
3106,11B170213,Total,1999,164
3107,11B170213,Total,2009,95
3108,11B170213,Total,2019,38
3109,11B170215,Total,1989,574
3110,11B170215,Total,1999,293
3111,11B170215,Total,2009,260
3112,11B170215,Total,2019,87
3113,11B170221,Total,1989,824
3114,11B170221,Total,1999,497
3115,11B170221,Total,2009,236
3116,11B170221,Total,2019,190
3117,11B1703,Total,1989,20124
3118,11B1703,Total,1999,13745
3119,11B1703,Total,2009,8912
3120,11B1703,Total,2019,6193
3121,11B170301,Total,1989,1448
3122,11B170301,Total,1999,897
3123,11B170301,Total,2009,554
3124,11B170301,Total,2019,430
3125,11B170302,Total,1989,246
3126,11B170302,Total,1999,173
3127,11B170302,Total,2009,119
3128,11B170302,Total,2019,82
3129,11B170305,Total,1989,255
3130,11B170305,Total,1999,142
3131,11B170305,Total,2009,88
3132,11B170305,Total,2019,66
3133,11B170309,Total,1989,935
3134,11B170309,Total,1999,695
3135,11B170309,Total,2009,513
3136,11B170309,Total,2019,280
3137,11B170310,Total,1989,168
3138,11B170310,Total,1999,148
3139,11B170310,Total,2009,80
3140,11B170310,Total,2019,97
3141,11B170312,Total,1989,723
3142,11B170312,Total,1999,542
3143,11B170312,Total,2009,244
3144,11B170312,Total,2019,164
3145,11B170313,Total,1989,484
3146,11B170313,Total,1999,328
3147,11B170313,Total,2009,196
3148,11B170313,Total,2019,132
3149,11B170314,Total,1989,341
3150,11B170314,Total,1999,206
3151,11B170314,Total,2009,163
3152,11B170314,Total,2019,107
3153,11B170316,Total,1989,571
3154,11B170316,Total,1999,381
3155,11B170316,Total,2009,483
3156,11B170316,Total,2019,343
3157,11B170317,Total,1989,527
3158,11B170317,Total,1999,191
3159,11B170317,Total,2009,109
3160,11B170317,Total,2019,79
3161,11B170318,Total,1989,1546
3162,11B170318,Total,1999,1038
3163,11B170318,Total,2009,614
3164,11B170318,Total,2019,367
3165,11B170320,Total,1989,171
3166,11B170320,Total,1999,261
3167,11B170320,Total,2009,182
3168,11B170320,Total,2019,257
3169,11B170321,Total,1989,327
3170,11B170321,Total,1999,344
3171,11B170321,Total,2009,132
3172,11B170321,Total,2019,172
3173,11B170322,Total,1989,324
3174,11B170322,Total,1999,228
3175,11B170322,Total,2009,185
3176,11B170322,Total,2019,112
3177,11B170353,Total,1989,938
3178,11B170353,Total,1999,877
3179,11B170353,Total,2009,515
3180,11B170353,Total,2019,293
3181,11B170324,Total,1989,395
3182,11B170324,Total,1999,406
3183,11B170324,Total,2009,273
3184,11B170324,Total,2019,200
3185,11B170327,Total,1989,494
3186,11B170327,Total,1999,259
3187,11B170327,Total,2009,133
3188,11B170327,Total,2019,76
3189,11B170329,Total,1989,593
3190,11B170329,Total,1999,234
3191,11B170329,Total,2009,177
3192,11B170329,Total,2019,68
3193,11B170350,Total,1989,128
3194,11B170350,Total,1999,73
3195,11B170350,Total,2009,25
3196,11B170350,Total,2019,8
3197,11B170330,Total,1989,330
3198,11B170330,Total,1999,176
3199,11B170330,Total,2009,180
3200,11B170330,Total,2019,104
3201,11B170331,Total,1989,322
3202,11B170331,Total,1999,221
3203,11B170331,Total,2009,222
3204,11B170331,Total,2019,180
3205,11B170333,Total,1989,760
3206,11B170333,Total,1999,517
3207,11B170333,Total,2009,303
3208,11B170333,Total,2019,142
3209,11B170334,Total,1989,637
3210,11B170334,Total,1999,495
3211,11B170334,Total,2009,412
3212,11B170334,Total,2019,187
3213,11B170340,Total,1989,359
3214,11B170340,Total,1999,252
3215,11B170340,Total,2009,118
3216,11B170340,Total,2019,117
3217,11B170354,Total,1989,724
3218,11B170354,Total,1999,470
3219,11B170354,Total,2009,487
3220,11B170354,Total,2019,253
3221,11B170355,Total,1989,780
3222,11B170355,Total,1999,648
3223,11B170355,Total,2009,342
3224,11B170355,Total,2019,243
3225,11B170356,Total,1989,816
3226,11B170356,Total,1999,505
3227,11B170356,Total,2009,283
3228,11B170356,Total,2019,142
3229,11B170357,Total,1989,548
3230,11B170357,Total,1999,270
3231,11B170357,Total,2009,102
3232,11B170357,Total,2019,58
3233,11B170358,Total,1989,151
3234,11B170358,Total,1999,87
3235,11B170358,Total,2009,98
3236,11B170358,Total,2019,71
3237,11B170359,Total,1989,651
3238,11B170359,Total,1999,384
3239,11B170359,Total,2009,194
3240,11B170359,Total,2019,140
3241,11B170360,Total,1989,1111
3242,11B170360,Total,1999,765
3243,11B170360,Total,2009,569
3244,11B170360,Total,2019,431
3245,11B170341,Total,1989,254
3246,11B170341,Total,1999,181
3247,11B170341,Total,2009,92
3248,11B170341,Total,2019,65
3249,11B170361,Total,1989,341
3250,11B170361,Total,1999,220
3251,11B170361,Total,2009,114
3252,11B170361,Total,2019,121
3253,11B170343,Total,1989,406
3254,11B170343,Total,1999,324
3255,11B170343,Total,2009,182
3256,11B170343,Total,2019,168
3257,11B170344,Total,1989,93
3258,11B170344,Total,1999,75
3259,11B170344,Total,2009,49
3260,11B170344,Total,2019,87
3261,11B170345,Total,1989,569
3262,11B170345,Total,1999,294
3263,11B170345,Total,2009,154
3264,11B170345,Total,2019,138
3265,11B170347,Total,1989,193
3266,11B170347,Total,1999,127
3267,11B170347,Total,2009,49
3268,11B170347,Total,2019,56
3269,11B170349,Total,1989,154
3270,11B170349,Total,1999,170
3271,11B170349,Total,2009,63
3272,11B170349,Total,2019,69
3273,11B170348,Total,1989,313
3274,11B170348,Total,1999,142
3275,11B170348,Total,2009,110
3276,11B170348,Total,2019,90
3277,11B1706,Total,1989,11093
3278,11B1706,Total,1999,9129
3279,11B1706,Total,2009,5858
3280,11B1706,Total,2019,3388
3281,11B170601,Total,1989,356
3282,11B170601,Total,1999,261
3283,11B170601,Total,2009,195
3284,11B170601,Total,2019,81
3285,11B170603,Total,1989,536
3286,11B170603,Total,1999,653
3287,11B170603,Total,2009,376
3288,11B170603,Total,2019,246
3289,11B170604,Total,1989,1623
3290,11B170604,Total,1999,1489
3291,11B170604,Total,2009,1223
3292,11B170604,Total,2019,514
3293,11B170607,Total,1989,120
3294,11B170607,Total,1999,50
3295,11B170607,Total,2009,52
3296,11B170607,Total,2019,23
3297,11B170609,Total,1989,107
3298,11B170609,Total,1999,125
3299,11B170609,Total,2009,120
3300,11B170609,Total,2019,31
3301,11B170612,Total,1989,255
3302,11B170612,Total,1999,174
3303,11B170612,Total,2009,93
3304,11B170612,Total,2019,58
3305,11B170616,Total,1989,504
3306,11B170616,Total,1999,526
3307,11B170616,Total,2009,325
3308,11B170616,Total,2019,208
3309,11B170618,Total,1989,330
3310,11B170618,Total,1999,460
3311,11B170618,Total,2009,334
3312,11B170618,Total,2019,176
3313,11B170619,Total,1989,186
3314,11B170619,Total,1999,150
3315,11B170619,Total,2009,59
3316,11B170619,Total,2019,45
3317,11B170623,Total,1989,246
3318,11B170623,Total,1999,216
3319,11B170623,Total,2009,111
3320,11B170623,Total,2019,74
3321,11B170625,Total,1989,250
3322,11B170625,Total,1999,106
3323,11B170625,Total,2009,41
3324,11B170625,Total,2019,42
3325,11B170626,Total,1989,686
3326,11B170626,Total,1999,525
3327,11B170626,Total,2009,361
3328,11B170626,Total,2019,187
3329,11B170627,Total,1989,304
3330,11B170627,Total,1999,309
3331,11B170627,Total,2009,140
3332,11B170627,Total,2019,100
3333,11B170629,Total,1989,724
3334,11B170629,Total,1999,549
3335,11B170629,Total,2009,467
3336,11B170629,Total,2019,301
3337,11B170631,Total,1989,175
3338,11B170631,Total,1999,144
3339,11B170631,Total,2009,86
3340,11B170631,Total,2019,78
3341,11B170632,Total,1989,143
3342,11B170632,Total,1999,151
3343,11B170632,Total,2009,82
3344,11B170632,Total,2019,51
3345,11B170636,Total,1989,571
3346,11B170636,Total,1999,390
3347,11B170636,Total,2009,283
3348,11B170636,Total,2019,148
3349,11B170637,Total,1989,614
3350,11B170637,Total,1999,463
3351,11B170637,Total,2009,331
3352,11B170637,Total,2019,189
3353,11B170638,Total,1989,567
3354,11B170638,Total,1999,461
3355,11B170638,Total,2009,290
3356,11B170638,Total,2019,185
3357,11B170639,Total,1989,380
3358,11B170639,Total,1999,208
3359,11B170639,Total,2009,151
3360,11B170639,Total,2019,42
3361,11B170640,Total,1989,490
3362,11B170640,Total,1999,335
3363,11B170640,Total,2009,110
3364,11B170640,Total,2019,89
3365,11B170641,Total,1989,197
3366,11B170641,Total,1999,98
3367,11B170641,Total,2009,41
3368,11B170641,Total,2019,14
3369,11B170642,Total,1989,879
3370,11B170642,Total,1999,704
3371,11B170642,Total,2009,257
3372,11B170642,Total,2019,254
3373,11B170643,Total,1989,613
3374,11B170643,Total,1999,453
3375,11B170643,Total,2009,232
3376,11B170643,Total,2019,203
3377,11B170635,Total,1989,237
3378,11B170635,Total,1999,129
3379,11B170635,Total,2009,97
3380,11B170635,Total,2019,47
3381,11B1709,Total,1989,4289
3382,11B1709,Total,1999,2991
3383,11B1709,Total,2009,1476
3384,11B1709,Total,2019,629
3385,11B170901,Total,1989,187
3386,11B170901,Total,1999,169
3387,11B170901,Total,2009,102
3388,11B170901,Total,2019,90
3389,11B170902,Total,1989,536
3390,11B170902,Total,1999,244
3391,11B170902,Total,2009,79
3392,11B170902,Total,2019,49
3393,11B170906,Total,1989,481
3394,11B170906,Total,1999,151
3395,11B170906,Total,2009,55
3396,11B170906,Total,2019,23
3397,11B170908,Total,1989,1394
3398,11B170908,Total,1999,1153
3399,11B170908,Total,2009,694
3400,11B170908,Total,2019,269
3401,11B170909,Total,1989,1690
3402,11B170909,Total,1999,1275
3403,11B170909,Total,2009,546
3404,11B170909,Total,2019,198
3405,11B1712,Total,1989,14305
3406,11B1712,Total,1999,6618
3407,11B1712,Total,2009,3010
3408,11B1712,Total,2019,1412
3409,11B171201,Total,1989,435
3410,11B171201,Total,1999,186
3411,11B171201,Total,2009,53
3412,11B171201,Total,2019,31
3413,11B171203,Total,1989,446
3414,11B171203,Total,1999,201
3415,11B171203,Total,2009,111
3416,11B171203,Total,2019,53
3417,11B171205,Total,1989,746
3418,11B171205,Total,1999,269
3419,11B171205,Total,2009,112
3420,11B171205,Total,2019,62
3421,11B171206,Total,1989,406
3422,11B171206,Total,1999,180
3423,11B171206,Total,2009,62
3424,11B171206,Total,2019,32
3425,11B171232,Total,1989,850
3426,11B171232,Total,1999,422
3427,11B171232,Total,2009,149
3428,11B171232,Total,2019,56
3429,11B171209,Total,1989,1013
3430,11B171209,Total,1999,546
3431,11B171209,Total,2009,308
3432,11B171209,Total,2019,110
3433,11B171211,Total,1989,186
3434,11B171211,Total,1999,58
3435,11B171211,Total,2009,11
3436,11B171211,Total,2019,6
3437,11B171212,Total,1989,1735
3438,11B171212,Total,1999,837
3439,11B171212,Total,2009,496
3440,11B171212,Total,2019,199
3441,11B171233,Total,1989,803
3442,11B171233,Total,1999,500
3443,11B171233,Total,2009,301
3444,11B171233,Total,2019,111
3445,11B171215,Total,1989,622
3446,11B171215,Total,1999,313
3447,11B171215,Total,2009,97
3448,11B171215,Total,2019,20
3449,11B171216,Total,1989,165
3450,11B171216,Total,1999,67
3451,11B171216,Total,2009,13
3452,11B171216,Total,2019,0
3453,11B171217,Total,1989,543
3454,11B171217,Total,1999,155
3455,11B171217,Total,2009,51
3456,11B171217,Total,2019,60
3457,11B171219,Total,1989,305
3458,11B171219,Total,1999,127
3459,11B171219,Total,2009,35
3460,11B171219,Total,2019,23
3461,11B171220,Total,1989,368
3462,11B171220,Total,1999,199
3463,11B171220,Total,2009,80
3464,11B171220,Total,2019,44
3465,11B171221,Total,1989,670
3466,11B171221,Total,1999,273
3467,11B171221,Total,2009,86
3468,11B171221,Total,2019,46
3469,11B171222,Total,1989,973
3470,11B171222,Total,1999,224
3471,11B171222,Total,2009,63
3472,11B171222,Total,2019,8
3473,11B171223,Total,1989,386
3474,11B171223,Total,1999,230
3475,11B171223,Total,2009,57
3476,11B171223,Total,2019,22
3477,11B171224,Total,1989,563
3478,11B171224,Total,1999,328
3479,11B171224,Total,2009,154
3480,11B171224,Total,2019,33
3481,11B171234,Total,1989,267
3482,11B171234,Total,1999,146
3483,11B171234,Total,2009,85
3484,11B171234,Total,2019,27
3485,11B171235,Total,1989,1017
3486,11B171235,Total,1999,552
3487,11B171235,Total,2009,308
3488,11B171235,Total,2019,302
3489,11B171227,Total,1989,440
3490,11B171227,Total,1999,244
3491,11B171227,Total,2009,97
3492,11B171227,Total,2019,40
3493,11B171236,Total,1989,572
3494,11B171236,Total,1999,203
3495,11B171236,Total,2009,104
3496,11B171236,Total,2019,31
3497,11B171229,Total,1989,173
3498,11B171229,Total,1999,77
3499,11B171229,Total,2009,28
3500,11B171229,Total,2019,8
3501,11B171230,Total,1989,172
3502,11B171230,Total,1999,130
3503,11B171230,Total,2009,37
3504,11B171230,Total,2019,25
3505,11B171231,Total,1989,448
3506,11B171231,Total,1999,151
3507,11B171231,Total,2009,112
3508,11B171231,Total,2019,63
3509,11B1713,Total,1989,6421
3510,11B1713,Total,1999,5414
3511,11B1713,Total,2009,3193
3512,11B1713,Total,2019,1628
3513,11B171302,Total,1989,238
3514,11B171302,Total,1999,226
3515,11B171302,Total,2009,115
3516,11B171302,Total,2019,61
3517,11B171319,Total,1989,565
3518,11B171319,Total,1999,544
3519,11B171319,Total,2009,620
3520,11B171319,Total,2019,290
3521,11B171303,Total,1989,693
3522,11B171303,Total,1999,871
3523,11B171303,Total,2009,531
3524,11B171303,Total,2019,262
3525,11B171304,Total,1989,324
3526,11B171304,Total,1999,216
3527,11B171304,Total,2009,174
3528,11B171304,Total,2019,67
3529,11B171305,Total,1989,363
3530,11B171305,Total,1999,177
3531,11B171305,Total,2009,112
3532,11B171305,Total,2019,68
3533,11B171317,Total,1989,
3534,11B171317,Total,1999,71
3535,11B171317,Total,2009,22
3536,11B171317,Total,2019,19
3537,11B171310,Total,1989,933
3538,11B171310,Total,1999,1111
3539,11B171310,Total,2009,245
3540,11B171310,Total,2019,148
3541,11B171311,Total,1989,914
3542,11B171311,Total,1999,561
3543,11B171311,Total,2009,382
3544,11B171311,Total,2019,221
3545,11B171312,Total,1989,612
3546,11B171312,Total,1999,452
3547,11B171312,Total,2009,276
3548,11B171312,Total,2019,99
3549,11B171320,Total,1989,310
3550,11B171320,Total,1999,257
3551,11B171320,Total,2009,159
3552,11B171320,Total,2019,48
3553,11B171313,Total,1989,188
3554,11B171313,Total,1999,130
3555,11B171313,Total,2009,56
3556,11B171313,Total,2019,57
3557,11B171314,Total,1989,360
3558,11B171314,Total,1999,301
3559,11B171314,Total,2009,205
3560,11B171314,Total,2019,114
3561,11B171315,Total,1989,387
3562,11B171315,Total,1999,192
3563,11B171315,Total,2009,119
3564,11B171315,Total,2019,69
3565,11B171316,Total,1989,535
3566,11B171316,Total,1999,305
3567,11B171316,Total,2009,179
3568,11B171316,Total,2019,104
3569,11C,Total,1989,73840
3570,11C,Total,1999,39085
3571,11C,Total,2009,21721
3572,11C,Total,2019,10885
3573,11C1301,Total,1989,12856
3574,11C1301,Total,1999,6320
3575,11C1301,Total,2009,3310
3576,11C1301,Total,2019,1266
3577,11C130103,Total,1989,353
3578,11C130103,Total,1999,121
3579,11C130103,Total,2009,72
3580,11C130103,Total,2019,19
3581,11C130107,Total,1989,302
3582,11C130107,Total,1999,182
3583,11C130107,Total,2009,91
3584,11C130107,Total,2019,15
3585,11C130112,Total,1989,503
3586,11C130112,Total,1999,250
3587,11C130112,Total,2009,116
3588,11C130112,Total,2019,85
3589,11C130115,Total,1989,109
3590,11C130115,Total,1999,72
3591,11C130115,Total,2009,36
3592,11C130115,Total,2019,10
3593,11C130117,Total,1989,266
3594,11C130117,Total,1999,205
3595,11C130117,Total,2009,93
3596,11C130117,Total,2019,49
3597,11C130134,Total,1989,494
3598,11C130134,Total,1999,367
3599,11C130134,Total,2009,197
3600,11C130134,Total,2019,67
3601,11C130118,Total,1989,247
3602,11C130118,Total,1999,111
3603,11C130118,Total,2009,49
3604,11C130118,Total,2019,12
3605,11C130119,Total,1989,282
3606,11C130119,Total,1999,88
3607,11C130119,Total,2009,29
3608,11C130119,Total,2019,20
3609,11C130120,Total,1989,183
3610,11C130120,Total,1999,91
3611,11C130120,Total,2009,47
3612,11C130120,Total,2019,2
3613,11C130121,Total,1989,321
3614,11C130121,Total,1999,195
3615,11C130121,Total,2009,111
3616,11C130121,Total,2019,15
3617,11C130123,Total,1989,634
3618,11C130123,Total,1999,368
3619,11C130123,Total,2009,210
3620,11C130123,Total,2019,241
3621,11C130126,Total,1989,146
3622,11C130126,Total,1999,29
3623,11C130126,Total,2009,65
3624,11C130126,Total,2019,9
3625,11C130128,Total,1989,196
3626,11C130128,Total,1999,91
3627,11C130128,Total,2009,57
3628,11C130128,Total,2019,8
3629,11C130129,Total,1989,560
3630,11C130129,Total,1999,169
3631,11C130129,Total,2009,76
3632,11C130129,Total,2019,22
3633,11C130135,Total,1989,1596
3634,11C130135,Total,1999,649
3635,11C130135,Total,2009,240
3636,11C130135,Total,2019,86
3637,11C130136,Total,1989,633
3638,11C130136,Total,1999,290
3639,11C130136,Total,2009,202
3640,11C130136,Total,2019,101
3641,11C130141,Total,1989,543
3642,11C130141,Total,1999,419
3643,11C130141,Total,2009,243
3644,11C130141,Total,2019,76
3645,11C130142,Total,1989,966
3646,11C130142,Total,1999,368
3647,11C130142,Total,2009,130
3648,11C130142,Total,2019,32
3649,11C130143,Total,1989,640
3650,11C130143,Total,1999,460
3651,11C130143,Total,2009,254
3652,11C130143,Total,2019,52
3653,11C130144,Total,1989,937
3654,11C130144,Total,1999,430
3655,11C130144,Total,2009,199
3656,11C130144,Total,2019,73
3657,11C130145,Total,1989,729
3658,11C130145,Total,1999,294
3659,11C130145,Total,2009,179
3660,11C130145,Total,2019,69
3661,11C130146,Total,1989,182
3662,11C130146,Total,1999,158
3663,11C130146,Total,2009,94
3664,11C130146,Total,2019,22
3665,11C130148,Total,1989,799
3666,11C130148,Total,1999,361
3667,11C130148,Total,2009,125
3668,11C130148,Total,2019,38
3669,11C130138,Total,1989,271
3670,11C130138,Total,1999,128
3671,11C130138,Total,2009,86
3672,11C130138,Total,2019,35
3673,11C130139,Total,1989,286
3674,11C130139,Total,1999,191
3675,11C130139,Total,2009,112
3676,11C130139,Total,2019,29
3677,11C130147,Total,1989,675
3678,11C130147,Total,1999,235
3679,11C130147,Total,2009,196
3680,11C130147,Total,2019,79
3681,11C1302,Total,1989,5950
3682,11C1302,Total,1999,3335
3683,11C1302,Total,2009,1644
3684,11C1302,Total,2019,582
3685,11C130204,Total,1989,22
3686,11C130204,Total,1999,10
3687,11C130204,Total,2009,7
3688,11C130204,Total,2019,0
3689,11C130205,Total,1989,467
3690,11C130205,Total,1999,205
3691,11C130205,Total,2009,128
3692,11C130205,Total,2019,26
3693,11C130206,Total,1989,332
3694,11C130206,Total,1999,318
3695,11C130206,Total,2009,109
3696,11C130206,Total,2019,77
3697,11C130207,Total,1989,209
3698,11C130207,Total,1999,130
3699,11C130207,Total,2009,97
3700,11C130207,Total,2019,44
3701,11C130208,Total,1989,265
3702,11C130208,Total,1999,272
3703,11C130208,Total,2009,98
3704,11C130208,Total,2019,37
3705,11C130215,Total,1989,390
3706,11C130215,Total,1999,251
3707,11C130215,Total,2009,106
3708,11C130215,Total,2019,16
3709,11C130221,Total,1989,491
3710,11C130221,Total,1999,154
3711,11C130221,Total,2009,57
3712,11C130221,Total,2019,18
3713,11C130222,Total,1989,623
3714,11C130222,Total,1999,196
3715,11C130222,Total,2009,87
3716,11C130222,Total,2019,26
3717,11C130223,Total,1989,1174
3718,11C130223,Total,1999,815
3719,11C130223,Total,2009,533
3720,11C130223,Total,2019,176
3721,11C130224,Total,1989,92
3722,11C130224,Total,1999,94
3723,11C130224,Total,2009,12
3724,11C130224,Total,2019,12
3725,11C130225,Total,1989,542
3726,11C130225,Total,1999,189
3727,11C130225,Total,2009,68
3728,11C130225,Total,2019,24
3729,11C130226,Total,1989,606
3730,11C130226,Total,1999,373
3731,11C130226,Total,2009,167
3732,11C130226,Total,2019,88
3733,11C130219,Total,1989,456
3734,11C130219,Total,1999,175
3735,11C130219,Total,2009,100
3736,11C130219,Total,2019,23
3737,11C130220,Total,1989,280
3738,11C130220,Total,1999,152
3739,11C130220,Total,2009,75
3740,11C130220,Total,2019,16
3741,11C0106,Total,1989,3232
3742,11C0106,Total,1999,1522
3743,11C0106,Total,2009,1168
3744,11C0106,Total,2019,547
3745,11C010602,Total,1989,366
3746,11C010602,Total,1999,133
3747,11C010602,Total,2009,103
3748,11C010602,Total,2019,39
3749,11C010606,Total,1989,612
3750,11C010606,Total,1999,264
3751,11C010606,Total,2009,300
3752,11C010606,Total,2019,183
3753,11C010607,Total,1989,458
3754,11C010607,Total,1999,286
3755,11C010607,Total,2009,142
3756,11C010607,Total,2019,68
3757,11C010608,Total,1989,351
3758,11C010608,Total,1999,108
3759,11C010608,Total,2009,88
3760,11C010608,Total,2019,40
3761,11C010610,Total,1989,618
3762,11C010610,Total,1999,373
3763,11C010610,Total,2009,341
3764,11C010610,Total,2019,144
3765,11C010611,Total,1989,827
3766,11C010611,Total,1999,358
3767,11C010611,Total,2009,193
3768,11C010611,Total,2019,73
3769,11C0305,Total,1989,7622
3770,11C0305,Total,1999,5121
3771,11C0305,Total,2009,2945
3772,11C0305,Total,2019,1282
3773,11C030501,Total,1989,321
3774,11C030501,Total,1999,256
3775,11C030501,Total,2009,132
3776,11C030501,Total,2019,74
3777,11C030502,Total,1989,741
3778,11C030502,Total,1999,399
3779,11C030502,Total,2009,303
3780,11C030502,Total,2019,125
3781,11C030520,Total,1989,464
3782,11C030520,Total,1999,301
3783,11C030520,Total,2009,81
3784,11C030520,Total,2019,67
3785,11C030503,Total,1989,809
3786,11C030503,Total,1999,576
3787,11C030503,Total,2009,427
3788,11C030503,Total,2019,257
3789,11C030508,Total,1989,144
3790,11C030508,Total,1999,54
3791,11C030508,Total,2009,27
3792,11C030508,Total,2019,8
3793,11C030510,Total,1989,411
3794,11C030510,Total,1999,403
3795,11C030510,Total,2009,148
3796,11C030510,Total,2019,48
3797,11C030515,Total,1989,288
3798,11C030515,Total,1999,221
3799,11C030515,Total,2009,97
3800,11C030515,Total,2019,18
3801,11C030517,Total,1989,571
3802,11C030517,Total,1999,471
3803,11C030517,Total,2009,287
3804,11C030517,Total,2019,165
3805,11C030518,Total,1989,523
3806,11C030518,Total,1999,242
3807,11C030518,Total,2009,181
3808,11C030518,Total,2019,49
3809,11C030523,Total,1989,726
3810,11C030523,Total,1999,593
3811,11C030523,Total,2009,334
3812,11C030523,Total,2019,137
3813,11C030524,Total,1989,748
3814,11C030524,Total,1999,351
3815,11C030524,Total,2009,207
3816,11C030524,Total,2019,68
3817,11C030525,Total,1989,434
3818,11C030525,Total,1999,253
3819,11C030525,Total,2009,98
3820,11C030525,Total,2019,23
3821,11C030526,Total,1989,497
3822,11C030526,Total,1999,327
3823,11C030526,Total,2009,249
3824,11C030526,Total,2019,95
3825,11C030527,Total,1989,504
3826,11C030527,Total,1999,424
3827,11C030527,Total,2009,225
3828,11C030527,Total,2019,76
3829,11C030521,Total,1989,441
3830,11C030521,Total,1999,250
3831,11C030521,Total,2009,150
3832,11C030521,Total,2019,72
3833,11C1804,Total,1989,7152
3834,11C1804,Total,1999,3073
3835,11C1804,Total,2009,1713
3836,11C1804,Total,2019,878
3837,11C180403,Total,1989,879
3838,11C180403,Total,1999,485
3839,11C180403,Total,2009,180
3840,11C180403,Total,2019,124
3841,11C180404,Total,1989,241
3842,11C180404,Total,1999,85
3843,11C180404,Total,2009,75
3844,11C180404,Total,2019,9
