primary_key,codes,year_,avr_value_per_ha
218,111160404,2009,"2394,1"
219,111160404,2019,"3566,7"
220,111160405,1999,"2388,4"
221,111160405,2009,"2440,5"
222,111160405,2019,"2295,5"
223,111160406,1999,"2435,8"
224,111160406,2009,"2608,6"
225,111160406,2019,"3411,6"
226,111160407,1999,"2319,6"
227,111160407,2009,"2073,3"
228,111160407,2019,"4766,4"
229,111160410,1999,"3765,5"
230,111160410,2009,"2214,4"
231,111160410,2019,"2882,1"
232,111160411,1999,"1588,4"
233,111160411,2009,"1454,8"
234,111160411,2019,"3303,6"
235,111160415,1999,"842,6"
236,111160415,2009,"1995,4"
237,111160415,2019,"675,5"
238,111160418,1999,"3214,2"
239,111160418,2009,"2243,5"
240,111160418,2019,3144
241,111160420,1999,"2404,3"
242,111160420,2009,"2041,1"
243,111160420,2019,"3505,5"
244,111160421,1999,"3378,2"
245,111160421,2009,"2367,4"
246,111160421,2019,"3130,7"
247,111160422,1999,"903,8"
248,111160422,2009,"875,1"
249,111160422,2019,"3126,2"
250,111160423,1999,"1821,9"
251,111160423,2009,"1497,1"
252,111160423,2019,"3160,5"
253,111160424,1999,"666,5"
254,111160424,2009,"589,6"
255,111160424,2019,"961,4"
256,111160427,1999,"2450,4"
257,111160427,2009,"2703,2"
258,111160427,2019,"2601,9"
259,111160428,1999,790
260,111160428,2009,"537,4"
261,111160428,2019,"771,4"
262,111160431,1999,"2095,8"
263,111160431,2009,795
264,111160431,2019,"2409,7"
265,111160434,1999,"243,1"
266,111160434,2009,"189,1"
267,111160434,2019,"292,9"
268,111160435,1999,"1426,9"
269,111160435,2009,"805,2"
270,111160435,2019,1600
271,111160436,1999,"2592,3"
272,111160436,2009,"2340,8"
273,111160436,2019,"3601,5"
274,111160437,1999,"2131,4"
275,111160437,2009,"2127,6"
276,111160437,2019,1890
277,111160438,1999,"3198,4"
278,111160438,2009,"2675,9"
279,111160438,2019,"3621,7"
280,111160439,1999,"591,3"
281,111160439,2009,"546,7"
282,111160439,2019,"1040,5"
283,111160440,1999,"2601,7"
284,111160440,2009,"2539,4"
285,111160440,2019,"2830,6"
286,1111605,1999,"1932,9"
287,1111605,2009,"1361,9"
288,1111605,2019,"1276,3"
289,111160501,1999,"1332,7"
290,111160501,2009,"960,4"
291,111160501,2019,"242,3"
292,111160503,1999,"1061,9"
293,111160503,2009,"858,6"
294,111160503,2019,"913,1"
295,111160505,1999,"712,7"
296,111160505,2009,"496,2"
297,111160505,2019,"545,3"
298,111160507,1999,"1705,5"
299,111160507,2009,"861,4"
300,111160507,2019,"572,8"
301,111160510,1999,"1301,2"
302,111160510,2009,"1227,4"
303,111160510,2019,"944,2"
304,111160513,1999,"959,1"
305,111160513,2009,"4789,1"
306,111160513,2019,"1946,5"
307,111160514,1999,"1171,9"
308,111160514,2009,"1032,6"
309,111160514,2019,"1319,3"
310,111160515,1999,1781
311,111160515,2009,1686
312,111160515,2019,"1150,2"
313,111160519,1999,23028
314,111160519,2009,"6360,7"
315,111160519,2019,"4319,8"
316,111160520,1999,"2457,3"
317,111160520,2009,"1433,3"
318,111160520,2019,"1436,3"
319,111160522,1999,"1836,8"
320,111160522,2009,"1516,5"
321,111160522,2019,"1312,8"
322,111160523,1999,"2599,2"
323,111160523,2009,"1319,9"
324,111160523,2019,"1864,2"
325,111160524,1999,"1150,8"
326,111160524,2009,"1281,8"
327,111160524,2019,"2427,6"
328,111160525,1999,"1181,6"
329,111160525,2009,"1043,3"
330,111160525,2019,"438,7"
331,111160526,1999,"4305,1"
332,111160526,2009,"1941,8"
333,111160526,2019,"1184,5"
334,111160521,1999,"695,1"
335,111160521,2009,"1146,2"
336,111160521,2019,"851,6"
337,1111606,1999,"436,3"
338,1111606,2009,"911,6"
339,1111606,2019,"572,9"
340,111160601,1999,"1175,2"
341,111160601,2009,"1734,3"
342,111160601,2019,"965,3"
343,111160602,1999,"1711,2"
344,111160602,2009,"1644,8"
345,111160602,2019,"1365,5"
346,111160603,1999,"2033,8"
347,111160603,2009,"1566,7"
348,111160603,2019,"2110,5"
349,111160604,1999,"74,6"
350,111160604,2009,"205,1"
351,111160604,2019,"201,7"
352,111160606,1999,"1702,6"
353,111160606,2009,"1208,5"
354,111160606,2019,"2352,7"
355,111160611,1999,"1959,4"
356,111160611,2009,"1375,5"
357,111160611,2019,"2218,1"
358,111160612,1999,"166,7"
359,111160612,2009,"2489,3"
360,111160612,2019,"156,4"
361,111160613,1999,"1816,1"
362,111160613,2009,"2429,8"
363,111160613,2019,"2131,4"
364,111160614,1999,"2288,6"
365,111160614,2009,"3987,5"
366,111160614,2019,"3146,6"
367,111160619,1999,"1617,2"
368,111160619,2009,"1671,7"
369,111160619,2019,"1596,5"
370,111160626,1999,"1367,6"
371,111160626,2009,"2107,9"
372,111160626,2019,"3003,3"
373,111160627,1999,219
374,111160627,2009,"224,8"
375,111160627,2019,"209,9"
376,111160628,1999,"3234,8"
377,111160628,2009,"3500,8"
378,111160628,2019,"3861,9"
379,111160629,1999,"1594,1"
380,111160629,2009,"2111,8"
