
Statistical table extracted on October 11, 2022 (17:22:02)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;;Sex;;;
;;MF;M;F;
;;Age group;;;
;;Total;;;
;;Relationship;;;
;;Total;;;
;;Level of education;;;
;;Total;;;
;;No. ;No. ;No. ;
;111160914: Freixieiro de Soutelo;435;200;235;
;111160915: Lanheses;736;324;412;
;111160920: Montaria;657;280;377;
;111160922: Mujães;256;122;134;
;111160925: Outeiro;875;414;461;
;111160926: Perre;845;393;452;
;111160928: Santa Marta de Portuzelo;833;394;439;
;111160923: São Romão de Neiva;520;240;280;
;111160941: União das freguesias de Barroselas e Carvoeiro;1544;729;815;
;111160942: União das freguesias de Cardielos e Serreleis;684;330;354;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;2410;1101;1309;
;111160944: União das freguesias de Mazarefes e Vila Fria;751;363;388;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;1249;544;705;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;1557;746;811;
;111160947: União das freguesias de Torre e Vila Mou;661;281;380;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;557;267;290;
;111160938: Vila de Punhe;546;249;297;
;111160935: Vila Franca;697;324;373;
;1111610: Vila Nova de Cerveira;3520;1668;1852;
;111161003: Cornes;250;125;125;
;111161004: Covas;551;251;300;
;111161006: Gondarém;334;147;187;
;111161007: Loivo;258;127;131;
;111161009: Mentrestido;266;131;135;
;111161012: Sapardos;268;134;134;
;111161013: Sopo;271;130;141;
;111161016: União das freguesias de Campos e Vila Meã;471;225;246;
;111161017: União das freguesias de Candemil e Gondar;305;140;165;
;111161018: União das freguesias de Reboreda e Nogueira;398;194;204;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;148;64;84;
;112: Cávado;81869;40440;41429;
;1120301: Amares;6100;2994;3106;
;112030102: Barreiros;263;126;137;
;112030104: Bico;186;88;98;
;112030119: Bouro (Santa Maria);398;191;207;
;112030120: Bouro (Santa Marta);366;174;192;
;112030105: Caires;315;155;160;
