
Statistical table extracted on October 15, 2022 (14:24:24)
http://www.ine.pt



Geographic localization (NUTS -2013);Average value of total standard output by agricultural holding (?) by Geographic localization (NUTS -2013) -  Decennial (1) ;
11A131018: Rebordosa;5703,1;
11A131019: Recarei;2618,3;
11A131020: Sobreira;9309,7;
11A131021: Sobrosa;8110,4;
11A131022: Vandoma;4064,6;
11A131024: Vilela;6678;
11A1312: Porto;11856,9;
11A131202: Bonfim;2600,3;
11A131203: Campanhã;13781,2;
11A131210: Paranhos;16265,6;
11A131211: Ramalde;14308,7;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;3587,9;
11A1313: Póvoa de Varzim;38178,8;
11A131305: Balazar;104773,3;
11A131307: Estela;21781,5;
11A131308: Laundos;93932,6;
11A131311: Rates;103898,8;
11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;58621,7;
11A131314: União das freguesias de Aguçadoura e Navais;12082;
11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;22843,7;
11A0109: Santa Maria da Feira;9026,2;
11A010901: Argoncilhe;6745,1;
11A010902: Arrifana;14909,2;
11A010904: Escapães;3960,8;
11A010907: Fiães;6931,2;
11A010908: Fornos;5866,7;
11A010913: Lourosa;8725,7;
11A010914: Milheirós de Poiares;2762,7;
11A010916: Mozelos;51816,7;
11A010917: Nogueira da Regedoura;6558,7;
11A010919: Paços de Brandão;2126,5;
11A010921: Rio Meão;3755,8;
11A010922: Romariz;6826,5;
11A010924: Sanguedo;3626,3;
11A010925: Santa Maria de Lamas;3598,8;
11A010926: São João de Ver;3762,4;
11A010918: São Paio de Oleiros;1439,5;
11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;6022,9;
11A010933: União das freguesias de Canedo, Vale e Vila Maior;8693,5;
11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;9959,3;
11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;11967,1;
11A010936: União de freguesias de São Miguel de Souto e Mosteirô;14444,2;
11A1314: Santo Tirso;13575,5;
11A131401: Agrela;39927,7;
11A131402: Água Longa;24802,1;
11A131405: Aves;9137;
11A131413: Monte Córdova;7128,8;
11A131430: Negrelos (São Tomé);6319;
11A131416: Rebordões;14516,9;
11A131418: Reguenga;29222,9;
11A131419: Roriz;10805,8;
11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;13491,8;
11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);11865,1;
11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;11791,3;
11A131436: União das freguesias de Lamelas e Guimarei;13359,3;
11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;14669,7;
11A131432: Vilarinho;8949,9;
11A0116: São João da Madeira;7057,6;
11A011601: São João da Madeira;7057,6;
11A1318: Trofa;47161,2;
11A131806: Covelas;41091,1;
11A131808: Muro;24040,6;
11A131809: União das freguesias de Alvarelhos e Guidões;24624,3;
11A131810: União das freguesias de Bougado (São Martinho e Santiago);42812,1;
11A131811: União das freguesias de Coronado (São Romão e São Mamede);105739,1;
11A0119: Vale de Cambra;4710;
11A011901: Arões;5271,9;
11A011903: Cepelos;2784,4;
11A011905: Junqueira;7793,2;
11A011906: Macieira de Cambra;4108,9;
11A011907: Roge;2960,2;
11A011902: São Pedro de Castelões;2964,5;
11A011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;9510,8;
11A1315: Valongo;15569,4;
11A131501: Alfena;37480,8;
11A131503: Ermesinde;15739,2;
11A131506: União das freguesias de Campo e Sobrado;8605,4;
11A131505: Valongo;5907,3;
11A1316: Vila do Conde;90493,7;
11A131602: Árvore;112101,3;
11A131603: Aveleda;55671,5;
11A131604: Azurara;39158,8;
11A131607: Fajozes;157478,5;
11A131610: Gião;73852,2;
11A131611: Guilhabreu;105808,2;
11A131612: Junqueira;154078,7;
11A131613: Labruge;93541,7;
11A131614: Macieira da Maia;57095,1;
11A131616: Mindelo;56098,6;
11A131617: Modivas;89785,5;
11A131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;99499,1;
11A131632: União das freguesias de Fornelo e Vairão;71926,7;
11A131633: União das freguesias de Malta e Canidelo;51053,9;
11A131634: União das freguesias de Retorta e Tougues;94856,2;
11A131635: União das freguesias de Rio Mau e Arcos;103958,9;
11A131636: União das freguesias de Touguinha e Touguinhó;105827,1;
11A131637: União das freguesias de Vilar e Mosteiró;102114,6;
11A131627: Vila Chã;41413,9;
11A131628: Vila do Conde;63871,1;
11A131630: Vilar de Pinheiro;75734,8;
11A1317: Vila Nova de Gaia;9406,6;
11A131701: Arcozelo;14470,3;
11A131702: Avintes;4403,6;
11A131703: Canelas;3803,6;
11A131704: Canidelo;18372,3;
11A131709: Madalena;3733,2;
11A131712: Oliveira do Douro;4631;
11A131717: São Félix da Marinha;21002,6;
11A131725: União das freguesias de Grijó e Sermonde;4868,5;
11A131726: União das freguesias de Gulpilhares e Valadares;21107,2;
11A131727: União das freguesias de Mafamude e Vilar do Paraíso;6080,8;
11A131728: União das freguesias de Pedroso e Seixezelo;5254;
11A131729: União das freguesias de Sandim, Olival, Lever e Crestuma;9042,2;
11A131730: União das freguesias de Santa Marinha e São Pedro da Afurada;4501,7;
11A131731: União das freguesias de Serzedo e Perosinho;11880,2;
11A131723: Vilar de Andorinho;4790,1;
11B: Alto Tâmega;5472,9;
11B1702: Boticas;5762,7;
11B170217: Alturas do Barroso e Cerdedo;13080,4;
11B170218: Ardãos e Bobadela;4711;
11B170203: Beça;7341,2;
11B170219: Boticas e Granja;2921,9;
11B170220: Codessoso, Curros e Fiães do Tâmega;4977,6;
11B170208: Covas do Barroso;5652,3;
11B170210: Dornelas;7743;
11B170213: Pinho;2874,9;
11B170215: Sapiãos;3942;
11B170221: Vilar e Viveiro;4522,4;
11B1703: Chaves;5740,4;
11B170301: Águas Frias;6487,9;
11B170302: Anelhe;5052;
11B170305: Bustelo;3472;
11B170309: Cimo de Vila da Castanheira;6710,1;
11B170310: Curalha;5791,4;
11B170312: Ervededo;4248,5;
11B170313: Faiões;4618,4;
11B170314: Lama de Arcos;5268;
11B170316: Mairos;16127,1;
11B170317: Moreiras;4796,8;
11B170318: Nogueira da Montanha;9041,2;
11B170320: Oura;12291;
11B170321: Outeiro Seco;2873,3;
11B170322: Paradela;6938,5;
11B170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);8663,6;
11B170324: Redondelo;9227,1;
11B170327: Sanfins;3498,3;
11B170329: Santa Leocádia;4857,7;
11B170350: Santa Maria Maior;2700;
11B170330: Santo António de Monforte;3679,7;
11B170331: Santo Estêvão;3903;
11B170333: São Pedro de Agostém;5062,1;
11B170334: São Vicente;7346,2;
11B170340: Tronco;3653,1;
11B170354: União das freguesias da Madalena e Samaiões;8524;
11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;5011,1;
11B170356: União das freguesias de Calvão e Soutelinho da Raia;6106,3;
11B170357: União das freguesias de Loivos e Póvoa de Agrações;3255,1;
11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;3617,2;
11B170359: União das freguesias de Soutelo e Seara Velha;3679,1;
11B170360: União das freguesias de Travancas e Roriz;5479,7;
11B170341: Vale de Anta;5711,2;
11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);5252,7;
11B170343: Vila Verde da Raia;4282,9;
11B170344: Vilar de Nantes;2989,9;
11B170345: Vilarelho da Raia;5969,1;
11B170347: Vilas Boas;2902,5;
11B170349: Vilela do Tâmega;2759,5;
11B170348: Vilela Seca;3947,4;
11B1706: Montalegre;6850,1;
11B170601: Cabril;9123,1;
11B170603: Cervos;6644,4;
11B170604: Chã;6240,1;
11B170607: Covelo do Gerês;3779,5;
11B170609: Ferral;4449,4;
11B170612: Gralhas;3371,9;
11B170616: Morgade;8100,9;
11B170618: Negrões;8055,5;
11B170619: Outeiro;15057,9;
11B170623: Pitões das Junias;13364,3;
11B170625: Reigoso;4812,3;
11B170626: Salto;9367;
11B170627: Santo André;4559,5;
11B170629: Sarraquinhos;7074,4;
11B170631: Solveira;3257,1;
11B170632: Tourém;10155,6;
11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;7462,3;
11B170637: União das freguesias de Meixedo e Padornelos;5985,9;
11B170638: União das freguesias de Montalegre e Padroso;6102,6;
11B170639: União das freguesias de Paradela, Contim e Fiães;6158,8;
11B170640: União das freguesias de Sezelhe e Covelães;6156,1;
11B170641: União das freguesias de Venda Nova e Pondras;8419,3;
11B170642: União das freguesias de Viade de Baixo e Fervidelas;8847,3;
11B170643: União das freguesias de Vilar de Perdizes e Meixide;3453,3;
11B170635: Vila da Ponte;7194,5;
11B1709: Ribeira de Pena;6804,8;
11B170901: Alvadia;11772,6;
11B170902: Canedo;4185,5;
11B170906: Santa Marinha;3337,5;
11B170908: União das freguesias de Cerva e Limões;7633;
11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;6214,6;
11B1712: Valpaços;3709,4;
11B171201: Água Revés e Crasto;4626,6;
11B171203: Algeriz;3783,3;
11B171205: Bouçoães;2598,2;
11B171206: Canaveses;3797,1;
11B171232: Carrazedo de Montenegro e Curros;4350,5;
11B171209: Ervões;4372,4;
11B171211: Fornos do Pinhal;3099,7;
11B171212: Friões;4242,8;
11B171233: Lebução, Fiães e Nozelos;3058,6;
11B171215: Padrela e Tazem;5114,4;
11B171216: Possacos;2463,8;
11B171217: Rio Torto;5130,2;
11B171219: Santa Maria de Emeres;3024,8;
11B171220: Santa Valha;4204,9;
11B171221: Santiago da Ribeira de Alhariz;3203,7;
11B171222: São João da Corveira;3799,5;
11B171223: São Pedro de Veiga de Lila;3751,3;
11B171224: Serapicos;6509,6;
11B171234: Sonim e Barreiros;3250;
11B171235: Tinhela e Alvarelhos;5622,4;
11B171227: Vales;4402,8;
11B171236: Valpaços e Sanfins;2345,3;
11B171229: Vassal;3658,9;
11B171230: Veiga de Lila;3242,4;
11B171231: Vilarandelo;1983,2;
11B1713: Vila Pouca de Aguiar;6874,6;
11B171302: Alfarela de Jales;5098,4;
11B171319: Alvão;11289,6;
11B171303: Bornes de Aguiar;7330,9;
11B171304: Bragado;3488,3;
11B171305: Capeludos;2753,9;
11B171317: Sabroso de Aguiar;2162,8;
11B171310: Soutelo de Aguiar;13308;
11B171311: Telões;7483,6;
11B171312: Tresminas;4754,7;
11B171320: União das freguesias de Pensalvos e Parada de Monteiros;6960,7;
11B171313: Valoura;3836,5;
11B171314: Vila Pouca de Aguiar;8469,5;
11B171315: Vreia de Bornes;3347,4;
11B171316: Vreia de Jales;7124,9;
11C: Tâmega e Sousa;5408,4;
11C1301: Amarante;5446,1;
11C130103: Ansiães;6056,1;
11C130107: Candemil;2097;
11C130112: Fregim;4529,3;
11C130115: Fridão;9505,8;
11C130117: Gondar;5751,4;
11C130134: Gouveia (São Simão);3439;
11C130118: Jazente;2982,2;
11C130119: Lomba;8027,9;
11C130120: Louredo;7342,1;
11C130121: Lufrei;6761,9;
11C130123: Mancelos;9144,5;
11C130126: Padronelo;5668,2;
11C130128: Rebordelo;4385,3;
11C130129: Salvador do Monte;8351,3;
11C130135: Telões;4919,3;
11C130136: Travanca;7538,8;
11C130141: União das freguesias de Aboadela, Sanche e Várzea;4013,5;
11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;6998,2;
11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;3433,5;
11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);4660,6;
11C130145: União das freguesias de Freixo de Cima e de Baixo;4778,1;
11C130146: União das freguesias de Olo e Canadelo;5503,5;
11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;7147,6;
11C130138: Vila Caiz;5409,6;
11C130139: Vila Chã do Marão;5227,5;
11C130147: Vila Meã;6006,7;
11C1302: Baião;3957,6;
11C130204: Frende;2389,7;
11C130205: Gestaçô;5660,4;
11C130206: Gove;3006,7;
11C130207: Grilo;2436,4;
11C130208: Loivos do Monte;3632,4;
11C130215: Santa Marinha do Zêzere;6146,4;
11C130221: União das freguesias de Ancede e Ribadouro;2412,5;
11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;5347,5;
11C130223: União das freguesias de Campelo e Ovil;3715,8;
11C130224: União das freguesias de Loivos da Ribeira e Tresouras;5892,9;
11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;3713,8;
11C130226: União das freguesias de Teixeira e Teixeiró;3802;
11C130219: Valadares;3176,6;
11C130220: Viariz;2576,9;
11C0106: Castelo de Paiva;4166,8;
11C010602: Fornos;5236,2;
11C010606: Real;4375,3;
11C010607: Santa Maria de Sardoura;4085,6;
11C010608: São Martinho de Sardoura;3836,8;
11C010610: União das freguesias de Raiva, Pedorido e Paraíso;4199,7;
11C010611: União das freguesias de Sobrado e Bairros;3750,8;
11C0305: Celorico de Basto;4700,9;
11C030501: Agilde;5142,6;
11C030502: Arnóia;5749,3;
11C030520: Basto (São Clemente);2331,2;
11C030503: Borba de Montanha;6489,9;
11C030508: Codeçoso;12967,2;
11C030510: Fervença;4361,1;
11C030515: Moreira do Castelo;4832,1;
11C030517: Rego;3741,5;
11C030518: Ribas;3710,1;
11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;4676,4;
11C030524: União das freguesias de Caçarilhe e Infesta;3465,9;
11C030525: União das freguesias de Canedo de Basto e Corgo;5616,2;
11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);2849,7;
11C030527: União das freguesias de Veade, Gagos e Molares;5873,4;
11C030521: Vale de Bouro;2965,6;
11C1804: Cinfães;3110,9;
11C180403: Cinfães;3099,4;
11C180404: Espadanedo;2126,2;
11C180405: Ferreiros de Tendais;2708,4;
11C180406: Fornelos;2939,9;
11C180408: Moimenta;2306,3;
11C180409: Nespereira;4501,4;
11C180410: Oliveira do Douro;4371,2;
11C180412: Santiago de Piães;2072,5;
11C180413: São Cristóvão de Nogueira;2757,2;
11C180414: Souselo;2744;
11C180415: Tarouquela;3112,8;
11C180416: Tendais;3391,2;
11C180417: Travanca;2764,5;
11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;3223,2;
11C1303: Felgueiras;8504,5;
11C130301: Aião;6010,1;
11C130302: Airães;6529,9;
11C130305: Friande;7148,2;
11C130306: Idães;21580;
11C130307: Jugueiros;6110,7;
11C130313: Penacova;3733,1;
11C130314: Pinheiro;6061,1;
11C130315: Pombeiro de Ribavizela;9240,1;
11C130317: Refontoura;5887,1;
11C130318: Regilde;9146,1;
11C130319: Revinhade;3168,5;
11C130324: Sendim;12807,1;
11C130334: União das freguesias de Macieira da Lixa e Caramos;5109,7;
11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;12919,9;
11C130336: União das freguesias de Pedreira, Rande e Sernande;8312;
11C130337: União das freguesias de Torrados e Sousa;7351,4;
11C130338: União das freguesias de Unhão e Lordelo;8093,4;
11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;5739,7;
11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);16697,9;
11C130341: União das freguesias de Vila Verde e Santão;7991,9;
11C1305: Lousada;9263,4;
11C130502: Aveleda;8824,4;
11C130504: Caíde de Rei;17156,4;
11C130510: Lodares;17548,9;
11C130512: Macieira;5730,4;
11C130513: Meinedo;4959,5;
11C130515: Nevogilde;9970,4;
11C130524: Sousela;5790,5;
11C130525: Torno;7152,2;
11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);10414;
11C130528: União das freguesias de Cristelos, Boim e Ordem;8835;
11C130529: União das freguesias de Figueiras e Covas;7538,7;
11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);4608,4;
11C130531: União das freguesias de Nespereira e Casais;10704,6;
11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;12816,9;
11C130526: Vilar do Torno e Alentém;10120;
11C1307: Marco de Canaveses;4636,9;
11C130732: Alpendorada, Várzea e Torrão;3470,1;
11C130733: Avessadas e Rosém;8680,1;
11C130704: Banho e Carvalhosa;6095,3;
11C130734: Bem Viver;4056,6;
11C130705: Constance;4082,2;
11C130736: Marco;5676,2;
11C130737: Paredes de Viadores e Manhuncelos;4405,4;
11C130738: Penha Longa e Paços de Gaiolo;2627,5;
11C130739: Sande e São Lourenço do Douro;4398,7;
11C130735: Santo Isidoro e Livração;5993,1;
11C130722: Soalhães;3644,8;
11C130723: Sobretâmega;3682,2;
11C130724: Tabuado;4484,4;
11C130740: Várzea, Aliviada e Folhada;4585,1;
11C130741: Vila Boa de Quires e Maureles;6741,7;
11C130730: Vila Boa do Bispo;4093,5;
11C1309: Paços de Ferreira;8486;
11C130902: Carvalhosa;15331,6;
11C130904: Eiriz;9834,5;
11C130905: Ferreira;5248,9;
11C130906: Figueiró;10586,1;
11C130917: Frazão Arreigada;7705;
11C130908: Freamunde;3894,5;
11C130910: Meixomil;8974,9;
11C130918: Paços de Ferreira;6362,8;
11C130913: Penamaior;14747,5;
11C130914: Raimonda;8921,3;
11C130919: Sanfins Lamoso Codessos;8810,4;
11C130916: Seroa;4083,8;
11C1311: Penafiel;5833,7;
11C131101: Abragão;3131,3;
11C131102: Boelhe;12285,6;
11C131103: Bustelo;6404,7;
11C131104: Cabeça Santa;3261,9;
11C131105: Canelas;3381,5;
11C131106: Capela;2960,8;
11C131107: Castelões;8567;
11C131108: Croca;3206,3;
11C131109: Duas Igrejas;4614,2;
11C131110: Eja;18489,9;
11C131112: Fonte Arcada;4020;
11C131113: Galegos;5179;
11C131141: Guilhufe e Urrô;4216,3;
11C131115: Irivo;5683,5;
11C131142: Lagares e Figueira;3667;
11C131140: Luzim e Vila Cova;3553,6;
11C131121: Oldrões;2943,5;
11C131122: Paço de Sousa;12450,7;
11C131139: Penafiel;7858,9;
11C131125: Perozelo;4866,7;
11C131128: Rans;26823,8;
11C131132: Recezinhos (São Mamede);4306,8;
11C131133: Recezinhos (São Martinho);3541,1;
11C131129: Rio de Moinhos;5937,8;
11C131138: Rio Mau;3467,3;
11C131134: Sebolido;1391,2;
11C131143: Termas de São Vicente;3863,7;
11C131136: Valpedre;4743,2;
11C1813: Resende;5020,7;
11C181302: Barrô;4335,3;
11C181303: Cárquere;3812,9;
11C181310: Paus;4488,4;
11C181311: Resende;5809,3;
11C181312: São Cipriano;3585,8;
11C181313: São João de Fontoura;5599,4;
11C181314: São Martinho de Mouros;6331,8;
11C181316: União das freguesias de Anreade e São Romão de Aregos;5923,2;
11C181317: União das freguesias de Felgueiras e Feirão;3431,7;
11C181318: União das freguesias de Freigil e Miomães;3428,7;
11C181319: União das freguesias de Ovadas e Panchorra;3913,7;
11D: Douro;6683,3;
11D1701: Alijó;6824,1;
11D170101: Alijó;7068,4;
11D170107: Favaios;12706,4;
11D170108: Pegarinhos;5093,7;
11D170109: Pinhão;52386,1;
11D170112: Sanfins do Douro;5648,7;
11D170113: Santa Eugénia;4758,7;
11D170114: São Mamede de Ribatua;5259,3;
11D170120: União das freguesias de Carlão e Amieiro;3313,1;
11D170121: União das freguesias de Castedo e Cotas;11405,6;
11D170122: União das freguesias de Pópulo e Ribalonga;2756,7;
11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;10488,9;
11D170116: Vila Chã;2009,2;
11D170117: Vila Verde;4172,8;
11D170118: Vilar de Maçada;7411,8;
11D1801: Armamar;7825,1;
11D180101: Aldeias;6079,7;
11D180120: Armamar;8042,3;
11D180104: Cimbres;6460,9;
11D180106: Folgosa;15204,6;
11D180107: Fontelo;5804,7;
11D180109: Queimada;7848,1;
11D180110: Queimadela;4555,9;
11D180111: Santa Cruz;9956,4;
11D180114: São Cosmado;6356,2;
11D180115: São Martinho das Chãs;11698,2;
11D180121: União das freguesias de Aricera e Goujoim;4646,5;
11D180122: União das freguesias de São Romão e Santiago;10594,7;
11D180123: União das freguesias de Vila Seca e Santo Adrião;7948,8;
11D180118: Vacalar;7850,7;
11D0403: Carrazeda de Ansiães;5976,9;
11D040304: Carrazeda de Ansiães;6036,6;
11D040306: Fonte Longa;6224;
11D040308: Linhares;4160,4;
11D040309: Marzagão;7032,2;
11D040311: Parambos;3391,5;
11D040312: Pereiros;3273,7;
11D040313: Pinhal do Norte;5831,3;
11D040314: Pombal;5157;
11D040316: Seixo de Ansiães;11142,5;
11D040320: União das freguesias de Amedo e Zedes;5755,3;
11D040321: União das freguesias de Belver e Mogo de Malta;3981,8;
11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;7529,4;
11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;8437;
11D040318: Vilarinho da Castanheira;3726,6;
11D0404: Freixo de Espada à Cinta;6642,3;
11D040404: Ligares;9275,3;
11D040406: Poiares;11036;
11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;7082,2;
11D040408: União das freguesias de Lagoaça e Fornos;3298,5;
11D1805: Lamego;6194,5;
11D180502: Avões;4426,4;
11D180504: Britiande;9825,1;
11D180505: Cambres;10036,3;
11D180507: Ferreirim;5223,7;
11D180508: Ferreiros de Avões;3896,5;
11D180509: Figueira;5157,9;
11D180510: Lalim;4760,9;
11D180525: Lamego (Almacave e Sé);7572,5;
11D180511: Lazarim;3022,8;
11D180516: Penajóia;4671,4;
11D180517: Penude;1796,1;
11D180519: Samodães;9243,9;
11D180520: Sande;4866,8;
11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;4389,3;
11D180527: União das freguesias de Cepões, Meijinhos e Melcões;5558,4;
11D180528: União das freguesias de Parada do Bispo e Valdigem;7119,3;
11D180523: Várzea de Abrunhais;4639,3;
11D180524: Vila Nova de Souto d'El-Rei;1625;
11D1704: Mesão Frio;6159,7;
11D170401: Barqueiros;4279,2;
11D170402: Cidadelhe;11230;
11D170408: Mesão Frio (Santo André);7057,5;
11D170403: Oliveira;7970,5;
11D170407: Vila Marim;4859,4;
11D1807: Moimenta da Beira;8587,3;
11D180702: Alvite;23869,9;
11D180703: Arcozelos;5520,9;
11D180705: Baldos;2715;
11D180706: Cabaços;3612;
11D180707: Caria;9962,1;
11D180708: Castelo;1642,2;
11D180709: Leomil;15790,1;
11D180710: Moimenta da Beira;11613,4;
11D180713: Passô;9446,9;
11D180716: Vila da Rua;7647,7;
11D180717: Sarzedo;5156,9;
11D180719: Sever;6775,2;
11D180721: União das freguesias de Paradinha e Nagosa;1889,1;
11D180722: União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;5554,8;
11D180723: União das freguesias de Peva e Segões;3839,3;
11D180720: Vilar;3879,5;
11D1707: Murça;4645,3;
11D170701: Candedo;6472;
11D170703: Fiolhoso;2202,5;
11D170704: Jou;4021,8;
11D170705: Murça;3796,5;
11D170710: União das freguesias de Carva e Vilares;2804,2;
11D170711: União das freguesias de Noura e Palheiros;4090,2;
11D170708: Valongo de Milhais;4945,1;
11D1812: Penedono;5264;
11D181202: Beselga;4128,5;
11D181203: Castainço;5262,5;
11D181207: Penela da Beira;5957,8;
11D181208: Póvoa de Penela;2748,8;
11D181209: Souto;5024,6;
11D181210: União das freguesias de Antas e Ourozinho;8476,6;
11D181211: União das freguesias de Penedono e Granja;5910,9;
11D1708: Peso da Régua;7760;
11D170802: Fontelas;4772,4;
11D170805: Loureiro;3585,9;
11D170809: Sedielos;8262,4;
11D170813: União das freguesias de Galafura e Covelinhas;6422,1;
11D170814: União das freguesias de Moura Morta e Vinhós;4643,8;
11D170815: União das freguesias de Peso da Régua e Godim;10243,8;
11D170816: União das freguesias de Poiares e Canelas;12370,7;
11D170810: Vilarinho dos Freires;7302,7;
11D1710: Sabrosa;7886,9;
11D171001: Celeirós;14892,6;
11D171002: Covas do Douro;11137,9;
11D171004: Gouvinhas;11648,9;
11D171007: Paços;7150,9;
11D171005: Parada de Pinhão;2608,9;
11D171009: Sabrosa;5076,2;
11D171011: São Lourenço de Ribapinhão;1813,5;
11D171013: Souto Maior;2063,8;
11D171014: Torre do Pinhão;14574,6;
11D171016: União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro;8870,3;
11D171017: União das freguesias de São Martinho de Antas e Paradela de Guiães;7477,9;
11D171015: Vilarinho de São Romão;7168,8;
11D1711: Santa Marta de Penaguião;5443,1;
11D171101: Alvações do Corgo;6314,5;
11D171102: Cumieira;5594,9;
11D171103: Fontes;3511,6;
11D171106: Medrões;4469,3;
11D171110: Sever;6489,1;
11D171111: União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane;6846,8;
11D171112: União das freguesias de Louredo e Fornelos;3165,8;
11D1815: São João da Pesqueira;11318,7;
11D181501: Castanheiro do Sul;7615,5;
11D181502: Ervedosa do Douro;21387,1;
11D181504: Nagozelo do Douro;9273,2;
11D181505: Paredes da Beira;5414,2;
11D181507: Riodades;6889,7;
11D181509: Soutelo do Douro;20341,8;
11D181515: União das freguesias de São João da Pesqueira e Várzea de Trevões;12207,8;
11D181516: União das freguesias de Trevões e Espinhosa;5462,5;
11D181517: União das freguesias de Vilarouco e Pereiros;10036,8;
11D181511: Vale de Figueira;8668;
11D181512: Valongo dos Azeites;5975,2;
11D1818: Sernancelhe;6432,7;
11D181801: Arnas;4165,3;
11D181802: Carregal;6696,5;
11D181803: Chosendo;2828,5;
11D181804: Cunha;6267;
11D181806: Faia;4987,5;
11D181810: Granjal;7857,5;
11D181811: Lamosa;7511,4;
11D181814: Quintela;18744,5;
11D181818: União das freguesias de Ferreirim e Macieira;5315,4;
11D181819: União das freguesias de Fonte Arcada e Escurquela;4641,8;
11D181820: União das freguesias de Penso e Freixinho;3752;
11D181821: União das freguesias de Sernancelhe e Sarzeda;6532,3;
11D181817: Vila da Ponte;4573,4;
11D1819: Tabuaço;5717,9;
11D181901: Adorigo;9799,1;
11D181902: Arcos;2596,5;
11D181904: Chavães;2919,3;
11D181905: Desejosa;7773,5;
11D181906: Granja do Tedo;1928;
11D181908: Longa;1679,3;
11D181913: Sendim;3241,9;
11D181914: Tabuaço;3328,3;
11D181918: União das freguesias de Barcos e Santa Leocádia;7277,1;
11D181919: União das freguesias de Paradela e Granjinha;5237,7;
11D181920: União das freguesias de Pinheiros e Vale de Figueira;1992,6;
11D181921: União das freguesias de Távora e Pereiro;5326,1;
11D181917: Valença do Douro;16975;
11D1820: Tarouca;4945,6;
11D182004: Mondim da Beira;3140,3;
11D182005: Salzedas;3141,6;
11D182006: São João de Tarouca;6692,8;
11D182011: União das freguesias de Gouviães e Ucanha;3607,3;
11D182012: União das freguesias de Granja Nova e Vila Chã da Beira;6067,9;
11D182013: União das freguesias de Tarouca e Dálvares;7538,9;
11D182009: Várzea da Serra;3649,4;
11D0409: Torre de Moncorvo;5583,3;
11D040901: Açoreira;4457,9;
11D040903: Cabeça Boa;6026,9;
11D040905: Carviçais;2472,9;
11D040906: Castedo;4045;
11D040909: Horta da Vilariça;8801,4;
11D040910: Larinho;5865,9;
11D040911: Lousa;6674,7;
11D040913: Mós;4422,4;
11D040916: Torre de Moncorvo;10838,6;
11D040918: União das freguesias de Adeganha e Cardanha;6528,6;
11D040919: União das freguesias de Felgar e Souto da Velha;5525,7;
11D040920: União das freguesias de Felgueiras e Maçores;2924,4;
11D040921: União das freguesias de Urros e Peredo dos Castelhanos;8046,4;
11D0914: Vila Nova de Foz Côa;7790,8;
11D091401: Almendra;13418,6;
11D091402: Castelo Melhor;8322;
11D091403: Cedovim;7662,7;
11D091404: Chãs;8287,6;
11D091405: Custóias;3848;
