
Statistical table extracted on October 15, 2022 (13:03:14)
http://www.ine.pt



Geographic localization (NUTS -2013);Tractors by agricultural holding (No.) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
;No. ;
112030292: União das freguesias de Areias de Vilar e Encourados;0,9;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);1,3;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);1,3;
112030295: União das freguesias de Carreira e Fonte Coberta;1,2;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1,7;
112030297: União das freguesias de Creixomil e Mariz;0,9;
112030298: União das freguesias de Durrães e Tregosa;0,6;
112030299: União das freguesias de Gamil e Midões;1,1;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;1,4;
1120302FB: União das freguesias de Negreiros e Chavão;1,4;
1120302FC: União das freguesias de Quintiães e Aguiar;1,1;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);1,1;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);1,3;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;1,1;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1,5;
1120302FH: União das freguesias de Vila Cova e Feitos;1,5;
112030283: Várzea;0,8;
112030287: Vila Seca;1,3;
1120303: Braga;0,9;
112030301: Adaúfe;1,2;
112030349: Braga (São Vicente);- -;
112030351: Braga (São Vítor);0,5;
112030312: Espinho;1,1;
112030313: Esporões;1;
112030315: Figueiredo;0,7;
112030319: Gualtar;0,3;
112030322: Lamas;0,9;
112030325: Mire de Tibães;0,9;
112030330: Padim da Graça;0,9;
112030331: Palmeira;0,8;
112030334: Pedralva;1,3;
112030336: Priscos;0,7;
112030338: Ruilhe;0,9;
112030354: Sequeira;1,2;
112030355: Sobreposta;0,9;
112030356: Tadim;0,8;
112030357: Tebosa;0,6;
112030363: União das freguesias de Arentim e Cunha;1,1;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);0,3;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);0;
112030366: União das freguesias de Cabreiros e Passos (São Julião);0,9;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;1;
112030368: União das freguesias de Crespos e Pousada;0,7;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);1,1;
112030370: União das freguesias de Este (São Pedro e São Mamede);0,7;
112030371: União das freguesias de Ferreiros e Gondizalves;1;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);0,8;
112030373: União das freguesias de Lomar e Arcos;1;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;0,7;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;1;
112030376: União das freguesias de Morreira e Trandeiras;0,8;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;0,5;
112030378: União das freguesias de Nogueiró e Tenões;0,6;
112030379: União das freguesias de Real, Dume e Semelhe;0,9;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;0,8;
112030381: União das freguesias de Vilaça e Fradelos;0,6;
1120306: Esposende;1,1;
112030601: Antas;0,9;
112030608: Forjães;0,9;
112030610: Gemeses;1,3;
112030616: União das freguesias de Apúlia e Fão;1;
112030617: União das freguesias de Belinho e Mar;0,8;
112030618: União das freguesias de Esposende, Marinhas e Gandra;1,5;
112030619: União das freguesias de Fonte Boa e Rio Tinto;1,5;
112030620: União das freguesias de Palmeira de Faro e Curvos;1,2;
112030615: Vila Chã;0,7;
1120310: Terras de Bouro;0,5;
112031001: Balança;0,6;
112031003: Campo do Gerês;0,4;
112031004: Carvalheira;0,5;
112031008: Covide;0,7;
112031009: Gondoriz;0,1;
112031010: Moimenta;0,3;
112031012: Ribeira;0,2;
112031013: Rio Caldo;0,5;
112031014: Souto;0,4;
112031018: União das freguesias de Chamoim e Vilar;0,7;
112031019: União das freguesias de Chorense e Monte;0,5;
112031020: União das freguesias de Cibões e Brufe;0,3;
112031015: Valdosende;0,8;
112031017: Vilar da Veiga;0,4;
1120313: Vila Verde;0,6;
112031359: Aboim da Nóbrega e Gondomar;0,3;
112031304: Atiães;0,8;
112031308: Cabanelas;0,9;
112031309: Cervães;0,8;
112031311: Coucieiro;0,6;
112031313: Dossãos;0,8;
112031316: Freiriz;0,7;
112031317: Gême;0,8;
112031323: Lage;0,8;
112031324: Lanhas;0,8;
112031325: Loureira;0,6;
112031328: Moure;0,8;
112031330: Oleiros;0,6;
112031331: Parada de Gatim;0,7;
112031335: Pico;0,8;
112031337: Ponte;0,8;
112031350: Prado (São Miguel);0,6;
112031340: Sabariz;0,8;
