
Statistical table extracted on October 11, 2022 (22:38:13)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);125;66;55;2;2;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;47;10;28;4;5;
;111160223: União das freguesias de Gondar e Orbacém;275;54;192;24;5;
;111160224: União das freguesias de Moledo e Cristelo;30;11;17;2;- -;
;111160225: União das freguesias de Venade e Azevedo;177;46;119;9;3;
;111160217: Vila Praia de Âncora;65;13;42;8;2;
;111160218: Vilar de Mouros;73;8;46;10;9;
;111160220: Vile;31;3;22;4;2;
;1111603: Melgaço;2729;711;1548;234;236;
;111160301: Alvaredo;255;24;165;35;31;
;111160304: Cousso;77;34;32;3;8;
;111160305: Cristoval;97;25;61;7;4;
;111160307: Fiães;103;47;51;3;2;
;111160308: Gave;95;46;42;4;3;
;111160311: Paderne;468;109;251;52;56;
;111160313: Penso;172;28;115;17;12;
;111160317: São Paio;196;30;135;15;16;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;368;187;160;10;11;
;111160320: União das freguesias de Chaviães e Paços;182;34;113;23;12;
;111160321: União das freguesias de Parada do Monte e Cubalhão;227;86;127;12;2;
;111160322: União das freguesias de Prado e Remoães;201;26;109;30;36;
;111160323: União das freguesias de Vila e Roussas;288;35;187;23;43;
;1111604: Monção;5841;1360;3599;535;347;
;111160401: Abedim;105;18;69;17;1;
;111160404: Barbeita;286;43;191;31;21;
;111160405: Barroças e Taias;152;51;90;9;2;
;111160406: Bela;215;58;116;22;19;
;111160407: Cambeses;139;27;81;18;13;
;111160410: Lara;135;30;79;15;11;
;111160411: Longos Vales;354;106;193;32;23;
;111160415: Merufe;604;101;441;42;20;
;111160418: Moreira;223;56;138;17;12;
;111160420: Pias;374;79;240;33;22;
;111160421: Pinheiros;145;27;97;17;4;
;111160422: Podame;137;33;75;19;10;
;111160423: Portela;116;46;60;4;6;
;111160424: Riba de Mouro;396;130;214;35;17;
;111160427: Segude;159;33;96;15;15;
;111160428: Tangil;443;121;278;30;14;
;111160431: Trute;121;38;71;6;6;
;111160434: União das freguesias de Anhões e Luzio;218;43;150;23;2;
;111160435: União das freguesias de Ceivães e Badim;263;52;160;26;25;
;111160436: União das freguesias de Mazedo e Cortes;393;75;245;43;30;
;111160437: União das freguesias de Messegães, Valadares e Sá;268;47;163;30;28;
;111160438: União das freguesias de Monção e Troviscoso;207;40;113;21;33;
;111160439: União das freguesias de Sago, Lordelo e Parada;265;87;157;18;3;
;111160440: União das freguesias de Troporiz e Lapela;123;19;82;12;10;
;1111605: Paredes de Coura;2730;906;1540;203;81;
;111160501: Agualonga;164;58;89;15;2;
;111160503: Castanheira;182;36;129;12;5;
;111160505: Coura;140;61;72;7;- -;
;111160507: Cunha;241;64;165;9;3;
;111160510: Infesta;138;49;77;12;- -;
;111160513: Mozelos;50;8;31;5;6;
;111160514: Padornelo;145;52;76;15;2;
;111160515: Parada;91;22;59;5;5;
;111160519: Romarigães;110;49;53;5;3;
;111160520: Rubiães;226;82;118;19;7;
;111160522: União das freguesias de Bico e Cristelo;307;113;161;27;6;
;111160523: União das freguesias de Cossourado e Linhares;148;61;70;9;8;
;111160524: União das freguesias de Formariz e Ferreira;289;102;156;15;16;
;111160525: União das freguesias de Insalde e Porreiras;241;84;127;23;7;
;111160526: União das freguesias de Paredes de Coura e Resende;159;31;104;14;10;
;111160521: Vascões;99;34;53;11;1;
;1111606: Ponte da Barca;2364;699;1378;202;85;
;111160601: Azias;158;64;86;8;- -;
;111160602: Boivães;161;56;95;8;2;
;111160603: Bravães;133;18;90;17;8;
;111160604: Britelo;83;18;50;12;3;
;111160606: Cuide de Vila Verde;45;13;26;5;1;
;111160611: Lavradas;190;48;115;24;3;
;111160612: Lindoso;146;30;103;11;2;
;111160613: Nogueira;63;22;34;5;2;
;111160614: Oleiros;99;26;53;11;9;
;111160619: Sampriz;183;74;102;4;3;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;310;100;170;29;11;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;183;78;93;9;3;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;285;62;158;38;27;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);89;14;61;8;6;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);164;62;95;6;1;
;111160623: Vade (São Pedro);35;3;27;4;1;
;111160624: Vade (São Tomé);37;11;20;3;3;
;1111607: Ponte de Lima;9051;2477;5488;661;425;
;111160701: Anais;312;77;196;23;16;
;111160752: Arca e Ponte de Lima;39;8;16;9;6;
;111160704: Arcozelo;288;72;166;38;12;
;111160753: Ardegão, Freixo e Mato;364;68;257;13;26;
;111160754: Associação de freguesias do Vale do Neiva;309;99;183;12;15;
;111160755: Bárrio e Cepões;91;30;52;3;6;
;111160707: Beiral do Lima;253;79;149;22;3;
;111160708: Bertiandos;80;21;43;8;8;
;111160709: Boalhosa;61;30;30;1;- -;
;111160710: Brandara;69;13;44;5;7;
;111160756: Cabaços e Fojo Lobal;270;78;170;15;7;
;111160757: Cabração e Moreira do Lima;377;93;230;29;25;
;111160713: Calheiros;228;66;131;20;11;
;111160714: Calvelo;189;56;105;18;10;
;111160716: Correlhã;649;175;388;48;38;
;111160717: Estorãos;167;46;100;7;14;
;111160718: Facha;283;76;161;27;19;
;111160719: Feitosa;59;14;32;5;8;
;111160721: Fontão;169;42;105;16;6;
;111160758: Fornelos e Queijada;595;159;386;38;12;
;111160724: Friastelas;172;69;89;11;3;
;111160726: Gandra;220;68;126;15;11;
;111160727: Gemieira;169;50;97;15;7;
;111160728: Gondufe;191;61;115;11;4;
;111160729: Labruja;103;21;65;12;5;
;111160759: Labrujó, Rendufe e Vilar do Monte;237;79;131;23;4;
;111160760: Navió e Vitorino dos Piães;530;177;296;44;13;
;111160734: Poiares;207;28;166;6;7;
;111160744: Rebordões (Santa Maria);279;70;192;13;4;
;111160747: Rebordões (Souto);276;42;208;17;9;
;111160737: Refóios do Lima;547;179;288;46;34;
;111160739: Ribeira;324;70;220;18;16;
;111160740: Sá;89;28;48;5;8;
;111160742: Santa Comba;54;12;30;4;8;
;111160743: Santa Cruz do Lima;106;17;80;7;2;
;111160703: São Pedro d'Arcos;272;86;133;33;20;
;111160745: Seara;98;22;64;4;8;
;111160746: Serdedelo;189;59;119;10;1;
;111160750: Vitorino das Donas;136;37;77;10;12;
;1111608: Valença;2046;546;1264;147;89;
;111160802: Boivão;113;36;69;5;3;
;111160803: Cerdal;307;101;177;14;15;
;111160805: Fontoura;248;83;143;16;6;
;111160806: Friestas;94;17;54;8;15;
;111160808: Ganfei;269;53;177;23;16;
;111160812: São Pedro da Torre;119;21;75;16;7;
;111160817: União das freguesias de Gandra e Taião;205;62;127;11;5;
;111160818: União das freguesias de Gondomil e Sanfins;231;89;120;17;5;
;111160819: União das freguesias de São Julião e Silva;208;44;147;14;3;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;120;21;83;12;4;
;111160816: Verdoejo;132;19;92;11;10;
;1111609: Viana do Castelo;5238;1252;3215;501;270;
;111160901: Afife;65;11;36;11;7;
;111160902: Alvarães;160;36;97;17;10;
;111160903: Amonde;76;23;37;12;4;
;111160904: Anha;99;11;74;8;6;
;111160905: Areosa;64;9;44;7;4;
;111160908: Carreço;162;32;101;19;10;
;111160910: Castelo do Neiva;135;42;85;6;2;
;111160940: Chafé;61;9;44;6;2;
;111160911: Darque;11;3;6;2;- -;
;111160914: Freixieiro de Soutelo;137;18;103;13;3;
;111160915: Lanheses;240;63;137;24;16;
;111160920: Montaria;182;59;103;17;3;
;111160922: Mujães;83;23;45;11;4;
;111160925: Outeiro;408;124;239;33;12;
;111160926: Perre;332;58;210;38;26;
;111160928: Santa Marta de Portuzelo;229;51;128;26;24;
;111160923: São Romão de Neiva;97;17;70;7;3;
;111160941: União das freguesias de Barroselas e Carvoeiro;268;53;176;23;16;
;111160942: União das freguesias de Cardielos e Serreleis;160;37;99;14;10;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;531;121;338;61;11;
;111160944: União das freguesias de Mazarefes e Vila Fria;183;43;117;10;13;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;467;136;270;31;30;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;479;136;282;44;17;
;111160947: União das freguesias de Torre e Vila Mou;190;52;111;18;9;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;109;18;73;9;9;
;111160938: Vila de Punhe;89;20;53;10;6;
;111160935: Vila Franca;221;47;137;24;13;
;1111610: Vila Nova de Cerveira;823;200;533;56;34;
;111161003: Cornes;82;19;54;8;1;
;111161004: Covas;93;21;66;3;3;
;111161006: Gondarém;73;19;39;7;8;
;111161007: Loivo;27;2;15;6;4;
;111161009: Mentrestido;62;20;35;6;1;
;111161012: Sapardos;83;23;55;5;- -;
;111161013: Sopo;69;23;41;4;1;
;111161016: União das freguesias de Campos e Vila Meã;147;31;98;10;8;
;111161017: União das freguesias de Candemil e Gondar;65;15;40;5;5;
;111161018: União das freguesias de Reboreda e Nogueira;93;18;73;- -;2;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;29;9;17;2;1;
;112: Cávado;26934;5507;17841;2235;1351;
;1120301: Amares;2053;448;1295;184;126;
;112030102: Barreiros;122;27;80;9;6;
;112030104: Bico;26;7;19;- -;- -;
;112030119: Bouro (Santa Maria);122;37;66;11;8;
;112030120: Bouro (Santa Marta);147;41;91;9;6;
;112030105: Caires;147;29;86;18;14;
;112030107: Carrazedo;70;16;44;7;3;
;112030108: Dornelas;115;20;72;13;10;
;112030111: Fiscal;139;33;93;7;6;
;112030112: Goães;153;26;96;18;13;
;112030113: Lago;75;10;55;6;4;
;112030118: Rendufe;82;12;49;11;10;
;112030125: União das freguesias de Amares e Figueiredo;103;25;67;5;6;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;187;52;108;19;8;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;178;37;103;25;13;
;112030128: União das freguesias de Torre e Portela;71;17;46;5;3;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;316;59;220;21;16;
;1120302: Barcelos;9784;1890;6654;806;434;
;112030201: Abade de Neiva;196;50;126;17;3;
;112030202: Aborim;57;5;47;5;- -;
;112030203: Adães;108;12;78;12;6;
;112030205: Airó;140;19;101;15;5;
;112030206: Aldreu;95;19;62;8;6;
;112030208: Alvelos;131;28;92;7;4;
;112030209: Arcozelo;40;8;22;8;2;
;112030210: Areias;21;3;13;4;1;
;112030212: Balugães;79;10;58;5;6;
;112030213: Barcelinhos;28;7;14;4;3;
;112030215: Barqueiros;183;27;132;15;9;
;112030216: Cambeses;109;24;71;8;6;
;112030218: Carapeços;136;26;96;11;3;
;112030220: Carvalhal;86;22;49;8;7;
;112030221: Carvalhas;97;24;63;6;4;
;112030224: Cossourado;117;12;93;7;5;
;112030228: Cristelo;288;50;212;17;9;
;112030234: Fornelos;154;35;116;3;- -;
;112030235: Fragoso;179;37;117;15;10;
;112030268: Galegos (Santa Maria);77;18;50;8;1;
;112030272: Galegos (São Martinho);50;6;36;6;2;
;112030237: Gilmonde;151;28;98;16;9;
;112030242: Lama;78;17;48;8;5;
;112030243: Lijó;221;51;139;24;7;
;112030244: Macieira de Rates;329;47;237;30;15;
;112030245: Manhente;61;13;35;10;3;
;112030247: Martim;177;25;140;10;2;
;112030252: Moure;109;25;62;5;17;
;112030254: Oliveira;123;28;86;5;4;
;112030255: Palme;112;26;79;4;3;
;112030256: Panque;159;39;105;14;1;
;112030257: Paradela;245;67;168;7;3;
;112030259: Pereira;95;25;65;2;3;
;112030260: Perelhal;118;29;81;6;2;
;112030261: Pousa;199;30;147;14;8;
;112030263: Remelhe;132;19;84;19;10;
;112030265: Rio Covo (Santa Eugénia);62;12;33;9;8;
;112030264: Roriz;237;47;165;16;9;
;112030279: Silva;63;12;48;2;1;
;112030277: Tamel (São Veríssimo);55;16;31;6;2;
;112030282: Ucha;112;15;70;17;10;
;112030290: União das freguesias de Alheira e Igreja Nova;182;56;106;11;9;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;196;44;122;10;20;
;112030292: União das freguesias de Areias de Vilar e Encourados;183;23;128;14;18;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);154;13;119;13;9;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);148;37;94;13;4;
;112030295: União das freguesias de Carreira e Fonte Coberta;238;55;141;25;17;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;567;105;402;40;20;
;112030297: União das freguesias de Creixomil e Mariz;198;46;125;22;5;
;112030298: União das freguesias de Durrães e Tregosa;67;14;43;7;3;
;112030299: União das freguesias de Gamil e Midões;91;16;64;8;3;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;409;77;278;32;22;
;1120302FB: União das freguesias de Negreiros e Chavão;309;55;228;22;4;
;1120302FC: União das freguesias de Quintiães e Aguiar;180;23;137;18;2;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);235;58;140;26;11;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);199;28;135;26;10;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;211;54;144;9;4;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;399;59;257;48;35;
;1120302FH: União das freguesias de Vila Cova e Feitos;298;58;201;26;13;
;112030283: Várzea;105;17;76;8;4;
;112030287: Vila Seca;206;39;145;15;7;
;1120303: Braga;3739;734;2395;331;279;
;112030301: Adaúfe;168;39;104;13;12;
;112030349: Braga (São Vicente);- -;- -;- -;- -;- -;
;112030351: Braga (São Vítor);2;- -;1;1;- -;
;112030312: Espinho;77;5;65;5;2;
;112030313: Esporões;85;17;53;10;5;
;112030315: Figueiredo;43;11;25;3;4;
;112030319: Gualtar;15;5;8;- -;2;
;112030322: Lamas;38;4;32;2;- -;
;112030325: Mire de Tibães;125;30;78;13;4;
;112030330: Padim da Graça;58;11;40;5;2;
;112030331: Palmeira;190;34;106;23;27;
;112030334: Pedralva;95;10;79;5;1;
;112030336: Priscos;129;24;78;20;7;
;112030338: Ruilhe;50;8;28;12;2;
;112030354: Sequeira;132;28;81;7;16;
;112030355: Sobreposta;137;25;93;15;4;
;112030356: Tadim;21;4;13;3;1;
;112030357: Tebosa;68;7;48;7;6;
;112030363: União das freguesias de Arentim e Cunha;179;20;130;20;9;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);33;10;22;- -;1;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);3;- -;2;- -;1;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);188;47;107;15;19;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;136;21;97;9;9;
;112030368: União das freguesias de Crespos e Pousada;255;71;113;34;37;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);158;40;92;11;15;
;112030370: União das freguesias de Este (São Pedro e São Mamede);134;23;100;4;7;
;112030371: União das freguesias de Ferreiros e Gondizalves;81;16;53;6;6;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);69;10;47;3;9;
;112030373: União das freguesias de Lomar e Arcos;78;15;51;8;4;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;198;39;134;13;12;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;119;17;83;11;8;
;112030376: União das freguesias de Morreira e Trandeiras;119;21;87;4;7;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;87;24;48;10;5;
;112030378: União das freguesias de Nogueiró e Tenões;47;8;35;3;1;
;112030379: União das freguesias de Real, Dume e Semelhe;236;53;143;20;20;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;77;21;42;9;5;
;112030381: União das freguesias de Vilaça e Fradelos;109;16;77;7;9;
;1120306: Esposende;3229;567;2296;227;139;
;112030601: Antas;136;25;96;12;3;
;112030608: Forjães;235;31;172;20;12;
;112030610: Gemeses;204;58;126;9;11;
;112030616: União das freguesias de Apúlia e Fão;748;160;519;43;26;
;112030617: União das freguesias de Belinho e Mar;336;31;275;18;12;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;483;57;360;42;24;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;623;129;428;46;20;
;112030620: União das freguesias de Palmeira de Faro e Curvos;242;17;183;23;19;
;112030615: Vila Chã;222;59;137;14;12;
;1120310: Terras de Bouro;1614;349;1045;143;77;
;112031001: Balança;79;12;50;15;2;
;112031003: Campo do Gerês;23;1;15;5;2;
;112031004: Carvalheira;112;25;72;12;3;
;112031008: Covide;84;14;63;6;1;
;112031009: Gondoriz;91;22;58;7;4;
;112031010: Moimenta;58;13;37;6;2;
;112031012: Ribeira;83;20;49;7;7;
;112031013: Rio Caldo;129;27;76;17;9;
;112031014: Souto;147;37;94;9;7;
;112031018: União das freguesias de Chamoim e Vilar;182;45;103;21;13;
;112031019: União das freguesias de Chorense e Monte;256;55;179;14;8;
;112031020: União das freguesias de Cibões e Brufe;158;32;114;9;3;
;112031015: Valdosende;65;19;37;4;5;
;112031017: Vilar da Veiga;147;27;98;11;11;
;1120313: Vila Verde;6515;1519;4156;544;296;
;112031359: Aboim da Nóbrega e Gondomar;303;115;167;16;5;
;112031304: Atiães;168;31;121;10;6;
;112031308: Cabanelas;153;17;121;13;2;
;112031309: Cervães;131;12;94;14;11;
;112031311: Coucieiro;160;20;97;26;17;
;112031313: Dossãos;102;28;69;2;3;
;112031316: Freiriz;151;20;115;13;3;
;112031317: Gême;65;15;41;7;2;
;112031323: Lage;141;27;95;14;5;
;112031324: Lanhas;84;18;41;10;15;
;112031325: Loureira;55;9;43;3;- -;
;112031328: Moure;116;23;70;11;12;
;112031330: Oleiros;123;26;77;12;8;
;112031331: Parada de Gatim;135;28;94;10;3;
;112031335: Pico;130;41;79;8;2;
;112031337: Ponte;67;12;49;5;1;
;112031350: Prado (São Miguel);160;37;106;9;8;
;112031340: Sabariz;26;2;16;7;1;
;112031352: Soutelo;149;32;87;13;17;
;112031354: Turiz;103;18;65;16;4;
;112031360: União das freguesias da Ribeira do Neiva;1169;310;756;78;25;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);240;91;127;14;8;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);195;31;121;25;18;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;181;36;119;20;6;
;112031364: União das freguesias de Marrancos e Arcozelo;177;33;111;20;13;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);161;36;111;12;2;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;248;66;126;24;32;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;343;59;247;32;5;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);131;34;79;13;5;
;112031369: União das freguesias do Vade;525;132;320;47;26;
;112031355: Valdreu;252;89;149;7;7;
;112031342: Vila de Prado;168;33;111;15;9;
;112031370: Vila Verde e Barbudo;203;38;132;18;15;
;119: Ave;21774;5312;13375;1741;1346;
;1190304: Cabeceiras de Basto;3147;852;1873;228;194;
;119030401: Abadim;222;57;125;23;17;
;119030404: Basto;123;26;83;7;7;
;119030405: Bucos;184;42;114;14;14;
;119030406: Cabeceiras de Basto;252;79;152;13;8;
;119030407: Cavez;450;126;248;37;39;
;119030408: Faia;147;45;83;8;11;
;119030413: Pedraça;155;42;93;12;8;
;119030415: Rio Douro;432;125;247;31;29;
;119030418: União das freguesias de Alvite e Passos;204;51;133;14;6;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;272;74;157;20;21;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;219;50;153;8;8;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;487;135;285;41;26;
;1190307: Fafe;3810;1076;2307;238;189;
;119030705: Armil;89;28;38;12;11;
;119030726: Arões (Santa Cristina);67;27;37;2;1;
;119030730: Arões (São Romão);83;24;46;4;9;
;119030708: Estorãos;155;33;105;9;8;
;119030709: Fafe;133;36;70;16;11;
;119030712: Fornelos;81;31;43;7;- -;
;119030714: Golães;166;62;96;4;4;
;119030716: Medelo;24;7;8;3;6;
;119030719: Paços;135;41;84;6;4;
;119030722: Quinchães;197;48;134;10;5;
;119030723: Regadas;145;20;97;14;14;
;119030724: Revelhe;168;44;94;10;20;
;119030725: Ribeiros;69;31;35;2;1;
;119030728: São Gens;196;57;118;10;11;
;119030729: Silvares (São Martinho);109;15;78;10;6;
;119030733: Travassós;171;45;105;8;13;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;272;89;151;24;8;
;119030738: União de freguesias de Agrela e Serafão;194;56;120;10;8;
;119030739: União de freguesias de Antime e Silvares (São Clemente);85;23;53;4;5;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;147;14;122;9;2;
;119030741: União de freguesias de Cepães e Fareja;165;54;93;5;13;
;119030742: União de freguesias de Freitas e Vila Cova;164;45;98;13;8;
;119030743: União de freguesias de Monte e Queimadela;313;94;193;15;11;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;381;129;226;21;5;
;119030736: Vinhós;101;23;63;10;5;
;1190308: Guimarães;3935;986;2419;281;249;
;119030801: Aldão;42;11;30;1;- -;
;119030804: Azurém;34;6;26;2;- -;
;119030806: Barco;45;10;24;9;2;
;119030807: Brito;95;18;73;2;2;
;119030808: Caldelas;71;21;39;1;10;
;119030857: Candoso (São Martinho);45;11;32;2;- -;
;119030812: Costa;35;8;22;3;2;
;119030813: Creixomil;40;12;24;3;1;
;119030815: Fermentões;107;32;61;5;9;
;119030820: Gonça;65;25;29;7;4;
;119030821: Gondar;35;6;28;1;- -;
;119030823: Guardizela;54;10;36;3;5;
;119030824: Infantas;146;61;77;5;3;
;119030827: Longos;95;28;53;10;4;
;119030828: Lordelo;42;9;28;5;- -;
;119030830: Mesão Frio;43;8;31;3;1;
;119030831: Moreira de Cónegos;31;2;26;2;1;
;119030832: Nespereira;22;7;11;1;3;
;119030835: Pencelo;68;18;34;8;8;
;119030836: Pinheiro;41;7;28;4;2;
;119030837: Polvoreira;40;12;18;3;7;
;119030838: Ponte;128;35;78;10;5;
;119030842: Prazins (Santa Eufémia);49;17;28;1;3;
;119030840: Ronfe;87;13;64;5;5;
;119030858: Sande (São Martinho);72;18;49;1;4;
;119030865: São Torcato;215;55;126;13;21;
;119030850: Selho (São Cristóvão);23;3;17;2;1;
;119030854: Selho (São Jorge);77;25;51;- -;1;
;119030866: Serzedelo;97;14;70;11;2;
;119030868: Silvares;84;17;47;10;10;
;119030875: União das freguesias de Abação e Gémeos;82;25;49;3;5;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;194;53;108;19;14;
;119030877: União das freguesias de Arosa e Castelões;89;28;49;5;7;
;119030878: União das freguesias de Atães e Rendufe;216;66;123;20;7;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;39;9;17;6;7;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;137;31;80;14;12;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;89;11;67;6;5;
;119030882: União das freguesias de Conde e Gandarela;49;7;40;1;1;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;168;35;106;16;11;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;4;- -;3;1;- -;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;51;18;28;2;3;
;119030886: União das freguesias de Sande São Lourenço e Balazar;79;16;44;4;15;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;173;45;102;11;15;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;126;29;89;7;1;
;119030889: União das freguesias de Serzedo e Calvos;62;24;30;4;4;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;186;37;108;22;19;
;119030891: União das freguesias de Tabuadelo e São Faustino;98;17;76;5;- -;
;119030871: Urgezes;65;16;40;2;7;
;1191705: Mondim de Basto;2046;586;1203;150;107;
;119170501: Atei;381;83;230;33;35;
;119170502: Bilhó;436;138;232;38;28;
;119170505: São Cristóvão de Mondim de Basto;342;88;194;33;27;
;119170509: União das freguesias de Campanhó e Paradança;191;66;114;6;5;
