
Statistical table extracted on October 11, 2022 (20:23:18)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;;;
;11B170341: Vale de Anta;465;163;26;45;77;76;78;
;11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);970;320;78;67;135;195;175;
;11B170343: Vila Verde da Raia;525;132;72;54;84;85;98;
;11B170344: Vilar de Nantes;192;57;20;19;21;39;36;
;11B170345: Vilarelho da Raia;709;206;50;60;114;134;145;
;11B170347: Vilas Boas;192;71;17;20;26;25;33;
;11B170349: Vilela do Tâmega;378;136;38;40;51;55;58;
;11B170348: Vilela Seca;369;120;24;27;69;75;54;
;11B1706: Montalegre;9900;3272;869;946;1279;1640;1894;
;11B170601: Cabril;620;210;53;63;67;119;108;
;11B170603: Cervos;343;128;40;36;36;40;63;
;11B170604: Chã;774;305;84;78;98;105;104;
;11B170607: Covelo do Gerês;220;72;18;13;33;34;50;
;11B170609: Ferral;351;126;24;38;45;53;65;
;11B170612: Gralhas;217;45;17;23;37;43;52;
;11B170616: Morgade;285;85;29;36;27;49;59;
;11B170618: Negrões;197;57;22;17;30;35;36;
;11B170619: Outeiro;239;74;20;15;38;39;53;
;11B170623: Pitões das Junias;206;73;24;22;19;22;46;
;11B170625: Reigoso;264;74;22;27;44;39;58;
;11B170626: Salto;823;302;58;71;97;134;161;
;11B170627: Santo André;278;88;23;35;32;46;54;
;11B170629: Sarraquinhos;474;169;57;48;52;69;79;
;11B170631: Solveira;154;28;9;13;24;41;39;
;11B170632: Tourém;152;44;16;10;26;20;36;
;11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;423;140;24;36;58;68;97;
;11B170637: União das freguesias de Meixedo e Padornelos;400;121;35;37;49;77;81;
;11B170638: União das freguesias de Montalegre e Padroso;650;223;78;72;96;91;90;
;11B170639: União das freguesias de Paradela, Contim e Fiães;425;119;25;33;68;91;89;
;11B170640: União das freguesias de Sezelhe e Covelães;408;118;17;39;59;78;97;
;11B170641: União das freguesias de Venda Nova e Pondras;291;84;19;21;42;57;68;
;11B170642: União das freguesias de Viade de Baixo e Fervidelas;749;262;69;68;82;125;143;
;11B170643: União das freguesias de Vilar de Perdizes e Meixide;744;252;67;75;89;140;121;
;11B170635: Vila da Ponte;213;73;19;20;31;25;45;
;11B1709: Ribeira de Pena;5380;2142;450;458;650;813;867;
;11B170901: Alvadia;304;132;23;22;37;38;52;
;11B170902: Canedo;588;205;56;38;74;96;119;
;11B170906: Santa Marinha;539;215;44;40;68;93;79;
;11B170908: União das freguesias de Cerva e Limões;1832;762;147;155;203;276;289;
;11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;2117;828;180;203;268;310;328;
;11B1712: Valpaços;16625;5781;1305;1720;2307;2729;2783;
;11B171201: Água Revés e Crasto;548;193;43;60;69;94;89;
;11B171203: Algeriz;747;273;69;84;103;105;113;
;11B171205: Bouçoães;724;228;67;75;82;125;147;
;11B171206: Canaveses;426;166;29;52;56;70;53;
;11B171232: Carrazedo de Montenegro e Curros;1607;590;122;162;227;255;251;
;11B171209: Ervões;926;329;69;99;126;141;162;
;11B171211: Fornos do Pinhal;352;112;22;35;55;61;67;
;11B171212: Friões;957;289;82;103;128;173;182;
;11B171233: Lebução, Fiães e Nozelos;733;236;43;60;122;131;141;
;11B171215: Padrela e Tazem;504;204;54;50;64;63;69;
;11B171216: Possacos;449;159;41;52;61;69;67;
;11B171217: Rio Torto;532;179;44;64;77;80;88;
;11B171219: Santa Maria de Emeres;556;181;34;79;74;84;104;
;11B171220: Santa Valha;613;219;48;69;104;93;80;
;11B171221: Santiago da Ribeira de Alhariz;1014;388;90;90;152;140;154;
;11B171222: São João da Corveira;802;309;70;72;86;136;129;
;11B171223: São Pedro de Veiga de Lila;427;161;27;45;59;75;60;
;11B171224: Serapicos;295;112;23;17;42;59;42;
;11B171234: Sonim e Barreiros;501;179;25;59;64;92;82;
;11B171235: Tinhela e Alvarelhos;571;202;42;52;80;88;107;
;11B171227: Vales;389;133;33;44;44;66;69;
;11B171236: Valpaços e Sanfins;1230;376;100;126;171;231;226;
;11B171229: Vassal;522;179;49;45;71;86;92;
;11B171230: Veiga de Lila;345;110;23;41;50;53;68;
;11B171231: Vilarandelo;855;274;56;85;140;159;141;
;11B1713: Vila Pouca de Aguiar;8895;3368;734;890;1286;1376;1241;
;11B171302: Alfarela de Jales;462;180;34;60;58;66;64;
;11B171319: Alvão;700;331;59;74;62;93;81;
;11B171303: Bornes de Aguiar;979;350;99;80;152;149;149;
;11B171304: Bragado;549;203;49;67;78;82;70;
;11B171305: Capeludos;521;186;34;59;77;85;80;
;11B171317: Sabroso de Aguiar;- -;- -;- -;- -;- -;- -;- -;
;11B171310: Soutelo de Aguiar;836;352;71;74;121;104;114;
;11B171311: Telões;1161;452;105;126;157;162;159;
;11B171312: Tresminas;608;233;58;51;89;95;82;
;11B171320: União das freguesias de Pensalvos e Parada de Monteiros;434;159;28;36;80;82;49;
;11B171313: Valoura;451;195;35;45;55;59;62;
;11B171314: Vila Pouca de Aguiar;645;226;53;65;93;110;98;
;11B171315: Vreia de Bornes;772;248;52;96;129;148;99;
;11B171316: Vreia de Jales;777;253;57;57;135;141;134;
;11C: Tâmega e Sousa;111530;51423;11575;9870;12825;13993;11844;
;11C1301: Amarante;15246;7012;1682;1370;1734;1957;1491;
;11C130103: Ansiães;351;161;25;32;43;61;29;
;11C130107: Candemil;457;211;41;35;63;72;35;
;11C130112: Fregim;743;389;73;56;99;86;40;
;11C130115: Fridão;208;93;22;21;15;29;28;
;11C130117: Gondar;592;288;77;38;67;66;56;
;11C130134: Gouveia (São Simão);447;209;32;52;38;65;51;
;11C130118: Jazente;246;116;32;30;21;25;22;
;11C130119: Lomba;245;118;18;22;31;37;19;
;11C130120: Louredo;192;93;15;13;23;27;21;
;11C130121: Lufrei;464;210;58;32;45;69;50;
;11C130123: Mancelos;983;470;113;90;112;116;82;
;11C130126: Padronelo;153;87;10;14;24;11;7;
;11C130128: Rebordelo;179;97;16;12;17;27;10;
;11C130129: Salvador do Monte;456;210;38;47;58;53;50;
;11C130135: Telões;1324;572;180;126;141;169;136;
;11C130136: Travanca;620;285;63;59;60;84;69;
;11C130141: União das freguesias de Aboadela, Sanche e Várzea;730;377;68;65;90;79;51;
;11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;1311;561;145;132;179;166;128;
;11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;791;344;70;57;86;110;124;
;11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);828;389;97;77;72;101;92;
;11C130145: União das freguesias de Freixo de Cima e de Baixo;797;364;93;80;87;100;73;
;11C130146: União das freguesias de Olo e Canadelo;303;135;38;21;35;37;37;
;11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;958;427;116;97;126;109;83;
;11C130138: Vila Caiz;624;277;67;47;68;102;63;
;11C130139: Vila Chã do Marão;468;201;63;43;49;59;53;
;11C130147: Vila Meã;776;328;112;72;85;97;82;
;11C1302: Baião;10899;4549;996;1022;1415;1503;1414;
;11C130204: Frende;219;79;18;24;33;27;38;
;11C130205: Gestaçô;1118;461;116;110;131;146;154;
;11C130206: Gove;750;310;70;89;88;105;88;
;11C130207: Grilo;321;160;39;20;41;37;24;
;11C130208: Loivos do Monte;327;156;26;40;36;26;43;
;11C130215: Santa Marinha do Zêzere;1119;458;101;102;158;146;154;
;11C130221: União das freguesias de Ancede e Ribadouro;1125;412;106;97;136;215;159;
;11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;643;288;66;47;76;85;81;
;11C130223: União das freguesias de Campelo e Ovil;1576;602;142;116;211;259;246;
;11C130224: União das freguesias de Loivos da Ribeira e Tresouras;360;145;21;27;52;62;53;
;11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;1254;497;106;130;170;188;163;
;11C130226: União das freguesias de Teixeira e Teixeiró;1038;503;92;102;132;106;103;
;11C130219: Valadares;592;270;54;68;90;56;54;
;11C130220: Viariz;457;208;39;50;61;45;54;
;11C0106: Castelo de Paiva;4896;2254;530;501;585;539;487;
;11C010602: Fornos;453;170;45;51;65;61;61;
;11C010606: Real;865;410;109;101;77;82;86;
;11C010607: Santa Maria de Sardoura;919;457;98;104;99;90;71;
;11C010608: São Martinho de Sardoura;452;231;37;52;38;61;33;
;11C010610: União das freguesias de Raiva, Pedorido e Paraíso;970;432;108;87;122;107;114;
;11C010611: União das freguesias de Sobrado e Bairros;1237;554;133;106;184;138;122;
;11C0305: Celorico de Basto;11235;5185;1127;903;1148;1436;1436;
;11C030501: Agilde;572;252;58;50;61;71;80;
;11C030502: Arnóia;1207;517;149;116;103;136;186;
;11C030520: Basto (São Clemente);645;310;49;53;80;86;67;
;11C030503: Borba de Montanha;770;364;70;70;81;92;93;
;11C030508: Codeçoso;267;99;34;21;27;40;46;
;11C030510: Fervença;633;262;68;53;58;85;107;
;11C030515: Moreira do Castelo;446;218;42;29;46;56;55;
;11C030517: Rego;767;342;61;55;112;98;99;
;11C030518: Ribas;809;434;77;68;69;85;76;
;11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;1317;627;155;73;136;178;148;
;11C030524: União das freguesias de Caçarilhe e Infesta;749;343;63;75;77;85;106;
;11C030525: União das freguesias de Canedo de Basto e Corgo;767;343;51;66;74;123;110;
;11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);747;392;76;58;72;74;75;
;11C030527: União das freguesias de Veade, Gagos e Molares;943;411;94;78;96;134;130;
;11C030521: Vale de Bouro;596;271;80;38;56;93;58;
;11C1804: Cinfães;11503;4627;1179;1110;1313;1684;1590;
;11C180403: Cinfães;1380;507;118;128;164;233;230;
;11C180404: Espadanedo;516;245;55;58;41;69;48;
;11C180405: Ferreiros de Tendais;539;201;56;35;73;87;87;
;11C180406: Fornelos;573;213;57;69;70;87;77;
;11C180408: Moimenta;292;118;26;39;37;37;35;
;11C180409: Nespereira;1247;411;136;122;155;188;235;
;11C180410: Oliveira do Douro;771;309;86;63;82;124;107;
;11C180412: Santiago de Piães;1251;623;151;117;133;126;101;
;11C180413: São Cristóvão de Nogueira;1072;490;129;84;99;144;126;
;11C180414: Souselo;1067;429;113;101;128;181;115;
;11C180415: Tarouquela;570;244;44;71;76;68;67;
;11C180416: Tendais;875;285;88;61;115;151;175;
;11C180417: Travanca;627;261;52;83;63;80;88;
;11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;723;291;68;79;77;109;99;
;11C1303: Felgueiras;9291;4506;942;833;1065;1091;854;
;11C130301: Aião;204;103;29;13;21;32;6;
;11C130302: Airães;404;183;43;40;46;55;37;
;11C130305: Friande;350;180;46;26;42;31;25;
;11C130306: Idães;487;254;43;48;68;42;32;
;11C130307: Jugueiros;447;217;45;34;35;54;62;
;11C130313: Penacova;268;147;20;27;33;29;12;
;11C130314: Pinheiro;220;97;32;17;18;33;23;
;11C130315: Pombeiro de Ribavizela;336;173;28;25;45;33;32;
;11C130317: Refontoura;333;156;28;26;50;40;33;
;11C130318: Regilde;218;122;18;18;27;23;10;
;11C130319: Revinhade;133;71;16;10;17;12;7;
;11C130324: Sendim;440;225;55;42;34;45;39;
;11C130334: União das freguesias de Macieira da Lixa e Caramos;747;328;78;71;86;87;97;
;11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;1507;752;149;151;167;164;124;
;11C130336: União das freguesias de Pedreira, Rande e Sernande;629;287;67;60;62;96;57;
;11C130337: União das freguesias de Torrados e Sousa;469;232;52;47;38;65;35;
;11C130338: União das freguesias de Unhão e Lordelo;376;183;41;30;50;40;32;
;11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;1024;465;86;78;137;138;120;
;11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);309;162;30;36;33;24;24;
;11C130341: União das freguesias de Vila Verde e Santão;390;169;36;34;56;48;47;
;11C1305: Lousada;6294;3088;717;522;778;662;527;
;11C130502: Aveleda;180;94;19;18;24;10;15;
;11C130504: Caíde de Rei;309;142;33;23;48;31;32;
;11C130510: Lodares;229;101;23;23;28;29;25;
;11C130512: Macieira;184;87;23;17;18;28;11;
;11C130513: Meinedo;628;274;68;49;86;81;70;
;11C130515: Nevogilde;410;195;51;28;56;53;27;
;11C130524: Sousela;358;188;35;34;45;25;31;
;11C130525: Torno;304;147;36;16;47;31;27;
;11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);374;182;59;26;44;38;25;
;11C130528: União das freguesias de Cristelos, Boim e Ordem;701;367;88;67;78;52;49;
;11C130529: União das freguesias de Figueiras e Covas;415;217;55;30;41;42;30;
;11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);811;424;70;56;100;100;61;
;11C130531: União das freguesias de Nespereira e Casais;414;209;36;46;38;49;36;
;11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;732;356;87;73;87;68;61;
;11C130526: Vilar do Torno e Alentém;245;105;34;16;38;25;27;
;11C1307: Marco de Canaveses;13065;6506;1308;1126;1461;1494;1170;
;11C130732: Alpendorada, Várzea e Torrão;1352;686;122;105;168;141;130;
;11C130733: Avessadas e Rosém;523;255;54;51;46;64;53;
;11C130704: Banho e Carvalhosa;342;144;39;32;45;44;38;
;11C130734: Bem Viver;731;339;81;64;60;101;86;
;11C130705: Constance;417;204;43;33;40;60;37;
;11C130736: Marco;787;386;105;65;84;93;54;
;11C130737: Paredes de Viadores e Manhuncelos;723;352;70;59;72;99;71;
;11C130738: Penha Longa e Paços de Gaiolo;1243;653;106;108;155;140;81;
;11C130739: Sande e São Lourenço do Douro;927;489;69;86;92;109;82;
;11C130735: Santo Isidoro e Livração;319;116;48;33;35;47;40;
;11C130722: Soalhães;1242;663;138;103;123;129;86;
;11C130723: Sobretâmega;249;113;27;27;37;22;23;
;11C130724: Tabuado;532;267;64;40;59;58;44;
;11C130740: Várzea, Aliviada e Folhada;1306;664;128;95;154;147;118;
;11C130741: Vila Boa de Quires e Maureles;1447;751;132;127;172;141;124;
;11C130730: Vila Boa do Bispo;925;424;82;98;119;99;103;
;11C1309: Paços de Ferreira;5424;2392;621;441;660;754;556;
;11C130902: Carvalhosa;617;262;82;37;61;103;72;
;11C130904: Eiriz;310;138;37;27;26;41;41;
;11C130905: Ferreira;922;438;109;85;125;100;65;
;11C130906: Figueiró;260;110;32;36;27;29;26;
;11C130917: Frazão Arreigada;485;195;56;30;50;92;62;
;11C130908: Freamunde;405;174;54;25;51;64;37;
;11C130910: Meixomil;353;143;49;24;41;43;53;
;11C130918: Paços de Ferreira;473;229;44;40;60;58;42;
;11C130913: Penamaior;400;147;41;39;59;63;51;
;11C130914: Raimonda;252;116;24;27;35;35;15;
;11C130919: Sanfins Lamoso Codessos;663;315;72;43;90;86;57;
;11C130916: Seroa;284;125;21;28;35;40;35;
;11C1311: Penafiel;15621;7838;1686;1378;1728;1692;1299;
;11C131101: Abragão;875;479;74;70;109;84;59;
;11C131102: Boelhe;533;312;50;48;63;32;28;
;11C131103: Bustelo;596;245;76;65;62;82;66;
;11C131104: Cabeça Santa;322;163;28;22;32;44;33;
;11C131105: Canelas;410;210;49;36;38;45;32;
;11C131106: Capela;411;227;35;53;37;32;27;
;11C131107: Castelões;322;149;32;28;29;41;43;
;11C131108: Croca;515;243;65;32;58;63;54;
;11C131109: Duas Igrejas;685;337;81;62;92;70;43;
;11C131110: Eja;180;90;16;11;20;30;13;
;11C131112: Fonte Arcada;387;206;41;26;27;51;36;
;11C131113: Galegos;641;309;74;51;73;71;63;
;11C131141: Guilhufe e Urrô;657;336;61;65;71;67;57;
;11C131115: Irivo;578;272;97;50;65;56;38;
;11C131142: Lagares e Figueira;812;411;94;67;95;76;69;
;11C131140: Luzim e Vila Cova;730;365;64;72;87;88;54;
;11C131121: Oldrões;387;205;25;52;40;33;32;
;11C131122: Paço de Sousa;612;302;62;58;90;43;57;
;11C131139: Penafiel;2032;1015;240;172;228;216;161;
;11C131125: Perozelo;376;204;32;37;36;32;35;
;11C131128: Rans;460;239;56;42;37;61;25;
;11C131132: Recezinhos (São Mamede);372;189;29;20;50;49;35;
;11C131133: Recezinhos (São Martinho);733;326;97;61;77;92;80;
;11C131129: Rio de Moinhos;549;254;65;48;63;65;54;
;11C131138: Rio Mau;205;100;23;24;22;23;13;
;11C131134: Sebolido;52;19;7;4;9;5;8;
;11C131143: Termas de São Vicente;790;406;85;62;77;97;63;
;11C131136: Valpedre;399;225;28;40;41;44;21;
;11C1813: Resende;8056;3466;787;664;938;1181;1020;
;11C181302: Barrô;740;272;73;49;116;123;107;
;11C181303: Cárquere;571;280;50;49;67;68;57;
;11C181310: Paus;664;253;59;50;68;108;126;
;11C181311: Resende;1289;602;150;109;119;182;127;
;11C181312: São Cipriano;681;281;62;47;88;102;101;
;11C181313: São João de Fontoura;624;273;59;61;63;88;80;
;11C181314: São Martinho de Mouros;1061;481;78;92;149;166;95;
;11C181316: União das freguesias de Anreade e São Romão de Aregos;909;371;107;81;118;127;105;
;11C181317: União das freguesias de Felgueiras e Feirão;371;173;35;27;28;60;48;
;11C181318: União das freguesias de Freigil e Miomães;582;254;70;51;68;75;64;
;11C181319: União das freguesias de Ovadas e Panchorra;564;226;44;48;54;82;110;
;11D: Douro;119506;41632;9953;11975;16928;19612;19406;
;11D1701: Alijó;10844;3731;836;1156;1610;1757;1754;
;11D170101: Alijó;1243;457;100;130;205;150;201;
;11D170107: Favaios;869;294;67;91;124;136;157;
;11D170108: Pegarinhos;531;209;30;46;68;82;96;
;11D170109: Pinhão;70;21;9;8;13;8;11;
;11D170112: Sanfins do Douro;1636;520;139;180;223;289;285;
;11D170113: Santa Eugénia;452;143;28;57;66;80;78;
;11D170114: São Mamede de Ribatua;905;305;70;137;129;131;133;
;11D170120: União das freguesias de Carlão e Amieiro;1196;409;86;128;199;193;181;
;11D170121: União das freguesias de Castedo e Cotas;666;253;71;58;100;106;78;
;11D170122: União das freguesias de Pópulo e Ribalonga;517;176;30;45;85;98;83;
;11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;499;189;30;41;66;87;86;
;11D170116: Vila Chã;548;143;46;49;89;126;95;
;11D170117: Vila Verde;631;223;39;61;88;105;115;
;11D170118: Vilar de Maçada;1081;389;91;125;155;166;155;
;11D1801: Armamar;5907;2276;561;576;704;895;895;
;11D180101: Aldeias;343;112;28;29;52;64;58;
;11D180120: Armamar;735;251;95;62;82;129;116;
;11D180104: Cimbres;288;116;29;31;41;41;30;
;11D180106: Folgosa;306;110;35;35;45;36;45;
;11D180107: Fontelo;574;206;46;47;76;105;94;
;11D180109: Queimada;349;127;26;30;46;63;57;
;11D180110: Queimadela;338;149;39;31;33;48;38;
;11D180111: Santa Cruz;129;47;6;9;17;20;30;
;11D180114: São Cosmado;706;322;63;82;70;73;96;
;11D180115: São Martinho das Chãs;564;226;60;69;64;67;78;
;11D180121: União das freguesias de Aricera e Goujoim;323;132;27;17;45;51;51;
;11D180122: União das freguesias de São Romão e Santiago;456;185;33;43;55;67;73;
;11D180123: União das freguesias de Vila Seca e Santo Adrião;512;167;45;58;50;84;108;
;11D180118: Vacalar;284;126;29;33;28;47;21;
;11D0403: Carrazeda de Ansiães;6245;1837;412;604;905;1189;1298;
;11D040304: Carrazeda de Ansiães;344;124;27;30;53;50;60;
;11D040306: Fonte Longa;362;107;20;24;54;84;73;
;11D040308: Linhares;572;164;39;58;68;116;127;
;11D040309: Marzagão;355;111;26;49;45;51;73;
;11D040311: Parambos;307;108;7;43;54;48;47;
;11D040312: Pereiros;302;104;24;25;52;51;46;
;11D040313: Pinhal do Norte;387;97;40;34;51;86;79;
;11D040314: Pombal;460;111;31;35;71;105;107;
;11D040316: Seixo de Ansiães;453;95;32;30;86;109;101;
;11D040320: União das freguesias de Amedo e Zedes;426;157;24;42;68;61;74;
;11D040321: União das freguesias de Belver e Mogo de Malta;305;77;19;33;42;44;90;
;11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;716;237;42;81;95;126;135;
;11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;661;174;46;68;92;132;149;
;11D040318: Vilarinho da Castanheira;595;171;35;52;74;126;137;
;11D0404: Freixo de Espada à Cinta;3096;814;152;303;550;631;646;
;11D040404: Ligares;536;160;32;63;81;89;111;
;11D040406: Poiares;446;117;17;40;84;83;105;
;11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;1241;337;76;126;222;257;223;
;11D040408: União das freguesias de Lagoaça e Fornos;873;200;27;74;163;202;207;
;11D1805: Lamego;10107;3997;1016;882;1268;1520;1424;
;11D180502: Avões;133;48;10;8;17;26;24;
;11D180504: Britiande;479;176;41;47;63;88;64;
;11D180505: Cambres;1044;374;102;106;130;151;181;
;11D180507: Ferreirim;630;262;60;53;82;99;74;
;11D180508: Ferreiros de Avões;234;88;28;14;38;39;27;
;11D180509: Figueira;507;187;66;51;65;57;81;
;11D180510: Lalim;432;187;30;33;57;64;61;
;11D180525: Lamego (Almacave e Sé);1124;385;115;103;127;217;177;
;11D180511: Lazarim;416;185;27;32;66;52;54;
;11D180516: Penajóia;1043;358;128;108;141;160;148;
;11D180517: Penude;1049;508;94;70;111;130;136;
;11D180519: Samodães;168;53;17;13;25;31;29;
;11D180520: Sande;376;164;44;38;35;47;48;
;11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;492;221;33;31;65;69;73;
;11D180527: União das freguesias de Cepões, Meijinhos e Melcões;700;268;77;63;74;127;91;
;11D180528: União das freguesias de Parada do Bispo e Valdigem;561;223;76;56;71;73;62;
;11D180523: Várzea de Abrunhais;295;103;33;30;40;50;39;
;11D180524: Vila Nova de Souto d'El-Rei;424;207;35;26;61;40;55;
;11D1704: Mesão Frio;2638;846;230;304;402;432;424;
;11D170401: Barqueiros;343;66;31;33;66;77;70;
;11D170402: Cidadelhe;157;55;17;18;14;26;27;
;11D170408: Mesão Frio (Santo André);914;286;61;106;143;155;163;
;11D170403: Oliveira;322;127;39;30;42;32;52;
;11D170407: Vila Marim;902;312;82;117;137;142;112;
;11D1807: Moimenta da Beira;6276;2485;612;644;804;873;858;
;11D180702: Alvite;830;380;119;101;83;84;63;
;11D180703: Arcozelos;392;136;35;33;48;64;76;
;11D180705: Baldos;189;88;17;21;29;21;13;
;11D180706: Cabaços;353;156;33;35;41;39;49;
;11D180707: Caria;515;209;49;55;62;67;73;
;11D180708: Castelo;106;23;8;7;17;26;25;
;11D180709: Leomil;580;246;54;58;74;80;68;
;11D180710: Moimenta da Beira;465;184;45;47;69;60;60;
;11D180713: Passô;319;133;26;24;37;59;40;
;11D180716: Vila da Rua;527;196;39;56;87;72;77;
;11D180717: Sarzedo;146;51;13;19;13;27;23;
;11D180719: Sever;452;214;46;49;45;58;40;
;11D180721: União das freguesias de Paradinha e Nagosa;201;59;11;23;24;41;43;
;11D180722: União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;490;164;55;52;70;75;74;
;11D180723: União das freguesias de Peva e Segões;476;127;45;41;73;75;115;
;11D180720: Vilar;235;119;17;23;32;25;19;
;11D1707: Murça;5388;1920;480;542;743;911;792;
;11D170701: Candedo;1502;570;147;167;225;214;179;
;11D170703: Fiolhoso;469;165;36;42;75;77;74;
;11D170704: Jou;983;279;56;73;143;250;182;
;11D170705: Murça;531;184;42;53;72;87;93;
;11D170710: União das freguesias de Carva e Vilares;406;166;22;35;51;69;63;
;11D170711: União das freguesias de Noura e Palheiros;1088;415;134;121;124;158;136;
;11D170708: Valongo de Milhais;409;141;43;51;53;56;65;
;11D1812: Penedono;2405;805;213;228;322;395;442;
;11D181202: Beselga;342;122;31;27;60;54;48;
;11D181203: Castainço;124;37;6;11;14;32;24;
;11D181207: Penela da Beira;230;58;21;21;27;47;56;
;11D181208: Póvoa de Penela;396;148;33;36;55;59;65;
;11D181209: Souto;265;90;29;34;37;32;43;
;11D181210: União das freguesias de Antas e Ourozinho;397;116;39;26;53;70;93;
;11D181211: União das freguesias de Penedono e Granja;651;234;54;73;76;101;113;
;11D1708: Peso da Régua;5954;2204;516;673;843;902;816;
;11D170802: Fontelas;331;126;39;32;48;46;40;
;11D170805: Loureiro;667;249;46;88;91;114;79;
;11D170809: Sedielos;726;260;48;61;97;132;128;
;11D170813: União das freguesias de Galafura e Covelinhas;973;425;101;136;122;121;68;
;11D170814: União das freguesias de Moura Morta e Vinhós;796;289;54;91;115;121;126;
;11D170815: União das freguesias de Peso da Régua e Godim;798;252;82;74;113;147;130;
;11D170816: União das freguesias de Poiares e Canelas;1092;408;92;119;171;143;159;
;11D170810: Vilarinho dos Freires;571;195;54;72;86;78;86;
;11D1710: Sabrosa;5115;1717;397;546;743;838;874;
;11D171001: Celeirós;184;66;12;16;25;29;36;
;11D171002: Covas do Douro;559;184;37;63;71;75;129;
;11D171004: Gouvinhas;298;114;26;41;34;42;41;
;11D171007: Paços;558;191;44;68;74;88;93;
;11D171005: Parada de Pinhão;340;122;34;38;50;46;50;
;11D171009: Sabrosa;462;134;39;42;65;106;76;
;11D171011: São Lourenço de Ribapinhão;333;122;28;26;38;64;55;
;11D171013: Souto Maior;415;166;43;48;66;49;43;
;11D171014: Torre do Pinhão;287;82;17;23;52;48;65;
;11D171016: União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro;548;158;45;60;83;99;103;
;11D171017: União das freguesias de São Martinho de Antas e Paradela de Guiães;904;299;56;99;149;157;144;
;11D171015: Vilarinho de São Romão;227;79;16;22;36;35;39;
;11D1711: Santa Marta de Penaguião;5319;1776;455;597;784;912;795;
;11D171101: Alvações do Corgo;389;132;49;45;43;72;48;
;11D171102: Cumieira;916;304;63;103;150;162;134;
;11D171103: Fontes;781;250;57;79;146;130;119;
;11D171106: Medrões;488;157;57;54;62;84;74;
;11D171110: Sever;655;241;61;84;90;105;74;
;11D171111: União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane;1348;433;113;169;191;230;212;
;11D171112: União das freguesias de Louredo e Fornelos;742;259;55;63;102;129;134;
;11D1815: São João da Pesqueira;8022;2715;683;929;1226;1257;1212;
;11D181501: Castanheiro do Sul;644;220;38;81;94;105;106;
;11D181502: Ervedosa do Douro;1113;314;81;136;194;189;199;
;11D181504: Nagozelo do Douro;457;159;41;51;83;72;51;
;11D181505: Paredes da Beira;650;223;57;65;100;85;120;
;11D181507: Riodades;459;161;33;54;65;84;62;
;11D181509: Soutelo do Douro;580;190;46;66;90;92;96;
;11D181515: União das freguesias de São João da Pesqueira e Várzea de Trevões;1293;456;130;131;191;219;166;
;11D181516: União das freguesias de Trevões e Espinhosa;1024;346;106;134;144;154;140;
;11D181517: União das freguesias de Vilarouco e Pereiros;654;198;47;70;101;102;136;
;11D181511: Vale de Figueira;867;348;85;106;126;118;84;
;11D181512: Valongo dos Azeites;281;100;19;35;38;37;52;
;11D1818: Sernancelhe;4712;1869;430;390;621;684;718;
;11D181801: Arnas;259;100;27;16;23;39;54;
;11D181802: Carregal;617;278;69;32;86;88;64;
;11D181803: Chosendo;208;79;15;14;34;37;29;
;11D181804: Cunha;284;116;30;29;33;33;43;
;11D181806: Faia;104;36;8;6;12;17;25;
;11D181810: Granjal;207;85;15;19;31;31;26;
;11D181811: Lamosa;220;88;30;12;25;32;33;
;11D181814: Quintela;309;130;37;28;30;45;39;
;11D181818: União das freguesias de Ferreirim e Macieira;591;236;53;71;77;78;76;
;11D181819: União das freguesias de Fonte Arcada e Escurquela;391;136;26;38;57;59;75;
;11D181820: União das freguesias de Penso e Freixinho;375;135;27;30;54;54;75;
