
Statistical table extracted on October 11, 2022 (22:36:52)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
;11C010608: São Martinho de Sardoura;129;5;90;21;13;
;11C010610: União das freguesias de Raiva, Pedorido e Paraíso;363;35;242;58;28;
;11C010611: União das freguesias de Sobrado e Bairros;244;22;146;26;50;
;11C0305: Celorico de Basto;3196;454;2007;403;332;
;11C030501: Agilde;225;23;155;32;15;
;11C030502: Arnóia;419;54;228;64;73;
;11C030520: Basto (São Clemente);117;33;56;11;17;
;11C030503: Borba de Montanha;180;40;129;9;2;
;11C030508: Codeçoso;97;2;70;19;6;
;11C030510: Fervença;280;28;185;39;28;
;11C030515: Moreira do Castelo;101;7;75;8;11;
;11C030517: Rego;172;26;119;14;13;
;11C030518: Ribas;139;15;104;12;8;
;11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;372;61;206;64;41;
;11C030524: União das freguesias de Caçarilhe e Infesta;178;26;132;16;4;
;11C030525: União das freguesias de Canedo de Basto e Corgo;169;13;98;27;31;
;11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);266;50;170;32;14;
;11C030527: União das freguesias de Veade, Gagos e Molares;319;42;175;47;55;
;11C030521: Vale de Bouro;162;34;105;9;14;
;11C1804: Cinfães;3289;474;2069;433;313;
;11C180403: Cinfães;387;49;209;71;58;
;11C180404: Espadanedo;146;28;89;18;11;
;11C180405: Ferreiros de Tendais;244;44;143;40;17;
;11C180406: Fornelos;123;7;93;12;11;
;11C180408: Moimenta;71;11;42;10;8;
;11C180409: Nespereira;408;89;265;38;16;
;11C180410: Oliveira do Douro;298;43;162;47;46;
;11C180412: Santiago de Piães;384;73;245;41;25;
;11C180413: São Cristóvão de Nogueira;291;41;181;42;27;
;11C180414: Souselo;140;9;96;13;22;
;11C180415: Tarouquela;123;13;79;13;18;
;11C180416: Tendais;331;32;233;48;18;
;11C180417: Travanca;169;13;107;19;30;
;11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;174;22;125;21;6;
;11C1303: Felgueiras;2948;412;1764;432;340;
;11C130301: Aião;102;20;62;12;8;
;11C130302: Airães;130;16;79;18;17;
;11C130305: Friande;138;23;83;18;14;
;11C130306: Idães;232;31;152;31;18;
;11C130307: Jugueiros;96;12;63;16;5;
;11C130313: Penacova;85;13;47;11;14;
;11C130314: Pinheiro;49;5;30;10;4;
;11C130315: Pombeiro de Ribavizela;73;13;46;9;5;
;11C130317: Refontoura;159;22;97;19;21;
;11C130318: Regilde;60;6;44;6;4;
;11C130319: Revinhade;54;5;37;9;3;
;11C130324: Sendim;74;13;55;4;2;
;11C130334: União das freguesias de Macieira da Lixa e Caramos;198;28;113;30;27;
;11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;349;64;176;61;48;
;11C130336: União das freguesias de Pedreira, Rande e Sernande;181;23;109;20;29;
;11C130337: União das freguesias de Torrados e Sousa;104;16;64;14;10;
;11C130338: União das freguesias de Unhão e Lordelo;206;34;111;35;26;
;11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;457;44;273;77;63;
;11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);58;12;40;5;1;
;11C130341: União das freguesias de Vila Verde e Santão;143;12;83;27;21;
;11C1305: Lousada;1705;247;977;246;235;
;11C130502: Aveleda;76;8;49;9;10;
;11C130504: Caíde de Rei;116;14;51;26;25;
;11C130510: Lodares;83;29;34;8;12;
;11C130512: Macieira;51;1;40;6;4;
;11C130513: Meinedo;260;18;145;42;55;
;11C130515: Nevogilde;79;12;48;15;4;
;11C130524: Sousela;46;5;28;7;6;
;11C130525: Torno;172;15;120;19;18;
;11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);135;20;87;19;9;
;11C130528: União das freguesias de Cristelos, Boim e Ordem;169;68;54;19;28;
;11C130529: União das freguesias de Figueiras e Covas;52;7;33;3;9;
;11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);153;23;98;16;16;
;11C130531: União das freguesias de Nespereira e Casais;105;13;63;16;13;
;11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;162;10;92;39;21;
;11C130526: Vilar do Torno e Alentém;46;4;35;2;5;
;11C1307: Marco de Canaveses;2203;348;1250;303;302;
;11C130732: Alpendorada, Várzea e Torrão;145;35;69;18;23;
;11C130733: Avessadas e Rosém;105;23;63;8;11;
;11C130704: Banho e Carvalhosa;63;9;36;11;7;
;11C130734: Bem Viver;76;17;40;8;11;
;11C130705: Constance;108;8;57;27;16;
;11C130736: Marco;120;19;68;19;14;
;11C130737: Paredes de Viadores e Manhuncelos;136;17;82;21;16;
;11C130738: Penha Longa e Paços de Gaiolo;222;33;127;31;31;
;11C130739: Sande e São Lourenço do Douro;100;26;44;11;19;
;11C130735: Santo Isidoro e Livração;48;- -;33;8;7;
;11C130722: Soalhães;330;47;206;47;30;
;11C130723: Sobretâmega;53;9;31;5;8;
;11C130724: Tabuado;79;5;54;8;12;
;11C130740: Várzea, Aliviada e Folhada;236;36;149;20;31;
;11C130741: Vila Boa de Quires e Maureles;238;38;126;39;35;
;11C130730: Vila Boa do Bispo;144;26;65;22;31;
;11C1309: Paços de Ferreira;867;94;597;93;83;
;11C130902: Carvalhosa;75;6;57;8;4;
;11C130904: Eiriz;69;6;51;6;6;
;11C130905: Ferreira;106;13;71;11;11;
;11C130906: Figueiró;56;4;35;12;5;
;11C130917: Frazão Arreigada;90;19;57;4;10;
;11C130908: Freamunde;59;2;46;10;1;
;11C130910: Meixomil;63;10;37;8;8;
;11C130918: Paços de Ferreira;60;3;37;10;10;
;11C130913: Penamaior;58;6;37;9;6;
;11C130914: Raimonda;43;6;30;1;6;
;11C130919: Sanfins Lamoso Codessos;118;12;93;6;7;
;11C130916: Seroa;70;7;46;8;9;
;11C1311: Penafiel;2987;576;1574;433;404;
;11C131101: Abragão;183;45;110;17;11;
;11C131102: Boelhe;97;11;57;11;18;
;11C131103: Bustelo;131;9;64;26;32;
;11C131104: Cabeça Santa;62;10;32;12;8;
;11C131105: Canelas;91;27;35;9;20;
;11C131106: Capela;82;45;25;5;7;
;11C131107: Castelões;70;22;24;10;14;
;11C131108: Croca;135;27;85;13;10;
;11C131109: Duas Igrejas;131;32;76;17;6;
;11C131110: Eja;41;6;14;4;17;
;11C131112: Fonte Arcada;118;11;79;14;14;
;11C131113: Galegos;92;15;50;15;12;
;11C131141: Guilhufe e Urrô;82;8;53;10;11;
;11C131115: Irivo;48;4;31;7;6;
;11C131142: Lagares e Figueira;313;46;181;50;36;
;11C131140: Luzim e Vila Cova;125;33;76;11;5;
;11C131121: Oldrões;38;3;26;6;3;
;11C131122: Paço de Sousa;183;20;104;32;27;
;11C131139: Penafiel;306;46;171;50;39;
;11C131125: Perozelo;53;7;34;6;6;
;11C131128: Rans;76;12;33;22;9;
;11C131132: Recezinhos (São Mamede);78;39;21;11;7;
;11C131133: Recezinhos (São Martinho);171;56;59;21;35;
;11C131129: Rio de Moinhos;72;8;30;21;13;
;11C131138: Rio Mau;8;- -;3;2;3;
;11C131134: Sebolido;12;2;6;4;- -;
;11C131143: Termas de São Vicente;146;29;71;18;28;
;11C131136: Valpedre;43;3;24;9;7;
;11C1813: Resende;3084;437;1866;448;333;
;11C181302: Barrô;305;19;206;43;37;
;11C181303: Cárquere;239;44;118;44;33;
;11C181310: Paus;249;51;149;25;24;
;11C181311: Resende;426;45;261;67;53;
;11C181312: São Cipriano;180;25;112;28;15;
;11C181313: São João de Fontoura;222;26;159;22;15;
;11C181314: São Martinho de Mouros;469;64;290;62;53;
;11C181316: União das freguesias de Anreade e São Romão de Aregos;402;66;228;56;52;
;11C181317: União das freguesias de Felgueiras e Feirão;210;36;121;37;16;
;11C181318: União das freguesias de Freigil e Miomães;244;36;138;45;25;
;11C181319: União das freguesias de Ovadas e Panchorra;138;25;84;19;10;
;11D: Douro;56652;6161;34972;8059;7460;
;11D1701: Alijó;5214;419;3403;720;672;
;11D170101: Alijó;702;59;416;114;113;
;11D170107: Favaios;576;33;332;105;106;
;11D170108: Pegarinhos;240;14;169;29;28;
;11D170109: Pinhão;39;4;26;3;6;
;11D170112: Sanfins do Douro;789;75;497;120;97;
;11D170113: Santa Eugénia;233;29;157;29;18;
;11D170114: São Mamede de Ribatua;339;28;222;41;48;
;11D170120: União das freguesias de Carlão e Amieiro;540;14;416;65;45;
;11D170121: União das freguesias de Castedo e Cotas;488;25;324;60;79;
;11D170122: União das freguesias de Pópulo e Ribalonga;194;37;134;14;9;
;11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;205;14;145;19;27;
;11D170116: Vila Chã;175;24;112;23;16;
;11D170117: Vila Verde;179;19;120;19;21;
;11D170118: Vilar de Maçada;515;44;333;79;59;
;11D1801: Armamar;2547;216;1595;403;333;
;11D180101: Aldeias;207;16;124;37;30;
;11D180120: Armamar;322;28;213;42;39;
;11D180104: Cimbres;139;11;96;19;13;
;11D180106: Folgosa;124;11;73;19;21;
;11D180107: Fontelo;342;31;213;55;43;
;11D180109: Queimada;139;11;87;20;21;
;11D180110: Queimadela;158;17;96;22;23;
;11D180111: Santa Cruz;120;11;68;24;17;
;11D180114: São Cosmado;182;20;115;24;23;
;11D180115: São Martinho das Chãs;124;8;78;24;14;
;11D180121: União das freguesias de Aricera e Goujoim;87;9;60;12;6;
;11D180122: União das freguesias de São Romão e Santiago;132;13;75;22;22;
;11D180123: União das freguesias de Vila Seca e Santo Adrião;304;18;196;57;33;
;11D180118: Vacalar;167;12;101;26;28;
;11D0403: Carrazeda de Ansiães;2858;317;1777;424;340;
;11D040304: Carrazeda de Ansiães;146;5;110;15;16;
;11D040306: Fonte Longa;124;8;85;24;7;
;11D040308: Linhares;250;51;146;26;27;
;11D040309: Marzagão;122;1;88;21;12;
;11D040311: Parambos;102;13;53;20;16;
;11D040312: Pereiros;144;24;85;25;10;
;11D040313: Pinhal do Norte;250;27;152;42;29;
;11D040314: Pombal;239;23;142;41;33;
;11D040316: Seixo de Ansiães;185;20;120;16;29;
;11D040320: União das freguesias de Amedo e Zedes;181;45;109;16;11;
;11D040321: União das freguesias de Belver e Mogo de Malta;153;9;99;25;20;
;11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;395;42;220;72;61;
;11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;286;8;187;46;45;
;11D040318: Vilarinho da Castanheira;281;41;181;35;24;
;11D0404: Freixo de Espada à Cinta;2036;188;1333;252;263;
;11D040404: Ligares;195;25;118;28;24;
;11D040406: Poiares;210;27;112;29;42;
;11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;1031;76;696;135;124;
;11D040408: União das freguesias de Lagoaça e Fornos;600;60;407;60;73;
;11D1805: Lamego;4157;507;2429;599;622;
;11D180502: Avões;44;7;31;3;3;
;11D180504: Britiande;151;19;85;26;21;
;11D180505: Cambres;614;62;336;97;119;
;11D180507: Ferreirim;209;24;136;26;23;
;11D180508: Ferreiros de Avões;116;12;67;18;19;
;11D180509: Figueira;175;23;118;24;10;
;11D180510: Lalim;106;19;63;17;7;
;11D180525: Lamego (Almacave e Sé);604;56;306;97;145;
;11D180511: Lazarim;54;11;36;6;1;
;11D180516: Penajóia;525;59;293;88;85;
;11D180517: Penude;160;31;90;21;18;
;11D180519: Samodães;117;13;72;12;20;
;11D180520: Sande;355;29;231;47;48;
;11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;121;23;71;16;11;
;11D180527: União das freguesias de Cepões, Meijinhos e Melcões;289;31;194;32;32;
;11D180528: União das freguesias de Parada do Bispo e Valdigem;279;47;155;44;33;
;11D180523: Várzea de Abrunhais;106;17;74;8;7;
;11D180524: Vila Nova de Souto d'El-Rei;132;24;71;17;20;
;11D1704: Mesão Frio;1329;134;753;223;219;
;11D170401: Barqueiros;179;17;118;27;17;
;11D170402: Cidadelhe;103;5;51;25;22;
;11D170408: Mesão Frio (Santo André);342;24;188;64;66;
;11D170403: Oliveira;190;22;117;24;27;
;11D170407: Vila Marim;515;66;279;83;87;
;11D1807: Moimenta da Beira;2046;224;1372;269;181;
;11D180702: Alvite;247;16;200;23;8;
;11D180703: Arcozelos;91;4;71;10;6;
;11D180705: Baldos;51;8;39;3;1;
;11D180706: Cabaços;102;11;69;10;12;
;11D180707: Caria;133;16;86;23;8;
;11D180708: Castelo;167;28;96;17;26;
;11D180709: Leomil;175;8;118;28;21;
;11D180710: Moimenta da Beira;128;8;91;16;13;
;11D180713: Passô;128;20;79;19;10;
;11D180716: Vila da Rua;197;26;114;37;20;
;11D180717: Sarzedo;56;7;34;7;8;
;11D180719: Sever;88;1;72;13;2;
;11D180721: União das freguesias de Paradinha e Nagosa;103;11;61;13;18;
;11D180722: União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;151;26;94;16;15;
;11D180723: União das freguesias de Peva e Segões;155;27;99;19;10;
;11D180720: Vilar;74;7;49;15;3;
;11D1707: Murça;2807;257;1888;345;317;
;11D170701: Candedo;783;61;494;111;117;
;11D170703: Fiolhoso;141;21;103;11;6;
;11D170704: Jou;496;74;330;53;39;
;11D170705: Murça;362;26;227;55;54;
;11D170710: União das freguesias de Carva e Vilares;189;19;155;10;5;
;11D170711: União das freguesias de Noura e Palheiros;596;34;414;77;71;
;11D170708: Valongo de Milhais;240;22;165;28;25;
;11D1812: Penedono;1475;182;918;204;171;
;11D181202: Beselga;82;14;43;17;8;
;11D181203: Castainço;131;4;92;20;15;
;11D181207: Penela da Beira;231;35;153;24;19;
;11D181208: Póvoa de Penela;276;30;181;36;29;
;11D181209: Souto;169;19;97;18;35;
;11D181210: União das freguesias de Antas e Ourozinho;217;36;128;32;21;
;11D181211: União das freguesias de Penedono e Granja;369;44;224;57;44;
;11D1708: Peso da Régua;3166;259;2015;462;430;
;11D170802: Fontelas;181;15;94;39;33;
;11D170805: Loureiro;279;12;181;40;46;
;11D170809: Sedielos;259;29;178;30;22;
;11D170813: União das freguesias de Galafura e Covelinhas;632;51;454;71;56;
;11D170814: União das freguesias de Moura Morta e Vinhós;356;27;259;47;23;
;11D170815: União das freguesias de Peso da Régua e Godim;476;38;264;90;84;
;11D170816: União das freguesias de Poiares e Canelas;616;62;347;97;110;
;11D170810: Vilarinho dos Freires;367;25;238;48;56;
;11D1710: Sabrosa;2541;285;1460;386;410;
;11D171001: Celeirós;96;7;56;8;25;
;11D171002: Covas do Douro;285;28;148;48;61;
;11D171004: Gouvinhas;226;27;147;31;21;
;11D171007: Paços;242;47;131;26;38;
;11D171005: Parada de Pinhão;98;15;56;20;7;
;11D171009: Sabrosa;338;42;198;51;47;
;11D171011: São Lourenço de Ribapinhão;150;18;89;23;20;
;11D171013: Souto Maior;186;26;110;19;31;
;11D171014: Torre do Pinhão;83;15;58;8;2;
;11D171016: União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro;371;22;202;72;75;
;11D171017: União das freguesias de São Martinho de Antas e Paradela de Guiães;278;17;172;45;44;
;11D171015: Vilarinho de São Romão;188;21;93;35;39;
;11D1711: Santa Marta de Penaguião;3034;374;1708;463;489;
;11D171101: Alvações do Corgo;194;15;126;29;24;
;11D171102: Cumieira;593;82;318;94;99;
;11D171103: Fontes;317;49;200;34;34;
;11D171106: Medrões;243;23;144;27;49;
;11D171110: Sever;391;80;193;62;56;
;11D171111: União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane;788;79;438;142;129;
;11D171112: União das freguesias de Louredo e Fornelos;508;46;289;75;98;
;11D1815: São João da Pesqueira;4075;380;2602;599;494;
;11D181501: Castanheiro do Sul;317;29;196;54;38;
;11D181502: Ervedosa do Douro;542;44;323;89;86;
;11D181504: Nagozelo do Douro;288;23;195;51;19;
;11D181505: Paredes da Beira;259;43;179;21;16;
;11D181507: Riodades;157;31;107;5;14;
;11D181509: Soutelo do Douro;359;45;211;48;55;
;11D181515: União das freguesias de São João da Pesqueira e Várzea de Trevões;859;21;538;179;121;
;11D181516: União das freguesias de Trevões e Espinhosa;433;59;286;39;49;
;11D181517: União das freguesias de Vilarouco e Pereiros;401;54;251;51;45;
;11D181511: Vale de Figueira;325;19;219;45;42;
;11D181512: Valongo dos Azeites;135;12;97;17;9;
;11D1818: Sernancelhe;1883;204;1222;271;186;
;11D181801: Arnas;89;9;56;14;10;
;11D181802: Carregal;104;8;86;5;5;
;11D181803: Chosendo;134;20;84;19;11;
;11D181804: Cunha;113;13;77;17;6;
;11D181806: Faia;55;2;34;9;10;
;11D181810: Granjal;103;13;57;17;16;
;11D181811: Lamosa;34;6;24;2;2;
;11D181814: Quintela;129;16;70;37;6;
;11D181818: União das freguesias de Ferreirim e Macieira;321;28;232;33;28;
;11D181819: União das freguesias de Fonte Arcada e Escurquela;245;28;153;32;32;
;11D181820: União das freguesias de Penso e Freixinho;114;13;67;19;15;
;11D181821: União das freguesias de Sernancelhe e Sarzeda;360;38;235;52;35;
;11D181817: Vila da Ponte;82;10;47;15;10;
;11D1819: Tabuaço;2499;306;1597;336;260;
;11D181901: Adorigo;238;23;146;32;37;
;11D181902: Arcos;131;18;78;22;13;
;11D181904: Chavães;122;24;91;7;- -;
;11D181905: Desejosa;147;17;86;35;9;
;11D181906: Granja do Tedo;125;18;69;27;11;
;11D181908: Longa;126;15;85;12;14;
;11D181913: Sendim;471;66;318;56;31;
;11D181914: Tabuaço;190;26;94;38;32;
;11D181918: União das freguesias de Barcos e Santa Leocádia;338;34;203;56;45;
;11D181919: União das freguesias de Paradela e Granjinha;82;13;59;3;7;
;11D181920: União das freguesias de Pinheiros e Vale de Figueira;128;18;89;13;8;
;11D181921: União das freguesias de Távora e Pereiro;249;31;176;13;29;
;11D181917: Valença do Douro;152;3;103;22;24;
;11D1820: Tarouca;1699;209;1105;225;160;
;11D182004: Mondim da Beira;191;25;120;21;25;
;11D182005: Salzedas;326;41;223;41;21;
;11D182006: São João de Tarouca;181;27;125;20;9;
;11D182011: União das freguesias de Gouviães e Ucanha;317;31;207;46;33;
;11D182012: União das freguesias de Granja Nova e Vila Chã da Beira;239;24;155;37;23;
;11D182013: União das freguesias de Tarouca e Dálvares;355;27;232;53;43;
;11D182009: Várzea da Serra;90;34;43;7;6;
;11D0409: Torre de Moncorvo;3748;543;2066;520;619;
;11D040901: Açoreira;290;14;184;54;38;
;11D040903: Cabeça Boa;251;48;174;16;13;
;11D040905: Carviçais;430;74;244;50;62;
;11D040906: Castedo;160;61;73;12;14;
;11D040909: Horta da Vilariça;341;31;172;74;64;
;11D040910: Larinho;201;7;140;32;22;
;11D040911: Lousa;361;47;193;52;69;
;11D040913: Mós;210;24;127;23;36;
;11D040916: Torre de Moncorvo;228;27;101;35;65;
;11D040918: União das freguesias de Adeganha e Cardanha;326;133;137;23;33;
;11D040919: União das freguesias de Felgar e Souto da Velha;273;30;163;40;40;
;11D040920: União das freguesias de Felgueiras e Maçores;344;27;194;47;76;
;11D040921: União das freguesias de Urros e Peredo dos Castelhanos;333;20;164;62;87;
;11D0914: Vila Nova de Foz Côa;3308;337;1991;435;545;
;11D091401: Almendra;249;30;136;28;55;
;11D091402: Castelo Melhor;278;38;161;38;41;
;11D091403: Cedovim;287;19;190;30;48;
;11D091404: Chãs;211;23;137;28;23;
;11D091405: Custóias;174;14;131;13;16;
;11D091418: Freixo de Numão;380;50;237;52;41;
;11D091407: Horta;101;5;70;13;13;
;11D091410: Muxagata;164;17;78;28;41;
;11D091411: Numão;142;25;91;10;16;
;11D091412: Santa Comba;177;32;103;19;23;
;11D091414: Sebadelhe;127;5;88;20;14;
;11D091415: Seixas;164;11;141;5;7;
;11D091416: Touça;102;7;67;15;13;
;11D091419: Vila Nova de Foz Côa;752;61;361;136;194;
;11D1714: Vila Real;6230;820;3738;923;749;
;11D171401: Abaças;575;86;327;67;95;
;11D171403: Andrães;380;47;237;47;49;
;11D171404: Arroios;84;8;43;16;17;
;11D171406: Campeã;403;70;257;47;29;
;11D171409: Folhadela;383;26;237;65;55;
;11D171410: Guiães;366;25;233;68;40;
;11D171414: Lordelo;101;19;51;20;11;
;11D171415: Mateus;125;5;61;31;28;
;11D171416: Mondrões;246;24;160;37;25;
;11D171420: Parada de Cunhos;183;16;95;38;34;
;11D171426: Torgueda;214;26;146;29;13;
;11D171431: União das freguesias de Adoufe e Vilarinho de Samardã;433;68;238;80;47;
;11D171432: União das freguesias de Borbela e Lamas de Olo;257;49;143;31;34;
;11D171433: União das freguesias de Constantim e Vale de Nogueiras;364;47;213;50;54;
;11D171434: União das freguesias de Mouçós e Lamares;502;69;327;70;36;
;11D171435: União das freguesias de Nogueira e Ermida;643;69;387;102;85;
;11D171436: União das freguesias de Pena, Quintã e Vila Cova;311;55;197;37;22;
;11D171437: União das freguesias de São Tomé do Castelo e Justes;285;39;193;28;25;
;11D171429: Vila Marim;323;69;174;48;32;
;11D171438: Vila Real;52;3;19;12;18;
;11E: Terras de Trás-os-Montes;55376;6181;33458;7839;7898;
;11E0401: Alfândega da Fé;3456;452;1973;450;581;
;11E040102: Alfândega da Fé;526;52;259;89;126;
;11E040103: Cerejais;133;14;76;15;28;
;11E040111: Sambade;489;74;272;64;79;
;11E040121: União das freguesias de Agrobom, Saldonha e Vale Pereiro;281;65;171;18;27;
;11E040122: União das freguesias de Eucisia, Gouveia e Valverde;416;47;237;56;76;
;11E040123: União das freguesias de Ferradosa e Sendim da Serra;229;46;116;34;33;
;11E040124: União das freguesias de Gebelim e Soeima;354;51;220;42;41;
;11E040125: União das freguesias de Parada e Sendim da Ribeira;215;20;105;32;58;
;11E040126: União das freguesias de Pombal e Vales;167;27;92;27;21;
;11E040118: Vilar Chão;293;28;190;28;47;
;11E040119: Vilarelhos;156;14;89;28;25;
;11E040120: Vilares de Vilariça;197;14;146;17;20;
;11E0402: Bragança;10517;1135;6157;1580;1645;
;11E040201: Alfaião;199;18;103;40;38;
;11E040203: Babe;187;44;108;17;18;
;11E040204: Baçal;322;39;195;46;42;
;11E040206: Carragosa;201;26;102;34;39;
;11E040209: Castro de Avelãs;176;19;111;19;27;
;11E040210: Coelhoso;295;16;224;47;8;
;11E040212: Donai;218;19;116;35;48;
;11E040213: Espinhosela;423;38;242;73;70;
;11E040215: França;145;19;90;18;18;
;11E040216: Gimonde;219;31;129;33;26;
;11E040217: Gondesende;163;16;101;25;21;
;11E040218: Gostei;196;13;122;27;34;
;11E040219: Grijó de Parada;309;27;229;25;28;
;11E040221: Macedo do Mato;303;52;182;35;34;
;11E040224: Mós;174;32;95;22;25;
;11E040225: Nogueira;167;8;88;35;36;
;11E040226: Outeiro;293;43;171;31;48;
;11E040229: Parâmio;342;18;201;56;67;
;11E040230: Pinela;216;42;117;34;23;
;11E040232: Quintanilha;231;29;114;33;55;
;11E040233: Quintela de Lampaças;207;34;123;27;23;
;11E040234: Rabal;139;16;87;17;19;
;11E040236: Rebordãos;255;13;171;40;31;
;11E040239: Salsas;282;38;165;34;45;
;11E040240: Samil;163;3;95;33;32;
;11E040241: Santa Comba de Rossas;158;12;83;35;28;
;11E040244: São Pedro de Sarracenos;153;7;86;28;32;
;11E040246: Sendas;178;33;87;27;31;
;11E040247: Serapicos;360;47;174;59;80;
;11E040248: Sortes.;133;16;68;34;15;
;11E040250: União das freguesias de Aveleda e Rio de Onor;267;43;145;38;41;
;11E040251: União das freguesias de Castrelos e Carrazedo;238;25;156;32;25;
;11E040252: União das freguesias de Izeda, Calvelhe e Paradinha Nova;964;105;533;122;204;
;11E040253: União das freguesias de Parada e Faílde;577;39;340;99;99;
;11E040254: União das freguesias de Rebordainhos e Pombares;173;17;109;35;12;
;11E040255: União das freguesias de Rio Frio e Milhão;397;29;218;73;77;
;11E040256: União das freguesias de São Julião de Palácios e Deilão;358;53;236;30;39;
;11E040257: União das freguesias de Sé, Santa Maria e Meixedo;502;31;306;89;76;
;11E040249: Zoio;234;25;135;43;31;
;11E0405: Macedo de Cavaleiros;8184;1024;4920;1064;1176;
;11E040502: Amendoeira;277;25;164;34;54;
;11E040503: Arcas;293;45;158;53;37;
;11E040507: Carrapatas;132;9;73;25;25;
;11E040509: Chacim;175;29;96;13;37;
;11E040510: Cortiços;290;40;173;43;34;
;11E040511: Corujas;106;17;52;22;15;
;11E040514: Ferreira;228;54;132;25;17;
;11E040515: Grijó;168;16;111;15;26;
;11E040516: Lagoa;307;33;186;45;43;
;11E040517: Lamalonga;256;46;156;28;26;
;11E040518: Lamas;168;23;99;26;20;
;11E040519: Lombo;229;16;155;31;27;
;11E040520: Macedo de Cavaleiros;346;20;212;39;75;
;11E040521: Morais;411;50;273;47;41;
;11E040523: Olmos;152;17;94;13;28;
;11E040524: Peredo;234;28;148;19;39;
;11E040526: Salselas;403;77;209;54;63;
;11E040528: Sezulfe;183;27;113;23;20;
;11E040530: Talhas;340;42;219;41;38;
;11E040539: União das freguesias de Ala e Vilarinho do Monte;515;61;298;75;81;
;11E040540: União das freguesias de Bornes e Burga;299;35;198;41;25;
;11E040541: União das freguesias de Castelãos e Vilar do Monte;265;20;161;45;39;
;11E040542: União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco;632;75;378;75;104;
;11E040543: União das freguesias de Podence e Santa Combinha;158;19;95;24;20;
;11E040544: União das freguesias de Talhinhas e Bagueixe;366;47;222;35;62;
;11E040532: Vale Benfeito;257;11;164;29;53;
;11E040533: Vale da Porca;223;37;127;35;24;
;11E040534: Vale de Prados;237;41;124;43;29;
;11E040536: Vilarinho de Agrochão;299;46;193;35;25;
;11E040538: Vinhas;235;18;137;31;49;
;11E0406: Miranda do Douro;4073;484;2441;646;502;
;11E040604: Duas Igrejas;506;64;290;87;65;
;11E040605: Genísio;178;8;115;31;24;
;11E040607: Malhadas;257;50;124;49;34;
;11E040608: Miranda do Douro;324;45;189;47;43;
;11E040609: Palaçoulo;238;25;150;37;26;
;11E040611: Picote;178;11;93;35;39;
;11E040612: Póvoa;184;24;111;31;18;
;11E040613: São Martinho de Angueira;249;12;165;46;26;
;11E040618: União das freguesias de Constantim e Cicouro;196;11;124;37;24;
;11E040619: União das freguesias de Ifanes e Paradela;264;42;164;29;29;
;11E040620: União das freguesias de Sendim e Atenor;813;74;472;142;125;
;11E040621: União das freguesias de Silva e Águas Vivas;371;75;261;26;9;
;11E040616: Vila Chã de Braciosa;315;43;183;49;40;
;11E0407: Mirandela;9117;867;5779;1269;1202;
;11E040701: Abambres;269;29;166;49;25;
;11E040702: Abreiro;253;10;176;28;39;
;11E040703: Aguieiras;260;36;180;19;25;
;11E040704: Alvites;253;25;157;35;36;
;11E040708: Bouça;174;25;115;18;16;
;11E040709: Cabanelas;358;40;227;55;36;
;11E040710: Caravelas;199;21;126;39;13;
;11E040711: Carvalhais;390;66;209;58;57;
;11E040712: Cedães;273;26;171;47;29;
;11E040713: Cobro;110;15;59;19;17;
;11E040714: Fradizela;231;29;140;28;34;
;11E040716: Frechas;239;22;148;41;28;
;11E040718: Lamas de Orelhão;222;28;134;29;31;
;11E040720: Mascarenhas;495;42;347;44;62;
;11E040721: Mirandela;578;26;356;91;105;
;11E040722: Múrias;270;24;188;36;22;
;11E040724: Paços;301;37;174;46;44;
;11E040727: São Pedro Velho;287;38;192;18;39;
;11E040728: São Salvador;270;37;153;37;43;
;11E040729: Suçães;500;27;350;57;66;
;11E040730: Torre de Dona Chama;578;30;326;123;99;
