
Statistical table extracted on October 11, 2022 (22:36:52)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
;1111609: Viana do Castelo;3910;479;2481;569;381;
;111160901: Afife;41;5;20;8;8;
;111160902: Alvarães;106;10;70;15;11;
;111160903: Amonde;87;17;47;13;10;
;111160904: Anha;93;10;64;8;11;
;111160905: Areosa;48;8;35;2;3;
;111160908: Carreço;77;8;43;19;7;
;111160910: Castelo do Neiva;151;28;99;23;1;
;111160940: Chafé;133;9;87;28;9;
;111160911: Darque;25;1;15;4;5;
;111160914: Freixieiro de Soutelo;95;4;77;14;- -;
;111160915: Lanheses;86;8;59;12;7;
;111160920: Montaria;145;22;99;14;10;
;111160922: Mujães;72;7;49;9;7;
;111160925: Outeiro;153;8;95;36;14;
;111160926: Perre;288;37;175;57;19;
;111160928: Santa Marta de Portuzelo;182;22;108;27;25;
;111160923: São Romão de Neiva;84;12;58;6;8;
;111160941: União das freguesias de Barroselas e Carvoeiro;276;42;180;30;24;
;111160942: União das freguesias de Cardielos e Serreleis;122;13;66;28;15;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;338;49;221;45;23;
;111160944: União das freguesias de Mazarefes e Vila Fria;179;26;116;25;12;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;230;28;147;22;33;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;400;49;250;54;47;
;111160947: União das freguesias de Torre e Vila Mou;177;25;114;25;13;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;107;8;54;21;24;
;111160938: Vila de Punhe;48;5;26;4;13;
;111160935: Vila Franca;167;18;107;20;22;
;1111610: Vila Nova de Cerveira;592;72;354;91;75;
;111161003: Cornes;60;7;49;3;1;
;111161004: Covas;98;19;46;20;13;
;111161006: Gondarém;50;6;33;6;5;
;111161007: Loivo;15;- -;4;3;8;
;111161009: Mentrestido;56;12;24;13;7;
;111161012: Sapardos;49;4;36;5;4;
;111161013: Sopo;43;6;23;12;2;
;111161016: União das freguesias de Campos e Vila Meã;88;12;49;10;17;
;111161017: União das freguesias de Candemil e Gondar;41;- -;29;6;6;
;111161018: União das freguesias de Reboreda e Nogueira;60;4;45;6;5;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;32;2;16;7;7;
;112: Cávado;20107;2248;13105;2832;1922;
;1120301: Amares;1943;171;1229;301;242;
;112030102: Barreiros;136;11;90;24;11;
;112030104: Bico;39;3;21;11;4;
;112030119: Bouro (Santa Maria);82;8;53;10;11;
;112030120: Bouro (Santa Marta);117;27;71;4;15;
;112030105: Caires;126;11;70;29;16;
;112030107: Carrazedo;92;6;68;8;10;
;112030108: Dornelas;119;10;68;20;21;
;112030111: Fiscal;97;7;63;14;13;
;112030112: Goães;118;8;71;19;20;
;112030113: Lago;103;6;65;17;15;
;112030118: Rendufe;132;13;83;18;18;
;112030125: União das freguesias de Amares e Figueiredo;112;6;83;17;6;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;168;14;92;32;30;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;188;16;106;33;33;
;112030128: União das freguesias de Torre e Portela;80;6;59;8;7;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;234;19;166;37;12;
;1120302: Barcelos;6019;651;4029;806;533;
;112030201: Abade de Neiva;116;16;78;14;8;
;112030202: Aborim;46;6;35;5;- -;
;112030203: Adães;62;6;37;11;8;
;112030205: Airó;69;10;50;9;- -;
;112030206: Aldreu;33;3;25;3;2;
;112030208: Alvelos;93;10;70;9;4;
;112030209: Arcozelo;9;2;4;3;- -;
;112030210: Areias;17;2;11;2;2;
;112030212: Balugães;33;- -;24;4;5;
;112030213: Barcelinhos;22;4;13;4;1;
;112030215: Barqueiros;159;19;113;16;11;
;112030216: Cambeses;65;7;48;4;6;
;112030218: Carapeços;98;15;60;15;8;
;112030220: Carvalhal;66;20;29;10;7;
;112030221: Carvalhas;43;3;29;8;3;
;112030224: Cossourado;87;12;48;12;15;
;112030228: Cristelo;212;23;150;22;17;
;112030234: Fornelos;57;6;37;9;5;
;112030235: Fragoso;120;14;78;18;10;
;112030268: Galegos (Santa Maria);23;1;20;1;1;
;112030272: Galegos (São Martinho);9;2;5;- -;2;
;112030237: Gilmonde;58;7;35;6;10;
;112030242: Lama;28;- -;20;5;3;
;112030243: Lijó;109;16;78;7;8;
;112030244: Macieira de Rates;260;19;181;38;22;
;112030245: Manhente;35;1;28;5;1;
;112030247: Martim;85;9;63;10;3;
;112030252: Moure;84;11;53;12;8;
;112030254: Oliveira;75;9;48;11;7;
;112030255: Palme;101;12;70;12;7;
;112030256: Panque;149;21;106;14;8;
;112030257: Paradela;119;13;81;15;10;
;112030259: Pereira;56;4;39;11;2;
;112030260: Perelhal;63;4;45;7;7;
;112030261: Pousa;63;- -;56;7;- -;
;112030263: Remelhe;111;16;68;20;7;
;112030265: Rio Covo (Santa Eugénia);27;3;21;2;1;
;112030264: Roriz;171;14;130;21;6;
;112030279: Silva;31;7;22;2;- -;
;112030277: Tamel (São Veríssimo);23;1;19;2;1;
;112030282: Ucha;52;1;31;7;13;
;112030290: União das freguesias de Alheira e Igreja Nova;103;13;59;17;14;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;135;22;88;16;9;
;112030292: União das freguesias de Areias de Vilar e Encourados;106;6;65;19;16;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);80;8;49;11;12;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);101;5;79;8;9;
;112030295: União das freguesias de Carreira e Fonte Coberta;174;25;105;30;14;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;358;36;227;60;35;
;112030297: União das freguesias de Creixomil e Mariz;112;20;62;19;11;
;112030298: União das freguesias de Durrães e Tregosa;54;3;42;3;6;
;112030299: União das freguesias de Gamil e Midões;58;4;38;6;10;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;213;17;158;23;15;
;1120302FB: União das freguesias de Negreiros e Chavão;172;20;118;15;19;
;1120302FC: União das freguesias de Quintiães e Aguiar;162;20;96;35;11;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);166;33;93;32;8;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);125;9;70;25;21;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;96;14;69;12;1;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;264;22;167;32;43;
;1120302FH: União das freguesias de Vila Cova e Feitos;166;6;126;14;20;
;112030283: Várzea;117;7;76;20;14;
;112030287: Vila Seca;118;12;84;16;6;
;1120303: Braga;3747;369;2325;556;497;
;112030301: Adaúfe;191;34;104;34;19;
;112030349: Braga (São Vicente);- -;- -;- -;- -;- -;
;112030351: Braga (São Vítor);- -;- -;- -;- -;- -;
;112030312: Espinho;132;26;72;25;9;
;112030313: Esporões;124;10;83;23;8;
;112030315: Figueiredo;60;7;37;12;4;
;112030319: Gualtar;12;1;8;1;2;
;112030322: Lamas;58;1;33;8;16;
;112030325: Mire de Tibães;128;19;77;18;14;
;112030330: Padim da Graça;75;10;46;10;9;
;112030331: Palmeira;160;25;91;25;19;
;112030334: Pedralva;131;16;86;17;12;
;112030336: Priscos;87;7;59;5;16;
;112030338: Ruilhe;63;1;40;15;7;
;112030354: Sequeira;136;10;83;18;25;
;112030355: Sobreposta;164;23;99;32;10;
;112030356: Tadim;25;4;10;3;8;
;112030357: Tebosa;60;1;45;7;7;
;112030363: União das freguesias de Arentim e Cunha;162;12;120;13;17;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);12;2;7;2;1;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;- -;- -;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);247;10;157;45;35;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;176;9;116;26;25;
;112030368: União das freguesias de Crespos e Pousada;132;5;69;27;31;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);114;13;63;16;22;
;112030370: União das freguesias de Este (São Pedro e São Mamede);169;19;109;24;17;
;112030371: União das freguesias de Ferreiros e Gondizalves;66;8;41;10;7;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);87;8;49;11;19;
;112030373: União das freguesias de Lomar e Arcos;54;2;33;12;7;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;194;11;135;21;27;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;124;5;92;16;11;
;112030376: União das freguesias de Morreira e Trandeiras;148;8;96;25;19;
