
Statistical table extracted on October 12, 2022 (15:26:22)
http://www.ine.pt



Geographic localization (NUTS -2013);Tractors by agricultural holding (No.) by Geographic localization (NUTS -2013) -  Decennial (1) ;
111160726: Gandra;0,1;
111160727: Gemieira;0,1;
111160728: Gondufe;0,1;
111160729: Labruja;0,1;
111160759: Labrujó, Rendufe e Vilar do Monte;0;
111160760: Navió e Vitorino dos Piães;0,2;
111160734: Poiares;0,5;
111160744: Rebordões (Santa Maria);0,1;
111160747: Rebordões (Souto);0,1;
111160737: Refóios do Lima;0,1;
111160739: Ribeira;0,1;
111160740: Sá;0,1;
111160742: Santa Comba;0,1;
111160743: Santa Cruz do Lima;0,1;
111160703: São Pedro d'Arcos;0,1;
111160745: Seara;0,1;
111160746: Serdedelo;0,1;
111160750: Vitorino das Donas;0,2;
1111608: Valença;0,2;
111160802: Boivão;0,3;
111160803: Cerdal;0,2;
111160805: Fontoura;0,3;
111160806: Friestas;0,3;
111160808: Ganfei;0,2;
111160812: São Pedro da Torre;0,1;
111160817: União das freguesias de Gandra e Taião;0,2;
111160818: União das freguesias de Gondomil e Sanfins;0,3;
111160819: União das freguesias de São Julião e Silva;0,3;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;0,2;
111160816: Verdoejo;0,3;
1111609: Viana do Castelo;0,2;
111160901: Afife;0,2;
111160902: Alvarães;0,2;
111160903: Amonde;0,1;
111160904: Anha;0,2;
111160905: Areosa;0,1;
111160908: Carreço;0,2;
111160910: Castelo do Neiva;0,1;
111160940: Chafé;0,1;
111160911: Darque;0,2;
111160914: Freixieiro de Soutelo;0,2;
111160915: Lanheses;0,2;
111160920: Montaria;0,3;
111160922: Mujães;0,3;
111160925: Outeiro;0,2;
111160926: Perre;0,5;
111160928: Santa Marta de Portuzelo;0,2;
111160923: São Romão de Neiva;0,1;
111160941: União das freguesias de Barroselas e Carvoeiro;0,2;
111160942: União das freguesias de Cardielos e Serreleis;0,1;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;0,1;
111160944: União das freguesias de Mazarefes e Vila Fria;0,1;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;0,2;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;0,1;
111160947: União das freguesias de Torre e Vila Mou;0,1;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;0,2;
111160938: Vila de Punhe;0,1;
111160935: Vila Franca;0,2;
1111610: Vila Nova de Cerveira;0,2;
111161003: Cornes;0,3;
111161004: Covas;0,2;
111161006: Gondarém;0,1;
111161007: Loivo;0,1;
111161009: Mentrestido;0,1;
111161012: Sapardos;0,3;
111161013: Sopo;0,1;
111161016: União das freguesias de Campos e Vila Meã;0,4;
111161017: União das freguesias de Candemil e Gondar;0,2;
111161018: União das freguesias de Reboreda e Nogueira;0,3;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;0,4;
112: Cávado;0,3;
1120301: Amares;0,2;
112030102: Barreiros;0,2;
112030104: Bico;0,3;
112030119: Bouro (Santa Maria);0,1;
112030120: Bouro (Santa Marta);0,1;
112030105: Caires;0,2;
112030107: Carrazedo;0,6;
112030108: Dornelas;0,3;
112030111: Fiscal;0,1;
112030112: Goães;0,2;
112030113: Lago;0,2;
112030118: Rendufe;0,1;
112030125: União das freguesias de Amares e Figueiredo;0,2;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;0,1;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;0,4;
112030128: União das freguesias de Torre e Portela;0,1;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;0,1;
1120302: Barcelos;0,4;
112030201: Abade de Neiva;0,6;
112030202: Aborim;0,4;
112030203: Adães;0,7;
112030205: Airó;0,3;
112030206: Aldreu;0,3;
112030208: Alvelos;0,4;
112030209: Arcozelo;0,5;
112030210: Areias;0,4;
112030212: Balugães;0,4;
112030213: Barcelinhos;0,4;
112030215: Barqueiros;0,6;
112030216: Cambeses;0,4;
112030218: Carapeços;0,4;
112030220: Carvalhal;0,6;
112030221: Carvalhas;0,4;
112030224: Cossourado;0,4;
112030228: Cristelo;0,8;
112030234: Fornelos;0,4;
112030235: Fragoso;0,3;
112030268: Galegos (Santa Maria);0,2;
112030272: Galegos (São Martinho);0,3;
112030237: Gilmonde;0,4;
112030242: Lama;0,4;
112030243: Lijó;0,3;
112030244: Macieira de Rates;0,7;
112030245: Manhente;0,7;
112030247: Martim;0,2;
112030252: Moure;0,4;
112030254: Oliveira;0,3;
112030255: Palme;0,3;
112030256: Panque;0,3;
112030257: Paradela;0,6;
112030259: Pereira;0,3;
112030260: Perelhal;0,4;
112030261: Pousa;0,4;
112030263: Remelhe;0,3;
112030265: Rio Covo (Santa Eugénia);0,7;
112030264: Roriz;0,5;
112030279: Silva;0,4;
112030277: Tamel (São Veríssimo);0,3;
112030282: Ucha;0,5;
112030290: União das freguesias de Alheira e Igreja Nova;0,4;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;0,3;
112030292: União das freguesias de Areias de Vilar e Encourados;0,4;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);0,4;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);0,2;
112030295: União das freguesias de Carreira e Fonte Coberta;0,5;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;0,7;
112030297: União das freguesias de Creixomil e Mariz;0,3;
112030298: União das freguesias de Durrães e Tregosa;0,2;
112030299: União das freguesias de Gamil e Midões;0,2;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;0,6;
1120302FB: União das freguesias de Negreiros e Chavão;0,5;
1120302FC: União das freguesias de Quintiães e Aguiar;0,3;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);0,4;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);0,5;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;0,5;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;0,6;
1120302FH: União das freguesias de Vila Cova e Feitos;0,4;
112030283: Várzea;0,2;
112030287: Vila Seca;0,6;
1120303: Braga;0,3;
112030301: Adaúfe;0,4;
112030349: Braga (São Vicente);0,3;
112030351: Braga (São Vítor);0,3;
112030312: Espinho;0,4;
112030313: Esporões;0,2;
112030315: Figueiredo;0,2;
112030319: Gualtar;0,3;
112030322: Lamas;0,5;
112030325: Mire de Tibães;0,2;
112030330: Padim da Graça;0,2;
112030331: Palmeira;0,3;
112030334: Pedralva;0,5;
112030336: Priscos;0,3;
112030338: Ruilhe;0,3;
112030354: Sequeira;0,5;
112030355: Sobreposta;0,3;
112030356: Tadim;0,2;
112030357: Tebosa;0,2;
112030363: União das freguesias de Arentim e Cunha;0,4;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);0,2;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);0,5;
112030366: União das freguesias de Cabreiros e Passos (São Julião);0,3;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;0,2;
112030368: União das freguesias de Crespos e Pousada;0,1;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);0,3;
112030370: União das freguesias de Este (São Pedro e São Mamede);0,3;
112030371: União das freguesias de Ferreiros e Gondizalves;0,2;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);0,2;
112030373: União das freguesias de Lomar e Arcos;0,2;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;0,2;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;0,4;
112030376: União das freguesias de Morreira e Trandeiras;0,3;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;0,3;
112030378: União das freguesias de Nogueiró e Tenões;0,3;
112030379: União das freguesias de Real, Dume e Semelhe;0,3;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;0,2;
112030381: União das freguesias de Vilaça e Fradelos;0,3;
1120306: Esposende;0,4;
112030601: Antas;0,2;
112030608: Forjães;0,2;
112030610: Gemeses;0,6;
112030616: União das freguesias de Apúlia e Fão;0,4;
112030617: União das freguesias de Belinho e Mar;0,3;
112030618: União das freguesias de Esposende, Marinhas e Gandra;0,4;
112030619: União das freguesias de Fonte Boa e Rio Tinto;0,8;
112030620: União das freguesias de Palmeira de Faro e Curvos;0,3;
112030615: Vila Chã;0,1;
1120310: Terras de Bouro;0,1;
112031001: Balança;0,2;
112031003: Campo do Gerês;0,2;
112031004: Carvalheira;0,1;
112031008: Covide;0,1;
112031009: Gondoriz;0;
112031010: Moimenta;0,1;
112031012: Ribeira;0;
112031013: Rio Caldo;0,1;
112031014: Souto;0,1;
112031018: União das freguesias de Chamoim e Vilar;0,2;
112031019: União das freguesias de Chorense e Monte;0,1;
112031020: União das freguesias de Cibões e Brufe;0;
112031015: Valdosende;0,2;
112031017: Vilar da Veiga;0,2;
1120313: Vila Verde;0,2;
112031359: Aboim da Nóbrega e Gondomar;0,1;
112031304: Atiães;0,2;
112031308: Cabanelas;0,3;
112031309: Cervães;0,3;
112031311: Coucieiro;0,3;
112031313: Dossãos;0,2;
112031316: Freiriz;0,3;
112031317: Gême;0,3;
112031323: Lage;0,2;
112031324: Lanhas;0,2;
112031325: Loureira;0,2;
112031328: Moure;0,2;
112031330: Oleiros;0,2;
112031331: Parada de Gatim;0,3;
112031335: Pico;0,3;
112031337: Ponte;0,4;
112031350: Prado (São Miguel);0,1;
112031340: Sabariz;0,5;
112031352: Soutelo;0,3;
112031354: Turiz;0,1;
112031360: União das freguesias da Ribeira do Neiva;0,1;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);0,3;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);0,3;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;0,2;
112031364: União das freguesias de Marrancos e Arcozelo;0,3;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);0,2;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;0,2;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;0,1;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);0,2;
112031369: União das freguesias do Vade;0,2;
112031355: Valdreu;0,1;
112031342: Vila de Prado;0,2;
112031370: Vila Verde e Barbudo;0,3;
119: Ave;0,2;
1190304: Cabeceiras de Basto;0,1;
119030401: Abadim;0,1;
119030404: Basto;0;
119030405: Bucos;0,1;
119030406: Cabeceiras de Basto;0,1;
119030407: Cavez;0,1;
119030408: Faia;0;
119030413: Pedraça;0,1;
119030415: Rio Douro;0,1;
119030418: União das freguesias de Alvite e Passos;0,1;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;0,1;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;0,1;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;0,1;
1190307: Fafe;0,1;
119030705: Armil;0;
119030726: Arões (Santa Cristina);0,1;
119030730: Arões (São Romão);0,1;
119030708: Estorãos;0;
119030709: Fafe;0,1;
119030712: Fornelos;0,1;
119030714: Golães;0;
119030716: Medelo;0,1;
119030719: Paços;0;
119030722: Quinchães;0;
119030723: Regadas;0,1;
119030724: Revelhe;0,1;
119030725: Ribeiros;0,1;
119030728: São Gens;0,1;
119030729: Silvares (São Martinho);0,1;
119030733: Travassós;0,1;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;0,1;
119030738: União de freguesias de Agrela e Serafão;0,1;
119030739: União de freguesias de Antime e Silvares (São Clemente);0,2;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;0,1;
119030741: União de freguesias de Cepães e Fareja;0,1;
119030742: União de freguesias de Freitas e Vila Cova;0,1;
119030743: União de freguesias de Monte e Queimadela;0,1;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;0,1;
119030736: Vinhós;0,1;
1190308: Guimarães;0,2;
119030801: Aldão;0,1;
119030804: Azurém;0,3;
119030806: Barco;0,2;
119030807: Brito;0,1;
119030808: Caldelas;0,3;
119030857: Candoso (São Martinho);0,5;
119030812: Costa;0,2;
119030813: Creixomil;0,4;
119030815: Fermentões;0,2;
119030820: Gonça;0,2;
119030821: Gondar;0,5;
119030823: Guardizela;0,4;
119030824: Infantas;0,1;
119030827: Longos;0,2;
119030828: Lordelo;0,2;
119030830: Mesão Frio;0,2;
119030831: Moreira de Cónegos;0,3;
119030832: Nespereira;0,1;
119030835: Pencelo;0;
119030836: Pinheiro;0,1;
119030837: Polvoreira;0,1;
119030838: Ponte;0,2;
119030842: Prazins (Santa Eufémia);0,2;
119030840: Ronfe;0,3;
119030858: Sande (São Martinho);0,2;
119030865: São Torcato;0,2;
119030850: Selho (São Cristóvão);0,2;
119030854: Selho (São Jorge);0,3;
119030866: Serzedelo;0,3;
119030868: Silvares;0,3;
119030875: União das freguesias de Abação e Gémeos;0,1;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;0,2;
119030877: União das freguesias de Arosa e Castelões;0,2;
119030878: União das freguesias de Atães e Rendufe;0,1;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;0,3;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;0,2;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;0,3;
119030882: União das freguesias de Conde e Gandarela;0,3;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;0,2;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;0;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;0,2;
119030886: União das freguesias de Sande São Lourenço e Balazar;0,2;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;0,3;
119030888: União das freguesias de Selho São Lourenço e Gominhães;0,1;
119030889: União das freguesias de Serzedo e Calvos;0,1;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;0,2;
119030891: União das freguesias de Tabuadelo e São Faustino;0,2;
119030871: Urgezes;0,2;
1191705: Mondim de Basto;0,1;
119170501: Atei;0,2;
119170502: Bilhó;0;
119170505: São Cristóvão de Mondim de Basto;0,2;
119170509: União das freguesias de Campanhó e Paradança;0,1;
119170510: União das freguesias de Ermelo e Pardelhas;0;
119170508: Vilar de Ferreiros;0;
1190309: Póvoa de Lanhoso;0,1;
119030906: Covelas;0,1;
119030908: Ferreiros;0,2;
119030912: Galegos;0;
119030913: Garfe;0;
119030914: Geraz do Minho;0,1;
119030915: Lanhoso;0,1;
119030917: Monsul;0,2;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);0,3;
119030921: Rendufinho;0,2;
119030922: Santo Emilião;0,3;
119030923: São João de Rei;0,2;
119030924: Serzedelo;0,1;
119030925: Sobradelo da Goma;0,1;
119030926: Taíde;0,3;
119030927: Travassos;0,1;
119030930: União das freguesias de Águas Santas e Moure;0,2;
119030931: União das freguesias de Calvos e Frades;0,1;
119030932: União das freguesias de Campos e Louredo;0,2;
119030933: União das freguesias de Esperança e Brunhais;0;
119030934: União das freguesias de Fonte Arcada e Oliveira;0,2;
119030935: União das freguesias de Verim, Friande e Ajude;0,1;
119030929: Vilela;0,2;
1190311: Vieira do Minho;0,1;
119031105: Cantelães;0,1;
119031107: Eira Vedra;0,2;
119031108: Guilhofrei;0,1;
119031109: Louredo;0,1;
119031110: Mosteiro;0,2;
119031111: Parada de Bouro;0,1;
119031112: Pinheiro;0,1;
119031113: Rossas;0,1;
119031115: Salamonde;0,1;
119031118: Tabuaças;0,2;
119031122: União das freguesias de Anissó e Soutelo;0,1;
119031123: União das freguesias de Anjos e Vilar do Chão;0,1;
119031124: União das freguesias de Caniçada e Soengas;0,1;
119031125: União das freguesias de Ruivães e Campos;0,1;
119031126: União das freguesias de Ventosa e Cova;0,1;
119031120: Vieira do Minho;0,1;
1190312: Vila Nova de Famalicão;0,4;
119031204: Bairro;0,5;
119031206: Brufe;0,6;
119031210: Castelões;0,3;
119031212: Cruz;0,3;
119031213: Delães;0,3;
119031215: Fradelos;1,1;
119031216: Gavião;0,4;
119031219: Joane;0,2;
119031221: Landim;0,6;
119031223: Louro;0,6;
119031224: Lousado;0,5;
119031225: Mogege;0,2;
119031227: Nine;0,4;
119031239: Oliveira (Santa Maria);0,1;
119031242: Oliveira (São Mateus);0,1;
119031230: Pedome;0,4;
119031232: Pousada de Saramagos;0,2;
119031233: Requião;0,5;
119031234: Riba de Ave;0,3;
119031235: Ribeirão;0,8;
119031250: União das freguesias de Antas e Abade de Vermoim;0,4;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;0,3;
119031252: União das freguesias de Avidos e Lagoa;0,4;
119031253: União das freguesias de Carreira e Bente;0,4;
119031254: União das freguesias de Esmeriz e Cabeçudos;0,3;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;0,5;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;0,4;
119031257: União das freguesias de Ruivães e Novais;0,4;
119031258: União das freguesias de Seide;0,3;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;0,3;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;0,4;
119031241: Vale (São Martinho);0,3;
119031247: Vermoim;0,3;
119031249: Vilarinho das Cambas;0,5;
1190314: Vizela;0,2;
119031404: Infias;0,2;
119031401: Santa Eulália;0,2;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);0,1;
119031409: União das freguesias de Tagilde e Vizela (São Paio);0,2;
119031406: Vizela (Santo Adrião);0,2;
11A: Área Metropolitana do Porto;0,4;
11A0104: Arouca;0,2;
11A010402: Alvarenga;0,1;
11A010407: Chave;0,3;
11A010409: Escariz;0,4;
11A010411: Fermedo;0,4;
11A010413: Mansores;0,2;
11A010414: Moldes;0;
11A010415: Rossas;0,1;
11A010416: Santa Eulália;0,2;
11A010417: São Miguel do Mato;0,2;
11A010418: Tropeço;0,2;
11A010421: União das freguesias de Arouca e Burgo;0,1;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;0;
11A010423: União das freguesias de Canelas e Espiunca;0,1;
11A010424: União das freguesias de Covelo de Paivó e Janarde;0;
11A010419: Urrô;0,2;
11A010420: Várzea;0,2;
11A0107: Espinho;0,1;
11A010702: Espinho;- -;
11A010704: Paramos;0,1;
11A010705: Silvalde;0;
11A010706: União das freguesias de Anta e Guetim;0,1;
11A1304: Gondomar;0,4;
11A130412: Baguim do Monte (Rio Tinto);0,7;
11A130405: Lomba;0,2;
11A130408: Rio Tinto;0,6;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;0,4;
11A130414: União das freguesias de Foz do Sousa e Covelo;0,4;
11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;0,5;
11A130416: União das freguesias de Melres e Medas;0,2;
11A1306: Maia;0,7;
11A130601: Águas Santas;0,7;
11A130618: Castêlo da Maia;0,7;
11A130619: Cidade da Maia;0,5;
11A130603: Folgosa;0,8;
11A130608: Milheirós;0,7;
11A130609: Moreira;1,2;
11A130620: Nogueira e Silva Escura;0,8;
11A130617: Pedrouços;0,5;
11A130613: São Pedro Fins;0,9;
11A130616: Vila Nova da Telha;0,8;
11A1308: Matosinhos;0,8;
11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;0,8;
11A130812: União das freguesias de Matosinhos e Leça da Palmeira;0,3;
11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;1;
11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;0,5;
11A0113: Oliveira de Azeméis;0,3;
11A011301: Carregosa;0,3;
11A011302: Cesar;0,2;
11A011303: Fajões;0,3;
11A011304: Loureiro;0,4;
11A011305: Macieira de Sarnes;0,3;
11A011310: Ossela;0,2;
11A011315: São Martinho da Gândara;0,6;
11A011318: São Roque;0,3;
11A011320: União das freguesias de Nogueira do Cravo e Pindelo;0,3;
11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;0,2;
11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;0,2;
11A011319: Vila de Cucujães;0,4;
11A1310: Paredes;0,2;
11A131001: Aguiar de Sousa;0,3;
11A131002: Astromil;0,5;
11A131003: Baltar;0,4;
11A131004: Beire;0,1;
11A131008: Cete;0,1;
11A131009: Cristelo;0,2;
11A131010: Duas Igrejas;0,2;
11A131011: Gandra;0,3;
11A131013: Lordelo;0,2;
11A131014: Louredo;0,3;
11A131017: Parada de Todeia;0,3;
11A131025: Paredes;0,2;
11A131018: Rebordosa;0,3;
11A131019: Recarei;0,3;
11A131020: Sobreira;0,3;
11A131021: Sobrosa;0,1;
11A131022: Vandoma;0,2;
11A131024: Vilela;0,1;
11A1312: Porto;- -;
11A131202: Bonfim;- -;
11A131203: Campanhã;- -;
11A131210: Paranhos;- -;
11A131211: Ramalde;- -;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;
11A1313: Póvoa de Varzim;0,5;
11A131305: Balazar;1,1;
11A131307: Estela;0,5;
11A131308: Laundos;1,1;
11A131311: Rates;1;
11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;0,5;
11A131314: União das freguesias de Aguçadoura e Navais;0,3;
11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;0,4;
11A0109: Santa Maria da Feira;0,2;
11A010901: Argoncilhe;0,2;
11A010902: Arrifana;0,1;
11A010904: Escapães;0,2;
11A010907: Fiães;0,2;
11A010908: Fornos;0,2;
11A010913: Lourosa;0,2;
11A010914: Milheirós de Poiares;0,2;
