
Quadro extraído em 11 de Outubro de 2022 (08:45:16)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;111160323: União das freguesias de Vila e Roussas;10;
;1111604: Monção;638;
;111160401: Abedim;18;
;111160404: Barbeita;32;
;111160405: Barroças e Taias;14;
;111160406: Bela;11;
;111160407: Cambeses;1;
;111160410: Lara;15;
;111160411: Longos Vales;52;
;111160415: Merufe;107;
;111160418: Moreira;7;
;111160420: Pias;51;
;111160421: Pinheiros;5;
;111160422: Podame;7;
;111160423: Portela;1;
;111160424: Riba de Mouro;54;
;111160427: Segude;8;
;111160428: Tangil;48;
;111160431: Trute;9;
;111160434: União das freguesias de Anhões e Luzio;56;
;111160435: União das freguesias de Ceivães e Badim;10;
;111160436: União das freguesias de Mazedo e Cortes;49;
;111160437: União das freguesias de Messegães, Valadares e Sá;12;
;111160438: União das freguesias de Monção e Troviscoso;12;
;111160439: União das freguesias de Sago, Lordelo e Parada;54;
;111160440: União das freguesias de Troporiz e Lapela;7;
;1111605: Paredes de Coura;1265;
;111160501: Agualonga;18;
;111160503: Castanheira;86;
;111160505: Coura;26;
;111160507: Cunha;80;
;111160510: Infesta;64;
;111160513: Mozelos;71;
;111160514: Padornelo;75;
;111160515: Parada;61;
;111160519: Romarigães;22;
;111160520: Rubiães;84;
;111160522: União das freguesias de Bico e Cristelo;244;
;111160523: União das freguesias de Cossourado e Linhares;49;
;111160524: União das freguesias de Formariz e Ferreira;206;
;111160525: União das freguesias de Insalde e Porreiras;56;
;111160526: União das freguesias de Paredes de Coura e Resende;83;
;111160521: Vascões;39;
;1111606: Ponte da Barca;425;
;111160601: Azias;28;
;111160602: Boivães;25;
;111160603: Bravães;26;
;111160604: Britelo;4;
;111160606: Cuide de Vila Verde;18;
;111160611: Lavradas;76;
;111160612: Lindoso;7;
;111160613: Nogueira;5;
;111160614: Oleiros;43;
;111160619: Sampriz;40;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;37;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;9;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;43;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);8;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);25;
;111160623: Vade (São Pedro);13;
;111160624: Vade (São Tomé);18;
;1111607: Ponte de Lima;3590;
;111160701: Anais;80;
;111160752: Arca e Ponte de Lima;36;
;111160704: Arcozelo;63;
;111160753: Ardegão, Freixo e Mato;290;
;111160754: Associação de freguesias do Vale do Neiva;179;
;111160755: Bárrio e Cepões;22;
;111160707: Beiral do Lima;105;
;111160708: Bertiandos;55;
;111160709: Boalhosa;15;
;111160710: Brandara;8;
;111160756: Cabaços e Fojo Lobal;161;
;111160757: Cabração e Moreira do Lima;85;
;111160713: Calheiros;65;
;111160714: Calvelo;111;
;111160716: Correlhã;315;
;111160717: Estorãos;36;
;111160718: Facha;80;
;111160719: Feitosa;30;
;111160721: Fontão;213;
;111160758: Fornelos e Queijada;167;
;111160724: Friastelas;60;
;111160726: Gandra;52;
;111160727: Gemieira;64;
;111160728: Gondufe;100;
;111160729: Labruja;25;
;111160759: Labrujó, Rendufe e Vilar do Monte;99;
;111160760: Navió e Vitorino dos Piães;139;
;111160734: Poiares;385;
;111160744: Rebordões (Santa Maria);76;
;111160747: Rebordões (Souto);66;
;111160737: Refóios do Lima;101;
;111160739: Ribeira;78;
;111160740: Sá;20;
;111160742: Santa Comba;3;
;111160743: Santa Cruz do Lima;22;
;111160703: São Pedro d'Arcos;70;
;111160745: Seara;36;
;111160746: Serdedelo;41;
;111160750: Vitorino das Donas;39;
;1111608: Valença;669;
;111160802: Boivão;9;
;111160803: Cerdal;173;
;111160805: Fontoura;93;
;111160806: Friestas;8;
;111160808: Ganfei;100;
;111160812: São Pedro da Torre;57;
;111160817: União das freguesias de Gandra e Taião;77;
;111160818: União das freguesias de Gondomil e Sanfins;6;
;111160819: União das freguesias de São Julião e Silva;71;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;41;
;111160816: Verdoejo;34;
;1111609: Viana do Castelo;2875;
;111160901: Afife;101;
;111160902: Alvarães;77;
;111160903: Amonde;22;
;111160904: Anha;128;
;111160905: Areosa;92;
;111160908: Carreço;246;
;111160910: Castelo do Neiva;110;
;111160940: Chafé;124;
;111160911: Darque;10;
;111160914: Freixieiro de Soutelo;99;
;111160915: Lanheses;71;
;111160920: Montaria;99;
;111160922: Mujães;36;
;111160925: Outeiro;43;
;111160926: Perre;160;
;111160928: Santa Marta de Portuzelo;150;
;111160923: São Romão de Neiva;89;
;111160941: União das freguesias de Barroselas e Carvoeiro;170;
;111160942: União das freguesias de Cardielos e Serreleis;108;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;159;
;111160944: União das freguesias de Mazarefes e Vila Fria;158;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;103;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;147;
;111160947: União das freguesias de Torre e Vila Mou;93;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;78;
;111160938: Vila de Punhe;75;
;111160935: Vila Franca;131;
;1111610: Vila Nova de Cerveira;407;
;111161003: Cornes;21;
;111161004: Covas;62;
;111161006: Gondarém;38;
;111161007: Loivo;4;
;111161009: Mentrestido;26;
;111161012: Sapardos;17;
;111161013: Sopo;30;
;111161016: União das freguesias de Campos e Vila Meã;84;
;111161017: União das freguesias de Candemil e Gondar;15;
;111161018: União das freguesias de Reboreda e Nogueira;92;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;17;
;112: Cávado;28190;
;1120301: Amares;1021;
;112030102: Barreiros;67;
;112030104: Bico;8;
;112030119: Bouro (Santa Maria);9;
;112030120: Bouro (Santa Marta);33;
;112030105: Caires;53;
;112030107: Carrazedo;92;
;112030108: Dornelas;71;
;112030111: Fiscal;20;
;112030112: Goães;57;
;112030113: Lago;81;
;112030118: Rendufe;129;
;112030125: União das freguesias de Amares e Figueiredo;60;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;47;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;135;
;112030128: União das freguesias de Torre e Portela;21;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;138;
;1120302: Barcelos;16377;
;112030201: Abade de Neiva;318;
;112030202: Aborim;103;
;112030203: Adães;207;
;112030205: Airó;130;
;112030206: Aldreu;217;
;112030208: Alvelos;193;
;112030209: Arcozelo;60;
;112030210: Areias;4;
;112030212: Balugães;38;
;112030213: Barcelinhos;188;
;112030215: Barqueiros;387;
;112030216: Cambeses;314;
;112030218: Carapeços;94;
;112030220: Carvalhal;126;
;112030221: Carvalhas;93;
;112030224: Cossourado;354;
;112030228: Cristelo;867;
;112030234: Fornelos;167;
;112030235: Fragoso;158;
;112030268: Galegos (Santa Maria);19;
;112030272: Galegos (São Martinho);18;
;112030237: Gilmonde;157;
;112030242: Lama;59;
;112030243: Lijó;266;
;112030244: Macieira de Rates;881;
;112030245: Manhente;367;
;112030247: Martim;105;
;112030252: Moure;64;
;112030254: Oliveira;107;
;112030255: Palme;169;
;112030256: Panque;157;
;112030257: Paradela;447;
;112030259: Pereira;50;
;112030260: Perelhal;74;
;112030261: Pousa;206;
;112030263: Remelhe;503;
;112030265: Rio Covo (Santa Eugénia);93;
;112030264: Roriz;620;
;112030279: Silva;47;
;112030277: Tamel (São Veríssimo);70;
;112030282: Ucha;228;
;112030290: União das freguesias de Alheira e Igreja Nova;127;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;375;
;112030292: União das freguesias de Areias de Vilar e Encourados;185;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);194;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);139;
;112030295: União das freguesias de Carreira e Fonte Coberta;420;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1483;
;112030297: União das freguesias de Creixomil e Mariz;132;
;112030298: União das freguesias de Durrães e Tregosa;33;
;112030299: União das freguesias de Gamil e Midões;142;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;665;
;1120302FB: União das freguesias de Negreiros e Chavão;756;
;1120302FC: União das freguesias de Quintiães e Aguiar;280;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);375;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);343;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;90;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1068;
;1120302FH: União das freguesias de Vila Cova e Feitos;406;
;112030283: Várzea;129;
;112030287: Vila Seca;308;
;1120303: Braga;4466;
;112030301: Adaúfe;247;
;112030349: Braga (São Vicente);- -;
;112030351: Braga (São Vítor);8;
;112030312: Espinho;138;
;112030313: Esporões;156;
;112030315: Figueiredo;121;
;112030319: Gualtar;3;
;112030322: Lamas;49;
;112030325: Mire de Tibães;165;
;112030330: Padim da Graça;36;
;112030331: Palmeira;191;
;112030334: Pedralva;198;
;112030336: Priscos;104;
;112030338: Ruilhe;95;
;112030354: Sequeira;288;
;112030355: Sobreposta;147;
;112030356: Tadim;29;
;112030357: Tebosa;41;
;112030363: União das freguesias de Arentim e Cunha;291;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);23;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);142;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;184;
;112030368: União das freguesias de Crespos e Pousada;174;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);391;
;112030370: União das freguesias de Este (São Pedro e São Mamede);94;
;112030371: União das freguesias de Ferreiros e Gondizalves;67;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);135;
;112030373: União das freguesias de Lomar e Arcos;73;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;256;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;164;
;112030376: União das freguesias de Morreira e Trandeiras;95;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;41;
;112030378: União das freguesias de Nogueiró e Tenões;17;
;112030379: União das freguesias de Real, Dume e Semelhe;179;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;76;
;112030381: União das freguesias de Vilaça e Fradelos;48;
;1120306: Esposende;2967;
;112030601: Antas;106;
;112030608: Forjães;143;
;112030610: Gemeses;234;
;112030616: União das freguesias de Apúlia e Fão;428;
;112030617: União das freguesias de Belinho e Mar;213;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;631;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;801;
;112030620: União das freguesias de Palmeira de Faro e Curvos;265;
;112030615: Vila Chã;146;
;1120310: Terras de Bouro;510;
;112031001: Balança;59;
;112031003: Campo do Gerês;6;
;112031004: Carvalheira;34;
;112031008: Covide;53;
;112031009: Gondoriz;22;
;112031010: Moimenta;12;
;112031012: Ribeira;15;
;112031013: Rio Caldo;40;
;112031014: Souto;28;
;112031018: União das freguesias de Chamoim e Vilar;72;
;112031019: União das freguesias de Chorense e Monte;82;
;112031020: União das freguesias de Cibões e Brufe;46;
;112031015: Valdosende;23;
;112031017: Vilar da Veiga;17;
;1120313: Vila Verde;2849;
;112031359: Aboim da Nóbrega e Gondomar;83;
;112031304: Atiães;187;
;112031308: Cabanelas;335;
;112031309: Cervães;68;
;112031311: Coucieiro;82;
;112031313: Dossãos;21;
;112031316: Freiriz;30;
;112031317: Gême;23;
;112031323: Lage;89;
;112031324: Lanhas;26;
;112031325: Loureira;29;
;112031328: Moure;44;
;112031330: Oleiros;51;
;112031331: Parada de Gatim;42;
;112031335: Pico;40;
;112031337: Ponte;27;
;112031350: Prado (São Miguel);49;
;112031340: Sabariz;13;
;112031352: Soutelo;212;
;112031354: Turiz;90;
;112031360: União das freguesias da Ribeira do Neiva;320;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);46;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);84;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;39;
;112031364: União das freguesias de Marrancos e Arcozelo;125;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);60;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;59;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;62;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);94;
;112031369: União das freguesias do Vade;95;
;112031355: Valdreu;56;
;112031342: Vila de Prado;143;
;112031370: Vila Verde e Barbudo;125;
;119: Ave;16293;
;1190304: Cabeceiras de Basto;783;
;119030401: Abadim;68;
;119030404: Basto;34;
;119030405: Bucos;37;
;119030406: Cabeceiras de Basto;33;
;119030407: Cavez;105;
;119030408: Faia;33;
;119030413: Pedraça;47;
;119030415: Rio Douro;93;
;119030418: União das freguesias de Alvite e Passos;48;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;61;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;97;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;127;
;1190307: Fafe;1662;
;119030705: Armil;24;
;119030726: Arões (Santa Cristina);28;
;119030730: Arões (São Romão);46;
;119030708: Estorãos;55;
;119030709: Fafe;40;
;119030712: Fornelos;30;
;119030714: Golães;45;
;119030716: Medelo;23;
;119030719: Paços;50;
;119030722: Quinchães;137;
;119030723: Regadas;72;
;119030724: Revelhe;30;
;119030725: Ribeiros;38;
;119030728: São Gens;230;
;119030729: Silvares (São Martinho);31;
;119030733: Travassós;63;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;51;
;119030738: União de freguesias de Agrela e Serafão;39;
;119030739: União de freguesias de Antime e Silvares (São Clemente);60;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;142;
;119030741: União de freguesias de Cepães e Fareja;92;
;119030742: União de freguesias de Freitas e Vila Cova;58;
;119030743: União de freguesias de Monte e Queimadela;215;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;24;
;119030736: Vinhós;38;
;1190308: Guimarães;3804;
;119030801: Aldão;40;
;119030804: Azurém;28;
;119030806: Barco;31;
;119030807: Brito;123;
;119030808: Caldelas;42;
;119030857: Candoso (São Martinho);145;
;119030812: Costa;8;
;119030813: Creixomil;40;
;119030815: Fermentões;77;
;119030820: Gonça;32;
;119030821: Gondar;23;
;119030823: Guardizela;101;
;119030824: Infantas;43;
;119030827: Longos;275;
;119030828: Lordelo;75;
;119030830: Mesão Frio;28;
;119030831: Moreira de Cónegos;7;
;119030832: Nespereira;10;
;119030835: Pencelo;38;
;119030836: Pinheiro;27;
;119030837: Polvoreira;36;
;119030838: Ponte;137;
;119030842: Prazins (Santa Eufémia);45;
;119030840: Ronfe;106;
;119030858: Sande (São Martinho);32;
;119030865: São Torcato;173;
;119030850: Selho (São Cristóvão);6;
;119030854: Selho (São Jorge);90;
;119030866: Serzedelo;56;
;119030868: Silvares;83;
;119030875: União das freguesias de Abação e Gémeos;36;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;104;
;119030877: União das freguesias de Arosa e Castelões;33;
;119030878: União das freguesias de Atães e Rendufe;145;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;80;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;151;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;79;
;119030882: União das freguesias de Conde e Gandarela;47;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;218;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;74;
;119030886: União das freguesias de Sande São Lourenço e Balazar;231;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;96;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;77;
;119030889: União das freguesias de Serzedo e Calvos;44;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;387;
;119030891: União das freguesias de Tabuadelo e São Faustino;29;
;119030871: Urgezes;18;
;1191705: Mondim de Basto;468;
;119170501: Atei;166;
;119170502: Bilhó;99;
;119170505: São Cristóvão de Mondim de Basto;47;
;119170509: União das freguesias de Campanhó e Paradança;40;
;119170510: União das freguesias de Ermelo e Pardelhas;49;
;119170508: Vilar de Ferreiros;67;
;1190309: Póvoa de Lanhoso;1450;
;119030906: Covelas;55;
;119030908: Ferreiros;85;
;119030912: Galegos;17;
;119030913: Garfe;57;
;119030914: Geraz do Minho;43;
;119030915: Lanhoso;12;
;119030917: Monsul;67;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);35;
;119030921: Rendufinho;58;
;119030922: Santo Emilião;179;
;119030923: São João de Rei;65;
;119030924: Serzedelo;82;
;119030925: Sobradelo da Goma;43;
;119030926: Taíde;33;
;119030927: Travassos;56;
;119030930: União das freguesias de Águas Santas e Moure;37;
;119030931: União das freguesias de Calvos e Frades;80;
;119030932: União das freguesias de Campos e Louredo;58;
;119030933: União das freguesias de Esperança e Brunhais;37;
;119030934: União das freguesias de Fonte Arcada e Oliveira;201;
;119030935: União das freguesias de Verim, Friande e Ajude;107;
;119030929: Vilela;44;
;1190311: Vieira do Minho;953;
;119031105: Cantelães;23;
;119031107: Eira Vedra;48;
;119031108: Guilhofrei;62;
;119031109: Louredo;36;
;119031110: Mosteiro;58;
;119031111: Parada de Bouro;12;
;119031112: Pinheiro;73;
;119031113: Rossas;206;
;119031115: Salamonde;23;
;119031118: Tabuaças;80;
;119031122: União das freguesias de Anissó e Soutelo;15;
;119031123: União das freguesias de Anjos e Vilar do Chão;168;
;119031124: União das freguesias de Caniçada e Soengas;27;
;119031125: União das freguesias de Ruivães e Campos;42;
;119031126: União das freguesias de Ventosa e Cova;38;
;119031120: Vieira do Minho;44;
;1190312: Vila Nova de Famalicão;6812;
;119031204: Bairro;34;
;119031206: Brufe;94;
;119031210: Castelões;134;
;119031212: Cruz;85;
;119031213: Delães;86;
;119031215: Fradelos;1289;
;119031216: Gavião;148;
;119031219: Joane;143;
;119031221: Landim;208;
;119031223: Louro;275;
;119031224: Lousado;83;
;119031225: Mogege;40;
;119031227: Nine;135;
;119031239: Oliveira (Santa Maria);111;
;119031242: Oliveira (São Mateus);5;
;119031230: Pedome;52;
;119031232: Pousada de Saramagos;18;
;119031233: Requião;164;
;119031234: Riba de Ave;- -;
;119031235: Ribeirão;225;
;119031250: União das freguesias de Antas e Abade de Vermoim;163;
;119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;210;
;119031252: União das freguesias de Avidos e Lagoa;156;
;119031253: União das freguesias de Carreira e Bente;96;
;119031254: União das freguesias de Esmeriz e Cabeçudos;182;
;119031255: União das freguesias de Gondifelos, Cavalões e Outiz;711;
;119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;428;
;119031257: União das freguesias de Ruivães e Novais;71;
;119031258: União das freguesias de Seide;119;
;119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;478;
;119031260: União das freguesias de Vila Nova de Famalicão e Calendário;108;
;119031241: Vale (São Martinho);212;
;119031247: Vermoim;134;
;119031249: Vilarinho das Cambas;416;
;1190314: Vizela;361;
;119031404: Infias;14;
;119031401: Santa Eulália;81;
;119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);106;
;119031409: União das freguesias de Tagilde e Vizela (São Paio);137;
;119031406: Vizela (Santo Adrião);23;
;11A: Área Metropolitana do Porto;32814;
;11A0104: Arouca;1612;
;11A010402: Alvarenga;199;
;11A010407: Chave;178;
;11A010409: Escariz;181;
;11A010411: Fermedo;71;
;11A010413: Mansores;143;
;11A010414: Moldes;158;
;11A010415: Rossas;59;
;11A010416: Santa Eulália;75;
;11A010417: São Miguel do Mato;19;
;11A010418: Tropeço;82;
;11A010421: União das freguesias de Arouca e Burgo;163;
;11A010422: União das freguesias de Cabreiros e Albergaria da Serra;68;
;11A010423: União das freguesias de Canelas e Espiunca;72;
;11A010424: União das freguesias de Covelo de Paivó e Janarde;49;
;11A010419: Urrô;38;
;11A010420: Várzea;58;
;11A0107: Espinho;15;
;11A010702: Espinho;- -;
;11A010704: Paramos;3;
;11A010705: Silvalde;8;
;11A010706: União das freguesias de Anta e Guetim;4;
;11A1304: Gondomar;569;
;11A130412: Baguim do Monte (Rio Tinto);48;
;11A130405: Lomba;28;
;11A130408: Rio Tinto;77;
;11A130413: União das freguesias de Fânzeres e São Pedro da Cova;112;
;11A130414: União das freguesias de Foz do Sousa e Covelo;102;
;11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;143;
;11A130416: União das freguesias de Melres e Medas;60;
;11A1306: Maia;1777;
;11A130601: Águas Santas;180;
;11A130618: Castêlo da Maia;547;
;11A130619: Cidade da Maia;39;
;11A130603: Folgosa;171;
;11A130608: Milheirós;27;
;11A130609: Moreira;209;
;11A130620: Nogueira e Silva Escura;143;
;11A130617: Pedrouços;17;
;11A130613: São Pedro Fins;205;
;11A130616: Vila Nova da Telha;241;
;11A1308: Matosinhos;1518;
;11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;389;
;11A130812: União das freguesias de Matosinhos e Leça da Palmeira;11;
;11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;1062;
;11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;55;
;11A0113: Oliveira de Azeméis;2446;
;11A011301: Carregosa;95;
;11A011302: Cesar;21;
;11A011303: Fajões;142;
;11A011304: Loureiro;729;
;11A011305: Macieira de Sarnes;7;
;11A011310: Ossela;28;
;11A011315: São Martinho da Gândara;829;
;11A011318: São Roque;41;
;11A011320: União das freguesias de Nogueira do Cravo e Pindelo;38;
;11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;156;
;11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;119;
;11A011319: Vila de Cucujães;241;
;11A1310: Paredes;1506;
;11A131001: Aguiar de Sousa;81;
;11A131002: Astromil;35;
;11A131003: Baltar;57;
;11A131004: Beire;172;
;11A131008: Cete;53;
;11A131009: Cristelo;4;
;11A131010: Duas Igrejas;57;
;11A131011: Gandra;84;
;11A131013: Lordelo;23;
;11A131014: Louredo;29;
;11A131017: Parada de Todeia;8;
;11A131025: Paredes;535;
;11A131018: Rebordosa;56;
;11A131019: Recarei;52;
;11A131020: Sobreira;106;
;11A131021: Sobrosa;39;
;11A131022: Vandoma;62;
;11A131024: Vilela;52;
;11A1312: Porto;8;
;11A131202: Bonfim;- -;
;11A131203: Campanhã;5;
;11A131210: Paranhos;- -;
;11A131211: Ramalde;3;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;0;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;
;11A1313: Póvoa de Varzim;5182;
;11A131305: Balazar;1425;
;11A131307: Estela;317;
;11A131308: Laundos;460;
;11A131311: Rates;1538;
;11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;286;
;11A131314: União das freguesias de Aguçadoura e Navais;540;
;11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;616;
;11A0109: Santa Maria da Feira;1350;
;11A010901: Argoncilhe;59;
;11A010902: Arrifana;27;
;11A010904: Escapães;10;
;11A010907: Fiães;25;
;11A010908: Fornos;6;
;11A010913: Lourosa;45;
;11A010914: Milheirós de Poiares;37;
;11A010916: Mozelos;2;
;11A010917: Nogueira da Regedoura;9;
;11A010919: Paços de Brandão;3;
;11A010921: Rio Meão;13;
;11A010922: Romariz;137;
;11A010924: Sanguedo;17;
;11A010925: Santa Maria de Lamas;3;
;11A010926: São João de Ver;70;
;11A010918: São Paio de Oleiros;18;
;11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;48;
;11A010933: União das freguesias de Canedo, Vale e Vila Maior;418;
;11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;188;
;11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;109;
;11A010936: União de freguesias de São Miguel de Souto e Mosteirô;107;
;11A1314: Santo Tirso;1856;
;11A131401: Agrela;9;
;11A131402: Água Longa;306;
;11A131405: Aves;15;
;11A131413: Monte Córdova;111;
;11A131430: Negrelos (São Tomé);44;
;11A131416: Rebordões;63;
