Statistical table extracted on October 18, 2022 (10:37:08);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
;Data reference period;;;
;2019;;;
;?/ ha ;;;
112031340: Sabariz;6903,8;;;
112031352: Soutelo;4639,8;;;
112031354: Turiz;2384,3;;;
112031360: União das freguesias da Ribeira do Neiva;2929,5;;;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);1806,3;;;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);3368,8;;;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;4836,5;;;
112031364: União das freguesias de Marrancos e Arcozelo;8225,7;;;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);2506,9;;;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;6802,5;;;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;1727,8;;;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);1818,2;;;
112031369: União das freguesias do Vade;3847,8;;;
112031355: Valdreu;626,1;;;
112031342: Vila de Prado;6043,6;;;
112031370: Vila Verde e Barbudo;3882,6;;;
119: Ave;2734,9;;;
1190304: Cabeceiras de Basto;794,8;;;
119030401: Abadim;739,9;;;
119030404: Basto;1886,6;;;
119030405: Bucos;1536,7;;;
119030406: Cabeceiras de Basto;281,6;;;
119030407: Cavez;870,9;;;
119030408: Faia;3124,3;;;
119030413: Pedraça;2223,9;;;
119030415: Rio Douro;430,6;;;
119030418: União das freguesias de Alvite e Passos;1518,4;;;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;2632,2;;;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;349,7;;;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;2448;;;
1190307: Fafe;2939,5;;;
119030705: Armil;12874,2;;;
119030726: Arões (Santa Cristina);3227,9;;;
119030730: Arões (São Romão);3195,9;;;
119030708: Estorãos;2291,9;;;
119030709: Fafe;4363;;;
119030712: Fornelos;2434,5;;;
119030714: Golães;3167,4;;;
119030716: Medelo;2207,7;;;
119030719: Paços;2023,8;;;
119030722: Quinchães;9028,8;;;
119030723: Regadas;3587,2;;;
119030724: Revelhe;3520,5;;;
119030725: Ribeiros;2611,3;;;
119030728: São Gens;2287,2;;;
119030729: Silvares (São Martinho);2394;;;
