11B170331: Santo Estêvão;13;56;373;- -;31;1035;178;10;
11B170333: São Pedro de Agostém;38;2695;1517;409;71;2151;1029;4;
11B170334: São Vicente;278;50;841;178;44;734;291;220;
11B170340: Tronco;60;12;35;4;33;268;228;14;
11B170354: União das freguesias da Madalena e Samaiões;508;48;648;31;64;1528;236;- -;
11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;189;132;918;43;81;1557;811;1064;
11B170356: União das freguesias de Calvão e Soutelinho da Raia;260;38;703;74;60;1222;798;55;
11B170357: União das freguesias de Loivos e Póvoa de Agrações;33;8;190;35;58;1606;7024;- -;
11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;9;5;28;- -;19;543;322;31;
11B170359: União das freguesias de Soutelo e Seara Velha;29;7;454;11;61;1121;665;5;
11B170360: União das freguesias de Travancas e Roriz;216;86;1677;15;58;887;342;28;
11B170341: Vale de Anta;6;24;82;- -;12;727;9764;- -;
11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);19;37;288;28;23;1794;4730;- -;
11B170343: Vila Verde da Raia;89;168;199;32;39;1666;139;- -;
11B170344: Vilar de Nantes;7;27;116;22;20;879;189;- -;
11B170345: Vilarelho da Raia;96;11;- -;100;34;346;189;4;
11B170347: Vilas Boas;16;8;280;- -;24;446;81;- -;
11B170349: Vilela do Tâmega;5;7;10;160;22;2693;283;- -;
11B170348: Vilela Seca;25;- -;21;1;21;537;32;48;
11B1706: Montalegre;12358;1444;8562;6428;1384;20434;11615;2264;
11B170601: Cabril;489;90;191;1088;117;1850;489;208;
11B170603: Cervos;343;19;723;162;25;659;293;- -;
11B170604: Chã;951;233;592;295;89;3010;1775;17;
11B170607: Covelo do Gerês;98;14;119;109;25;606;246;773;
11B170609: Ferral;333;35;129;17;13;690;334;99;
11B170612: Gralhas;94;52;312;81;59;550;354;56;
11B170616: Morgade;575;64;108;126;7;- -;- -;- -;
11B170618: Negrões;370;46;66;65;34;- -;- -;- -;
11B170619: Outeiro;526;96;135;409;126;369;84;295;
11B170623: Pitões das Junias;645;125;31;320;42;168;59;12;
11B170625: Reigoso;338;30;192;8;4;535;97;37;
11B170626: Salto;2696;89;619;562;119;2137;803;256;
11B170627: Santo André;84;51;909;338;57;189;163;- -;
11B170629: Sarraquinhos;464;140;694;470;76;1109;349;- -;
11B170631: Solveira;17;25;115;3;41;535;264;9;
11B170632: Tourém;419;2;66;- -;9;192;77;3;
11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;418;45;462;854;45;1005;596;13;
11B170637: União das freguesias de Meixedo e Padornelos;321;81;687;94;77;1157;853;50;
11B170638: União das freguesias de Montalegre e Padroso;336;93;867;14;114;1339;640;12;
11B170639: União das freguesias de Paradela, Contim e Fiães;360;42;103;157;42;1110;415;186;
11B170640: União das freguesias de Sezelhe e Covelães;460;16;127;171;25;727;335;4;
11B170641: União das freguesias de Venda Nova e Pondras;241;- -;12;88;10;390;95;12;
11B170642: União das freguesias de Viade de Baixo e Fervidelas;1225;31;512;834;98;764;2551;86;
11B170643: União das freguesias de Vilar de Perdizes e Meixide;201;22;633;119;127;875;660;82;
11B170635: Vila da Ponte;354;3;158;44;3;468;83;54;
11B1709: Ribeira de Pena;3055;303;779;6463;98;10722;4286;644;
11B170901: Alvadia;346;27;- -;2731;7;445;272;- -;
11B170902: Canedo;232;9;138;52;18;1105;346;190;
11B170906: Santa Marinha;43;8;161;142;14;829;398;210;
11B170908: União das freguesias de Cerva e Limões;1587;197;227;2756;35;4427;2074;55;
11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;847;62;253;782;24;3916;1196;189;
11B1712: Valpaços;1447;1293;12170;2645;1559;22453;10081;1186;
11B171201: Água Revés e Crasto;4;69;289;9;42;782;358;- -;
11B171203: Algeriz;3;101;446;150;72;1346;806;227;
11B171205: Bouçoães;41;25;609;19;90;564;147;- -;
11B171206: Canaveses;45;70;292;108;47;743;300;22;
11B171232: Carrazedo de Montenegro e Curros;158;56;589;1109;111;2024;727;232;
11B171209: Ervões;158;117;522;80;126;1521;1514;7;
11B171211: Fornos do Pinhal;2;- -;56;1;43;319;59;- -;
11B171212: Friões;153;95;661;50;109;1842;1062;20;
11B171233: Lebução, Fiães e Nozelos;95;98;1112;31;94;941;259;- -;
11B171215: Padrela e Tazem;167;99;593;18;26;925;478;108;
11B171216: Possacos;8;4;110;32;24;509;82;- -;
11B171217: Rio Torto;- -;59;451;19;34;597;94;- -;
11B171219: Santa Maria de Emeres;6;26;855;11;47;592;250;60;
11B171220: Santa Valha;12;- -;1018;16;52;188;59;147;
11B171221: Santiago da Ribeira de Alhariz;41;44;394;11;67;777;302;17;
11B171222: São João da Corveira;47;52;358;60;9;1354;717;1;
11B171223: São Pedro de Veiga de Lila;7;37;533;195;84;897;344;20;
11B171224: Serapicos;143;52;310;12;29;444;367;- -;
11B171234: Sonim e Barreiros;53;33;410;6;56;927;259;89;
11B171235: Tinhela e Alvarelhos;156;41;1272;84;89;605;618;11;
11B171227: Vales;32;76;350;430;52;652;109;4;
11B171236: Valpaços e Sanfins;78;50;590;100;105;2213;578;123;
11B171229: Vassal;2;32;161;13;43;614;239;90;
11B171230: Veiga de Lila;16;20;129;40;26;419;77;- -;
11B171231: Vilarandelo;20;37;60;41;82;658;276;8;
11B1713: Vila Pouca de Aguiar;5229;443;6854;4478;854;17958;15846;1476;
11B171302: Alfarela de Jales;209;12;532;211;29;297;178;53;
11B171319: Alvão;1607;71;734;928;99;2499;901;42;
11B171303: Bornes de Aguiar;529;43;909;249;76;1846;910;92;
11B171304: Bragado;59;26;210;200;50;1499;262;84;
11B171305: Capeludos;108;23;166;72;46;1884;564;19;
11B171317: Sabroso de Aguiar;8;4;133;5;21;430;104;18;
11B171310: Soutelo de Aguiar;405;45;586;9;51;632;2964;39;
11B171311: Telões;644;46;1522;430;178;2147;1140;231;
11B171312: Tresminas;221;82;623;1092;79;1669;721;327;
11B171320: União das freguesias de Pensalvos e Parada de Monteiros;500;29;269;824;61;629;355;52;
11B171313: Valoura;71;3;149;- -;17;766;175;400;
11B171314: Vila Pouca de Aguiar;410;13;125;7;52;1225;5009;64;
11B171315: Vreia de Bornes;171;22;282;112;56;1437;481;2;
11B171316: Vreia de Jales;287;24;614;339;39;998;2082;53;
11C: Tâmega e Sousa;18766;11076;33714;7930;886;264474;48474;4287;
11C1301: Amarante;1649;783;3908;1619;166;24513;7440;1493;
11C130103: Ansiães;9;8;107;73;1;166;39;24;
11C130107: Candemil;35;28;200;177;1;627;330;17;
11C130112: Fregim;47;36;150;49;13;1538;427;6;
11C130115: Fridão;5;12;31;9;1;555;82;- -;
11C130117: Gondar;32;18;151;1;4;456;153;- -;
11C130134: Gouveia (São Simão);138;14;394;38;1;1091;630;26;
11C130118: Jazente;14;3;51;16;- -;234;120;- -;
11C130119: Lomba;8;12;7;5;- -;127;24;- -;
11C130120: Louredo;94;3;62;- -;- -;67;31;4;
11C130121: Lufrei;10;3;53;32;1;365;128;- -;
11C130123: Mancelos;362;45;176;18;4;1737;647;51;
11C130126: Padronelo;9;14;123;- -;2;204;42;- -;
11C130128: Rebordelo;20;8;- -;48;- -;112;- -;11;
11C130129: Salvador do Monte;16;10;100;23;1;444;122;- -;
11C130135: Telões;119;110;309;141;4;3804;904;183;
11C130136: Travanca;48;17;102;36;5;422;106;9;
11C130141: União das freguesias de Aboadela, Sanche e Várzea;119;97;429;464;6;1501;443;15;
11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;49;83;128;29;14;1816;420;632;
11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;87;22;561;172;5;926;416;40;
11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);73;48;9;5;- -;2079;469;- -;
11C130145: União das freguesias de Freixo de Cima e de Baixo;74;46;174;67;5;1829;491;5;
11C130146: União das freguesias de Olo e Canadelo;10;19;113;29;2;447;120;17;
11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;120;59;106;26;- -;1829;590;29;
11C130138: Vila Caiz;47;4;195;49;20;713;141;11;
11C130139: Vila Chã do Marão;30;14;77;69;8;262;272;6;
11C130147: Vila Meã;74;50;100;43;68;1162;293;407;
11C1302: Baião;766;520;5290;815;70;13926;5319;212;
11C130204: Frende;- -;8;10;- -;- -;367;10;- -;
11C130205: Gestaçô;27;43;630;11;1;895;283;- -;
11C130206: Gove;104;44;482;24;24;1121;553;- -;
11C130207: Grilo;55;17;181;37;6;743;311;7;
11C130208: Loivos do Monte;45;22;349;26;1;273;148;6;
11C130215: Santa Marinha do Zêzere;77;80;309;37;3;1944;591;4;
11C130221: União das freguesias de Ancede e Ribadouro;16;30;216;20;- -;760;262;- -;
11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;33;31;476;159;5;764;248;55;
11C130223: União das freguesias de Campelo e Ovil;286;74;1427;103;8;1729;889;2;
11C130224: União das freguesias de Loivos da Ribeira e Tresouras;- -;6;35;16;- -;875;409;15;
11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;6;62;204;5;5;1339;390;- -;
11C130226: União das freguesias de Teixeira e Teixeiró;95;27;538;369;5;1408;678;114;
11C130219: Valadares;12;54;289;6;9;1185;396;9;
11C130220: Viariz;10;22;144;2;3;523;151;- -;
11C0106: Castelo de Paiva;722;322;3112;433;36;9840;3560;373;
11C010602: Fornos;37;10;149;30;1;595;205;- -;
11C010606: Real;214;91;643;100;14;1890;764;66;
11C010607: Santa Maria de Sardoura;51;54;502;77;5;1716;629;37;
11C010608: São Martinho de Sardoura;29;19;336;7;1;905;467;16;
11C010610: União das freguesias de Raiva, Pedorido e Paraíso;333;89;1112;152;9;3267;1168;219;
11C010611: União das freguesias de Sobrado e Bairros;58;59;370;67;6;1467;327;35;
11C0305: Celorico de Basto;2453;753;2861;1137;82;62631;5341;577;
11C030501: Agilde;136;13;115;29;- -;1139;260;6;
11C030502: Arnóia;161;57;139;234;9;1933;449;100;
11C030520: Basto (São Clemente);103;29;75;45;- -;899;416;- -;
11C030503: Borba de Montanha;621;107;231;15;12;1686;548;41;
11C030508: Codeçoso;7;10;16;30;1;40354;48;163;
11C030510: Fervença;82;20;301;64;1;2110;243;57;
11C030515: Moreira do Castelo;12;17;42;65;- -;591;217;29;
11C030517: Rego;352;47;239;22;10;1675;433;28;
11C030518: Ribas;152;67;118;53;3;1689;226;29;
11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;265;95;152;108;13;3034;900;8;
11C030524: União das freguesias de Caçarilhe e Infesta;126;14;516;58;1;1244;216;10;
11C030525: União das freguesias de Canedo de Basto e Corgo;44;45;55;95;2;1129;353;32;
11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);136;54;513;82;15;1813;462;56;
11C030527: União das freguesias de Veade, Gagos e Molares;203;122;259;95;11;2038;382;17;
11C030521: Vale de Bouro;53;56;90;142;4;1297;188;1;
11C1804: Cinfães;2314;458;7197;2148;74;11743;4503;240;
11C180403: Cinfães;200;26;718;144;5;1240;359;32;
11C180404: Espadanedo;20;10;308;10;- -;786;176;- -;
11C180405: Ferreiros de Tendais;195;37;432;86;8;573;90;2;
11C180406: Fornelos;87;21;346;15;1;627;346;- -;
11C180408: Moimenta;24;6;251;23;3;324;156;- -;
11C180409: Nespereira;679;96;893;425;31;1411;844;98;
11C180410: Oliveira do Douro;28;44;449;68;2;1000;486;3;
11C180412: Santiago de Piães;187;30;738;8;3;1309;166;- -;
11C180413: São Cristóvão de Nogueira;145;57;676;55;6;973;393;11;
11C180414: Souselo;50;49;228;21;- -;1013;250;27;
11C180415: Tarouquela;32;17;252;24;1;556;242;2;
11C180416: Tendais;386;34;776;567;10;886;390;2;
11C180417: Travanca;45;16;287;21;- -;633;227;61;
11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;236;15;843;681;4;412;378;2;
11C1303: Felgueiras;2842;6240;450;280;103;61465;6309;285;
11C130301: Aião;16;529;50;2;1;398;36;- -;
11C130302: Airães;158;42;9;5;2;699;268;172;
11C130305: Friande;159;11;11;9;3;541;200;3;
11C130306: Idães;99;5256;4;6;8;475;190;9;
11C130307: Jugueiros;91;16;- -;6;1;1008;427;- -;
11C130313: Penacova;15;8;- -;1;2;288;79;- -;
11C130314: Pinheiro;33;4;- -;8;1;304;155;- -;
11C130315: Pombeiro de Ribavizela;46;12;16;3;6;774;230;- -;
11C130317: Refontoura;92;33;79;28;8;767;343;6;
11C130318: Regilde;60;2;- -;12;1;307;46;- -;
11C130319: Revinhade;7;- -;- -;13;- -;47;- -;- -;
11C130324: Sendim;234;3;- -;4;2;526;192;- -;
11C130334: União das freguesias de Macieira da Lixa e Caramos;183;54;16;40;4;1587;576;4;
11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;790;92;101;38;38;46697;1151;50;
11C130336: União das freguesias de Pedreira, Rande e Sernande;108;23;9;- -;- -;1056;444;7;
11C130337: União das freguesias de Torrados e Sousa;60;14;10;2;12;1240;707;13;
11C130338: União das freguesias de Unhão e Lordelo;249;37;6;12;3;739;287;4;
11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;232;74;87;74;11;2842;671;13;
11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);162;18;30;17;- -;710;223;4;
11C130341: União das freguesias de Vila Verde e Santão;48;12;22;- -;- -;460;84;- -;
11C1305: Lousada;2552;419;895;171;110;24759;2968;50;
11C130502: Aveleda;115;24;130;11;6;683;186;- -;
11C130504: Caíde de Rei;32;9;39;- -;4;319;80;- -;
11C130510: Lodares;390;13;32;- -;2;536;111;- -;
11C130512: Macieira;67;12;30;9;- -;264;65;- -;
11C130513: Meinedo;70;49;77;3;26;1534;299;4;
11C130515: Nevogilde;350;34;30;- -;4;734;93;- -;
11C130524: Sousela;7;9;54;7;1;455;81;4;
11C130525: Torno;133;55;23;2;1;996;291;- -;
11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);321;11;26;11;3;773;202;8;
11C130528: União das freguesias de Cristelos, Boim e Ordem;219;64;174;7;28;1887;456;14;
11C130529: União das freguesias de Figueiras e Covas;85;22;42;- -;3;579;64;- -;
11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);100;16;171;68;2;1290;292;17;
11C130531: União das freguesias de Nespereira e Casais;109;52;5;20;6;646;119;- -;
11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;477;40;60;28;24;13885;520;3;
11C130526: Vilar do Torno e Alentém;77;9;2;5;- -;178;109;- -;
11C1307: Marco de Canaveses;882;379;4443;486;122;14141;3386;213;
11C130732: Alpendorada, Várzea e Torrão;25;19;281;48;- -;948;253;18;
11C130733: Avessadas e Rosém;104;22;220;37;1;668;128;11;
11C130704: Banho e Carvalhosa;17;7;88;8;5;373;237;- -;
11C130734: Bem Viver;19;5;214;3;- -;852;235;11;
11C130705: Constance;34;5;62;- -;1;415;58;3;
11C130736: Marco;54;31;394;27;4;986;158;19;
11C130737: Paredes de Viadores e Manhuncelos;34;15;223;17;12;661;179;71;
11C130738: Penha Longa e Paços de Gaiolo;49;27;672;17;6;1027;268;4;
11C130739: Sande e São Lourenço do Douro;15;10;326;37;9;767;273;22;
11C130735: Santo Isidoro e Livração;32;15;34;- -;6;320;40;9;
11C130722: Soalhães;115;98;569;43;39;1431;403;2;
11C130723: Sobretâmega;22;3;125;- -;1;427;78;- -;
11C130724: Tabuado;21;3;144;23;1;496;252;10;
11C130740: Várzea, Aliviada e Folhada;175;59;502;148;9;1450;295;24;
11C130741: Vila Boa de Quires e Maureles;129;20;373;68;3;1402;265;- -;
11C130730: Vila Boa do Bispo;37;40;216;10;25;1918;264;9;
11C1309: Paços de Ferreira;1692;140;1598;190;29;18299;2392;252;
11C130902: Carvalhosa;266;5;88;21;2;532;183;- -;
11C130904: Eiriz;228;5;101;13;1;548;99;2;
11C130905: Ferreira;110;39;204;21;1;992;240;10;
11C130906: Figueiró;126;12;166;- -;10;557;168;- -;
11C130917: Frazão Arreigada;101;28;139;40;3;524;358;139;
11C130908: Freamunde;73;14;38;8;1;791;148;24;
11C130910: Meixomil;99;5;103;43;6;522;251;- -;
11C130918: Paços de Ferreira;72;6;125;8;3;455;102;52;
11C130913: Penamaior;144;6;24;4;2;11353;78;- -;
11C130914: Raimonda;110;4;44;1;- -;401;107;23;
11C130919: Sanfins Lamoso Codessos;319;8;341;- -;- -;820;534;2;
11C130916: Seroa;44;8;225;31;- -;804;124;- -;
11C1311: Penafiel;2244;778;2107;509;64;15592;4506;533;
11C131101: Abragão;73;74;144;33;1;1001;216;15;
11C131102: Boelhe;282;12;57;6;2;394;101;3;
11C131103: Bustelo;95;28;68;3;- -;710;166;10;
11C131104: Cabeça Santa;17;18;19;4;- -;368;24;6;
11C131105: Canelas;15;13;87;53;- -;75;36;1;
11C131106: Capela;66;33;52;4;- -;306;79;- -;
11C131107: Castelões;5;2;30;- -;- -;314;50;- -;
11C131108: Croca;21;22;83;19;- -;384;85;- -;
11C131109: Duas Igrejas;119;38;91;13;2;718;249;13;
11C131110: Eja;4;4;16;- -;2;88;14;- -;
11C131112: Fonte Arcada;13;25;76;33;1;448;111;158;
11C131113: Galegos;113;23;70;8;6;570;156;2;
11C131141: Guilhufe e Urrô;38;28;72;17;4;672;349;- -;
11C131115: Irivo;44;34;60;2;- -;676;237;- -;
11C131142: Lagares e Figueira;179;47;139;75;5;1188;372;37;
11C131140: Luzim e Vila Cova;58;16;136;18;- -;661;167;2;
11C131121: Oldrões;18;29;73;8;1;504;136;5;
11C131122: Paço de Sousa;201;34;151;41;16;1307;257;- -;
11C131139: Penafiel;393;154;346;53;14;2473;830;17;
11C131125: Perozelo;58;8;48;9;- -;379;71;- -;
11C131128: Rans;256;9;8;30;1;326;105;22;
11C131132: Recezinhos (São Mamede);13;5;37;- -;- -;202;18;- -;
11C131133: Recezinhos (São Martinho);21;5;41;10;3;241;57;- -;
11C131129: Rio de Moinhos;58;35;87;4;- -;403;157;7;
11C131138: Rio Mau;- -;1;8;- -;- -;- -;- -;233;
11C131134: Sebolido;- -;- -;- -;- -;- -;- -;- -;- -;
11C131143: Termas de São Vicente;65;66;101;23;3;776;344;- -;
11C131136: Valpedre;19;15;7;43;3;408;119;2;
11C1813: Resende;650;284;1853;142;30;7565;2750;59;
11C181302: Barrô;- -;- -;4;- -;1;20;12;20;
11C181303: Cárquere;14;24;73;1;- -;870;274;2;
11C181310: Paus;39;35;222;29;5;685;118;- -;
11C181311: Resende;242;47;234;21;10;1967;488;7;
11C181312: São Cipriano;29;27;224;- -;1;459;400;1;
11C181313: São João de Fontoura;- -;35;51;- -;1;640;76;3;
11C181314: São Martinho de Mouros;3;28;131;64;4;929;421;3;
11C181316: União das freguesias de Anreade e São Romão de Aregos;10;23;109;1;1;1022;381;17;
11C181317: União das freguesias de Felgueiras e Feirão;129;23;340;14;3;343;137;- -;
11C181318: União das freguesias de Freigil e Miomães;26;19;180;10;2;394;369;6;
11C181319: União das freguesias de Ovadas e Panchorra;158;23;285;2;2;236;74;- -;
11D: Douro;9283;5286;52965;13340;3750;368685;100537;6923;
11D1701: Alijó;394;175;1569;1461;341;4392;1692;475;
11D170101: Alijó;6;20;107;92;25;342;141;25;
11D170107: Favaios;11;5;14;9;7;278;91;216;
11D170108: Pegarinhos;13;33;144;116;16;208;138;- -;
11D170109: Pinhão;- -;- -;- -;- -;- -;9;- -;- -;
11D170112: Sanfins do Douro;5;4;15;2;19;120;51;4;
11D170113: Santa Eugénia;- -;2;2;2;14;160;57;30;
11D170114: São Mamede de Ribatua;- -;3;61;135;24;334;27;24;
11D170120: União das freguesias de Carlão e Amieiro;1;9;107;258;86;924;244;75;
11D170121: União das freguesias de Castedo e Cotas;- -;8;133;8;20;268;39;25;
11D170122: União das freguesias de Pópulo e Ribalonga;43;54;220;428;54;344;220;- -;
11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;- -;3;- -;- -;2;147;9;71;
11D170116: Vila Chã;6;21;154;150;37;493;414;- -;
11D170117: Vila Verde;305;11;520;160;11;461;106;5;
11D170118: Vilar de Maçada;4;2;92;101;26;304;155;- -;
11D1801: Armamar;10;149;519;118;59;3063;973;33;
11D180101: Aldeias;- -;- -;9;- -;3;172;80;- -;
11D180120: Armamar;- -;26;349;24;4;320;54;- -;
11D180104: Cimbres;- -;13;12;- -;1;342;71;- -;
11D180106: Folgosa;- -;60;11;9;6;104;2;3;
11D180107: Fontelo;2;8;51;- -;- -;297;74;- -;
11D180109: Queimada;- -;3;1;- -;1;48;25;2;
11D180110: Queimadela;- -;- -;- -;- -;2;87;- -;12;
11D180111: Santa Cruz;- -;1;- -;56;2;114;44;- -;
11D180114: São Cosmado;4;16;11;26;21;646;285;- -;
11D180115: São Martinho das Chãs;- -;16;48;3;2;258;155;- -;
11D180121: União das freguesias de Aricera e Goujoim;2;4;25;- -;7;207;95;16;
11D180122: União das freguesias de São Romão e Santiago;1;- -;- -;- -;3;189;17;- -;
11D180123: União das freguesias de Vila Seca e Santo Adrião;1;- -;2;- -;7;197;66;- -;
11D180118: Vacalar;- -;2;- -;- -;- -;82;5;- -;
11D0403: Carrazeda de Ansiães;215;405;4270;590;397;5848;1312;332;
11D040304: Carrazeda de Ansiães;56;8;743;88;21;289;52;- -;
11D040306: Fonte Longa;40;22;525;12;22;266;78;11;
11D040308: Linhares;- -;7;113;19;59;724;101;- -;
11D040309: Marzagão;28;15;135;- -;25;459;44;- -;
11D040311: Parambos;12;8;104;1;17;363;73;3;
11D040312: Pereiros;- -;2;- -;4;18;7;- -;- -;
11D040313: Pinhal do Norte;1;14;34;5;38;572;98;86;
11D040314: Pombal;- -;8;49;- -;15;296;48;75;
11D040316: Seixo de Ansiães;- -;12;112;- -;19;342;52;- -;
11D040320: União das freguesias de Amedo e Zedes;40;83;724;157;39;645;132;7;
11D040321: União das freguesias de Belver e Mogo de Malta;31;28;188;97;28;331;102;- -;
11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;1;4;69;7;7;675;258;10;
11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;6;21;190;191;48;811;138;129;
11D040318: Vilarinho da Castanheira;- -;173;1284;9;41;68;136;11;
11D0404: Freixo de Espada à Cinta;112;81;5000;416;196;1505;423;744;
11D040404: Ligares;- -;3;123;10;14;269;96;162;
11D040406: Poiares;- -;10;635;21;5;235;30;30;
11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;1;60;2559;157;50;618;214;548;
11D040408: União das freguesias de Lagoaça e Fornos;111;8;1683;228;127;383;83;4;
11D1805: Lamego;193;239;2290;354;135;7055;1746;55;
11D180502: Avões;34;- -;79;43;7;48;23;- -;
11D180504: Britiande;3;- -;86;8;9;413;79;5;
11D180505: Cambres;- -;8;- -;- -;- -;362;77;- -;
11D180507: Ferreirim;5;1;28;- -;4;613;65;4;
11D180508: Ferreiros de Avões;- -;7;3;- -;- -;54;45;- -;
11D180509: Figueira;- -;- -;16;- -;1;64;7;2;
11D180510: Lalim;39;45;180;8;13;315;83;- -;
11D180525: Lamego (Almacave e Sé);- -;8;404;- -;2;1016;218;18;
11D180511: Lazarim;3;15;265;167;21;202;74;2;
11D180516: Penajóia;- -;6;10;- -;2;702;269;10;
11D180517: Penude;9;54;121;24;2;665;91;- -;
11D180519: Samodães;- -;7;- -;- -;- -;56;52;- -;
11D180520: Sande;- -;- -;5;3;- -;177;106;- -;
11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;75;6;699;81;15;388;135;9;
11D180527: União das freguesias de Cepões, Meijinhos e Melcões;20;31;300;12;50;803;226;5;
11D180528: União das freguesias de Parada do Bispo e Valdigem;- -;3;- -;- -;6;224;62;- -;
11D180523: Várzea de Abrunhais;- -;3;15;- -;1;454;62;- -;
11D180524: Vila Nova de Souto d'El-Rei;5;45;79;8;2;499;72;- -;
11D1704: Mesão Frio;- -;14;21;4;1;1042;194;70;
11D170401: Barqueiros;- -;3;- -;- -;- -;91;- -;- -;
11D170402: Cidadelhe;- -;1;- -;4;- -;104;4;- -;
11D170408: Mesão Frio (Santo André);- -;9;6;- -;1;483;81;- -;
11D170403: Oliveira;- -;1;4;- -;- -;141;31;- -;
11D170407: Vila Marim;- -;- -;11;- -;- -;223;78;70;
11D1807: Moimenta da Beira;2186;2290;2764;995;136;117149;4099;257;
11D180702: Alvite;1108;364;258;342;15;41164;188;- -;
11D180703: Arcozelos;26;22;425;45;10;236;100;2;
11D180705: Baldos;1;13;16;20;2;189;64;- -;
11D180706: Cabaços;3;- -;77;54;9;48;20;- -;
11D180707: Caria;217;45;276;5;17;42577;460;8;
11D180708: Castelo;2;- -;- -;97;2;118;48;- -;
11D180709: Leomil;362;21;539;265;5;267;1926;- -;
11D180710: Moimenta da Beira;32;1705;225;4;10;489;70;1;
11D180713: Passô;21;6;78;- -;6;27111;56;- -;
11D180716: Vila da Rua;44;15;181;8;6;347;231;26;
11D180717: Sarzedo;33;3;68;3;7;94;108;- -;
11D180719: Sever;44;17;49;3;4;59;116;16;
11D180721: União das freguesias de Paradinha e Nagosa;10;7;80;15;8;271;99;167;
11D180722: União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;132;23;263;90;20;312;377;37;
11D180723: União das freguesias de Peva e Segões;150;41;136;44;5;3789;166;- -;
11D180720: Vilar;1;8;93;- -;10;78;70;- -;
11D1707: Murça;265;292;1311;1785;408;5756;1596;366;
11D170701: Candedo;3;27;101;149;47;869;139;38;
11D170703: Fiolhoso;21;25;244;123;69;580;249;100;
11D170704: Jou;70;68;338;1162;132;1263;287;20;
11D170705: Murça;6;9;154;120;20;366;78;- -;
11D170710: União das freguesias de Carva e Vilares;106;101;108;23;28;559;355;- -;
11D170711: União das freguesias de Noura e Palheiros;20;33;165;75;58;1496;335;153;
11D170708: Valongo de Milhais;39;29;201;133;54;623;153;55;
11D1812: Penedono;303;183;2634;524;113;39114;746;58;
11D181202: Beselga;13;4;292;128;11;61;34;- -;
11D181203: Castainço;42;14;190;89;7;153;14;- -;
11D181207: Penela da Beira;- -;10;365;5;15;341;201;19;
11D181208: Póvoa de Penela;- -;74;137;24;20;413;94;6;
11D181209: Souto;22;16;157;119;17;362;85;20;
11D181210: União das freguesias de Antas e Ourozinho;147;12;508;55;21;481;157;1;
11D181211: União das freguesias de Penedono e Granja;79;53;985;104;22;37303;161;12;
11D1708: Peso da Régua;8;36;545;348;22;4167;949;70;
11D170802: Fontelas;- -;2;- -;- -;- -;160;- -;- -;
11D170805: Loureiro;- -;- -;24;4;- -;141;- -;- -;
11D170809: Sedielos;8;15;185;272;1;894;374;57;
11D170813: União das freguesias de Galafura e Covelinhas;- -;2;90;- -;6;857;106;2;
11D170814: União das freguesias de Moura Morta e Vinhós;- -;2;142;- -;3;875;314;10;
11D170815: União das freguesias de Peso da Régua e Godim;- -;- -;17;- -;- -;458;70;1;
11D170816: União das freguesias de Poiares e Canelas;- -;13;87;72;11;535;59;- -;
11D170810: Vilarinho dos Freires;- -;2;- -;- -;1;247;26;- -;
11D1710: Sabrosa;416;163;880;414;126;12966;28554;241;
11D171001: Celeirós;- -;3;- -;- -;2;97;- -;3;
11D171002: Covas do Douro;- -;- -;- -;- -;1;239;53;7;
11D171004: Gouvinhas;21;- -;3;100;6;109;18;6;
11D171007: Paços;49;17;49;68;42;6983;3738;11;
11D171005: Parada de Pinhão;11;108;12;- -;7;153;86;63;
11D171009: Sabrosa;- -;- -;4;- -;8;174;10;7;
11D171011: São Lourenço de Ribapinhão;14;14;91;59;6;377;330;- -;
11D171013: Souto Maior;- -;- -;37;- -;6;365;37;- -;
