
Statistical table extracted on October 11, 2022 (20:22:19)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;;;
;11A131731: União das freguesias de Serzedo e Perosinho;127;33;7;21;16;17;33;
;11A131723: Vilar de Andorinho;71;13;5;7;5;13;28;
;11B: Alto Tâmega;49364;12506;4085;5319;6972;8521;11961;
;11B1702: Boticas;3972;971;378;478;519;643;983;
;11B170217: Alturas do Barroso e Cerdedo;526;148;48;65;72;80;113;
;11B170218: Ardãos e Bobadela;479;122;46;61;58;85;107;
;11B170203: Beça;634;202;75;83;76;64;134;
;11B170219: Boticas e Granja;326;63;27;38;53;66;79;
;11B170220: Codessoso, Curros e Fiães do Tâmega;314;75;42;39;30;58;70;
;11B170208: Covas do Barroso;241;53;26;27;24;31;80;
;11B170210: Dornelas;330;80;22;35;49;49;95;
;11B170213: Pinho;317;74;13;34;49;75;72;
;11B170215: Sapiãos;309;49;29;37;50;54;90;
;11B170221: Vilar e Viveiro;496;105;50;59;58;81;143;
;11B1703: Chaves;15791;3844;1411;1638;2261;2789;3848;
;11B170301: Águas Frias;733;168;64;91;104;124;182;
;11B170302: Anelhe;319;96;33;27;36;60;67;
;11B170305: Bustelo;296;90;19;33;49;48;57;
;11B170309: Cimo de Vila da Castanheira;519;134;43;67;70;94;111;
;11B170310: Curalha;283;83;28;23;44;52;53;
;11B170312: Ervededo;752;180;73;76;108;122;193;
;11B170313: Faiões;339;70;37;34;49;64;85;
;11B170314: Lama de Arcos;408;80;36;34;73;69;116;
;11B170316: Mairos;222;72;20;45;28;34;23;
;11B170317: Moreiras;259;52;20;19;40;55;73;
;11B170318: Nogueira da Montanha;556;147;34;71;84;83;137;
;11B170320: Oura;215;21;21;21;41;43;68;
;11B170321: Outeiro Seco;443;124;43;40;61;53;122;
;11B170322: Paradela;266;86;28;42;32;39;39;
;11B170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);343;67;33;40;37;67;99;
;11B170324: Redondelo;449;121;51;53;76;61;87;
;11B170327: Sanfins;333;94;34;36;41;57;71;
;11B170329: Santa Leocádia;352;87;19;32;54;64;96;
;11B170350: Santa Maria Maior;156;34;17;11;19;28;47;
;11B170330: Santo António de Monforte;307;93;32;30;42;60;50;
;11B170331: Santo Estêvão;335;74;35;25;52;68;81;
;11B170333: São Pedro de Agostém;789;204;86;86;115;117;181;
;11B170334: São Vicente;318;73;29;28;42;64;82;
;11B170340: Tronco;285;73;21;28;48;53;62;
;11B170354: União das freguesias da Madalena e Samaiões;650;147;55;54;104;123;167;
;11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;647;152;45;58;105;131;156;
;11B170356: União das freguesias de Calvão e Soutelinho da Raia;454;99;44;46;61;96;108;
;11B170357: União das freguesias de Loivos e Póvoa de Agrações;574;141;43;53;84;97;156;
;11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;181;36;16;17;33;27;52;
;11B170359: União das freguesias de Soutelo e Seara Velha;427;103;36;50;54;77;107;
;11B170360: União das freguesias de Travancas e Roriz;587;171;39;64;81;102;130;
;11B170341: Vale de Anta;347;83;39;20;52;60;93;
;11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);710;156;66;66;89;121;212;
;11B170343: Vila Verde da Raia;575;140;72;63;81;89;130;
;11B170344: Vilar de Nantes;153;28;11;17;18;28;51;
;11B170345: Vilarelho da Raia;531;94;43;56;57;118;163;
;11B170347: Vilas Boas;162;42;14;26;19;31;30;
;11B170349: Vilela do Tâmega;239;63;14;32;37;46;47;
;11B170348: Vilela Seca;277;66;18;24;41;64;64;
;11B1706: Montalegre;7328;1913;561;826;927;1193;1908;
;11B170601: Cabril;472;136;33;44;67;73;119;
;11B170603: Cervos;274;76;25;39;42;37;55;
;11B170604: Chã;673;203;50;110;94;101;115;
;11B170607: Covelo do Gerês;180;51;18;17;19;26;49;
;11B170609: Ferral;325;97;27;23;46;49;83;
;11B170612: Gralhas;208;30;5;14;33;55;71;
;11B170616: Morgade;209;46;14;22;27;35;65;
;11B170618: Negrões;176;42;22;23;13;31;45;
;11B170619: Outeiro;167;38;23;22;13;27;44;
;11B170623: Pitões das Junias;155;63;15;22;21;17;17;
;11B170625: Reigoso;171;36;7;16;25;43;44;
;11B170626: Salto;624;182;69;65;67;83;158;
;11B170627: Santo André;231;62;12;26;38;39;54;
;11B170629: Sarraquinhos;314;88;20;39;44;42;81;
;11B170631: Solveira;156;27;8;18;18;26;59;
;11B170632: Tourém;80;22;6;12;10;16;14;
;11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;268;59;18;19;35;47;90;
;11B170637: União das freguesias de Meixedo e Padornelos;310;65;16;35;33;56;105;
;11B170638: União das freguesias de Montalegre e Padroso;317;83;30;48;40;49;67;
;11B170639: União das freguesias de Paradela, Contim e Fiães;322;73;18;33;44;63;91;
;11B170640: União das freguesias de Sezelhe e Covelães;259;56;15;19;33;49;87;
;11B170641: União das freguesias de Venda Nova e Pondras;167;41;9;18;19;22;58;
;11B170642: União das freguesias de Viade de Baixo e Fervidelas;613;171;56;77;65;86;158;
;11B170643: União das freguesias de Vilar de Perdizes e Meixide;490;114;39;50;64;84;139;
;11B170635: Vila da Ponte;167;52;6;15;17;37;40;
;11B1709: Ribeira de Pena;2756;763;242;306;349;448;648;
;11B170901: Alvadia;186;45;25;17;19;30;50;
;11B170902: Canedo;303;79;24;36;34;46;84;
;11B170906: Santa Marinha;209;66;14;17;26;38;48;
;11B170908: União das freguesias de Cerva e Limões;1025;334;105;117;121;144;204;
;11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;1033;239;74;119;149;190;262;
;11B1712: Valpaços;13739;3450;1022;1519;2064;2364;3320;
;11B171201: Água Revés e Crasto;436;98;28;44;73;72;121;
;11B171203: Algeriz;714;204;46;96;103;124;141;
;11B171205: Bouçoães;474;115;13;50;76;83;137;
;11B171206: Canaveses;347;102;24;37;53;58;73;
;11B171232: Carrazedo de Montenegro e Curros;1450;407;124;150;230;225;314;
;11B171209: Ervões;709;168;65;91;104;114;167;
;11B171211: Fornos do Pinhal;319;71;25;31;30;66;96;
;11B171212: Friões;679;131;45;66;108;115;214;
;11B171233: Lebução, Fiães e Nozelos;693;163;50;74;94;148;164;
;11B171215: Padrela e Tazem;375;103;27;45;57;60;83;
;11B171216: Possacos;444;123;31;48;70;75;97;
;11B171217: Rio Torto;471;119;31;51;70;83;117;
;11B171219: Santa Maria de Emeres;500;136;35;56;89;77;107;
;11B171220: Santa Valha;497;100;41;54;72;109;121;
;11B171221: Santiago da Ribeira de Alhariz;730;190;56;84;102;130;168;
;11B171222: São João da Corveira;643;169;52;80;100;93;149;
;11B171223: São Pedro de Veiga de Lila;418;111;34;47;59;71;96;
;11B171224: Serapicos;246;71;15;33;28;42;57;
;11B171234: Sonim e Barreiros;403;101;19;36;72;68;107;
;11B171235: Tinhela e Alvarelhos;412;98;30;44;54;73;113;
;11B171227: Vales;333;92;16;43;61;50;71;
;11B171236: Valpaços e Sanfins;1038;241;93;106;160;179;259;
;11B171229: Vassal;458;98;40;59;80;76;105;
;11B171230: Veiga de Lila;314;88;30;36;34;57;69;
;11B171231: Vilarandelo;636;151;52;58;85;116;174;
;11B1713: Vila Pouca de Aguiar;5778;1565;471;552;852;1084;1254;
;11B171302: Alfarela de Jales;282;83;26;24;51;46;52;
;11B171319: Alvão;545;184;28;62;89;66;116;
;11B171303: Bornes de Aguiar;578;138;58;51;85;124;122;
;11B171304: Bragado;247;36;17;29;47;58;60;
;11B171305: Capeludos;314;65;18;25;61;58;87;
;11B171317: Sabroso de Aguiar;128;23;13;7;14;26;45;
;11B171310: Soutelo de Aguiar;735;238;57;84;95;122;139;
;11B171311: Telões;789;240;78;81;112;134;144;
;11B171312: Tresminas;469;111;32;56;52;99;119;
;11B171320: União das freguesias de Pensalvos e Parada de Monteiros;246;55;27;16;33;57;58;
;11B171313: Valoura;271;73;25;16;42;53;62;
;11B171314: Vila Pouca de Aguiar;341;80;23;26;55;71;86;
;11B171315: Vreia de Bornes;424;132;31;42;71;77;71;
;11B171316: Vreia de Jales;409;107;38;33;45;93;93;
;11C: Tâmega e Sousa;59165;19253;6906;6600;7090;8653;10663;
;11C1301: Amarante;7884;2529;872;928;935;1160;1460;
;11C130103: Ansiães;186;56;17;21;20;24;48;
;11C130107: Candemil;232;70;19;23;25;48;47;
;11C130112: Fregim;352;126;42;41;42;54;47;
;11C130115: Fridão;128;42;12;15;13;12;34;
;11C130117: Gondar;261;97;29;36;29;31;39;
;11C130134: Gouveia (São Simão);289;111;25;29;36;32;56;
;11C130118: Jazente;120;43;9;21;19;10;18;
;11C130119: Lomba;124;36;15;14;15;16;28;
;11C130120: Louredo;110;43;8;11;8;17;23;
;11C130121: Lufrei;209;75;16;32;17;29;40;
;11C130123: Mancelos;391;111;56;53;37;63;71;
;11C130126: Padronelo;106;28;17;12;10;27;12;
;11C130128: Rebordelo;129;52;15;13;12;16;21;
;11C130129: Salvador do Monte;220;68;21;23;30;33;45;
;11C130135: Telões;887;281;114;132;102;109;149;
;11C130136: Travanca;302;89;34;34;34;50;61;
;11C130141: União das freguesias de Aboadela, Sanche e Várzea;471;188;35;49;58;81;60;
;11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;503;132;68;51;62;82;108;
;11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;407;122;46;42;44;69;84;
;11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);490;156;57;66;59;58;94;
;11C130145: União das freguesias de Freixo de Cima e de Baixo;434;144;52;49;62;58;69;
;11C130146: União das freguesias de Olo e Canadelo;185;53;18;17;26;31;40;
;11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;516;151;67;47;70;85;96;
;11C130138: Vila Caiz;259;71;27;34;31;41;55;
;11C130139: Vila Chã do Marão;265;95;20;34;34;31;51;
;11C130147: Vila Meã;308;89;33;29;40;53;64;
;11C1302: Baião;6492;1880;739;732;811;997;1333;
;11C130204: Frende;174;49;31;16;28;24;26;
;11C130205: Gestaçô;472;140;35;56;60;78;103;
;11C130206: Gove;607;170;98;75;84;70;110;
;11C130207: Grilo;185;68;16;19;16;31;35;
;11C130208: Loivos do Monte;191;57;18;20;28;28;40;
;11C130215: Santa Marinha do Zêzere;637;164;87;78;74;110;124;
;11C130221: União das freguesias de Ancede e Ribadouro;627;165;50;75;75;98;164;
;11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;412;139;45;54;46;51;77;
;11C130223: União das freguesias de Campelo e Ovil;961;240;123;90;109;165;234;
;11C130224: União das freguesias de Loivos da Ribeira e Tresouras;313;80;37;34;40;42;80;
;11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;774;246;103;95;91;106;133;
;11C130226: União das freguesias de Teixeira e Teixeiró;546;173;28;53;72;100;120;
;11C130219: Valadares;386;115;52;54;47;58;60;
;11C130220: Viariz;207;74;16;13;41;36;27;
;11C0106: Castelo de Paiva;2686;807;307;317;393;392;470;
;11C010602: Fornos;195;52;26;21;25;37;34;
;11C010606: Real;517;169;49;79;67;62;91;
;11C010607: Santa Maria de Sardoura;478;163;48;62;74;60;71;
;11C010608: São Martinho de Sardoura;167;49;19;13;32;23;31;
;11C010610: União das freguesias de Raiva, Pedorido e Paraíso;743;210;82;74;123;101;153;
;11C010611: União das freguesias de Sobrado e Bairros;586;164;83;68;72;109;90;
;11C0305: Celorico de Basto;6743;2455;747;698;728;869;1246;
;11C030501: Agilde;339;114;48;30;48;43;56;
;11C030502: Arnóia;644;236;72;67;71;70;128;
;11C030520: Basto (São Clemente);332;106;32;30;31;61;72;
;11C030503: Borba de Montanha;536;220;47;53;67;62;87;
;11C030508: Codeçoso;144;45;18;18;13;21;29;
;11C030510: Fervença;415;151;36;56;54;46;72;
;11C030515: Moreira do Castelo;238;86;35;25;19;23;50;
;11C030517: Rego;545;170;73;37;55;88;122;
;11C030518: Ribas;435;178;33;50;58;49;67;
;11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;870;326;94;113;64;107;166;
;11C030524: União das freguesias de Caçarilhe e Infesta;380;133;42;31;39;58;77;
;11C030525: União das freguesias de Canedo de Basto e Corgo;420;159;52;33;52;51;73;
;11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);503;214;59;52;45;65;68;
;11C030527: União das freguesias de Veade, Gagos e Molares;640;218;71;69;82;83;117;
;11C030521: Vale de Bouro;302;99;35;34;30;42;62;
;11C1804: Cinfães;6037;1796;662;710;732;928;1209;
;11C180403: Cinfães;659;161;73;74;75;117;159;
;11C180404: Espadanedo;139;45;12;19;18;25;20;
;11C180405: Ferreiros de Tendais;269;86;20;42;27;38;56;
;11C180406: Fornelos;385;99;32;47;47;56;104;
;11C180408: Moimenta;128;39;16;6;24;23;20;
;11C180409: Nespereira;730;206;65;83;94;120;162;
;11C180410: Oliveira do Douro;346;98;36;35;33;55;89;
;11C180412: Santiago de Piães;702;240;98;91;69;107;97;
;11C180413: São Cristóvão de Nogueira;658;228;69;91;62;80;128;
;11C180414: Souselo;365;86;55;29;52;62;81;
;11C180415: Tarouquela;370;118;64;34;48;66;40;
;11C180416: Tendais;509;136;47;66;61;82;117;
;11C180417: Travanca;365;114;42;43;62;40;64;
;11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;412;140;33;50;60;57;72;
;11C1303: Felgueiras;5427;1867;682;572;679;773;854;
;11C130301: Aião;152;56;27;18;14;19;18;
;11C130302: Airães;291;108;31;46;37;34;35;
;11C130305: Friande;173;68;16;27;20;23;19;
;11C130306: Idães;288;110;50;27;31;45;25;
;11C130307: Jugueiros;233;79;34;22;24;35;39;
;11C130313: Penacova;115;37;12;7;15;22;22;
;11C130314: Pinheiro;106;27;10;17;14;10;28;
;11C130315: Pombeiro de Ribavizela;180;67;22;20;21;27;23;
;11C130317: Refontoura;227;77;27;17;26;36;44;
;11C130318: Regilde;125;37;25;5;18;20;20;
;11C130319: Revinhade;85;37;7;6;12;13;10;
;11C130324: Sendim;161;47;21;16;28;21;28;
;11C130334: União das freguesias de Macieira da Lixa e Caramos;578;195;71;56;82;78;96;
;11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;838;309;87;93;103;117;129;
;11C130336: União das freguesias de Pedreira, Rande e Sernande;310;101;37;45;30;49;48;
;11C130337: União das freguesias de Torrados e Sousa;257;95;26;19;35;29;53;
;11C130338: União das freguesias de Unhão e Lordelo;227;75;32;22;23;39;36;
;11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;696;227;85;70;99;103;112;
;11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);166;51;21;16;27;22;29;
;11C130341: União das freguesias de Vila Verde e Santão;219;64;41;23;20;31;40;
;11C1305: Lousada;3717;1282;506;443;389;539;558;
;11C130502: Aveleda;138;63;9;22;17;17;10;
;11C130504: Caíde de Rei;238;66;18;22;28;49;55;
;11C130510: Lodares;157;50;24;16;16;25;26;
;11C130512: Macieira;105;38;14;13;14;12;14;
;11C130513: Meinedo;347;102;47;36;35;58;69;
;11C130515: Nevogilde;193;55;30;26;15;33;34;
;11C130524: Sousela;168;45;32;14;24;23;30;
;11C130525: Torno;285;92;46;37;21;48;41;
;11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);285;106;37;54;18;29;41;
;11C130528: União das freguesias de Cristelos, Boim e Ordem;360;148;43;40;48;47;34;
;11C130529: União das freguesias de Figueiras e Covas;214;79;30;27;21;22;35;
;11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);408;135;68;36;41;68;60;
;11C130531: União das freguesias de Nespereira e Casais;210;76;30;23;27;24;30;
;11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;531;199;71;74;55;69;63;
;11C130526: Vilar do Torno e Alentém;78;28;7;3;9;15;16;
;11C1307: Marco de Canaveses;6478;2164;765;672;773;967;1137;
;11C130732: Alpendorada, Várzea e Torrão;427;135;46;34;61;87;64;
;11C130733: Avessadas e Rosém;363;131;37;38;41;44;72;
;11C130704: Banho e Carvalhosa;180;52;15;18;23;33;39;
;11C130734: Bem Viver;342;99;33;31;44;46;89;
;11C130705: Constance;176;48;23;15;19;22;49;
;11C130736: Marco;526;199;60;62;58;69;78;
;11C130737: Paredes de Viadores e Manhuncelos;414;140;39;54;39;60;82;
;11C130738: Penha Longa e Paços de Gaiolo;724;217;95;72;87;124;129;
;11C130739: Sande e São Lourenço do Douro;397;111;67;37;53;58;71;
;11C130735: Santo Isidoro e Livração;138;36;18;16;20;24;24;
;11C130722: Soalhães;706;280;83;85;81;70;107;
;11C130723: Sobretâmega;97;30;9;7;13;26;12;
;11C130724: Tabuado;245;85;37;21;34;32;36;
;11C130740: Várzea, Aliviada e Folhada;684;242;85;73;83;90;111;
;11C130741: Vila Boa de Quires e Maureles;738;250;85;84;82;126;111;
;11C130730: Vila Boa do Bispo;321;109;33;25;35;56;63;
;11C1309: Paços de Ferreira;2268;627;300;243;258;376;464;
;11C130902: Carvalhosa;202;60;22;18;28;32;42;
;11C130904: Eiriz;161;34;19;19;22;32;35;
;11C130905: Ferreira;326;91;49;38;31;62;55;
;11C130906: Figueiró;125;35;9;23;11;19;28;
;11C130917: Frazão Arreigada;214;53;30;24;17;38;52;
;11C130908: Freamunde;185;47;21;15;25;30;47;
;11C130910: Meixomil;140;37;24;21;15;22;21;
;11C130918: Paços de Ferreira;171;51;27;21;18;30;24;
;11C130913: Penamaior;123;31;14;13;13;13;39;
;11C130914: Raimonda;168;50;32;13;20;23;30;
;11C130919: Sanfins Lamoso Codessos;289;95;28;29;40;47;50;
;11C130916: Seroa;164;43;25;9;18;28;41;
;11C1311: Penafiel;7262;2487;888;805;905;1009;1168;
;11C131101: Abragão;585;216;80;53;59;91;86;
;11C131102: Boelhe;151;57;15;19;17;23;20;
;11C131103: Bustelo;422;143;47;51;61;48;72;
;11C131104: Cabeça Santa;158;48;9;17;24;17;43;
;11C131105: Canelas;247;83;31;30;33;31;39;
;11C131106: Capela;208;90;22;20;35;16;25;
;11C131107: Castelões;151;43;27;11;18;31;21;
;11C131108: Croca;311;97;42;34;25;53;60;
;11C131109: Duas Igrejas;393;139;38;37;46;75;58;
;11C131110: Eja;101;33;13;15;12;14;14;
;11C131112: Fonte Arcada;151;57;15;9;22;18;30;
;11C131113: Galegos;210;68;34;21;27;24;36;
;11C131141: Guilhufe e Urrô;257;85;36;24;43;28;41;
;11C131115: Irivo;174;50;24;16;19;34;31;
;11C131142: Lagares e Figueira;448;159;58;63;43;64;61;
;11C131140: Luzim e Vila Cova;283;98;28;28;39;46;44;
;11C131121: Oldrões;131;41;14;14;27;16;19;
;11C131122: Paço de Sousa;198;76;22;18;32;36;14;
;11C131139: Penafiel;921;307;103;121;97;147;146;
;11C131125: Perozelo;130;53;15;12;23;15;12;
;11C131128: Rans;164;51;20;30;14;13;36;
;11C131132: Recezinhos (São Mamede);226;82;31;27;21;29;36;
;11C131133: Recezinhos (São Martinho);474;143;71;52;59;48;101;
;11C131129: Rio de Moinhos;198;75;15;13;34;26;35;
;11C131138: Rio Mau;72;24;14;11;10;4;9;
;11C131134: Sebolido;15;6;- -;1;3;1;4;
;11C131143: Termas de São Vicente;317;104;33;40;46;40;54;
;11C131136: Valpedre;166;59;31;18;16;21;21;
;11C1813: Resende;4171;1359;438;480;487;643;764;
;11C181302: Barrô;524;133;58;65;43;113;112;
;11C181303: Cárquere;250;95;30;26;31;31;37;
;11C181310: Paus;317;94;26;28;37;54;78;
;11C181311: Resende;761;266;93;100;85;81;136;
;11C181312: São Cipriano;203;73;15;25;23;36;31;
;11C181313: São João de Fontoura;389;130;41;44;54;46;74;
;11C181314: São Martinho de Mouros;576;161;49;57;86;114;109;
;11C181316: União das freguesias de Anreade e São Romão de Aregos;360;131;37;46;50;54;42;
;11C181317: União das freguesias de Felgueiras e Feirão;231;85;32;24;17;30;43;
;11C181318: União das freguesias de Freigil e Miomães;266;105;32;38;29;36;26;
;11C181319: União das freguesias de Ovadas e Panchorra;294;86;25;27;32;48;76;
;11D: Douro;87922;21542;7862;9684;12681;15158;20995;
;11D1701: Alijó;8353;1983;805;941;1205;1471;1948;
;11D170101: Alijó;834;213;90;91;131;156;153;
;11D170107: Favaios;729;168;85;83;88;131;174;
;11D170108: Pegarinhos;390;93;36;38;48;54;121;
;11D170109: Pinhão;8;1;1;1;- -;- -;5;
;11D170112: Sanfins do Douro;1180;249;86;121;196;210;318;
;11D170113: Santa Eugénia;318;68;34;36;47;57;76;
;11D170114: São Mamede de Ribatua;747;184;73;86;137;114;153;
;11D170120: União das freguesias de Carlão e Amieiro;1024;213;123;101;154;198;235;
;11D170121: União das freguesias de Castedo e Cotas;705;194;78;128;79;110;116;
;11D170122: União das freguesias de Pópulo e Ribalonga;336;83;19;29;36;78;91;
;11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;459;141;40;54;69;63;92;
;11D170116: Vila Chã;330;53;20;34;40;79;104;
;11D170117: Vila Verde;446;98;34;39;58;92;125;
;11D170118: Vilar de Maçada;847;225;86;100;122;129;185;
;11D1801: Armamar;3734;966;386;402;524;598;858;
;11D180101: Aldeias;233;55;22;25;38;38;55;
;11D180120: Armamar;428;105;59;51;65;53;95;
;11D180104: Cimbres;202;54;15;34;25;30;44;
;11D180106: Folgosa;185;37;13;26;35;36;38;
;11D180107: Fontelo;388;110;48;32;49;76;73;
;11D180109: Queimada;222;53;30;21;21;38;59;
;11D180110: Queimadela;266;88;26;39;33;26;54;
;11D180111: Santa Cruz;92;25;10;9;6;20;22;
;11D180114: São Cosmado;360;102;34;25;58;58;83;
;11D180115: São Martinho das Chãs;297;78;23;33;55;44;64;
;11D180121: União das freguesias de Aricera e Goujoim;183;43;9;18;21;35;57;
;11D180122: União das freguesias de São Romão e Santiago;245;57;23;21;30;47;67;
;11D180123: União das freguesias de Vila Seca e Santo Adrião;393;99;36;42;55;63;98;
;11D180118: Vacalar;240;60;38;26;33;34;49;
;11D0403: Carrazeda de Ansiães;4719;956;299;436;707;889;1432;
;11D040304: Carrazeda de Ansiães;195;45;10;21;34;37;48;
;11D040306: Fonte Longa;242;39;23;28;23;41;88;
;11D040308: Linhares;456;100;15;39;67;77;158;
;11D040309: Marzagão;247;58;12;23;47;40;67;
;11D040311: Parambos;231;50;25;8;36;51;61;
;11D040312: Pereiros;218;46;13;23;32;54;50;
;11D040313: Pinhal do Norte;299;49;18;26;51;49;106;
;11D040314: Pombal;379;77;27;35;51;59;130;
;11D040316: Seixo de Ansiães;317;57;14;27;36;78;105;
;11D040320: União das freguesias de Amedo e Zedes;379;105;23;31;54;80;86;
;11D040321: União das freguesias de Belver e Mogo de Malta;235;58;14;21;35;35;72;
;11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;532;125;41;55;80;97;134;
;11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;543;120;42;45;85;91;160;
;11D040318: Vilarinho da Castanheira;446;27;22;54;76;100;167;
;11D0404: Freixo de Espada à Cinta;2307;402;140;184;328;544;709;
;11D040404: Ligares;253;14;4;37;29;63;106;
;11D040406: Poiares;309;54;20;21;36;84;94;
;11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;1022;217;82;95;140;224;264;
;11D040408: União das freguesias de Lagoaça e Fornos;723;117;34;31;123;173;245;
;11D1805: Lamego;6306;1615;661;759;854;1027;1390;
;11D180502: Avões;25;4;6;2;1;8;4;
;11D180504: Britiande;343;91;38;35;45;53;81;
;11D180505: Cambres;803;197;75;110;112;118;191;
;11D180507: Ferreirim;356;106;24;53;46;59;68;
;11D180508: Ferreiros de Avões;162;38;20;20;13;38;33;
;11D180509: Figueira;468;137;60;81;67;59;64;
;11D180510: Lalim;272;80;27;27;30;46;62;
;11D180525: Lamego (Almacave e Sé);697;126;87;80;76;104;224;
;11D180511: Lazarim;207;52;27;25;23;43;37;
;11D180516: Penajóia;824;213;74;101;126;142;168;
;11D180517: Penude;229;60;33;15;25;40;56;
;11D180519: Samodães;131;22;13;16;24;27;29;
;11D180520: Sande;301;84;38;30;43;55;51;
;11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;214;41;19;17;24;47;66;
;11D180527: União das freguesias de Cepões, Meijinhos e Melcões;374;107;39;36;60;51;81;
;11D180528: União das freguesias de Parada do Bispo e Valdigem;510;163;45;78;80;64;80;
;11D180523: Várzea de Abrunhais;184;45;12;16;33;31;47;
;11D180524: Vila Nova de Souto d'El-Rei;206;49;24;17;26;42;48;
;11D1704: Mesão Frio;1823;485;160;211;290;273;404;
;11D170401: Barqueiros;282;61;25;34;47;49;66;
;11D170402: Cidadelhe;152;47;16;21;19;15;34;
;11D170408: Mesão Frio (Santo André);442;113;32;46;75;70;106;
;11D170403: Oliveira;206;65;26;27;28;26;34;
;11D170407: Vila Marim;741;199;61;83;121;113;164;
;11D1807: Moimenta da Beira;3780;1018;282;456;573;669;782;
;11D180702: Alvite;321;50;23;50;81;65;52;
;11D180703: Arcozelos;259;75;19;38;40;46;41;
;11D180705: Baldos;100;31;6;14;11;20;18;
;11D180706: Cabaços;272;95;23;27;36;39;52;
;11D180707: Caria;270;96;22;38;42;31;41;
;11D180708: Castelo;143;28;10;12;21;25;47;
;11D180709: Leomil;415;147;28;44;65;62;69;
;11D180710: Moimenta da Beira;180;48;15;21;28;24;44;
;11D180713: Passô;227;79;21;32;20;33;42;
;11D180716: Vila da Rua;360;80;30;28;54;85;83;
;11D180717: Sarzedo;154;42;13;16;19;24;40;
;11D180719: Sever;158;16;10;29;32;39;32;
;11D180721: União das freguesias de Paradinha e Nagosa;133;27;11;12;19;17;47;
;11D180722: União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;322;81;15;40;46;66;74;
;11D180723: União das freguesias de Peva e Segões;281;63;18;29;37;64;70;
;11D180720: Vilar;185;60;18;26;22;29;30;
;11D1707: Murça;4235;1140;340;521;621;689;924;
;11D170701: Candedo;1333;360;105;187;196;230;255;
;11D170703: Fiolhoso;252;61;12;27;47;51;54;
;11D170704: Jou;646;146;51;64;94;127;164;
;11D170705: Murça;479;113;46;45;69;78;128;
;11D170710: União das freguesias de Carva e Vilares;293;90;14;25;49;43;72;
;11D170711: União das freguesias de Noura e Palheiros;853;262;76;123;111;112;169;
;11D170708: Valongo de Milhais;379;108;36;50;55;48;82;
;11D1812: Penedono;1827;437;132;213;236;327;482;
;11D181202: Beselga;240;52;12;22;32;54;68;
;11D181203: Castainço;120;23;8;10;16;18;45;
;11D181207: Penela da Beira;297;62;20;33;33;49;100;
;11D181208: Póvoa de Penela;335;99;29;40;44;58;65;
;11D181209: Souto;250;80;25;37;31;42;35;
;11D181210: União das freguesias de Antas e Ourozinho;221;44;16;20;16;40;85;
;11D181211: União das freguesias de Penedono e Granja;364;77;22;51;64;66;84;
;11D1708: Peso da Régua;4628;1318;489;540;663;708;910;
;11D170802: Fontelas;246;56;31;22;35;39;63;
;11D170805: Loureiro;565;130;51;48;97;96;143;
;11D170809: Sedielos;432;116;51;41;53;74;97;
;11D170813: União das freguesias de Galafura e Covelinhas;877;307;104;135;124;102;105;
;11D170814: União das freguesias de Moura Morta e Vinhós;606;186;66;83;82;89;100;
;11D170815: União das freguesias de Peso da Régua e Godim;572;140;66;77;67;85;137;
;11D170816: União das freguesias de Poiares e Canelas;828;246;57;74;137;147;167;
;11D170810: Vilarinho dos Freires;502;137;63;60;68;76;98;
;11D1710: Sabrosa;4135;1031;371;428;658;694;953;
;11D171001: Celeirós;141;30;17;17;15;22;40;
