
Quadro extraído em 17 de Outubro de 2022 (00:03:55)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Volume de trabalho da mão-de-obra agrícola (UTA) por Localização geográfica (NUTS - 2013) e Tipo de mão-de-obra -  Decenal (2) ;;;;;;;;;
;Período de referência dos dados;;;;;;;;;
;2009;;;;;;;;;
;Tipo de mão-de-obra;;;;;;;;;
;Mão-de-obra agrícola total;Mão-de-obra agrícola familiar;Produtor;Cônjuge;Outros membros da família;Mão-de-obra agrícola não familiar;Permanente;Eventual;Mão-de-obra não contratada pelo produtor;
;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;
111160928: Santa Marta de Portuzelo;93;89;45;23;21;4;2;2;0;
111160923: São Romão de Neiva;45;40;23;6;10;5;5;0;0;
111160941: União das freguesias de Barroselas e Carvoeiro;139;120;59;35;27;18;14;4;0;
111160942: União das freguesias de Cardielos e Serreleis;58;56;32;15;9;2;1;1;0;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;275;254;112;80;63;22;16;5;1;
111160944: União das freguesias de Mazarefes e Vila Fria;137;92;45;27;19;45;43;2;0;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;201;184;96;48;40;17;11;6;1;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;186;178;86;51;41;7;3;4;1;
111160947: União das freguesias de Torre e Vila Mou;85;77;40;15;22;9;7;2;0;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;53;51;24;12;16;2;0;1;0;
111160938: Vila de Punhe;46;42;21;16;6;4;1;3;0;
111160935: Vila Franca;107;96;54;28;14;11;6;5;0;
1111610: Vila Nova de Cerveira;417;396;199;135;62;21;14;6;1;
111161003: Cornes;44;42;18;13;12;2;1;1;0;
111161004: Covas;47;41;20;11;11;6;5;1;0;
111161006: Gondarém;37;35;18;14;3;1;1;0;0;
111161007: Loivo;14;12;7;2;3;2;1;1;0;
111161009: Mentrestido;33;32;15;13;4;1;0;1;0;
111161012: Sapardos;41;41;21;12;7;1;1;0;0;
111161013: Sopo;21;21;11;7;3;1;0;0;0;
111161016: União das freguesias de Campos e Vila Meã;78;76;39;28;9;2;0;2;0;
111161017: União das freguesias de Candemil e Gondar;30;29;14;11;4;2;1;0;0;
111161018: União das freguesias de Reboreda e Nogueira;57;55;28;21;6;2;2;0;0;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;14;13;9;4;0;2;2;0;0;
112: Cávado;13810;12330;5784;3898;2648;1479;952;458;69;
1120301: Amares;1365;1041;500;318;223;325;218;95;12;
112030102: Barreiros;57;46;25;11;10;11;9;1;0;
112030104: Bico;16;16;8;5;3;0;0;0;0;
112030119: Bouro (Santa Maria);59;52;24;13;15;8;2;5;0;
112030120: Bouro (Santa Marta);65;60;33;18;8;6;1;4;0;
112030105: Caires;78;65;30;24;11;13;7;6;0;
112030107: Carrazedo;200;48;23;16;10;152;143;9;0;
112030108: Dornelas;73;63;32;21;11;10;6;4;0;
112030111: Fiscal;66;53;31;19;3;13;10;3;0;
112030112: Goães;92;81;39;29;13;11;0;11;0;
112030113: Lago;43;38;18;7;13;5;3;2;0;
112030118: Rendufe;58;51;21;12;18;8;4;3;0;
112030125: União das freguesias de Amares e Figueiredo;75;65;32;24;9;10;4;6;0;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;103;95;47;30;18;8;4;4;0;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;152;94;45;31;18;58;25;25;8;
112030128: União das freguesias de Torre e Portela;49;45;22;13;11;4;0;3;0;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;178;169;71;45;53;8;0;8;1;
1120302: Barcelos;4998;4477;2044;1452;981;521;357;134;30;
112030201: Abade de Neiva;109;102;45;30;28;7;6;1;0;
112030202: Aborim;28;27;11;11;5;1;1;0;0;
112030203: Adães;58;51;22;13;16;8;5;2;0;
112030205: Airó;72;68;28;24;16;4;1;3;0;
112030206: Aldreu;48;45;21;15;9;4;3;1;0;
112030208: Alvelos;54;51;23;18;10;3;1;2;0;
112030209: Arcozelo;19;18;9;4;5;1;1;0;0;
112030210: Areias;9;9;6;1;2;0;0;0;0;
112030212: Balugães;37;34;15;10;9;3;3;1;0;
112030213: Barcelinhos;19;6;3;1;2;13;13;0;0;
112030215: Barqueiros;100;89;44;28;18;11;8;2;1;
112030216: Cambeses;64;58;27;21;10;7;5;1;0;
112030218: Carapeços;53;47;22;14;11;6;5;1;0;
112030220: Carvalhal;46;42;18;13;12;4;2;1;0;
112030221: Carvalhas;40;31;17;8;6;10;6;3;0;
112030224: Cossourado;64;61;23;21;16;3;2;1;0;
112030228: Cristelo;167;139;62;54;23;28;22;2;5;
112030234: Fornelos;80;71;30;25;16;9;6;2;0;
112030235: Fragoso;91;83;37;25;20;8;6;2;0;
112030268: Galegos (Santa Maria);46;45;18;16;10;1;0;1;0;
112030272: Galegos (São Martinho);20;18;10;7;1;2;1;1;0;
112030237: Gilmonde;58;57;25;16;17;1;1;0;0;
112030242: Lama;31;30;13;7;10;1;1;0;0;
112030243: Lijó;112;110;48;35;26;2;1;1;0;
112030244: Macieira de Rates;149;139;61;49;29;10;9;1;1;
112030245: Manhente;48;26;12;6;8;22;20;2;0;
112030247: Martim;88;84;32;27;25;4;0;3;0;
112030252: Moure;63;48;23;13;12;15;2;12;0;
112030254: Oliveira;66;63;28;17;18;3;2;1;0;
112030255: Palme;85;84;40;20;24;1;0;0;0;
112030256: Panque;81;80;34;31;15;1;0;1;0;
112030257: Paradela;114;105;50;28;27;8;6;2;1;
112030259: Pereira;41;38;18;13;6;3;2;2;0;
112030260: Perelhal;63;55;31;17;6;9;4;4;0;
112030261: Pousa;109;106;43;35;28;4;2;2;0;
112030263: Remelhe;71;57;29;16;13;14;10;4;0;
112030265: Rio Covo (Santa Eugénia);41;39;18;15;5;3;2;1;0;
112030264: Roriz;130;115;54;38;23;15;13;1;1;
112030279: Silva;40;37;17;14;6;3;3;0;0;
112030277: Tamel (São Veríssimo);28;27;13;9;5;1;0;0;0;
112030282: Ucha;53;45;22;13;10;8;5;2;0;
112030290: União das freguesias de Alheira e Igreja Nova;95;94;46;37;11;1;0;1;0;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;96;84;39;29;16;11;9;2;0;
112030292: União das freguesias de Areias de Vilar e Encourados;110;78;38;24;16;32;26;6;0;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);73;67;34;20;13;6;3;2;0;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);67;62;29;17;16;5;4;1;0;
112030295: União das freguesias de Carreira e Fonte Coberta;135;111;49;38;24;23;15;8;1;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;307;268;116;81;70;39;32;5;3;
112030297: União das freguesias de Creixomil e Mariz;89;80;46;26;8;9;7;2;0;
112030298: União das freguesias de Durrães e Tregosa;34;25;12;7;6;8;5;3;0;
112030299: União das freguesias de Gamil e Midões;46;40;20;14;6;7;5;1;0;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;186;166;71;51;44;20;10;7;3;
1120302FB: União das freguesias de Negreiros e Chavão;171;162;74;60;28;9;7;2;0;
1120302FC: União das freguesias de Quintiães e Aguiar;74;74;34;25;14;1;0;1;0;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);131;121;55;41;25;9;4;5;0;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);98;80;39;25;16;18;14;4;1;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;74;71;36;27;9;3;1;1;0;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;215;191;86;67;39;24;18;5;1;
1120302FH: União das freguesias de Vila Cova e Feitos;152;131;58;40;33;21;13;8;0;
112030283: Várzea;45;41;22;13;7;4;2;2;0;
112030287: Vila Seca;105;95;40;31;25;10;7;1;2;
1120303: Braga;2154;1864;873;567;425;289;207;74;8;
112030301: Adaúfe;130;108;51;30;27;22;16;6;1;
112030349: Braga (São Vicente);- -;- -;- -;- -;- -;- -;- -;- -;- -;
112030351: Braga (São Vítor);4;1;0;0;0;3;3;0;0;
112030312: Espinho;56;55;25;21;10;1;0;1;0;
112030313: Esporões;34;26;15;9;3;8;7;1;0;
112030315: Figueiredo;24;23;11;9;3;1;0;1;0;
112030319: Gualtar;14;13;7;6;0;1;0;1;0;
112030322: Lamas;27;26;10;9;7;1;0;1;0;
112030325: Mire de Tibães;84;81;31;24;26;3;2;1;0;
112030330: Padim da Graça;34;33;13;13;8;1;0;1;0;
112030331: Palmeira;99;78;41;19;18;21;17;4;0;
112030334: Pedralva;73;67;33;20;14;6;4;2;0;
112030336: Priscos;64;52;25;13;14;12;7;5;0;
112030338: Ruilhe;27;20;9;8;2;8;7;1;0;
112030354: Sequeira;64;55;24;12;19;8;7;2;0;
112030355: Sobreposta;72;70;35;18;17;2;0;2;0;
112030356: Tadim;17;13;7;5;0;5;4;0;0;
112030357: Tebosa;38;36;19;11;7;2;1;0;0;
112030363: União das freguesias de Arentim e Cunha;93;80;40;24;16;12;9;3;0;
