
Statistical table extracted on October 15, 2022 (14:19:30)
http://www.ine.pt



Geographic localization (NUTS -2013);Average value of total standard output by agricultural holding (?) by Geographic localization (NUTS -2013) -  Decennial (1) ;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;5454,6;
111160816: Verdoejo;5091;
1111609: Viana do Castelo;8110,7;
111160901: Afife;12588,7;
111160902: Alvarães;9762,3;
111160903: Amonde;4459,7;
111160904: Anha;9254;
111160905: Areosa;7121,2;
111160908: Carreço;19116,3;
111160910: Castelo do Neiva;5839,2;
111160940: Chafé;6646,9;
111160911: Darque;6142,8;
111160914: Freixieiro de Soutelo;10196,5;
111160915: Lanheses;6254,2;
111160920: Montaria;5409;
111160922: Mujães;6445,5;
111160925: Outeiro;5805,9;
111160926: Perre;13260,4;
111160928: Santa Marta de Portuzelo;9635,1;
111160923: São Romão de Neiva;27972;
111160941: União das freguesias de Barroselas e Carvoeiro;14048,7;
111160942: União das freguesias de Cardielos e Serreleis;6655,3;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;4861,5;
111160944: União das freguesias de Mazarefes e Vila Fria;9774;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;4501,2;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;6695,1;
111160947: União das freguesias de Torre e Vila Mou;8477,4;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;9753,5;
111160938: Vila de Punhe;6846,2;
111160935: Vila Franca;8646,4;
1111610: Vila Nova de Cerveira;7382;
111161003: Cornes;9754,4;
111161004: Covas;6121,4;
111161006: Gondarém;6607,4;
111161007: Loivo;11538,6;
111161009: Mentrestido;2654,2;
111161012: Sapardos;3069,8;
111161013: Sopo;4414,7;
111161016: União das freguesias de Campos e Vila Meã;11268,5;
111161017: União das freguesias de Candemil e Gondar;4104,3;
111161018: União das freguesias de Reboreda e Nogueira;10417,2;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;12862,9;
112: Cávado;12783,1;
1120301: Amares;11562,8;
112030102: Barreiros;6769;
112030104: Bico;16486,6;
112030119: Bouro (Santa Maria);3546,5;
112030120: Bouro (Santa Marta);4648,9;
112030105: Caires;6557;
112030107: Carrazedo;108650,5;
112030108: Dornelas;7765,9;
112030111: Fiscal;6188,9;
112030112: Goães;6455,5;
112030113: Lago;5437,6;
112030118: Rendufe;16127,4;
112030125: União das freguesias de Amares e Figueiredo;7608,4;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;6206,3;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;11816,5;
112030128: União das freguesias de Torre e Portela;4354,7;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;4962,4;
1120302: Barcelos;20755,4;
112030201: Abade de Neiva;19972,1;
112030202: Aborim;16752,8;
112030203: Adães;16075,4;
112030205: Airó;9371,2;
112030206: Aldreu;20756,9;
112030208: Alvelos;26675,6;
112030209: Arcozelo;31123,4;
112030210: Areias;15216;
112030212: Balugães;16449,3;
112030213: Barcelinhos;17785,5;
112030215: Barqueiros;18073,5;
112030216: Cambeses;27597,6;
112030218: Carapeços;9652,4;
112030220: Carvalhal;38553,7;
112030221: Carvalhas;30399,8;
112030224: Cossourado;22554,9;
112030228: Cristelo;42982,6;
112030234: Fornelos;19815;
112030235: Fragoso;10428,5;
112030268: Galegos (Santa Maria);5653,9;
112030272: Galegos (São Martinho);16503,9;
112030237: Gilmonde;15503,3;
112030242: Lama;13310,1;
112030243: Lijó;15860,2;
112030244: Macieira de Rates;46625,7;
112030245: Manhente;54274,9;
112030247: Martim;6917,8;
112030252: Moure;8626,8;
112030254: Oliveira;8502,3;
112030255: Palme;12345,8;
112030256: Panque;10533,5;
112030257: Paradela;37653;
112030259: Pereira;11068,6;
112030260: Perelhal;9425,6;
112030261: Pousa;7481,9;
112030263: Remelhe;21651,6;
112030265: Rio Covo (Santa Eugénia);19398,2;
112030264: Roriz;24098,8;
112030279: Silva;15880,1;
112030277: Tamel (São Veríssimo);17374,7;
112030282: Ucha;20183,4;
112030290: União das freguesias de Alheira e Igreja Nova;8134,3;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;18590,7;
112030292: União das freguesias de Areias de Vilar e Encourados;18726,1;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);22143,2;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);15277,2;
112030295: União das freguesias de Carreira e Fonte Coberta;29480,2;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;36850,2;
112030297: União das freguesias de Creixomil e Mariz;13449;
112030298: União das freguesias de Durrães e Tregosa;8823,8;
112030299: União das freguesias de Gamil e Midões;15515,5;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;29294,2;
1120302FB: União das freguesias de Negreiros e Chavão;29837,5;
1120302FC: União das freguesias de Quintiães e Aguiar;13568,2;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);13825,3;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);23478,7;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;6083,3;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;31929,8;
1120302FH: União das freguesias de Vila Cova e Feitos;14349;
112030283: Várzea;10825,1;
112030287: Vila Seca;20252,9;
1120303: Braga;10725,9;
112030301: Adaúfe;11635,6;
112030349: Braga (São Vicente);3132;
112030351: Braga (São Vítor);6649,7;
112030312: Espinho;17585,9;
112030313: Esporões;13570,4;
112030315: Figueiredo;8540,6;
112030319: Gualtar;5434,6;
112030322: Lamas;5950,7;
112030325: Mire de Tibães;6440,9;
112030330: Padim da Graça;4769;
112030331: Palmeira;10662,1;
112030334: Pedralva;17893,2;
112030336: Priscos;9229,2;
112030338: Ruilhe;8323,5;
112030354: Sequeira;18500,6;
112030355: Sobreposta;10945,8;
112030356: Tadim;11426,1;
112030357: Tebosa;8413,5;
112030363: União das freguesias de Arentim e Cunha;15234;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);8588,4;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;
112030366: União das freguesias de Cabreiros e Passos (São Julião);9208,5;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;5439,9;
112030368: União das freguesias de Crespos e Pousada;6408,5;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);20855,1;
112030370: União das freguesias de Este (São Pedro e São Mamede);5523,2;
112030371: União das freguesias de Ferreiros e Gondizalves;7266,6;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);9169,2;
112030373: União das freguesias de Lomar e Arcos;8630,4;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;8507,6;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;23811,3;
112030376: União das freguesias de Morreira e Trandeiras;9300,7;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;8213;
112030378: União das freguesias de Nogueiró e Tenões;6531,9;
112030379: União das freguesias de Real, Dume e Semelhe;10891,2;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;18537,1;
112030381: União das freguesias de Vilaça e Fradelos;6426,8;
1120306: Esposende;11914,5;
112030601: Antas;7619,2;
112030608: Forjães;6847,6;
112030610: Gemeses;13110,6;
112030616: União das freguesias de Apúlia e Fão;9499,6;
112030617: União das freguesias de Belinho e Mar;6240,6;
112030618: União das freguesias de Esposende, Marinhas e Gandra;14338,2;
112030619: União das freguesias de Fonte Boa e Rio Tinto;26121,5;
112030620: União das freguesias de Palmeira de Faro e Curvos;9357,8;
112030615: Vila Chã;8063,8;
1120310: Terras de Bouro;4643,1;
112031001: Balança;4588,7;
112031003: Campo do Gerês;2572;
112031004: Carvalheira;3856,3;
112031008: Covide;5876,3;
112031009: Gondoriz;3464,9;
112031010: Moimenta;4298,4;
112031012: Ribeira;4602,6;
112031013: Rio Caldo;4507,3;
112031014: Souto;2976,5;
112031018: União das freguesias de Chamoim e Vilar;4927,9;
112031019: União das freguesias de Chorense e Monte;7028,7;
112031020: União das freguesias de Cibões e Brufe;4669,9;
112031015: Valdosende;3979,6;
112031017: Vilar da Veiga;3958,2;
1120313: Vila Verde;5353,5;
112031359: Aboim da Nóbrega e Gondomar;2837,9;
112031304: Atiães;12826,7;
112031308: Cabanelas;16690,2;
112031309: Cervães;3894,9;
112031311: Coucieiro;14586,3;
112031313: Dossãos;3475,2;
112031316: Freiriz;3553,7;
112031317: Gême;10382,9;
112031323: Lage;10012,6;
112031324: Lanhas;5265,7;
112031325: Loureira;5079,9;
112031328: Moure;4413,5;
112031330: Oleiros;5978;
112031331: Parada de Gatim;4400,7;
112031335: Pico;6679,9;
112031337: Ponte;4899;
112031350: Prado (São Miguel);3799,2;
112031340: Sabariz;9127;
112031352: Soutelo;10947,8;
112031354: Turiz;7935;
112031360: União das freguesias da Ribeira do Neiva;3441,6;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);3936,1;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);13966,1;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;5475,6;
112031364: União das freguesias de Marrancos e Arcozelo;8856,7;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);3821,8;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;5735,5;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;2781;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);4669,1;
112031369: União das freguesias do Vade;2684,6;
112031355: Valdreu;3560,8;
112031342: Vila de Prado;6794,3;
112031370: Vila Verde e Barbudo;5171,1;
119: Ave;9135,2;
1190304: Cabeceiras de Basto;5356,5;
119030401: Abadim;5457;
119030404: Basto;5150,6;
119030405: Bucos;3629,3;
119030406: Cabeceiras de Basto;6335,7;
119030407: Cavez;5652,3;
119030408: Faia;5892,8;
119030413: Pedraça;5059,3;
119030415: Rio Douro;7900,2;
119030418: União das freguesias de Alvite e Passos;4195,5;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;4696,1;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;6334;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;3903,7;
1190307: Fafe;4844,3;
119030705: Armil;4318,9;
119030726: Arões (Santa Cristina);4539,4;
119030730: Arões (São Romão);5013,5;
119030708: Estorãos;3518,1;
119030709: Fafe;3582,5;
119030712: Fornelos;4008,4;
119030714: Golães;3945,4;
119030716: Medelo;3847,7;
119030719: Paços;3514,9;
119030722: Quinchães;3181,9;
119030723: Regadas;8807;
119030724: Revelhe;4597,1;
119030725: Ribeiros;4817,3;
119030728: São Gens;6742,8;
119030729: Silvares (São Martinho);3743,2;
119030733: Travassós;3274,9;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;3683,1;
119030738: União de freguesias de Agrela e Serafão;4345;
119030739: União de freguesias de Antime e Silvares (São Clemente);10782,4;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;5407,7;
119030741: União de freguesias de Cepães e Fareja;8607;
119030742: União de freguesias de Freitas e Vila Cova;5381,8;
119030743: União de freguesias de Monte e Queimadela;4898,4;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;3876,1;
119030736: Vinhós;4150,4;
1190308: Guimarães;13508,2;
119030801: Aldão;12039,4;
119030804: Azurém;11334,5;
119030806: Barco;40642,1;
119030807: Brito;17091,3;
119030808: Caldelas;15445,4;
119030857: Candoso (São Martinho);19446,6;
119030812: Costa;8957,7;
119030813: Creixomil;18307,7;
119030815: Fermentões;16757,2;
119030820: Gonça;5877,4;
119030821: Gondar;22388,8;
119030823: Guardizela;21718,2;
119030824: Infantas;5408,1;
119030827: Longos;17983;
119030828: Lordelo;9740,2;
119030830: Mesão Frio;13535;
119030831: Moreira de Cónegos;5972,4;
119030832: Nespereira;11455,8;
119030835: Pencelo;5839,7;
119030836: Pinheiro;16777,3;
119030837: Polvoreira;7177,1;
119030838: Ponte;69728,8;
119030842: Prazins (Santa Eufémia);6697,2;
119030840: Ronfe;12913,2;
119030858: Sande (São Martinho);7692,4;
119030865: São Torcato;12139,5;
119030850: Selho (São Cristóvão);7720,2;
119030854: Selho (São Jorge);12327,5;
119030866: Serzedelo;13131,7;
119030868: Silvares;9026,9;
119030875: União das freguesias de Abação e Gémeos;7462,6;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;5956,5;
119030877: União das freguesias de Arosa e Castelões;3906,3;
119030878: União das freguesias de Atães e Rendufe;6538,9;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;7576;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;13352;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;16995,3;
119030882: União das freguesias de Conde e Gandarela;6581;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;16346,5;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;4876,4;
119030886: União das freguesias de Sande São Lourenço e Balazar;26028,7;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;8602,3;
119030888: União das freguesias de Selho São Lourenço e Gominhães;5859,8;
119030889: União das freguesias de Serzedo e Calvos;5971,7;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;16107,3;
119030891: União das freguesias de Tabuadelo e São Faustino;8422,8;
119030871: Urgezes;9507,9;
1191705: Mondim de Basto;5218,7;
119170501: Atei;9827,4;
119170502: Bilhó;3471,7;
119170505: São Cristóvão de Mondim de Basto;5716,7;
119170509: União das freguesias de Campanhó e Paradança;3716,3;
119170510: União das freguesias de Ermelo e Pardelhas;4921,2;
119170508: Vilar de Ferreiros;3156,5;
1190309: Póvoa de Lanhoso;7227,1;
119030906: Covelas;5542,2;
119030908: Ferreiros;10914,6;
119030912: Galegos;2523,7;
119030913: Garfe;7392;
119030914: Geraz do Minho;10539,8;
119030915: Lanhoso;9746,9;
119030917: Monsul;7584,2;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);14649,5;
119030921: Rendufinho;6897,6;
119030922: Santo Emilião;49100,5;
119030923: São João de Rei;8611,9;
119030924: Serzedelo;3692,2;
119030925: Sobradelo da Goma;3781,4;
119030926: Taíde;9069,4;
119030927: Travassos;4222,9;
119030930: União das freguesias de Águas Santas e Moure;9060,5;
119030931: União das freguesias de Calvos e Frades;3676,9;
119030932: União das freguesias de Campos e Louredo;8655,9;
119030933: União das freguesias de Esperança e Brunhais;3445,7;
119030934: União das freguesias de Fonte Arcada e Oliveira;5296,8;
119030935: União das freguesias de Verim, Friande e Ajude;4370,6;
119030929: Vilela;6703,9;
1190311: Vieira do Minho;3841,8;
119031105: Cantelães;2914,1;
119031107: Eira Vedra;3661,8;
119031108: Guilhofrei;3158,1;
119031109: Louredo;2593,2;
119031110: Mosteiro;3678,7;
119031111: Parada de Bouro;2770,3;
119031112: Pinheiro;2391,3;
119031113: Rossas;4737,9;
119031115: Salamonde;3040,8;
119031118: Tabuaças;3819,2;
119031122: União das freguesias de Anissó e Soutelo;4567,9;
119031123: União das freguesias de Anjos e Vilar do Chão;3870,5;
119031124: União das freguesias de Caniçada e Soengas;2802,1;
119031125: União das freguesias de Ruivães e Campos;5091,9;
119031126: União das freguesias de Ventosa e Cova;4574,2;
119031120: Vieira do Minho;4698,7;
1190312: Vila Nova de Famalicão;19215;
119031204: Bairro;12203,3;
119031206: Brufe;18162,3;
119031210: Castelões;16911,9;
119031212: Cruz;18204,2;
119031213: Delães;7493,1;
119031215: Fradelos;51512,6;
119031216: Gavião;12194,7;
119031219: Joane;10752,5;
119031221: Landim;18185,7;
119031223: Louro;29631,8;
119031224: Lousado;11053,3;
119031225: Mogege;10979,3;
119031227: Nine;15188,7;
119031239: Oliveira (Santa Maria);7562,9;
119031242: Oliveira (São Mateus);4032,1;
119031230: Pedome;4736,7;
119031232: Pousada de Saramagos;3758,5;
119031233: Requião;18486;
119031234: Riba de Ave;7648,1;
119031235: Ribeirão;24094,8;
119031250: União das freguesias de Antas e Abade de Vermoim;14335,6;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;11149,5;
119031252: União das freguesias de Avidos e Lagoa;20116,3;
119031253: União das freguesias de Carreira e Bente;12555;
119031254: União das freguesias de Esmeriz e Cabeçudos;11913,4;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;27761,8;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;23223,8;
119031257: União das freguesias de Ruivães e Novais;21559;
119031258: União das freguesias de Seide;9813,8;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;13781;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;8871,3;
119031241: Vale (São Martinho);24377,8;
119031247: Vermoim;16108,5;
119031249: Vilarinho das Cambas;26753,6;
1190314: Vizela;8154;
119031404: Infias;4924,4;
119031401: Santa Eulália;7525,2;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);8814,2;
119031409: União das freguesias de Tagilde e Vizela (São Paio);9696,1;
119031406: Vizela (Santo Adrião);7267,9;
11A: Área Metropolitana do Porto;16104,7;
11A0104: Arouca;6542,5;
11A010402: Alvarenga;5087,3;
11A010407: Chave;10256;
11A010409: Escariz;14987,3;
11A010411: Fermedo;11780,7;
11A010413: Mansores;8895,9;
11A010414: Moldes;4235,8;
11A010415: Rossas;2674,9;
11A010416: Santa Eulália;5329,7;
11A010417: São Miguel do Mato;5018,1;
11A010418: Tropeço;6531,3;
11A010421: União das freguesias de Arouca e Burgo;4703,6;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;6019,5;
11A010423: União das freguesias de Canelas e Espiunca;3187,7;
11A010424: União das freguesias de Covelo de Paivó e Janarde;5777,4;
11A010419: Urrô;4021,9;
11A010420: Várzea;15884,8;
11A0107: Espinho;4942,7;
11A010702: Espinho;- -;
11A010704: Paramos;3328,9;
11A010705: Silvalde;3858,2;
11A010706: União das freguesias de Anta e Guetim;5577,5;
11A1304: Gondomar;7435,5;
11A130412: Baguim do Monte (Rio Tinto);8008,4;
11A130405: Lomba;2435,3;
11A130408: Rio Tinto;12068;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;8798,1;
11A130414: União das freguesias de Foz do Sousa e Covelo;5640,8;
11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;11200,2;
11A130416: União das freguesias de Melres e Medas;2693,5;
11A1306: Maia;26733,8;
11A130601: Águas Santas;19152,8;
11A130618: Castêlo da Maia;34920,4;
11A130619: Cidade da Maia;8698,2;
11A130603: Folgosa;34839,3;
11A130608: Milheirós;8213,8;
11A130609: Moreira;40162,5;
11A130620: Nogueira e Silva Escura;21463,6;
11A130617: Pedrouços;14979,1;
11A130613: São Pedro Fins;27644,5;
11A130616: Vila Nova da Telha;27774,6;
11A1308: Matosinhos;28970,2;
11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;29740,7;
11A130812: União das freguesias de Matosinhos e Leça da Palmeira;6125,5;
11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;34157;
11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;19929,8;
11A0113: Oliveira de Azeméis;16636,6;
11A011301: Carregosa;8560,8;
11A011302: Cesar;3695,1;
11A011303: Fajões;9428,8;
11A011304: Loureiro;28715,7;
11A011305: Macieira de Sarnes;8341,8;
11A011310: Ossela;7771,2;
11A011315: São Martinho da Gândara;32465,9;
11A011318: São Roque;8606,2;
11A011320: União das freguesias de Nogueira do Cravo e Pindelo;5274,3;
11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;29220,1;
11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;5790,7;
11A011319: Vila de Cucujães;20078,3;
11A1310: Paredes;7742,8;
11A131001: Aguiar de Sousa;5065,2;
11A131002: Astromil;7080;
11A131003: Baltar;8909,6;
11A131004: Beire;6650,6;
11A131008: Cete;4885,9;
11A131009: Cristelo;6792,7;
11A131010: Duas Igrejas;4864,5;
11A131011: Gandra;6667,5;
11A131013: Lordelo;4283,4;
11A131014: Louredo;14469,9;
11A131017: Parada de Todeia;16953,3;
11A131025: Paredes;10553,9;
