
Statistical table extracted on October 18, 2022 (23:21:13)
http://www.ine.pt



Geographic localization (NUTS -2013);Value of total standard production (?) of agricultural holdings by Geographic localization (NUTS -2013) -  Decennial (1) ;
112030277: Tamel (São Veríssimo);343422;
112030282: Ucha;1461683;
112030290: União das freguesias de Alheira e Igreja Nova;506625;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;2210549;
112030292: União das freguesias de Areias de Vilar e Encourados;1100365;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);923510;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);805633;
112030295: União das freguesias de Carreira e Fonte Coberta;2387091;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;10746311;
112030297: União das freguesias de Creixomil e Mariz;854114;
112030298: União das freguesias de Durrães e Tregosa;259039;
112030299: União das freguesias de Gamil e Midões;710829;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;4822637;
1120302FB: União das freguesias de Negreiros e Chavão;5421315;
1120302FC: União das freguesias de Quintiães e Aguiar;1233793;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);1936674;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);2285164;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;304331;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;7049371;
1120302FH: União das freguesias de Vila Cova e Feitos;2190025;
112030283: Várzea;787624;
112030287: Vila Seca;2040631;
1120303: Braga;17837631;
112030301: Adaúfe;736328;
112030349: Braga (São Vicente);- -;
112030351: Braga (São Vítor);38956;
112030312: Espinho;515512;
112030313: Esporões;503702;
112030315: Figueiredo;483483;
112030319: Gualtar;18099;
112030322: Lamas;110438;
112030325: Mire de Tibães;722622;
112030330: Padim da Graça;341389;
112030331: Palmeira;1013354;
112030334: Pedralva;1149532;
112030336: Priscos;319636;
112030338: Ruilhe;377568;
112030354: Sequeira;811939;
112030355: Sobreposta;621742;
112030356: Tadim;93826;
112030357: Tebosa;59618;
112030363: União das freguesias de Arentim e Cunha;1313184;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);79748;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;
112030366: União das freguesias de Cabreiros e Passos (São Julião);482463;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;438009;
112030368: União das freguesias de Crespos e Pousada;971735;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);1948346;
112030370: União das freguesias de Este (São Pedro e São Mamede);278329;
112030371: União das freguesias de Ferreiros e Gondizalves;235444;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);505072;
112030373: União das freguesias de Lomar e Arcos;224737;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;943970;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;644004;
112030376: União das freguesias de Morreira e Trandeiras;261059;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;180911;
112030378: União das freguesias de Nogueiró e Tenões;190119;
112030379: União das freguesias de Real, Dume e Semelhe;752236;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;246002;
112030381: União das freguesias de Vilaça e Fradelos;224517;
1120306: Esposende;21436483;
112030601: Antas;504787;
112030608: Forjães;447765;
112030610: Gemeses;975149;
112030616: União das freguesias de Apúlia e Fão;7272293;
112030617: União das freguesias de Belinho e Mar;1188079;
112030618: União das freguesias de Esposende, Marinhas e Gandra;3988736;
112030619: União das freguesias de Fonte Boa e Rio Tinto;5719775;
112030620: União das freguesias de Palmeira de Faro e Curvos;1034123;
112030615: Vila Chã;305776;
1120310: Terras de Bouro;4492929;
112031001: Balança;320885;
112031003: Campo do Gerês;291752;
112031004: Carvalheira;335036;
112031008: Covide;471668;
112031009: Gondoriz;324430;
112031010: Moimenta;150045;
112031012: Ribeira;53767;
112031013: Rio Caldo;297611;
112031014: Souto;333026;
112031018: União das freguesias de Chamoim e Vilar;443136;
112031019: União das freguesias de Chorense e Monte;683984;
112031020: União das freguesias de Cibões e Brufe;344548;
112031015: Valdosende;182321;
112031017: Vilar da Veiga;260720;
1120313: Vila Verde;17115122;
112031359: Aboim da Nóbrega e Gondomar;290499;
112031304: Atiães;729268;
112031308: Cabanelas;2218498;
112031309: Cervães;422117;
112031311: Coucieiro;950785;
112031313: Dossãos;145581;
112031316: Freiriz;157196;
112031317: Gême;102961;
112031323: Lage;486204;
112031324: Lanhas;208847;
112031325: Loureira;67626;
112031328: Moure;218668;
112031330: Oleiros;137715;
112031331: Parada de Gatim;200296;
112031335: Pico;472975;
112031337: Ponte;302255;
112031350: Prado (São Miguel);240252;
112031340: Sabariz;133934;
112031352: Soutelo;800233;
112031354: Turiz;538580;
112031360: União das freguesias da Ribeira do Neiva;1471094;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);130724;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);419477;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;394657;
112031364: União das freguesias de Marrancos e Arcozelo;1639629;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);186510;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;1040231;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;326857;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);259569;
112031369: União das freguesias do Vade;775258;
112031355: Valdreu;321626;
112031342: Vila de Prado;840723;
112031370: Vila Verde e Barbudo;484276;
119: Ave;110540680;
1190304: Cabeceiras de Basto;8817414;
119030401: Abadim;537681;
119030404: Basto;355403;
119030405: Bucos;336420;
119030406: Cabeceiras de Basto;508656;
119030407: Cavez;1280918;
119030408: Faia;244885;
119030413: Pedraça;634918;
119030415: Rio Douro;1246540;
119030418: União das freguesias de Alvite e Passos;677152;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;537940;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;722078;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;1734823;
1190307: Fafe;7584006;
119030705: Armil;422146;
119030726: Arões (Santa Cristina);122207;
119030730: Arões (São Romão);268200;
119030708: Estorãos;203548;
119030709: Fafe;217407;
119030712: Fornelos;108482;
119030714: Golães;184121;
119030716: Medelo;86586;
119030719: Paços;99026;
119030722: Quinchães;1144857;
119030723: Regadas;312011;
119030724: Revelhe;247136;
119030725: Ribeiros;189081;
119030728: São Gens;488248;
119030729: Silvares (São Martinho);90445;
119030733: Travassós;146138;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;225266;
119030738: União de freguesias de Agrela e Serafão;177830;
119030739: União de freguesias de Antime e Silvares (São Clemente);135348;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;853521;
119030741: União de freguesias de Cepães e Fareja;543511;
119030742: União de freguesias de Freitas e Vila Cova;262203;
119030743: União de freguesias de Monte e Queimadela;433239;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;541388;
119030736: Vinhós;82059;
1190308: Guimarães;26619203;
119030801: Aldão;234542;
119030804: Azurém;159566;
119030806: Barco;1890575;
119030807: Brito;296756;
119030808: Caldelas;106729;
119030857: Candoso (São Martinho);1193740;
119030812: Costa;130828;
119030813: Creixomil;794508;
119030815: Fermentões;289294;
119030820: Gonça;309861;
119030821: Gondar;164944;
119030823: Guardizela;675970;
119030824: Infantas;244343;
119030827: Longos;1585942;
119030828: Lordelo;354838;
119030830: Mesão Frio;68004;
119030831: Moreira de Cónegos;161464;
119030832: Nespereira;357233;
119030835: Pencelo;162373;
119030836: Pinheiro;379342;
119030837: Polvoreira;265262;
119030838: Ponte;690622;
119030842: Prazins (Santa Eufémia);748961;
119030840: Ronfe;750452;
119030858: Sande (São Martinho);345650;
119030865: São Torcato;1315388;
119030850: Selho (São Cristóvão);33390;
119030854: Selho (São Jorge);509160;
119030866: Serzedelo;626516;
119030868: Silvares;536088;
119030875: União das freguesias de Abação e Gémeos;555146;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;707214;
119030877: União das freguesias de Arosa e Castelões;174327;
119030878: União das freguesias de Atães e Rendufe;798932;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;561934;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;728501;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;509468;
119030882: União das freguesias de Conde e Gandarela;290271;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;1003446;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;465660;
119030886: União das freguesias de Sande São Lourenço e Balazar;1485112;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;588352;
119030888: União das freguesias de Selho São Lourenço e Gominhães;413475;
119030889: União das freguesias de Serzedo e Calvos;223819;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;2000145;
119030891: União das freguesias de Tabuadelo e São Faustino;465719;
119030871: Urgezes;265335;
1191705: Mondim de Basto;4171859;
119170501: Atei;1587268;
119170502: Bilhó;594243;
119170505: São Cristóvão de Mondim de Basto;497632;
119170509: União das freguesias de Campanhó e Paradança;383790;
119170510: União das freguesias de Ermelo e Pardelhas;679309;
119170508: Vilar de Ferreiros;429618;
1190309: Póvoa de Lanhoso;9632410;
119030906: Covelas;240157;
119030908: Ferreiros;339494;
119030912: Galegos;65623;
119030913: Garfe;232526;
119030914: Geraz do Minho;1291664;
119030915: Lanhoso;189271;
119030917: Monsul;204566;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);184102;
119030921: Rendufinho;318763;
119030922: Santo Emilião;690586;
119030923: São João de Rei;334531;
119030924: Serzedelo;557145;
119030925: Sobradelo da Goma;164959;
119030926: Taíde;88009;
119030927: Travassos;196759;
119030930: União das freguesias de Águas Santas e Moure;550042;
119030931: União das freguesias de Calvos e Frades;859818;
119030932: União das freguesias de Campos e Louredo;1610609;
119030933: União das freguesias de Esperança e Brunhais;140863;
119030934: União das freguesias de Fonte Arcada e Oliveira;761457;
119030935: União das freguesias de Verim, Friande e Ajude;369069;
119030929: Vilela;242395;
1190311: Vieira do Minho;5518418;
119031105: Cantelães;307239;
119031107: Eira Vedra;283251;
119031108: Guilhofrei;176938;
119031109: Louredo;171221;
119031110: Mosteiro;420113;
119031111: Parada de Bouro;66539;
119031112: Pinheiro;207774;
119031113: Rossas;788154;
119031115: Salamonde;166744;
119031118: Tabuaças;386886;
119031122: União das freguesias de Anissó e Soutelo;162057;
119031123: União das freguesias de Anjos e Vilar do Chão;723983;
119031124: União das freguesias de Caniçada e Soengas;203988;
119031125: União das freguesias de Ruivães e Campos;1013113;
119031126: União das freguesias de Ventosa e Cova;173708;
119031120: Vieira do Minho;266709;
1190312: Vila Nova de Famalicão;46256106;
119031204: Bairro;484171;
119031206: Brufe;489476;
119031210: Castelões;619418;
119031212: Cruz;206112;
119031213: Delães;211383;
119031215: Fradelos;12537029;
119031216: Gavião;479219;
119031219: Joane;365869;
119031221: Landim;1377730;
119031223: Louro;1189153;
119031224: Lousado;257255;
119031225: Mogege;300968;
119031227: Nine;753579;
119031239: Oliveira (Santa Maria);267076;
119031242: Oliveira (São Mateus);17785;
119031230: Pedome;139007;
119031232: Pousada de Saramagos;97273;
119031233: Requião;940333;
119031234: Riba de Ave;7127;
119031235: Ribeirão;1686291;
119031250: União das freguesias de Antas e Abade de Vermoim;975276;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;1102120;
119031252: União das freguesias de Avidos e Lagoa;769826;
119031253: União das freguesias de Carreira e Bente;920342;
119031254: União das freguesias de Esmeriz e Cabeçudos;797825;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;4893230;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;3810978;
119031257: União das freguesias de Ruivães e Novais;2149575;
119031258: União das freguesias de Seide;200152;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;1953055;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;368167;
119031241: Vale (São Martinho);1071571;
119031247: Vermoim;515744;
119031249: Vilarinho das Cambas;4301993;
1190314: Vizela;1941265;
119031404: Infias;81792;
119031401: Santa Eulália;213814;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);406299;
119031409: União das freguesias de Tagilde e Vizela (São Paio);1027916;
119031406: Vizela (Santo Adrião);211444;
11A: Área Metropolitana do Porto;242004477;
11A0104: Arouca;10361676;
11A010402: Alvarenga;905575;
11A010407: Chave;1076402;
11A010409: Escariz;1834918;
11A010411: Fermedo;423233;
11A010413: Mansores;976645;
11A010414: Moldes;540712;
11A010415: Rossas;419803;
11A010416: Santa Eulália;504603;
11A010417: São Miguel do Mato;216763;
11A010418: Tropeço;686425;
11A010421: União das freguesias de Arouca e Burgo;695878;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;378251;
11A010423: União das freguesias de Canelas e Espiunca;947179;
11A010424: União das freguesias de Covelo de Paivó e Janarde;259556;
11A010419: Urrô;186444;
11A010420: Várzea;309289;
11A0107: Espinho;272531;
11A010702: Espinho;- -;
11A010704: Paramos;22015;
11A010705: Silvalde;63840;
11A010706: União das freguesias de Anta e Guetim;186676;
11A1304: Gondomar;5492081;
11A130412: Baguim do Monte (Rio Tinto);500583;
11A130405: Lomba;165298;
11A130408: Rio Tinto;810342;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;772036;
11A130414: União das freguesias de Foz do Sousa e Covelo;671572;
11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;2303662;
11A130416: União das freguesias de Melres e Medas;268588;
11A1306: Maia;13809785;
11A130601: Águas Santas;1194321;
11A130618: Castêlo da Maia;5047534;
11A130619: Cidade da Maia;206971;
11A130603: Folgosa;1925031;
11A130608: Milheirós;131840;
11A130609: Moreira;1492386;
11A130620: Nogueira e Silva Escura;797764;
11A130617: Pedrouços;302666;
11A130613: São Pedro Fins;1415764;
11A130616: Vila Nova da Telha;1295506;
11A1308: Matosinhos;9765210;
11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;2368362;
11A130812: União das freguesias de Matosinhos e Leça da Palmeira;28006;
11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;6719782;
11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;649059;
11A0113: Oliveira de Azeméis;14290114;
11A011301: Carregosa;230850;
11A011302: Cesar;81169;
11A011303: Fajões;835690;
11A011304: Loureiro;3890688;
11A011305: Macieira de Sarnes;110398;
11A011310: Ossela;149635;
11A011315: São Martinho da Gândara;4888870;
11A011318: São Roque;321902;
11A011320: União das freguesias de Nogueira do Cravo e Pindelo;76053;
11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;1597726;
11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;725042;
11A011319: Vila de Cucujães;1382091;
11A1310: Paredes;7462784;
11A131001: Aguiar de Sousa;397781;
11A131002: Astromil;224495;
11A131003: Baltar;290042;
11A131004: Beire;847960;
11A131008: Cete;192445;
11A131009: Cristelo;88700;
11A131010: Duas Igrejas;246706;
11A131011: Gandra;237241;
11A131013: Lordelo;71903;
11A131014: Louredo;147799;
11A131017: Parada de Todeia;60491;
11A131025: Paredes;2554902;
11A131018: Rebordosa;293281;
11A131019: Recarei;168740;
11A131020: Sobreira;780876;
11A131021: Sobrosa;314609;
11A131022: Vandoma;247599;
11A131024: Vilela;297215;
11A1312: Porto;115631;
11A131202: Bonfim;- -;
11A131203: Campanhã;65885;
11A131210: Paranhos;10832;
11A131211: Ramalde;28346;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;6699;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;3868;
11A1313: Póvoa de Varzim;51659111;
11A131305: Balazar;11470428;
11A131307: Estela;3928502;
11A131308: Laundos;4629723;
11A131311: Rates;12039376;
11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;2208980;
11A131314: União das freguesias de Aguçadoura e Navais;12159452;
11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;5222650;
11A0109: Santa Maria da Feira;7909842;
11A010901: Argoncilhe;134241;
11A010902: Arrifana;163006;
11A010904: Escapães;158045;
11A010907: Fiães;99213;
11A010908: Fornos;14982;
11A010913: Lourosa;98416;
11A010914: Milheirós de Poiares;122716;
11A010916: Mozelos;109045;
11A010917: Nogueira da Regedoura;67952;
11A010919: Paços de Brandão;9846;
11A010921: Rio Meão;36052;
11A010922: Romariz;1082828;
11A010924: Sanguedo;63003;
11A010925: Santa Maria de Lamas;17889;
11A010926: São João de Ver;631010;
11A010918: São Paio de Oleiros;50714;
11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;228224;
11A010933: União das freguesias de Canedo, Vale e Vila Maior;2606069;
11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;918120;
11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;920969;
11A010936: União de freguesias de São Miguel de Souto e Mosteirô;377501;
11A1314: Santo Tirso;11641091;
11A131401: Agrela;190270;
11A131402: Água Longa;2357644;
11A131405: Aves;406013;
11A131413: Monte Córdova;343218;
11A131430: Negrelos (São Tomé);248577;
