
Statistical table extracted on October 11, 2022 (17:18:29)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;11A010413: Mansores;176;90;86;
;11A010414: Moldes;200;91;109;
;11A010415: Rossas;100;51;49;
;11A010416: Santa Eulália;237;124;113;
;11A010417: São Miguel do Mato;109;58;51;
;11A010418: Tropeço;119;64;55;
;11A010421: União das freguesias de Arouca e Burgo;316;161;155;
;11A010422: União das freguesias de Cabreiros e Albergaria da Serra;87;39;48;
;11A010423: União das freguesias de Canelas e Espiunca;147;74;73;
;11A010424: União das freguesias de Covelo de Paivó e Janarde;87;42;45;
;11A010419: Urrô;97;50;47;
;11A010420: Várzea;20;11;9;
;11A0107: Espinho;56;25;31;
;11A010702: Espinho;- -;- -;- -;
;11A010704: Paramos;2;1;1;
;11A010705: Silvalde;26;11;15;
;11A010706: União das freguesias de Anta e Guetim;28;13;15;
;11A1304: Gondomar;1090;601;489;
;11A130412: Baguim do Monte (Rio Tinto);64;33;31;
;11A130405: Lomba;48;25;23;
;11A130408: Rio Tinto;83;48;35;
;11A130413: União das freguesias de Fânzeres e São Pedro da Cova;170;99;71;
;11A130414: União das freguesias de Foz do Sousa e Covelo;241;131;110;
;11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;311;169;142;
;11A130416: União das freguesias de Melres e Medas;173;96;77;
;11A1306: Maia;633;338;295;
;11A130601: Águas Santas;62;36;26;
;11A130618: Castêlo da Maia;185;97;88;
;11A130619: Cidade da Maia;44;25;19;
;11A130603: Folgosa;78;42;36;
;11A130608: Milheirós;45;21;24;
;11A130609: Moreira;44;24;20;
;11A130620: Nogueira e Silva Escura;48;23;25;
;11A130617: Pedrouços;16;11;5;
;11A130613: São Pedro Fins;59;32;27;
;11A130616: Vila Nova da Telha;52;27;25;
;11A1308: Matosinhos;328;183;145;
;11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;86;53;33;
;11A130812: União das freguesias de Matosinhos e Leça da Palmeira;14;7;7;
;11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;161;86;75;
;11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;67;37;30;
;11A0113: Oliveira de Azeméis;1414;747;667;
;11A011301: Carregosa;119;65;54;
;11A011302: Cesar;44;25;19;
;11A011303: Fajões;118;66;52;
;11A011304: Loureiro;284;149;135;
;11A011305: Macieira de Sarnes;25;12;13;
;11A011310: Ossela;113;58;55;
;11A011315: São Martinho da Gândara;229;118;111;
;11A011318: São Roque;17;8;9;
;11A011320: União das freguesias de Nogueira do Cravo e Pindelo;62;30;32;
;11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;121;70;51;
;11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;148;78;70;
;11A011319: Vila de Cucujães;134;68;66;
;11A1310: Paredes;2247;1189;1058;
;11A131001: Aguiar de Sousa;205;110;95;
;11A131002: Astromil;47;21;26;
;11A131003: Baltar;135;79;56;
;11A131004: Beire;165;90;75;
;11A131008: Cete;76;37;39;
;11A131009: Cristelo;20;9;11;
;11A131010: Duas Igrejas;80;35;45;
;11A131011: Gandra;126;64;62;
;11A131013: Lordelo;67;35;32;
;11A131014: Louredo;48;33;15;
;11A131017: Parada de Todeia;28;17;11;
;11A131025: Paredes;557;295;262;
;11A131018: Rebordosa;134;65;69;
;11A131019: Recarei;151;83;68;
;11A131020: Sobreira;158;85;73;
;11A131021: Sobrosa;63;34;29;
;11A131022: Vandoma;105;53;52;
;11A131024: Vilela;82;44;38;
;11A1312: Porto;29;17;12;
;11A131202: Bonfim;- -;- -;- -;
;11A131203: Campanhã;11;6;5;
;11A131210: Paranhos;4;3;1;
;11A131211: Ramalde;12;6;6;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2;2;- -;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;- -;- -;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;- -;- -;
;11A1313: Póvoa de Varzim;1989;1002;987;
;11A131305: Balazar;136;76;60;
;11A131307: Estela;198;98;100;
;11A131308: Laundos;70;36;34;
;11A131311: Rates;105;58;47;
;11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;56;36;20;
;11A131314: União das freguesias de Aguçadoura e Navais;1014;500;514;
;11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;410;198;212;
;11A0109: Santa Maria da Feira;1489;763;726;
;11A010901: Argoncilhe;48;24;24;
;11A010902: Arrifana;37;20;17;
;11A010904: Escapães;33;13;20;
;11A010907: Fiães;39;21;18;
;11A010908: Fornos;11;5;6;
;11A010913: Lourosa;32;18;14;
;11A010914: Milheirós de Poiares;60;32;28;
;11A010916: Mozelos;18;11;7;
;11A010917: Nogueira da Regedoura;34;19;15;
;11A010919: Paços de Brandão;7;3;4;
;11A010921: Rio Meão;15;8;7;
;11A010922: Romariz;167;82;85;
;11A010924: Sanguedo;24;13;11;
;11A010925: Santa Maria de Lamas;11;5;6;
;11A010926: São João de Ver;89;44;45;
;11A010918: São Paio de Oleiros;11;6;5;
;11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;53;29;24;
;11A010933: União das freguesias de Canedo, Vale e Vila Maior;366;182;184;
;11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;180;92;88;
;11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;164;84;80;
;11A010936: União de freguesias de São Miguel de Souto e Mosteirô;90;52;38;
;11A1314: Santo Tirso;1659;848;811;
;11A131401: Agrela;41;20;21;
;11A131402: Água Longa;106;51;55;
;11A131405: Aves;26;14;12;
;11A131413: Monte Córdova;224;116;108;
;11A131430: Negrelos (São Tomé);77;44;33;
;11A131416: Rebordões;28;17;11;
;11A131418: Reguenga;92;40;52;
;11A131419: Roriz;69;41;28;
;11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;203;104;99;
;11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);115;56;59;
;11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;210;106;104;
;11A131436: União das freguesias de Lamelas e Guimarei;112;56;56;
;11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;305;158;147;
;11A131432: Vilarinho;51;25;26;
;11A0116: São João da Madeira;24;13;11;
;11A011601: São João da Madeira;24;13;11;
;11A1318: Trofa;461;263;198;
;11A131806: Covelas;76;42;34;
;11A131808: Muro;22;13;9;
;11A131809: União das freguesias de Alvarelhos e Guidões;110;60;50;
;11A131810: União das freguesias de Bougado (São Martinho e Santiago);167;95;72;
;11A131811: União das freguesias de Coronado (São Romão e São Mamede);86;53;33;
;11A0119: Vale de Cambra;1385;692;693;
;11A011901: Arões;334;165;169;
;11A011903: Cepelos;106;50;56;
;11A011905: Junqueira;158;82;76;
;11A011906: Macieira de Cambra;205;103;102;
;11A011907: Roge;290;133;157;
;11A011902: São Pedro de Castelões;201;105;96;
;11A011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;91;54;37;
;11A1315: Valongo;440;246;194;
;11A131501: Alfena;109;62;47;
;11A131503: Ermesinde;66;31;35;
;11A131506: União das freguesias de Campo e Sobrado;217;126;91;
;11A131505: Valongo;48;27;21;
;11A1316: Vila do Conde;1505;756;749;
;11A131602: Árvore;28;16;12;
;11A131603: Aveleda;23;11;12;
;11A131604: Azurara;19;10;9;
;11A131607: Fajozes;51;28;23;
;11A131610: Gião;64;34;30;
;11A131611: Guilhabreu;65;35;30;
;11A131612: Junqueira;103;52;51;
;11A131613: Labruge;79;37;42;
;11A131614: Macieira da Maia;41;23;18;
;11A131616: Mindelo;103;42;61;
;11A131617: Modivas;41;22;19;
;11A131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;167;91;76;
;11A131632: União das freguesias de Fornelo e Vairão;88;46;42;
;11A131633: União das freguesias de Malta e Canidelo;49;22;27;
;11A131634: União das freguesias de Retorta e Tougues;64;35;29;
;11A131635: União das freguesias de Rio Mau e Arcos;261;129;132;
;11A131636: União das freguesias de Touguinha e Touguinhó;55;24;31;
;11A131637: União das freguesias de Vilar e Mosteiró;57;29;28;
;11A131627: Vila Chã;67;27;40;
;11A131628: Vila do Conde;50;27;23;
;11A131630: Vilar de Pinheiro;30;16;14;
;11A1317: Vila Nova de Gaia;1144;633;511;
;11A131701: Arcozelo;48;29;19;
;11A131702: Avintes;55;30;25;
;11A131703: Canelas;47;26;21;
;11A131704: Canidelo;31;17;14;
;11A131709: Madalena;14;8;6;
;11A131712: Oliveira do Douro;32;18;14;
;11A131717: São Félix da Marinha;17;11;6;
;11A131725: União das freguesias de Grijó e Sermonde;51;28;23;
;11A131726: União das freguesias de Gulpilhares e Valadares;103;66;37;
;11A131727: União das freguesias de Mafamude e Vilar do Paraíso;43;26;17;
;11A131728: União das freguesias de Pedroso e Seixezelo;265;140;125;
;11A131729: União das freguesias de Sandim, Olival, Lever e Crestuma;323;176;147;
;11A131730: União das freguesias de Santa Marinha e São Pedro da Afurada;- -;- -;- -;
;11A131731: União das freguesias de Serzedo e Perosinho;62;29;33;
;11A131723: Vilar de Andorinho;53;29;24;
;11B: Alto Tâmega;32890;16623;16267;
;11B1702: Boticas;2425;1213;1212;
;11B170217: Alturas do Barroso e Cerdedo;373;196;177;
;11B170218: Ardãos e Bobadela;343;177;166;
;11B170203: Beça;421;211;210;
;11B170219: Boticas e Granja;240;119;121;
;11B170220: Codessoso, Curros e Fiães do Tâmega;186;90;96;
;11B170208: Covas do Barroso;139;67;72;
;11B170210: Dornelas;175;74;101;
;11B170213: Pinho;117;61;56;
;11B170215: Sapiãos;158;77;81;
;11B170221: Vilar e Viveiro;273;141;132;
;11B1703: Chaves;9057;4683;4374;
;11B170301: Águas Frias;521;294;227;
;11B170302: Anelhe;174;86;88;
;11B170305: Bustelo;162;87;75;
;11B170309: Cimo de Vila da Castanheira;440;236;204;
;11B170310: Curalha;162;78;84;
;11B170312: Ervededo;271;144;127;
;11B170313: Faiões;144;76;68;
;11B170314: Lama de Arcos;165;83;82;
;11B170316: Mairos;158;80;78;
;11B170317: Moreiras;178;91;87;
;11B170318: Nogueira da Montanha;352;178;174;
;11B170320: Oura;136;64;72;
;11B170321: Outeiro Seco;182;97;85;
;11B170322: Paradela;188;103;85;
;11B170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);268;142;126;
;11B170324: Redondelo;281;154;127;
;11B170327: Sanfins;176;84;92;
;11B170329: Santa Leocádia;272;132;140;
;11B170350: Santa Maria Maior;35;16;19;
;11B170330: Santo António de Monforte;139;72;67;
;11B170331: Santo Estêvão;236;126;110;
;11B170333: São Pedro de Agostém;407;192;215;
;11B170334: São Vicente;187;94;93;
;11B170340: Tronco;182;91;91;
;11B170354: União das freguesias da Madalena e Samaiões;468;243;225;
;11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;436;224;212;
;11B170356: União das freguesias de Calvão e Soutelinho da Raia;229;114;115;
;11B170357: União das freguesias de Loivos e Póvoa de Agrações;375;192;183;
;11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;102;51;51;
;11B170359: União das freguesias de Soutelo e Seara Velha;157;88;69;
;11B170360: União das freguesias de Travancas e Roriz;382;198;184;
;11B170341: Vale de Anta;163;86;77;
;11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);331;169;162;
;11B170343: Vila Verde da Raia;277;142;135;
;11B170344: Vilar de Nantes;100;54;46;
;11B170345: Vilarelho da Raia;190;104;86;
;11B170347: Vilas Boas;104;55;49;
;11B170349: Vilela do Tâmega;162;76;86;
;11B170348: Vilela Seca;165;87;78;
;11B1706: Montalegre;5673;2898;2775;
;11B170601: Cabril;275;147;128;
;11B170603: Cervos;211;105;106;
;11B170604: Chã;415;208;207;
;11B170607: Covelo do Gerês;105;50;55;
;11B170609: Ferral;142;67;75;
;11B170612: Gralhas;189;103;86;
;11B170616: Morgade;208;101;107;
;11B170618: Negrões;131;62;69;
;11B170619: Outeiro;136;76;60;
;11B170623: Pitões das Junias;157;69;88;
;11B170625: Reigoso;96;40;56;
;11B170626: Salto;619;317;302;
;11B170627: Santo André;160;90;70;
;11B170629: Sarraquinhos;397;212;185;
;11B170631: Solveira;158;84;74;
;11B170632: Tourém;55;33;22;
;11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;284;138;146;
;11B170637: União das freguesias de Meixedo e Padornelos;257;125;132;
;11B170638: União das freguesias de Montalegre e Padroso;287;144;143;
;11B170639: União das freguesias de Paradela, Contim e Fiães;195;97;98;
;11B170640: União das freguesias de Sezelhe e Covelães;197;92;105;
;11B170641: União das freguesias de Venda Nova e Pondras;81;36;45;
;11B170642: União das freguesias de Viade de Baixo e Fervidelas;384;209;175;
;11B170643: União das freguesias de Vilar de Perdizes e Meixide;447;248;199;
;11B170635: Vila da Ponte;87;45;42;
;11B1709: Ribeira de Pena;1601;835;766;
;11B170901: Alvadia;135;74;61;
;11B170902: Canedo;163;82;81;
;11B170906: Santa Marinha;76;39;37;
;11B170908: União das freguesias de Cerva e Limões;731;392;339;
;11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;496;248;248;
;11B1712: Valpaços;10151;5005;5146;
;11B171201: Água Revés e Crasto;333;161;172;
;11B171203: Algeriz;539;257;282;
;11B171205: Bouçoães;337;168;169;
;11B171206: Canaveses;269;126;143;
;11B171232: Carrazedo de Montenegro e Curros;994;511;483;
;11B171209: Ervões;442;225;217;
;11B171211: Fornos do Pinhal;224;107;117;
;11B171212: Friões;499;247;252;
;11B171233: Lebução, Fiães e Nozelos;417;226;191;
;11B171215: Padrela e Tazem;449;208;241;
;11B171216: Possacos;350;170;180;
;11B171217: Rio Torto;415;202;213;
;11B171219: Santa Maria de Emeres;409;199;210;
;11B171220: Santa Valha;323;165;158;
;11B171221: Santiago da Ribeira de Alhariz;460;234;226;
;11B171222: São João da Corveira;573;261;312;
;11B171223: São Pedro de Veiga de Lila;291;146;145;
;11B171224: Serapicos;221;115;106;
;11B171234: Sonim e Barreiros;190;93;97;
;11B171235: Tinhela e Alvarelhos;268;130;138;
;11B171227: Vales;253;124;129;
;11B171236: Valpaços e Sanfins;955;468;487;
;11B171229: Vassal;333;165;168;
;11B171230: Veiga de Lila;207;93;114;
;11B171231: Vilarandelo;400;204;196;
;11B1713: Vila Pouca de Aguiar;3983;1989;1994;
;11B171302: Alfarela de Jales;149;76;73;
;11B171319: Alvão;548;280;268;
;11B171303: Bornes de Aguiar;449;227;222;
;11B171304: Bragado;192;96;96;
;11B171305: Capeludos;217;107;110;
;11B171317: Sabroso de Aguiar;77;39;38;
;11B171310: Soutelo de Aguiar;171;87;84;
;11B171311: Telões;604;289;315;
;11B171312: Tresminas;435;213;222;
;11B171320: União das freguesias de Pensalvos e Parada de Monteiros;194;98;96;
;11B171313: Valoura;179;91;88;
;11B171314: Vila Pouca de Aguiar;259;120;139;
;11B171315: Vreia de Bornes;233;116;117;
;11B171316: Vreia de Jales;276;150;126;
;11C: Tâmega e Sousa;28092;14373;13719;
;11C1301: Amarante;3938;2020;1918;
;11C130103: Ansiães;39;24;15;
;11C130107: Candemil;79;41;38;
;11C130112: Fregim;195;95;100;
;11C130115: Fridão;57;26;31;
;11C130117: Gondar;141;79;62;
;11C130134: Gouveia (São Simão);169;86;83;
;11C130118: Jazente;46;21;25;
;11C130119: Lomba;76;41;35;
;11C130120: Louredo;43;21;22;
;11C130121: Lufrei;105;51;54;
;11C130123: Mancelos;256;137;119;
;11C130126: Padronelo;69;38;31;
;11C130128: Rebordelo;64;31;33;
;11C130129: Salvador do Monte;114;56;58;
;11C130135: Telões;523;270;253;
;11C130136: Travanca;156;74;82;
;11C130141: União das freguesias de Aboadela, Sanche e Várzea;131;70;61;
;11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;226;126;100;
;11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;201;91;110;
;11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);241;121;120;
;11C130145: União das freguesias de Freixo de Cima e de Baixo;238;129;109;
;11C130146: União das freguesias de Olo e Canadelo;44;23;21;
;11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;291;150;141;
;11C130138: Vila Caiz;101;53;48;
;11C130139: Vila Chã do Marão;134;60;74;
;11C130147: Vila Meã;199;106;93;
;11C1302: Baião;2606;1254;1352;
;11C130204: Frende;37;21;16;
;11C130205: Gestaçô;182;102;80;
;11C130206: Gove;299;139;160;
;11C130207: Grilo;122;54;68;
;11C130208: Loivos do Monte;85;36;49;
;11C130215: Santa Marinha do Zêzere;235;129;106;
;11C130221: União das freguesias de Ancede e Ribadouro;154;72;82;
;11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;125;61;64;
;11C130223: União das freguesias de Campelo e Ovil;485;218;267;
;11C130224: União das freguesias de Loivos da Ribeira e Tresouras;160;78;82;
;11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;268;130;138;
;11C130226: União das freguesias de Teixeira e Teixeiró;258;121;137;
;11C130219: Valadares;118;57;61;
;11C130220: Viariz;78;36;42;
;11C0106: Castelo de Paiva;1269;660;609;
;11C010602: Fornos;106;49;57;
;11C010606: Real;273;147;126;
;11C010607: Santa Maria de Sardoura;154;82;72;
;11C010608: São Martinho de Sardoura;129;66;63;
;11C010610: União das freguesias de Raiva, Pedorido e Paraíso;363;191;172;
;11C010611: União das freguesias de Sobrado e Bairros;244;125;119;
;11C0305: Celorico de Basto;3196;1631;1565;
;11C030501: Agilde;225;121;104;
;11C030502: Arnóia;419;219;200;
;11C030520: Basto (São Clemente);117;58;59;
;11C030503: Borba de Montanha;180;90;90;
;11C030508: Codeçoso;97;56;41;
;11C030510: Fervença;280;142;138;
;11C030515: Moreira do Castelo;101;51;50;
;11C030517: Rego;172;84;88;
;11C030518: Ribas;139;69;70;
;11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;372;184;188;
;11C030524: União das freguesias de Caçarilhe e Infesta;178;86;92;
;11C030525: União das freguesias de Canedo de Basto e Corgo;169;85;84;
;11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);266;138;128;
;11C030527: União das freguesias de Veade, Gagos e Molares;319;169;150;
;11C030521: Vale de Bouro;162;79;83;
;11C1804: Cinfães;3289;1652;1637;
;11C180403: Cinfães;387;199;188;
;11C180404: Espadanedo;146;66;80;
;11C180405: Ferreiros de Tendais;244;130;114;
;11C180406: Fornelos;123;60;63;
;11C180408: Moimenta;71;35;36;
;11C180409: Nespereira;408;214;194;
;11C180410: Oliveira do Douro;298;156;142;
;11C180412: Santiago de Piães;384;173;211;
;11C180413: São Cristóvão de Nogueira;291;142;149;
;11C180414: Souselo;140;71;69;
;11C180415: Tarouquela;123;55;68;
;11C180416: Tendais;331;162;169;
;11C180417: Travanca;169;92;77;
;11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;174;97;77;
;11C1303: Felgueiras;2948;1571;1377;
;11C130301: Aião;102;53;49;
;11C130302: Airães;130;72;58;
;11C130305: Friande;138;74;64;
;11C130306: Idães;232;131;101;
;11C130307: Jugueiros;96;50;46;
;11C130313: Penacova;85;40;45;
;11C130314: Pinheiro;49;24;25;
;11C130315: Pombeiro de Ribavizela;73;37;36;
;11C130317: Refontoura;159;93;66;
;11C130318: Regilde;60;36;24;
;11C130319: Revinhade;54;26;28;
;11C130324: Sendim;74;39;35;
;11C130334: União das freguesias de Macieira da Lixa e Caramos;198;98;100;
;11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;349;177;172;
;11C130336: União das freguesias de Pedreira, Rande e Sernande;181;102;79;
;11C130337: União das freguesias de Torrados e Sousa;104;55;49;
;11C130338: União das freguesias de Unhão e Lordelo;206;100;106;
;11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;457;252;205;
;11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);58;30;28;
;11C130341: União das freguesias de Vila Verde e Santão;143;82;61;
;11C1305: Lousada;1705;898;807;
;11C130502: Aveleda;76;45;31;
;11C130504: Caíde de Rei;116;56;60;
;11C130510: Lodares;83;44;39;
;11C130512: Macieira;51;29;22;
;11C130513: Meinedo;260;136;124;
;11C130515: Nevogilde;79;37;42;
;11C130524: Sousela;46;25;21;
;11C130525: Torno;172;86;86;
;11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);135;62;73;
;11C130528: União das freguesias de Cristelos, Boim e Ordem;169;84;85;
;11C130529: União das freguesias de Figueiras e Covas;52;26;26;
;11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);153;80;73;
;11C130531: União das freguesias de Nespereira e Casais;105;61;44;
;11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;162;102;60;
;11C130526: Vilar do Torno e Alentém;46;25;21;
;11C1307: Marco de Canaveses;2203;1132;1071;
;11C130732: Alpendorada, Várzea e Torrão;145;73;72;
;11C130733: Avessadas e Rosém;105;58;47;
;11C130704: Banho e Carvalhosa;63;30;33;
;11C130734: Bem Viver;76;41;35;
;11C130705: Constance;108;57;51;
;11C130736: Marco;120;64;56;
;11C130737: Paredes de Viadores e Manhuncelos;136;70;66;
;11C130738: Penha Longa e Paços de Gaiolo;222;121;101;
;11C130739: Sande e São Lourenço do Douro;100;45;55;
;11C130735: Santo Isidoro e Livração;48;22;26;
;11C130722: Soalhães;330;159;171;
;11C130723: Sobretâmega;53;27;26;
;11C130724: Tabuado;79;46;33;
;11C130740: Várzea, Aliviada e Folhada;236;125;111;
;11C130741: Vila Boa de Quires e Maureles;238;127;111;
;11C130730: Vila Boa do Bispo;144;67;77;
;11C1309: Paços de Ferreira;867;457;410;
;11C130902: Carvalhosa;75;40;35;
;11C130904: Eiriz;69;40;29;
;11C130905: Ferreira;106;56;50;
;11C130906: Figueiró;56;30;26;
;11C130917: Frazão Arreigada;90;38;52;
;11C130908: Freamunde;59;34;25;
;11C130910: Meixomil;63;30;33;
;11C130918: Paços de Ferreira;60;31;29;
;11C130913: Penamaior;58;29;29;
;11C130914: Raimonda;43;24;19;
;11C130919: Sanfins Lamoso Codessos;118;66;52;
;11C130916: Seroa;70;39;31;
;11C1311: Penafiel;2987;1528;1459;
;11C131101: Abragão;183;84;99;
;11C131102: Boelhe;97;46;51;
;11C131103: Bustelo;131;64;67;
;11C131104: Cabeça Santa;62;27;35;
;11C131105: Canelas;91;43;48;
;11C131106: Capela;82;39;43;
;11C131107: Castelões;70;31;39;
;11C131108: Croca;135;72;63;
;11C131109: Duas Igrejas;131;73;58;
;11C131110: Eja;41;19;22;
;11C131112: Fonte Arcada;118;59;59;
;11C131113: Galegos;92;50;42;
;11C131141: Guilhufe e Urrô;82;40;42;
;11C131115: Irivo;48;23;25;
;11C131142: Lagares e Figueira;313;175;138;
;11C131140: Luzim e Vila Cova;125;64;61;
;11C131121: Oldrões;38;18;20;
;11C131122: Paço de Sousa;183;103;80;
;11C131139: Penafiel;306;169;137;
;11C131125: Perozelo;53;27;26;
;11C131128: Rans;76;38;38;
;11C131132: Recezinhos (São Mamede);78;39;39;
;11C131133: Recezinhos (São Martinho);171;82;89;
;11C131129: Rio de Moinhos;72;40;32;
;11C131138: Rio Mau;8;3;5;
;11C131134: Sebolido;12;6;6;
;11C131143: Termas de São Vicente;146;72;74;
;11C131136: Valpedre;43;22;21;
;11C1813: Resende;3084;1570;1514;
;11C181302: Barrô;305;149;156;
;11C181303: Cárquere;239;119;120;
;11C181310: Paus;249;133;116;
;11C181311: Resende;426;221;205;
;11C181312: São Cipriano;180;92;88;
;11C181313: São João de Fontoura;222;109;113;
;11C181314: São Martinho de Mouros;469;234;235;
;11C181316: União das freguesias de Anreade e São Romão de Aregos;402;209;193;
;11C181317: União das freguesias de Felgueiras e Feirão;210;108;102;
;11C181318: União das freguesias de Freigil e Miomães;244;130;114;
;11C181319: União das freguesias de Ovadas e Panchorra;138;66;72;
;11D: Douro;56652;29023;27629;
;11D1701: Alijó;5214;2716;2498;
;11D170101: Alijó;702;368;334;
;11D170107: Favaios;576;292;284;
;11D170108: Pegarinhos;240;128;112;
;11D170109: Pinhão;39;20;19;
;11D170112: Sanfins do Douro;789;430;359;
;11D170113: Santa Eugénia;233;121;112;
;11D170114: São Mamede de Ribatua;339;173;166;
;11D170120: União das freguesias de Carlão e Amieiro;540;279;261;
;11D170121: União das freguesias de Castedo e Cotas;488;242;246;
;11D170122: União das freguesias de Pópulo e Ribalonga;194;102;92;
;11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;205;104;101;
;11D170116: Vila Chã;175;86;89;
;11D170117: Vila Verde;179;99;80;
;11D170118: Vilar de Maçada;515;272;243;
;11D1801: Armamar;2547;1308;1239;
;11D180101: Aldeias;207;110;97;
;11D180120: Armamar;322;175;147;
;11D180104: Cimbres;139;72;67;
;11D180106: Folgosa;124;65;59;
;11D180107: Fontelo;342;173;169;
;11D180109: Queimada;139;68;71;
;11D180110: Queimadela;158;84;74;
;11D180111: Santa Cruz;120;64;56;
;11D180114: São Cosmado;182;95;87;
;11D180115: São Martinho das Chãs;124;65;59;
;11D180121: União das freguesias de Aricera e Goujoim;87;50;37;
;11D180122: União das freguesias de São Romão e Santiago;132;64;68;
;11D180123: União das freguesias de Vila Seca e Santo Adrião;304;151;153;
;11D180118: Vacalar;167;72;95;
;11D0403: Carrazeda de Ansiães;2858;1432;1426;
;11D040304: Carrazeda de Ansiães;146;74;72;
;11D040306: Fonte Longa;124;58;66;
;11D040308: Linhares;250;125;125;
;11D040309: Marzagão;122;63;59;
;11D040311: Parambos;102;53;49;
;11D040312: Pereiros;144;76;68;
;11D040313: Pinhal do Norte;250;142;108;
;11D040314: Pombal;239;117;122;
;11D040316: Seixo de Ansiães;185;94;91;
;11D040320: União das freguesias de Amedo e Zedes;181;90;91;
;11D040321: União das freguesias de Belver e Mogo de Malta;153;79;74;
;11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;395;185;210;
;11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;286;146;140;
;11D040318: Vilarinho da Castanheira;281;130;151;
;11D0404: Freixo de Espada à Cinta;2036;1057;979;
;11D040404: Ligares;195;97;98;
;11D040406: Poiares;210;111;99;
;11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;1031;532;499;
;11D040408: União das freguesias de Lagoaça e Fornos;600;317;283;
;11D1805: Lamego;4157;2102;2055;
;11D180502: Avões;44;24;20;
;11D180504: Britiande;151;74;77;
;11D180505: Cambres;614;302;312;
;11D180507: Ferreirim;209;106;103;
;11D180508: Ferreiros de Avões;116;61;55;
;11D180509: Figueira;175;84;91;
;11D180510: Lalim;106;56;50;
;11D180525: Lamego (Almacave e Sé);604;311;293;
;11D180511: Lazarim;54;26;28;
;11D180516: Penajóia;525;259;266;
;11D180517: Penude;160;77;83;
;11D180519: Samodães;117;64;53;
;11D180520: Sande;355;186;169;
;11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;121;59;62;
;11D180527: União das freguesias de Cepões, Meijinhos e Melcões;289;144;145;
;11D180528: União das freguesias de Parada do Bispo e Valdigem;279;148;131;
;11D180523: Várzea de Abrunhais;106;53;53;
;11D180524: Vila Nova de Souto d'El-Rei;132;68;64;
;11D1704: Mesão Frio;1329;690;639;
;11D170401: Barqueiros;179;94;85;
;11D170402: Cidadelhe;103;55;48;
;11D170408: Mesão Frio (Santo André);342;183;159;
