
Statistical table extracted on October 11, 2022 (22:00:28)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;
;119031126: União das freguesias de Ventosa e Cova;519;124;102;293;
;119031120: Vieira do Minho;333;95;77;161;
;1190312: Vila Nova de Famalicão;11003;2532;2185;6286;
;119031204: Bairro;159;34;32;93;
;119031206: Brufe;141;32;27;82;
;119031210: Castelões;190;47;38;105;
;119031212: Cruz;259;64;58;137;
;119031213: Delães;106;23;21;62;
;119031215: Fradelos;725;162;143;420;
;119031216: Gavião;306;64;58;184;
;119031219: Joane;384;91;79;214;
;119031221: Landim;200;48;44;108;
;119031223: Louro;351;82;73;196;
;119031224: Lousado;134;32;31;71;
;119031225: Mogege;165;29;27;109;
;119031227: Nine;473;113;92;268;
;119031239: Oliveira (Santa Maria);212;46;42;124;
;119031242: Oliveira (São Mateus);55;14;12;29;
;119031230: Pedome;120;23;20;77;
;119031232: Pousada de Saramagos;134;33;32;69;
;119031233: Requião;327;82;68;177;
;119031234: Riba de Ave;65;11;10;44;
;119031235: Ribeirão;318;69;62;187;
;119031250: União das freguesias de Antas e Abade de Vermoim;256;62;49;145;
;119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;907;214;182;511;
;119031252: União das freguesias de Avidos e Lagoa;213;58;55;100;
;119031253: União das freguesias de Carreira e Bente;188;52;44;92;
;119031254: União das freguesias de Esmeriz e Cabeçudos;297;76;66;155;
;119031255: União das freguesias de Gondifelos, Cavalões e Outiz;1026;226;194;606;
;119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;550;140;111;299;
;119031257: União das freguesias de Ruivães e Novais;226;53;42;131;
;119031258: União das freguesias de Seide;211;48;42;121;
;119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;928;193;168;567;
;119031260: União das freguesias de Vila Nova de Famalicão e Calendário;393;95;81;217;
;119031241: Vale (São Martinho);262;57;51;154;
;119031247: Vermoim;304;62;53;189;
;119031249: Vilarinho das Cambas;418;97;78;243;
;1190314: Vizela;1893;363;325;1205;
;119031404: Infias;227;44;39;144;
;119031401: Santa Eulália;288;52;46;190;
;119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);357;76;67;214;
;119031409: União das freguesias de Tagilde e Vizela (São Paio);786;151;138;497;
;119031406: Vizela (Santo Adrião);235;40;35;160;
;11A: Área Metropolitana do Porto;91632;21005;18034;52593;
;11A0104: Arouca;11725;2559;2207;6959;
;11A010402: Alvarenga;704;168;142;394;
;11A010407: Chave;776;190;163;423;
;11A010409: Escariz;821;172;143;506;
;11A010411: Fermedo;542;118;107;317;
;11A010413: Mansores;860;185;157;518;
;11A010414: Moldes;952;190;173;589;
;11A010415: Rossas;859;197;169;493;
;11A010416: Santa Eulália;963;204;185;574;
;11A010417: São Miguel do Mato;464;98;81;285;
;11A010418: Tropeço;698;167;142;389;
;11A010421: União das freguesias de Arouca e Burgo;1610;321;280;1009;
;11A010422: União das freguesias de Cabreiros e Albergaria da Serra;386;92;74;220;
;11A010423: União das freguesias de Canelas e Espiunca;766;156;136;474;
;11A010424: União das freguesias de Covelo de Paivó e Janarde;341;82;70;189;
;11A010419: Urrô;743;173;148;422;
;11A010420: Várzea;240;46;37;157;
;11A0107: Espinho;299;74;63;162;
;11A010702: Espinho;- -;- -;- -;- -;
;11A010704: Paramos;43;8;7;28;
;11A010705: Silvalde;101;25;20;56;
;11A010706: União das freguesias de Anta e Guetim;155;41;36;78;
;11A1304: Gondomar;5497;1290;1082;3125;
;11A130412: Baguim do Monte (Rio Tinto);169;44;38;87;
;11A130405: Lomba;250;58;43;149;
;11A130408: Rio Tinto;401;100;85;216;
;11A130413: União das freguesias de Fânzeres e São Pedro da Cova;835;198;161;476;
;11A130414: União das freguesias de Foz do Sousa e Covelo;1274;281;240;753;
;11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;1317;328;283;706;
;11A130416: União das freguesias de Melres e Medas;1251;281;232;738;
;11A1306: Maia;3066;725;641;1700;
;11A130601: Águas Santas;376;86;78;212;
;11A130618: Castêlo da Maia;892;206;186;500;
;11A130619: Cidade da Maia;364;91;81;192;
;11A130603: Folgosa;373;90;77;206;
;11A130608: Milheirós;120;27;26;67;
;11A130609: Moreira;189;44;39;106;
;11A130620: Nogueira e Silva Escura;299;74;59;166;
;11A130617: Pedrouços;72;18;13;41;
;11A130613: São Pedro Fins;223;50;45;128;
;11A130616: Vila Nova da Telha;158;39;37;82;
;11A1308: Matosinhos;1910;465;392;1053;
;11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;594;145;125;324;
;11A130812: União das freguesias de Matosinhos e Leça da Palmeira;150;41;37;72;
;11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;918;219;182;517;
;11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;248;60;48;140;
;11A0113: Oliveira de Azeméis;8804;2208;1962;4634;
;11A011301: Carregosa;849;224;201;424;
;11A011302: Cesar;280;71;58;151;
;11A011303: Fajões;582;142;129;311;
;11A011304: Loureiro;1289;314;274;701;
;11A011305: Macieira de Sarnes;136;30;26;80;
;11A011310: Ossela;727;211;188;328;
;11A011315: São Martinho da Gândara;589;123;113;353;
;11A011318: São Roque;205;46;41;118;
;11A011320: União das freguesias de Nogueira do Cravo e Pindelo;507;145;124;238;
;11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;1029;259;229;541;
;11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;2157;543;486;1128;
;11A011319: Vila de Cucujães;454;100;93;261;
;11A1310: Paredes;11175;2303;1981;6891;
;11A131001: Aguiar de Sousa;455;94;81;280;
;11A131002: Astromil;156;31;24;101;
;11A131003: Baltar;493;117;110;266;
;11A131004: Beire;546;128;118;300;
;11A131008: Cete;487;110;93;284;
;11A131009: Cristelo;183;41;35;107;
;11A131010: Duas Igrejas;551;98;91;362;
;11A131011: Gandra;921;185;147;589;
;11A131013: Lordelo;502;104;81;317;
;11A131014: Louredo;181;42;33;106;
;11A131017: Parada de Todeia;181;35;30;116;
;11A131025: Paredes;2853;581;506;1766;
;11A131018: Rebordosa;687;137;117;433;
;11A131019: Recarei;627;126;106;395;
;11A131020: Sobreira;596;117;99;380;
;11A131021: Sobrosa;671;141;125;405;
;11A131022: Vandoma;467;94;76;297;
;11A131024: Vilela;618;122;109;387;
;11A1312: Porto;- -;- -;- -;- -;
;11A131202: Bonfim;- -;- -;- -;- -;
;11A131203: Campanhã;- -;- -;- -;- -;
;11A131210: Paranhos;- -;- -;- -;- -;
;11A131211: Ramalde;- -;- -;- -;- -;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;- -;- -;- -;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;- -;- -;- -;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;- -;- -;- -;
;11A1313: Póvoa de Varzim;9119;1969;1795;5355;
;11A131305: Balazar;629;130;116;383;
;11A131307: Estela;1716;371;347;998;
;11A131308: Laundos;249;51;48;150;
;11A131311: Rates;759;154;137;468;
;11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;655;136;122;397;
;11A131314: União das freguesias de Aguçadoura e Navais;2491;574;515;1402;
;11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;2620;553;510;1557;
;11A0109: Santa Maria da Feira;8557;1938;1580;5039;
;11A010901: Argoncilhe;610;131;106;373;
;11A010902: Arrifana;228;58;51;119;
;11A010904: Escapães;108;25;20;63;
;11A010907: Fiães;88;21;16;51;
;11A010908: Fornos;114;24;19;71;
;11A010913: Lourosa;172;34;28;110;
;11A010914: Milheirós de Poiares;183;45;37;101;
;11A010916: Mozelos;208;39;34;135;
;11A010917: Nogueira da Regedoura;46;8;8;30;
;11A010919: Paços de Brandão;93;19;19;55;
;11A010921: Rio Meão;90;23;12;55;
;11A010922: Romariz;991;205;169;617;
;11A010924: Sanguedo;123;26;24;73;
;11A010925: Santa Maria de Lamas;34;8;8;18;
;11A010926: São João de Ver;126;32;27;67;
;11A010918: São Paio de Oleiros;76;17;12;47;
;11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;316;69;56;191;
;11A010933: União das freguesias de Canedo, Vale e Vila Maior;2322;556;434;1332;
;11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;1288;294;243;751;
;11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;720;170;134;416;
;11A010936: União de freguesias de São Miguel de Souto e Mosteirô;621;134;123;364;
;11A1314: Santo Tirso;5136;1228;1027;2881;
;11A131401: Agrela;260;64;55;141;
;11A131402: Água Longa;394;84;69;241;
;11A131405: Aves;154;39;32;83;
;11A131413: Monte Córdova;598;152;129;317;
;11A131430: Negrelos (São Tomé);227;56;44;127;
;11A131416: Rebordões;120;25;22;73;
;11A131418: Reguenga;256;64;50;142;
;11A131419: Roriz;371;84;78;209;
;11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;404;100;91;213;
;11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);523;118;105;300;
;11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;566;142;115;309;
;11A131436: União das freguesias de Lamelas e Guimarei;351;89;65;197;
;11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;751;182;146;423;
;11A131432: Vilarinho;161;29;26;106;
;11A0116: São João da Madeira;137;33;28;76;
;11A011601: São João da Madeira;137;33;28;76;
;11A1318: Trofa;2272;561;476;1235;
;11A131806: Covelas;243;69;59;115;
;11A131808: Muro;104;26;18;60;
;11A131809: União das freguesias de Alvarelhos e Guidões;424;96;84;244;
;11A131810: União das freguesias de Bougado (São Martinho e Santiago);1132;272;233;627;
;11A131811: União das freguesias de Coronado (São Romão e São Mamede);369;98;82;189;
;11A0119: Vale de Cambra;9104;2290;2000;4814;
;11A011901: Arões;1886;453;403;1030;
;11A011903: Cepelos;1101;296;250;555;
;11A011905: Junqueira;1063;244;203;616;
;11A011906: Macieira de Cambra;1326;348;302;676;
;11A011907: Roge;1127;300;272;555;
;11A011902: São Pedro de Castelões;1759;435;384;940;
;11A011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;842;214;186;442;
;11A1315: Valongo;2511;545;455;1511;
;11A131501: Alfena;499;107;93;299;
;11A131503: Ermesinde;203;53;44;106;
;11A131506: União das freguesias de Campo e Sobrado;1213;258;212;743;
;11A131505: Valongo;596;127;106;363;
;11A1316: Vila do Conde;6395;1418;1203;3774;
;11A131602: Árvore;162;39;33;90;
;11A131603: Aveleda;216;51;43;122;
;11A131604: Azurara;99;17;14;68;
;11A131607: Fajozes;140;33;29;78;
;11A131610: Gião;216;49;43;124;
;11A131611: Guilhabreu;251;62;52;137;
;11A131612: Junqueira;307;70;59;178;
;11A131613: Labruge;367;74;65;228;
;11A131614: Macieira da Maia;205;44;37;124;
;11A131616: Mindelo;324;66;60;198;
;11A131617: Modivas;220;49;43;128;
;11A131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;765;172;152;441;
;11A131632: União das freguesias de Fornelo e Vairão;362;85;70;207;
;11A131633: União das freguesias de Malta e Canidelo;273;65;54;154;
;11A131634: União das freguesias de Retorta e Tougues;274;60;51;163;
;11A131635: União das freguesias de Rio Mau e Arcos;857;172;149;536;
;11A131636: União das freguesias de Touguinha e Touguinhó;298;69;54;175;
;11A131637: União das freguesias de Vilar e Mosteiró;358;79;63;216;
;11A131627: Vila Chã;261;56;46;159;
;11A131628: Vila do Conde;223;51;44;128;
;11A131630: Vilar de Pinheiro;217;55;42;120;
;11A1317: Vila Nova de Gaia;5925;1399;1142;3384;
;11A131701: Arcozelo;232;65;52;115;
;11A131702: Avintes;273;65;50;158;
;11A131703: Canelas;94;28;21;45;
;11A131704: Canidelo;168;41;39;88;
;11A131709: Madalena;232;59;50;123;
;11A131712: Oliveira do Douro;180;47;41;92;
;11A131717: São Félix da Marinha;177;42;37;98;
;11A131725: União das freguesias de Grijó e Sermonde;435;108;91;236;
;11A131726: União das freguesias de Gulpilhares e Valadares;377;90;78;209;
;11A131727: União das freguesias de Mafamude e Vilar do Paraíso;376;94;72;210;
;11A131728: União das freguesias de Pedroso e Seixezelo;1342;294;245;803;
;11A131729: União das freguesias de Sandim, Olival, Lever e Crestuma;1243;273;209;761;
;11A131730: União das freguesias de Santa Marinha e São Pedro da Afurada;132;30;23;79;
;11A131731: União das freguesias de Serzedo e Perosinho;350;86;73;191;
;11A131723: Vilar de Andorinho;314;77;61;176;
;11B: Alto Tâmega;67545;20246;16077;31222;
;11B1702: Boticas;5539;1614;1272;2653;
;11B170217: Alturas do Barroso e Cerdedo;726;186;142;398;
;11B170218: Ardãos e Bobadela;662;209;183;270;
;11B170203: Beça;856;235;185;436;
;11B170219: Boticas e Granja;668;182;158;328;
;11B170220: Codessoso, Curros e Fiães do Tâmega;420;127;92;201;
;11B170208: Covas do Barroso;316;95;72;149;
;11B170210: Dornelas;438;129;94;215;
;11B170213: Pinho;437;134;105;198;
;11B170215: Sapiãos;416;135;109;172;
;11B170221: Vilar e Viveiro;600;182;132;286;
;11B1703: Chaves;21206;6475;5144;9587;
;11B170301: Águas Frias;948;282;221;445;
;11B170302: Anelhe;401;115;92;194;
;11B170305: Bustelo;369;122;84;163;
;11B170309: Cimo de Vila da Castanheira;743;224;172;347;
;11B170310: Curalha;371;104;85;182;
;11B170312: Ervededo;792;260;207;325;
;11B170313: Faiões;578;177;136;265;
;11B170314: Lama de Arcos;516;176;139;201;
;11B170316: Mairos;361;108;91;162;
;11B170317: Moreiras;352;114;90;148;
;11B170318: Nogueira da Montanha;690;195;144;351;
;11B170320: Oura;363;119;84;160;
;11B170321: Outeiro Seco;509;159;133;217;
;11B170322: Paradela;314;86;74;154;
;11B170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);468;151;121;196;
;11B170324: Redondelo;579;169;135;275;
;11B170327: Sanfins;510;147;115;248;
;11B170329: Santa Leocádia;534;167;136;231;
;11B170350: Santa Maria Maior;287;78;63;146;
;11B170330: Santo António de Monforte;383;115;87;181;
;11B170331: Santo Estêvão;446;135;106;205;
;11B170333: São Pedro de Agostém;979;304;229;446;
;11B170334: São Vicente;409;129;104;176;
;11B170340: Tronco;339;110;86;143;
;11B170354: União das freguesias da Madalena e Samaiões;1119;300;249;570;
;11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;921;268;219;434;
;11B170356: União das freguesias de Calvão e Soutelinho da Raia;649;196;161;292;
;11B170357: União das freguesias de Loivos e Póvoa de Agrações;784;257;200;327;
;11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;190;65;53;72;
;11B170359: União das freguesias de Soutelo e Seara Velha;598;170;140;288;
;11B170360: União das freguesias de Travancas e Roriz;904;272;222;410;
;11B170341: Vale de Anta;465;137;119;209;
;11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);970;293;226;451;
;11B170343: Vila Verde da Raia;525;170;133;222;
;11B170344: Vilar de Nantes;192;54;39;99;
;11B170345: Vilarelho da Raia;709;242;195;272;
;11B170347: Vilas Boas;192;64;51;77;
;11B170349: Vilela do Tâmega;378;119;102;157;
;11B170348: Vilela Seca;369;122;101;146;
;11B1706: Montalegre;9900;3002;2309;4589;
;11B170601: Cabril;620;174;130;316;
;11B170603: Cervos;343;97;77;169;
;11B170604: Chã;774;216;176;382;
;11B170607: Covelo do Gerês;220;67;48;105;
;11B170609: Ferral;351;92;77;182;
;11B170612: Gralhas;217;86;71;60;
;11B170616: Morgade;285;93;65;127;
;11B170618: Negrões;197;65;53;79;
;11B170619: Outeiro;239;67;55;117;
;11B170623: Pitões das Junias;206;55;39;112;
;11B170625: Reigoso;264;82;66;116;
;11B170626: Salto;823;213;164;446;
;11B170627: Santo André;278;99;73;106;
;11B170629: Sarraquinhos;474;154;114;206;
;11B170631: Solveira;154;59;49;46;
;11B170632: Tourém;152;49;40;63;
;11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;423;139;103;181;
;11B170637: União das freguesias de Meixedo e Padornelos;400;138;99;163;
;11B170638: União das freguesias de Montalegre e Padroso;650;182;161;307;
;11B170639: União das freguesias de Paradela, Contim e Fiães;425;142;104;179;
;11B170640: União das freguesias de Sezelhe e Covelães;408;144;101;163;
;11B170641: União das freguesias de Venda Nova e Pondras;291;96;76;119;
;11B170642: União das freguesias de Viade de Baixo e Fervidelas;749;206;152;391;
;11B170643: União das freguesias de Vilar de Perdizes e Meixide;744;237;177;330;
;11B170635: Vila da Ponte;213;50;39;124;
;11B1709: Ribeira de Pena;5380;1461;1161;2758;
;11B170901: Alvadia;304;69;57;178;
;11B170902: Canedo;588;163;125;300;
;11B170906: Santa Marinha;539;150;129;260;
;11B170908: União das freguesias de Cerva e Limões;1832;478;368;986;
;11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;2117;601;482;1034;
;11B1712: Valpaços;16625;5217;4128;7280;
;11B171201: Água Revés e Crasto;548;180;149;219;
;11B171203: Algeriz;747;226;186;335;
;11B171205: Bouçoães;724;239;187;298;
;11B171206: Canaveses;426;123;95;208;
;11B171232: Carrazedo de Montenegro e Curros;1607;472;370;765;
;11B171209: Ervões;926;293;220;413;
;11B171211: Fornos do Pinhal;352;110;89;153;
;11B171212: Friões;957;323;252;382;
;11B171233: Lebução, Fiães e Nozelos;733;248;201;284;
;11B171215: Padrela e Tazem;504;141;117;246;
;11B171216: Possacos;449;147;100;202;
;11B171217: Rio Torto;532;168;145;219;
;11B171219: Santa Maria de Emeres;556;184;148;224;
;11B171220: Santa Valha;613;197;157;259;
;11B171221: Santiago da Ribeira de Alhariz;1014;313;235;466;
;11B171222: São João da Corveira;802;245;180;377;
;11B171223: São Pedro de Veiga de Lila;427;126;97;204;
;11B171224: Serapicos;295;83;70;142;
;11B171234: Sonim e Barreiros;501;159;126;216;
;11B171235: Tinhela e Alvarelhos;571;179;152;240;
;11B171227: Vales;389;122;90;177;
;11B171236: Valpaços e Sanfins;1230;390;313;527;
;11B171229: Vassal;522;159;124;239;
;11B171230: Veiga de Lila;345;115;94;136;
;11B171231: Vilarandelo;855;275;231;349;
;11B1713: Vila Pouca de Aguiar;8895;2477;2063;4355;
;11B171302: Alfarela de Jales;462;131;111;220;
;11B171319: Alvão;700;162;140;398;
;11B171303: Bornes de Aguiar;979;272;212;495;
;11B171304: Bragado;549;153;127;269;
;11B171305: Capeludos;521;158;125;238;
;11B171317: Sabroso de Aguiar;- -;- -;- -;- -;
;11B171310: Soutelo de Aguiar;836;212;181;443;
;11B171311: Telões;1161;286;245;630;
;11B171312: Tresminas;608;170;138;300;
;11B171320: União das freguesias de Pensalvos e Parada de Monteiros;434;120;106;208;
;11B171313: Valoura;451;113;98;240;
;11B171314: Vila Pouca de Aguiar;645;184;147;314;
;11B171315: Vreia de Bornes;772;246;220;306;
;11B171316: Vreia de Jales;777;270;213;294;
;11C: Tâmega e Sousa;111530;26195;22805;62530;
;11C1301: Amarante;15246;3580;3180;8486;
;11C130103: Ansiães;351;86;81;184;
;11C130107: Candemil;457;114;103;240;
;11C130112: Fregim;743;142;133;468;
;11C130115: Fridão;208;49;41;118;
;11C130117: Gondar;592;127;115;350;
;11C130134: Gouveia (São Simão);447;102;94;251;
;11C130118: Jazente;246;54;48;144;
;11C130119: Lomba;245;56;50;139;
;11C130120: Louredo;192;45;41;106;
;11C130121: Lufrei;464;102;93;269;
;11C130123: Mancelos;983;214;194;575;
;11C130126: Padronelo;153;30;27;96;
;11C130128: Rebordelo;179;35;31;113;
;11C130129: Salvador do Monte;456;106;96;254;
;11C130135: Telões;1324;326;282;716;
;11C130136: Travanca;620;143;123;354;
;11C130141: União das freguesias de Aboadela, Sanche e Várzea;730;152;138;440;
;11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;1311;346;313;652;
;11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;791;210;180;401;
;11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);828;179;160;489;
;11C130145: União das freguesias de Freixo de Cima e de Baixo;797;194;171;432;
;11C130146: União das freguesias de Olo e Canadelo;303;71;57;175;
;11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;958;260;225;473;
;11C130138: Vila Caiz;624;146;128;350;
;11C130139: Vila Chã do Marão;468;103;94;271;
;11C130147: Vila Meã;776;188;162;426;
;11C1302: Baião;10899;2869;2515;5515;
;11C130204: Frende;219;64;44;111;
;11C130205: Gestaçô;1118;296;260;562;
;11C130206: Gove;750;205;183;362;
;11C130207: Grilo;321;75;64;182;
;11C130208: Loivos do Monte;327;77;70;180;
;11C130215: Santa Marinha do Zêzere;1119;293;266;560;
;11C130221: União das freguesias de Ancede e Ribadouro;1125;310;273;542;
;11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;643;160;142;341;
;11C130223: União das freguesias de Campelo e Ovil;1576;432;375;769;
;11C130224: União das freguesias de Loivos da Ribeira e Tresouras;360;103;81;176;
;11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;1254;346;295;613;
;11C130226: União das freguesias de Teixeira e Teixeiró;1038;244;220;574;
;11C130219: Valadares;592;145;132;315;
;11C130220: Viariz;457;119;110;228;
;11C0106: Castelo de Paiva;4896;1121;978;2797;
;11C010602: Fornos;453;117;103;233;
;11C010606: Real;865;204;173;488;
;11C010607: Santa Maria de Sardoura;919;196;179;544;
;11C010608: São Martinho de Sardoura;452;97;87;268;
;11C010610: União das freguesias de Raiva, Pedorido e Paraíso;970;220;188;562;
;11C010611: União das freguesias de Sobrado e Bairros;1237;287;248;702;
;11C0305: Celorico de Basto;11235;2717;2275;6243;
;11C030501: Agilde;572;138;121;313;
;11C030502: Arnóia;1207;309;264;634;
;11C030520: Basto (São Clemente);645;150;125;370;
;11C030503: Borba de Montanha;770;176;138;456;
;11C030508: Codeçoso;267;72;52;143;
;11C030510: Fervença;633;154;125;354;
;11C030515: Moreira do Castelo;446;104;88;254;
;11C030517: Rego;767;178;152;437;
;11C030518: Ribas;809;166;145;498;
;11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;1317;316;278;723;
;11C030524: União das freguesias de Caçarilhe e Infesta;749;191;153;405;
;11C030525: União das freguesias de Canedo de Basto e Corgo;767;204;174;389;
;11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);747;165;142;440;
;11C030527: União das freguesias de Veade, Gagos e Molares;943;240;191;512;
;11C030521: Vale de Bouro;596;154;127;315;
;11C1804: Cinfães;11503;3058;2621;5824;
;11C180403: Cinfães;1380;390;321;669;
;11C180404: Espadanedo;516;109;96;311;
;11C180405: Ferreiros de Tendais;539;159;142;238;
;11C180406: Fornelos;573;169;148;256;
;11C180408: Moimenta;292;77;70;145;
;11C180409: Nespereira;1247;386;328;533;
;11C180410: Oliveira do Douro;771;195;172;404;
;11C180412: Santiago de Piães;1251;260;232;759;
;11C180413: São Cristóvão de Nogueira;1072;236;209;627;
;11C180414: Souselo;1067;292;255;520;
;11C180415: Tarouquela;570;148;128;294;
;11C180416: Tendais;875;264;214;397;
;11C180417: Travanca;627;171;146;310;
;11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;723;202;160;361;
;11C1303: Felgueiras;9291;2123;1846;5322;
;11C130301: Aião;204;43;37;124;
;11C130302: Airães;404;97;80;227;
;11C130305: Friande;350;76;66;208;
;11C130306: Idães;487;105;91;291;
;11C130307: Jugueiros;447;107;91;249;
;11C130313: Penacova;268;50;49;169;
;11C130314: Pinheiro;220;52;46;122;
;11C130315: Pombeiro de Ribavizela;336;75;66;195;
;11C130317: Refontoura;333;83;70;180;
;11C130318: Regilde;218;41;38;139;
;11C130319: Revinhade;133;28;25;80;
;11C130324: Sendim;440;87;80;273;
;11C130334: União das freguesias de Macieira da Lixa e Caramos;747;184;161;402;
;11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;1507;339;294;874;
;11C130336: União das freguesias de Pedreira, Rande e Sernande;629;156;131;342;
;11C130337: União das freguesias de Torrados e Sousa;469;104;92;273;
;11C130338: União das freguesias de Unhão e Lordelo;376;85;75;216;
;11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;1024;242;211;571;
;11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);309;67;60;182;
;11C130341: União das freguesias de Vila Verde e Santão;390;102;83;205;
;11C1305: Lousada;6294;1343;1166;3785;
;11C130502: Aveleda;180;41;38;101;
;11C130504: Caíde de Rei;309;67;58;184;
;11C130510: Lodares;229;53;48;128;
;11C130512: Macieira;184;44;36;104;
;11C130513: Meinedo;628;149;124;355;
;11C130515: Nevogilde;410;82;72;256;
;11C130524: Sousela;358;79;65;214;
;11C130525: Torno;304;68;59;177;
;11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);374;81;68;225;
;11C130528: União das freguesias de Cristelos, Boim e Ordem;701;140;124;437;
;11C130529: União das freguesias de Figueiras e Covas;415;80;73;262;
;11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);811;159;138;514;
;11C130531: União das freguesias de Nespereira e Casais;414;85;76;253;
;11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;732;155;140;437;
;11C130526: Vilar do Torno e Alentém;245;60;47;138;
;11C1307: Marco de Canaveses;13065;2778;2480;7807;
;11C130732: Alpendorada, Várzea e Torrão;1352;266;236;850;
;11C130733: Avessadas e Rosém;523;109;92;322;
;11C130704: Banho e Carvalhosa;342;84;70;188;
;11C130734: Bem Viver;731;159;142;430;
;11C130705: Constance;417;87;82;248;
;11C130736: Marco;787;157;141;489;
;11C130737: Paredes de Viadores e Manhuncelos;723;167;147;409;
;11C130738: Penha Longa e Paços de Gaiolo;1243;268;243;732;
;11C130739: Sande e São Lourenço do Douro;927;191;170;566;
;11C130735: Santo Isidoro e Livração;319;78;74;167;
;11C130722: Soalhães;1242;254;235;753;
;11C130723: Sobretâmega;249;56;49;144;
;11C130724: Tabuado;532;102;93;337;
;11C130740: Várzea, Aliviada e Folhada;1306;270;239;797;
;11C130741: Vila Boa de Quires e Maureles;1447;314;272;861;
;11C130730: Vila Boa do Bispo;925;216;195;514;
;11C1309: Paços de Ferreira;5424;1202;1031;3191;
;11C130902: Carvalhosa;617;132;111;374;
;11C130904: Eiriz;310;69;57;184;
;11C130905: Ferreira;922;187;168;567;
;11C130906: Figueiró;260;61;55;144;
;11C130917: Frazão Arreigada;485;117;95;273;
;11C130908: Freamunde;405;88;78;239;
;11C130910: Meixomil;353;79;64;210;
;11C130918: Paços de Ferreira;473;103;87;283;
;11C130913: Penamaior;400;102;80;218;
;11C130914: Raimonda;252;60;53;139;
;11C130919: Sanfins Lamoso Codessos;663;141;129;393;
;11C130916: Seroa;284;63;54;167;
;11C1311: Penafiel;15621;3227;2849;9545;
;11C131101: Abragão;875;180;167;528;
;11C131102: Boelhe;533;95;86;352;
;11C131103: Bustelo;596;148;121;327;
;11C131104: Cabeça Santa;322;64;55;203;
;11C131105: Canelas;410;82;76;252;
;11C131106: Capela;411;80;76;255;
;11C131107: Castelões;322;75;62;185;
;11C131108: Croca;515;109;92;314;
;11C131109: Duas Igrejas;685;154;139;392;
;11C131110: Eja;180;39;33;108;
;11C131112: Fonte Arcada;387;71;57;259;
;11C131113: Galegos;641;141;126;374;
;11C131141: Guilhufe e Urrô;657;135;118;404;
;11C131115: Irivo;578;96;80;402;
