
Quadro extraído em 11 de Outubro de 2022 (08:46:18)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;;Tipo (culturas temporárias);
;;Total;
;;Importância;
;;Total;
;;ha ;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1048;
;1120302FH: União das freguesias de Vila Cova e Feitos;597;
;112030283: Várzea;112;
;112030287: Vila Seca;336;
;1120303: Braga;5090;
;112030301: Adaúfe;378;
;112030349: Braga (São Vicente);- -;
;112030351: Braga (São Vítor);5;
;112030312: Espinho;172;
;112030313: Esporões;126;
;112030315: Figueiredo;76;
;112030319: Gualtar;7;
;112030322: Lamas;53;
;112030325: Mire de Tibães;161;
;112030330: Padim da Graça;74;
;112030331: Palmeira;214;
;112030334: Pedralva;255;
;112030336: Priscos;179;
;112030338: Ruilhe;91;
;112030354: Sequeira;127;
;112030355: Sobreposta;159;
;112030356: Tadim;39;
;112030357: Tebosa;64;
;112030363: União das freguesias de Arentim e Cunha;289;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);23;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);1;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);227;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;189;
;112030368: União das freguesias de Crespos e Pousada;209;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);373;
;112030370: União das freguesias de Este (São Pedro e São Mamede);184;
;112030371: União das freguesias de Ferreiros e Gondizalves;81;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);79;
;112030373: União das freguesias de Lomar e Arcos;116;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;238;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;201;
;112030376: União das freguesias de Morreira e Trandeiras;147;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;80;
;112030378: União das freguesias de Nogueiró e Tenões;36;
;112030379: União das freguesias de Real, Dume e Semelhe;254;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;86;
;112030381: União das freguesias de Vilaça e Fradelos;99;
;1120306: Esposende;3226;
;112030601: Antas;95;
;112030608: Forjães;157;
;112030610: Gemeses;260;
;112030616: União das freguesias de Apúlia e Fão;472;
;112030617: União das freguesias de Belinho e Mar;192;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;888;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;794;
;112030620: União das freguesias de Palmeira de Faro e Curvos;222;
;112030615: Vila Chã;146;
;1120310: Terras de Bouro;1046;
;112031001: Balança;83;
;112031003: Campo do Gerês;9;
;112031004: Carvalheira;80;
;112031008: Covide;46;
;112031009: Gondoriz;69;
;112031010: Moimenta;26;
;112031012: Ribeira;38;
;112031013: Rio Caldo;54;
;112031014: Souto;67;
;112031018: União das freguesias de Chamoim e Vilar;172;
;112031019: União das freguesias de Chorense e Monte;141;
;112031020: União das freguesias de Cibões e Brufe;142;
;112031015: Valdosende;45;
;112031017: Vilar da Veiga;74;
;1120313: Vila Verde;5051;
;112031359: Aboim da Nóbrega e Gondomar;280;
;112031304: Atiães;149;
;112031308: Cabanelas;280;
;112031309: Cervães;130;
;112031311: Coucieiro;144;
;112031313: Dossãos;70;
;112031316: Freiriz;126;
;112031317: Gême;55;
;112031323: Lage;130;
;112031324: Lanhas;76;
;112031325: Loureira;56;
;112031328: Moure;125;
;112031330: Oleiros;76;
;112031331: Parada de Gatim;75;
;112031335: Pico;85;
;112031337: Ponte;59;
;112031350: Prado (São Miguel);96;
;112031340: Sabariz;7;
;112031352: Soutelo;228;
;112031354: Turiz;99;
;112031360: União das freguesias da Ribeira do Neiva;659;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);146;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);124;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;133;
;112031364: União das freguesias de Marrancos e Arcozelo;241;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);149;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;178;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;195;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);130;
;112031369: União das freguesias do Vade;197;
;112031355: Valdreu;166;
;112031342: Vila de Prado;215;
;112031370: Vila Verde e Barbudo;173;
;119: Ave;22565;
;1190304: Cabeceiras de Basto;1844;
;119030401: Abadim;127;
;119030404: Basto;148;
;119030405: Bucos;127;
;119030406: Cabeceiras de Basto;170;
;119030407: Cavez;245;
;119030408: Faia;86;
;119030413: Pedraça;78;
;119030415: Rio Douro;192;
;119030418: União das freguesias de Alvite e Passos;150;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;115;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;160;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;244;
;1190307: Fafe;3069;
;119030705: Armil;68;
;119030726: Arões (Santa Cristina);88;
;119030730: Arões (São Romão);90;
;119030708: Estorãos;101;
;119030709: Fafe;110;
;119030712: Fornelos;90;
;119030714: Golães;138;
;119030716: Medelo;37;
;119030719: Paços;87;
;119030722: Quinchães;139;
;119030723: Regadas;142;
;119030724: Revelhe;110;
;119030725: Ribeiros;32;
;119030728: São Gens;282;
;119030729: Silvares (São Martinho);48;
;119030733: Travassós;129;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;163;
;119030738: União de freguesias de Agrela e Serafão;83;
;119030739: União de freguesias de Antime e Silvares (São Clemente);71;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;216;
;119030741: União de freguesias de Cepães e Fareja;191;
;119030742: União de freguesias de Freitas e Vila Cova;98;
;119030743: União de freguesias de Monte e Queimadela;265;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;223;
;119030736: Vinhós;69;
;1190308: Guimarães;5206;
;119030801: Aldão;42;
;119030804: Azurém;62;
;119030806: Barco;43;
;119030807: Brito;182;
;119030808: Caldelas;119;
;119030857: Candoso (São Martinho);93;
;119030812: Costa;25;
;119030813: Creixomil;40;
;119030815: Fermentões;149;
;119030820: Gonça;64;
;119030821: Gondar;46;
;119030823: Guardizela;125;
;119030824: Infantas;138;
;119030827: Longos;200;
;119030828: Lordelo;69;
;119030830: Mesão Frio;57;
;119030831: Moreira de Cónegos;21;
;119030832: Nespereira;21;
;119030835: Pencelo;58;
;119030836: Pinheiro;56;
;119030837: Polvoreira;52;
;119030838: Ponte;201;
;119030842: Prazins (Santa Eufémia);44;
;119030840: Ronfe;123;
;119030858: Sande (São Martinho);77;
;119030865: São Torcato;279;
;119030850: Selho (São Cristóvão);39;
;119030854: Selho (São Jorge);128;
;119030866: Serzedelo;82;
;119030868: Silvares;84;
;119030875: União das freguesias de Abação e Gémeos;72;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;156;
;119030877: União das freguesias de Arosa e Castelões;91;
;119030878: União das freguesias de Atães e Rendufe;220;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;68;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;195;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;116;
;119030882: União das freguesias de Conde e Gandarela;134;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;212;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;4;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;147;
;119030886: União das freguesias de Sande São Lourenço e Balazar;209;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;162;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;95;
;119030889: União das freguesias de Serzedo e Calvos;69;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;400;
;119030891: União das freguesias de Tabuadelo e São Faustino;52;
;119030871: Urgezes;83;
;1191705: Mondim de Basto;1054;
;119170501: Atei;332;
;119170502: Bilhó;183;
;119170505: São Cristóvão de Mondim de Basto;174;
;119170509: União das freguesias de Campanhó e Paradança;85;
;119170510: União das freguesias de Ermelo e Pardelhas;114;
;119170508: Vilar de Ferreiros;166;
;1190309: Póvoa de Lanhoso;1906;
;119030906: Covelas;73;
;119030908: Ferreiros;134;
;119030912: Galegos;11;
;119030913: Garfe;90;
;119030914: Geraz do Minho;51;
;119030915: Lanhoso;39;
;119030917: Monsul;129;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);62;
;119030921: Rendufinho;74;
;119030922: Santo Emilião;159;
;119030923: São João de Rei;112;
;119030924: Serzedelo;82;
;119030925: Sobradelo da Goma;113;
;119030926: Taíde;23;
;119030927: Travassos;69;
;119030930: União das freguesias de Águas Santas e Moure;70;
;119030931: União das freguesias de Calvos e Frades;105;
;119030932: União das freguesias de Campos e Louredo;91;
;119030933: União das freguesias de Esperança e Brunhais;54;
;119030934: União das freguesias de Fonte Arcada e Oliveira;133;
;119030935: União das freguesias de Verim, Friande e Ajude;189;
;119030929: Vilela;43;
;1190311: Vieira do Minho;1144;
;119031105: Cantelães;56;
;119031107: Eira Vedra;60;
;119031108: Guilhofrei;98;
;119031109: Louredo;72;
;119031110: Mosteiro;66;
;119031111: Parada de Bouro;45;
;119031112: Pinheiro;50;
;119031113: Rossas;236;
;119031115: Salamonde;45;
;119031118: Tabuaças;54;
;119031122: União das freguesias de Anissó e Soutelo;57;
;119031123: União das freguesias de Anjos e Vilar do Chão;84;
;119031124: União das freguesias de Caniçada e Soengas;38;
;119031125: União das freguesias de Ruivães e Campos;67;
;119031126: União das freguesias de Ventosa e Cova;69;
;119031120: Vieira do Minho;47;
;1190312: Vila Nova de Famalicão;7885;
;119031204: Bairro;87;
;119031206: Brufe;105;
;119031210: Castelões;157;
;119031212: Cruz;235;
