
Statistical table extracted on October 16, 2022 (17:31:19)
http://www.ine.pt



Geographic localization (NUTS -2013);Livestock (No.) of agricultural holdings by Geographic localization (NUTS -2013) and Animal specie -  Decennial (1) ;;;;;;;;
;Data reference period;;;;;;;;
;2019;;;;;;;;
;Animal specie;;;;;;;;
;Cattle;Pigs;Sheep;Goats;Equidae;Poultry;Rabbits;Inhabited hives and traditional cork hives;
;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
112030104: Bico;1;- -;10;4;2;118;4;- -;
112030119: Bouro (Santa Maria);12;4;70;- -;1;370;74;7;
112030120: Bouro (Santa Marta);31;2;52;21;1;651;38;406;
112030105: Caires;57;1;48;22;5;496;49;- -;
112030107: Carrazedo;44;8;79;30;- -;201686;71;52;
112030108: Dornelas;97;10;20;11;1;616;175;- -;
112030111: Fiscal;28;- -;40;- -;- -;346;29;20;
112030112: Goães;71;9;51;27;1;563;88;350;
112030113: Lago;25;4;47;20;3;539;100;22;
112030118: Rendufe;90;8;63;22;3;560;105;46;
112030125: União das freguesias de Amares e Figueiredo;12;4;129;27;4;686;101;31;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;18;5;87;14;14;474;44;103;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;55;34;202;7;18;488718;206;40;
112030128: União das freguesias de Torre e Portela;15;6;35;- -;- -;243;21;6;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;105;41;132;19;3;950;172;21;
1120302: Barcelos;51161;366;1631;734;168;43353;26335;2764;
112030201: Abade de Neiva;1183;28;23;28;1;851;231;2;
112030202: Aborim;381;1;15;- -;1;316;102;14;
112030203: Adães;413;3;25;3;- -;544;57;125;
112030205: Airó;178;1;67;- -;- -;704;137;- -;
112030206: Aldreu;818;7;30;- -;6;190;20;4;
112030208: Alvelos;271;4;3;- -;- -;878;243;- -;
112030209: Arcozelo;168;- -;- -;- -;- -;68;20;- -;
112030210: Areias;12;- -;- -;- -;- -;88;5;- -;
112030212: Balugães;25;1;203;25;1;118;817;- -;
112030213: Barcelinhos;441;- -;7;- -;6;120;29;- -;
112030215: Barqueiros;994;8;12;1;6;970;129;25;
112030216: Cambeses;1572;1;8;2;- -;473;510;28;
112030218: Carapeços;222;9;61;12;3;825;291;57;
112030220: Carvalhal;392;- -;3;- -;- -;339;86;30;
112030221: Carvalhas;212;- -;- -;- -;- -;249;95;45;
112030224: Cossourado;1041;2;41;4;- -;306;82;41;
112030228: Cristelo;3447;10;11;- -;2;1482;432;- -;
112030234: Fornelos;536;5;3;3;- -;351;52;1;
112030235: Fragoso;516;12;31;- -;2;733;99;161;
112030268: Galegos (Santa Maria);11;- -;4;- -;- -;221;90;48;
112030272: Galegos (São Martinho);4;- -;3;- -;1;35;- -;- -;
112030237: Gilmonde;460;4;2;- -;- -;351;51;- -;
112030242: Lama;94;1;- -;- -;1;277;17;2;
112030243: Lijó;736;- -;47;4;23;553;136;235;
112030244: Macieira de Rates;3150;25;11;4;- -;1698;689;- -;
112030245: Manhente;1740;- -;- -;3;- -;170;29;- -;
112030247: Martim;191;10;23;14;2;509;78;76;
112030252: Moure;43;3;3;2;9;328;104;25;
112030254: Oliveira;212;2;27;- -;- -;494;24;- -;
112030255: Palme;285;8;39;- -;3;591;116;23;
112030256: Panque;428;25;54;5;5;754;126;- -;
112030257: Paradela;1236;21;3;9;- -;683;203;- -;
112030259: Pereira;187;1;17;- -;- -;370;5570;- -;
112030260: Perelhal;124;3;19;9;1;515;155;175;
112030261: Pousa;540;6;39;26;1;644;114;14;
112030263: Remelhe;1678;1;- -;- -;- -;878;179;- -;
112030265: Rio Covo (Santa Eugénia);429;2;- -;3;6;345;56;- -;
112030264: Roriz;1600;2;99;7;19;816;169;- -;
112030279: Silva;108;- -;21;- -;5;179;83;- -;
112030277: Tamel (São Veríssimo);146;- -;- -;- -;- -;162;52;- -;
112030282: Ucha;800;2;2;- -;4;267;35;60;
112030290: União das freguesias de Alheira e Igreja Nova;172;2;47;- -;- -;609;62;55;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;994;3;96;46;5;623;171;65;
112030292: União das freguesias de Areias de Vilar e Encourados;231;2;8;8;3;666;69;38;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);434;5;5;9;3;591;278;347;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);423;3;104;28;11;471;10405;1;
112030295: União das freguesias de Carreira e Fonte Coberta;1041;4;- -;5;3;903;337;6;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;5457;23;61;216;8;7414;789;8;
112030297: União das freguesias de Creixomil e Mariz;346;3;13;3;1;853;156;36;
112030298: União das freguesias de Durrães e Tregosa;28;2;9;- -;- -;395;52;20;
112030299: União das freguesias de Gamil e Midões;436;- -;37;- -;- -;293;114;260;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;2342;24;6;27;- -;1197;339;- -;
1120302FB: União das freguesias de Negreiros e Chavão;3005;24;8;5;- -;1057;284;10;
1120302FC: União das freguesias de Quintiães e Aguiar;638;13;74;13;1;1010;333;109;
