Statistical table extracted on October 18, 2022 (10:37:24);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
1111602: Caminha;879;;;
111160201: Âncora;484,5;;;
111160205: Argela;243,6;;;
111160209: Dem;200;;;
111160211: Lanhelas;1979;;;
111160214: Riba de Âncora;18219,1;;;
111160215: Seixas;2284,4;;;
111160221: União das freguesias de Arga (Baixo, Cima e São João);187,9;;;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;2157,8;;;
111160223: União das freguesias de Gondar e Orbacém;484,2;;;
111160224: União das freguesias de Moledo e Cristelo;2424;;;
111160225: União das freguesias de Venade e Azevedo;363,7;;;
111160217: Vila Praia de Âncora;3360;;;
111160218: Vilar de Mouros;1328,2;;;
111160220: Vile;4912,2;;;
1111603: Melgaço;232,7;;;
111160301: Alvaredo;2659,6;;;
111160304: Cousso;225,5;;;
111160305: Cristoval;491,8;;;
111160307: Fiães;220,1;;;
111160308: Gave;483,2;;;
111160311: Paderne;1470,9;;;
111160313: Penso;576,9;;;
111160317: São Paio;1833,7;;;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;97,1;;;
111160320: União das freguesias de Chaviães e Paços;306,4;;;
111160321: União das freguesias de Parada do Monte e Cubalhão;158,9;;;
111160322: União das freguesias de Prado e Remoães;1982,1;;;
111160323: União das freguesias de Vila e Roussas;2367,7;;;
1111604: Monção;1014,1;;;
111160401: Abedim;298,5;;;
111160404: Barbeita;2394,1;;;
111160405: Barroças e Taias;2440,5;;;
111160406: Bela;2608,6;;;
111160407: Cambeses;2073,3;;;
111160410: Lara;2214,4;;;
111160411: Longos Vales;1454,8;;;
111160415: Merufe;1995,4;;;
111160418: Moreira;2243,5;;;
111160420: Pias;2041,1;;;
111160421: Pinheiros;2367,4;;;
111160422: Podame;875,1;;;
111160423: Portela;1497,1;;;
111160424: Riba de Mouro;589,6;;;
111160427: Segude;2703,2;;;
111160428: Tangil;537,4;;;
111160431: Trute;795;;;
111160434: União das freguesias de Anhões e Luzio;189,1;;;
111160435: União das freguesias de Ceivães e Badim;805,2;;;
111160436: União das freguesias de Mazedo e Cortes;2340,8;;;
111160437: União das freguesias de Messegães, Valadares e Sá;2127,6;;;
111160438: União das freguesias de Monção e Troviscoso;2675,9;;;
111160439: União das freguesias de Sago, Lordelo e Parada;546,7;;;
111160440: União das freguesias de Troporiz e Lapela;2539,4;;;
1111605: Paredes de Coura;1361,9;;;
111160501: Agualonga;960,4;;;
111160503: Castanheira;858,6;;;
111160505: Coura;496,2;;;
111160507: Cunha;861,4;;;
111160510: Infesta;1227,4;;;
111160513: Mozelos;4789,1;;;
111160514: Padornelo;1032,6;;;
111160515: Parada;1686;;;
111160519: Romarigães;6360,7;;;
111160520: Rubiães;1433,3;;;
111160522: União das freguesias de Bico e Cristelo;1516,5;;;
111160523: União das freguesias de Cossourado e Linhares;1319,9;;;
111160524: União das freguesias de Formariz e Ferreira;1281,8;;;
111160525: União das freguesias de Insalde e Porreiras;1043,3;;;
111160526: União das freguesias de Paredes de Coura e Resende;1941,8;;;
111160521: Vascões;1146,2;;;
1111606: Ponte da Barca;911,6;;;
111160601: Azias;1734,3;;;
111160602: Boivães;1644,8;;;
111160603: Bravães;1566,7;;;
111160604: Britelo;205,1;;;
111160606: Cuide de Vila Verde;1208,5;;;
111160611: Lavradas;1375,5;;;
111160612: Lindoso;2489,3;;;
111160613: Nogueira;2429,8;;;
111160614: Oleiros;3987,5;;;
111160619: Sampriz;1671,7;;;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;2107,9;;;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;224,8;;;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;3500,8;;;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);2111,8;;;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);520,1;;;
111160623: Vade (São Pedro);1394,5;;;
111160624: Vade (São Tomé);1317,8;;;
1111607: Ponte de Lima;1959,2;;;
111160701: Anais;3400,4;;;
111160752: Arca e Ponte de Lima;5470,3;;;
111160704: Arcozelo;1959,6;;;
111160753: Ardegão, Freixo e Mato;3774,4;;;
111160754: Associação de freguesias do Vale do Neiva;3172;;;
111160755: Bárrio e Cepões;426,6;;;
111160707: Beiral do Lima;1767,2;;;
111160708: Bertiandos;4255,2;;;
111160709: Boalhosa;1228;;;
111160710: Brandara;1900,4;;;
111160756: Cabaços e Fojo Lobal;2271,4;;;
111160757: Cabração e Moreira do Lima;2504,1;;;
111160713: Calheiros;910,6;;;
111160714: Calvelo;2561,1;;;
111160716: Correlhã;4138;;;
111160717: Estorãos;733,5;;;
111160718: Facha;518,1;;;
111160719: Feitosa;2487,1;;;
111160721: Fontão;4653,1;;;
111160758: Fornelos e Queijada;2307,2;;;
111160724: Friastelas;3055;;;
111160726: Gandra;1938,6;;;
111160727: Gemieira;2508,3;;;
111160728: Gondufe;1833,8;;;
111160729: Labruja;672,8;;;
111160759: Labrujó, Rendufe e Vilar do Monte;582,5;;;
111160760: Navió e Vitorino dos Piães;2318,9;;;
111160734: Poiares;8923,1;;;
111160744: Rebordões (Santa Maria);741,1;;;
111160747: Rebordões (Souto);1295,4;;;
111160737: Refóios do Lima;1562,9;;;
111160739: Ribeira;1993,7;;;
111160740: Sá;2163,1;;;
111160742: Santa Comba;1718;;;
111160743: Santa Cruz do Lima;1557,1;;;
111160703: São Pedro d'Arcos;826,3;;;
111160745: Seara;2009;;;
111160746: Serdedelo;1063,8;;;
111160750: Vitorino das Donas;1438,9;;;
1111608: Valença;1317,3;;;
111160802: Boivão;589,9;;;
111160803: Cerdal;852,9;;;
111160805: Fontoura;1063,9;;;
111160806: Friestas;1865,4;;;
111160808: Ganfei;2522;;;
111160812: São Pedro da Torre;3060,2;;;
111160817: União das freguesias de Gandra e Taião;937,6;;;
111160818: União das freguesias de Gondomil e Sanfins;1303,1;;;
111160819: União das freguesias de São Julião e Silva;1455,7;;;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;3086;;;
111160816: Verdoejo;3557,2;;;
1111609: Viana do Castelo;2102,4;;;
111160901: Afife;2439,3;;;
111160902: Alvarães;4946,6;;;
111160903: Amonde;223,1;;;
111160904: Anha;2464,6;;;
111160905: Areosa;2061,9;;;
111160908: Carreço;3215,3;;;
111160910: Castelo do Neiva;3007,5;;;
111160940: Chafé;9684,5;;;
111160911: Darque;712,2;;;
111160914: Freixieiro de Soutelo;1688,6;;;
111160915: Lanheses;2166,4;;;
111160920: Montaria;168,2;;;
111160922: Mujães;5524,1;;;
111160925: Outeiro;794,9;;;
111160926: Perre;2415,8;;;
111160928: Santa Marta de Portuzelo;3163,1;;;
111160923: São Romão de Neiva;15073,3;;;
111160941: União das freguesias de Barroselas e Carvoeiro;2073,7;;;
111160942: União das freguesias de Cardielos e Serreleis;4086,8;;;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;2039,4;;;
111160944: União das freguesias de Mazarefes e Vila Fria;8316,9;;;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;1601,2;;;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;3160,3;;;
111160947: União das freguesias de Torre e Vila Mou;5405,1;;;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;3711,5;;;
111160938: Vila de Punhe;4135,9;;;
111160935: Vila Franca;3834,6;;;
1111610: Vila Nova de Cerveira;1308,5;;;
111161003: Cornes;754,2;;;
111161004: Covas;995,9;;;
111161006: Gondarém;1847;;;
111161007: Loivo;5065,2;;;
111161009: Mentrestido;1567,4;;;
111161012: Sapardos;749,1;;;
111161013: Sopo;818,8;;;
111161016: União das freguesias de Campos e Vila Meã;2279,3;;;
111161017: União das freguesias de Candemil e Gondar;685,6;;;
111161018: União das freguesias de Reboreda e Nogueira;2597,1;;;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;1572,7;;;
112: Cávado;4515,3;;;
1120301: Amares;4911,4;;;
112030102: Barreiros;4385,6;;;
112030104: Bico;1486,5;;;
112030119: Bouro (Santa Maria);1552,9;;;
112030120: Bouro (Santa Marta);1747,9;;;
112030105: Caires;2195,8;;;
112030107: Carrazedo;22393;;;
112030108: Dornelas;3012;;;
112030111: Fiscal;2108,3;;;
112030112: Goães;2229,8;;;
112030113: Lago;1689,3;;;
112030118: Rendufe;3120,2;;;
112030125: União das freguesias de Amares e Figueiredo;3777,2;;;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;1589,9;;;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;3420,4;;;
112030128: União das freguesias de Torre e Portela;1848,2;;;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;1814;;;
1120302: Barcelos;7661;;;
112030201: Abade de Neiva;6224,7;;;
112030202: Aborim;8943,9;;;
112030203: Adães;5355,9;;;
112030205: Airó;3078,1;;;
112030206: Aldreu;6858,8;;;
112030208: Alvelos;7836,7;;;
112030209: Arcozelo;5504,7;;;
112030210: Areias;2260,6;;;
112030212: Balugães;6013,9;;;
112030213: Barcelinhos;7993,7;;;
112030215: Barqueiros;8440,5;;;
112030216: Cambeses;7625,1;;;
112030218: Carapeços;4081,6;;;
112030220: Carvalhal;8019,8;;;
112030221: Carvalhas;7747,1;;;
112030224: Cossourado;10151;;;
112030228: Cristelo;11340,2;;;
112030234: Fornelos;9432,9;;;
112030235: Fragoso;6758,8;;;
112030268: Galegos (Santa Maria);2994,6;;;
112030272: Galegos (São Martinho);5126,8;;;
112030237: Gilmonde;6369,6;;;
112030242: Lama;4803,3;;;
112030243: Lijó;6805,6;;;
112030244: Macieira de Rates;11301,8;;;
112030245: Manhente;9760,2;;;
112030247: Martim;3653,9;;;
112030252: Moure;3801,7;;;
112030254: Oliveira;3988,7;;;
112030255: Palme;5905,3;;;
112030256: Panque;5847,3;;;
112030257: Paradela;9414,1;;;
112030259: Pereira;8588,9;;;
112030260: Perelhal;4095;;;
112030261: Pousa;4296,9;;;
112030263: Remelhe;8873,1;;;
112030265: Rio Covo (Santa Eugénia);6237,8;;;
112030264: Roriz;7197,4;;;
112030279: Silva;4836;;;
112030277: Tamel (São Veríssimo);5498,9;;;
112030282: Ucha;6989,4;;;
112030290: União das freguesias de Alheira e Igreja Nova;4030,6;;;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;7194,5;;;
112030292: União das freguesias de Areias de Vilar e Encourados;3880,6;;;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);6564,4;;;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);5059,7;;;
112030295: União das freguesias de Carreira e Fonte Coberta;7815,6;;;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;10292,6;;;
112030297: União das freguesias de Creixomil e Mariz;4329,6;;;
112030298: União das freguesias de Durrães e Tregosa;3174,1;;;
112030299: União das freguesias de Gamil e Midões;4564,4;;;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;9991;;;
1120302FB: União das freguesias de Negreiros e Chavão;10402,4;;;
1120302FC: União das freguesias de Quintiães e Aguiar;7002,5;;;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);6244,4;;;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);6416,2;;;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;3023,3;;;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;8231,4;;;
1120302FH: União das freguesias de Vila Cova e Feitos;6979,7;;;
112030283: Várzea;5216,2;;;
112030287: Vila Seca;8705,7;;;
1120303: Braga;3742,4;;;
112030301: Adaúfe;2718,2;;;
112030349: Braga (São Vicente);- -;;;
112030351: Braga (São Vítor);4098,7;;;
112030312: Espinho;4690,4;;;
112030313: Esporões;3320,8;;;
112030315: Figueiredo;6471,6;;;
112030319: Gualtar;3616,4;;;
112030322: Lamas;2587,8;;;
112030325: Mire de Tibães;3475,6;;;
112030330: Padim da Graça;1723,3;;;
112030331: Palmeira;2441,1;;;
112030334: Pedralva;6771,4;;;
112030336: Priscos;2369,6;;;
112030338: Ruilhe;4381,4;;;
112030354: Sequeira;5624,6;;;
112030355: Sobreposta;4702,6;;;
112030356: Tadim;4686,8;;;
112030357: Tebosa;2169,6;;;
112030363: União das freguesias de Arentim e Cunha;6856,2;;;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);2685,7;;;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);2117,3;;;
112030366: União das freguesias de Cabreiros e Passos (São Julião);2925,7;;;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;2671,7;;;
112030368: União das freguesias de Crespos e Pousada;2658;;;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);5879,3;;;
112030370: União das freguesias de Este (São Pedro e São Mamede);2210,2;;;
112030371: União das freguesias de Ferreiros e Gondizalves;2452,2;;;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);6061;;;
112030373: União das freguesias de Lomar e Arcos;3452,5;;;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;3278,1;;;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;4357,7;;;
112030376: União das freguesias de Morreira e Trandeiras;5157,3;;;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;1829,6;;;
112030378: União das freguesias de Nogueiró e Tenões;1726,2;;;
112030379: União das freguesias de Real, Dume e Semelhe;2667,2;;;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;2452,8;;;
112030381: União das freguesias de Vilaça e Fradelos;2965,7;;;
1120306: Esposende;7273,5;;;
112030601: Antas;3430;;;
112030608: Forjães;4083,2;;;
112030610: Gemeses;6904;;;
112030616: União das freguesias de Apúlia e Fão;9588,4;;;
112030617: União das freguesias de Belinho e Mar;5606,4;;;
112030618: União das freguesias de Esposende, Marinhas e Gandra;7169,7;;;
112030619: União das freguesias de Fonte Boa e Rio Tinto;9563,6;;;
112030620: União das freguesias de Palmeira de Faro e Curvos;3803,3;;;
112030615: Vila Chã;5159,7;;;
1120310: Terras de Bouro;406,5;;;
112031001: Balança;2040,6;;;
112031003: Campo do Gerês;70;;;
112031004: Carvalheira;669;;;
112031008: Covide;324,2;;;
112031009: Gondoriz;2023,2;;;
112031010: Moimenta;1624,9;;;
112031012: Ribeira;1335,5;;;
112031013: Rio Caldo;664,1;;;
112031014: Souto;2847,5;;;
112031018: União das freguesias de Chamoim e Vilar;1144,7;;;
112031019: União das freguesias de Chorense e Monte;547,4;;;
112031020: União das freguesias de Cibões e Brufe;1207,4;;;
112031015: Valdosende;1404,8;;;
112031017: Vilar da Veiga;155,7;;;
1120313: Vila Verde;2479,2;;;
112031359: Aboim da Nóbrega e Gondomar;1690,5;;;
112031304: Atiães;4269,9;;;
112031308: Cabanelas;5086,2;;;
112031309: Cervães;6074,8;;;
112031311: Coucieiro;3071,8;;;
112031313: Dossãos;3577;;;
112031316: Freiriz;3519,4;;;
112031317: Gême;1960,4;;;
112031323: Lage;3609,2;;;
112031324: Lanhas;1939,3;;;
112031325: Loureira;2425;;;
112031328: Moure;2028,3;;;
112031330: Oleiros;2528,8;;;
112031331: Parada de Gatim;1694,7;;;
112031335: Pico;1958,7;;;
112031337: Ponte;2786,9;;;
112031350: Prado (São Miguel);785,4;;;
112031340: Sabariz;5750,8;;;
112031352: Soutelo;4943,2;;;
112031354: Turiz;4691,9;;;
112031360: União das freguesias da Ribeira do Neiva;1919,9;;;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);2174,4;;;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);3426,1;;;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;3262,2;;;
112031364: União das freguesias de Marrancos e Arcozelo;4721,9;;;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);1896,5;;;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;2766,4;;;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;1420,4;;;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);2501,7;;;
112031369: União das freguesias do Vade;1346,8;;;
112031355: Valdreu;508,9;;;
112031342: Vila de Prado;3868,1;;;
112031370: Vila Verde e Barbudo;2551,6;;;
119: Ave;2420;;;
1190304: Cabeceiras de Basto;1066,8;;;
119030401: Abadim;1094,4;;;
119030404: Basto;2246,3;;;
119030405: Bucos;713,4;;;
119030406: Cabeceiras de Basto;469,9;;;
119030407: Cavez;1819,4;;;
119030408: Faia;1894,8;;;
119030413: Pedraça;1658,4;;;
119030415: Rio Douro;479,2;;;
119030418: União das freguesias de Alvite e Passos;2669,6;;;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;1967,3;;;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;979,3;;;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;2448,2;;;
1190307: Fafe;2159,1;;;
119030705: Armil;16696,5;;;
119030726: Arões (Santa Cristina);1841,6;;;
119030730: Arões (São Romão);1851,7;;;
119030708: Estorãos;1856,8;;;
119030709: Fafe;2189,3;;;
119030712: Fornelos;1792,6;;;
119030714: Golães;1945,3;;;
119030716: Medelo;2101,5;;;
119030719: Paços;1460,2;;;
119030722: Quinchães;1842,5;;;
119030723: Regadas;2749,8;;;
119030724: Revelhe;2203,9;;;
119030725: Ribeiros;3105,2;;;
119030728: São Gens;1588,8;;;
119030729: Silvares (São Martinho);1888,1;;;
119030733: Travassós;3230,5;;;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;1011;;;
119030738: União de freguesias de Agrela e Serafão;1500,3;;;
119030739: União de freguesias de Antime e Silvares (São Clemente);4638,6;;;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;3954,3;;;
119030741: União de freguesias de Cepães e Fareja;2097,5;;;
119030742: União de freguesias de Freitas e Vila Cova;1715,4;;;
119030743: União de freguesias de Monte e Queimadela;1292,5;;;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;1707;;;
119030736: Vinhós;1949,6;;;
1190308: Guimarães;4128,9;;;
119030801: Aldão;1948,9;;;
119030804: Azurém;4893,1;;;
119030806: Barco;34381,7;;;
119030807: Brito;3793,2;;;
119030808: Caldelas;2663,1;;;
119030857: Candoso (São Martinho);6480,6;;;
119030812: Costa;4048,9;;;
119030813: Creixomil;4172,3;;;
119030815: Fermentões;3210,2;;;
119030820: Gonça;1814,8;;;
119030821: Gondar;2829,6;;;
119030823: Guardizela;6393,1;;;
119030824: Infantas;1767,3;;;
119030827: Longos;3463,1;;;
119030828: Lordelo;2930,2;;;
119030830: Mesão Frio;3234,9;;;
119030831: Moreira de Cónegos;1124,4;;;
119030832: Nespereira;7850,1;;;
119030835: Pencelo;2318,2;;;
119030836: Pinheiro;12400,5;;;
119030837: Polvoreira;1747,8;;;
119030838: Ponte;10534,2;;;
119030842: Prazins (Santa Eufémia);3268,8;;;
119030840: Ronfe;5055,2;;;
119030858: Sande (São Martinho);2470,2;;;
119030865: São Torcato;2461,3;;;
119030850: Selho (São Cristóvão);4987,4;;;
119030854: Selho (São Jorge);3251,4;;;
119030866: Serzedelo;3879,9;;;
119030868: Silvares;3282,9;;;
119030875: União das freguesias de Abação e Gémeos;2153,4;;;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;3837,4;;;
119030877: União das freguesias de Arosa e Castelões;1805,6;;;
119030878: União das freguesias de Atães e Rendufe;2168,9;;;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;4420,3;;;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;2703;;;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;7411,3;;;
119030882: União das freguesias de Conde e Gandarela;1602,7;;;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;3434,4;;;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;5736,9;;;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;6569,7;;;
119030886: União das freguesias de Sande São Lourenço e Balazar;8878,6;;;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;2567,6;;;
119030888: União das freguesias de Selho São Lourenço e Gominhães;2282,9;;;
119030889: União das freguesias de Serzedo e Calvos;2724,2;;;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;4053;;;
119030891: União das freguesias de Tabuadelo e São Faustino;1287,9;;;
119030871: Urgezes;4198;;;
1191705: Mondim de Basto;579,2;;;
119170501: Atei;2326,1;;;
119170502: Bilhó;329,9;;;
119170505: São Cristóvão de Mondim de Basto;1894,4;;;
119170509: União das freguesias de Campanhó e Paradança;458,9;;;
119170510: União das freguesias de Ermelo e Pardelhas;407,1;;;
119170508: Vilar de Ferreiros;306,7;;;
1190309: Póvoa de Lanhoso;2544;;;
119030906: Covelas;1850,5;;;
119030908: Ferreiros;3102;;;
119030912: Galegos;1711,3;;;
119030913: Garfe;1465,7;;;
119030914: Geraz do Minho;3040,4;;;
119030915: Lanhoso;1987,6;;;
119030917: Monsul;1985,5;;;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);3123,5;;;
119030921: Rendufinho;2142,9;;;
119030922: Santo Emilião;9181,5;;;
119030923: São João de Rei;2002,9;;;
119030924: Serzedelo;1397;;;
119030925: Sobradelo da Goma;1933,6;;;
119030926: Taíde;1081,5;;;
119030927: Travassos;1601,2;;;
119030930: União das freguesias de Águas Santas e Moure;2215,8;;;
119030931: União das freguesias de Calvos e Frades;1887,8;;;
119030932: União das freguesias de Campos e Louredo;6662;;;
119030933: União das freguesias de Esperança e Brunhais;1148,1;;;
119030934: União das freguesias de Fonte Arcada e Oliveira;1745,6;;;
119030935: União das freguesias de Verim, Friande e Ajude;1809,1;;;
119030929: Vilela;2804,5;;;
1190311: Vieira do Minho;557;;;
119031105: Cantelães;332,7;;;
119031107: Eira Vedra;985,7;;;
119031108: Guilhofrei;1166,3;;;
119031109: Louredo;592,2;;;
119031110: Mosteiro;1257,2;;;
119031111: Parada de Bouro;381,2;;;
119031112: Pinheiro;742,2;;;
119031113: Rossas;1459,7;;;
119031115: Salamonde;350,6;;;
119031118: Tabuaças;1001,4;;;
119031122: União das freguesias de Anissó e Soutelo;1570,3;;;
119031123: União das freguesias de Anjos e Vilar do Chão;402;;;
119031124: União das freguesias de Caniçada e Soengas;1147,6;;;
119031125: União das freguesias de Ruivães e Campos;254,2;;;
119031126: União das freguesias de Ventosa e Cova;1247;;;
119031120: Vieira do Minho;1219,8;;;
1190312: Vila Nova de Famalicão;6469;;;
119031204: Bairro;1793,9;;;
119031206: Brufe;4101,9;;;
119031210: Castelões;7145,6;;;
119031212: Cruz;5921,8;;;
119031213: Delães;6804,3;;;
119031215: Fradelos;12116,3;;;
119031216: Gavião;2937,1;;;
119031219: Joane;3246,9;;;
119031221: Landim;5755,3;;;
119031223: Louro;7137,7;;;
119031224: Lousado;4185,7;;;
119031225: Mogege;2429,9;;;
119031227: Nine;6246,8;;;
119031239: Oliveira (Santa Maria);2552,2;;;
119031242: Oliveira (São Mateus);2421;;;
119031230: Pedome;2295,4;;;
119031232: Pousada de Saramagos;2237;;;
119031233: Requião;2939,4;;;
119031234: Riba de Ave;5172,5;;;
119031235: Ribeirão;9635,7;;;
119031250: União das freguesias de Antas e Abade de Vermoim;6137,3;;;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;4282,7;;;
119031252: União das freguesias de Avidos e Lagoa;4489,7;;;
119031253: União das freguesias de Carreira e Bente;6793,2;;;
119031254: União das freguesias de Esmeriz e Cabeçudos;5295,7;;;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;7969,3;;;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;6671,6;;;
119031257: União das freguesias de Ruivães e Novais;8390,3;;;
119031258: União das freguesias de Seide;2077,3;;;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;4238;;;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;2163,6;;;
119031241: Vale (São Martinho);6274,2;;;
119031247: Vermoim;4451,3;;;
119031249: Vilarinho das Cambas;11463,9;;;
1190314: Vizela;2559,3;;;
119031404: Infias;2375,4;;;
119031401: Santa Eulália;3240,4;;;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);3694,3;;;
119031409: União das freguesias de Tagilde e Vizela (São Paio);2097,1;;;
119031406: Vizela (Santo Adrião);1957,7;;;
11A: Área Metropolitana do Porto;6406,4;;;
11A0104: Arouca;2029,4;;;
11A010402: Alvarenga;1831,2;;;
11A010407: Chave;5781,4;;;
11A010409: Escariz;8081,8;;;
11A010411: Fermedo;5991,4;;;
11A010413: Mansores;7505,8;;;
11A010414: Moldes;2447,2;;;
11A010415: Rossas;4043,8;;;
11A010416: Santa Eulália;4543,4;;;
11A010417: São Miguel do Mato;2182,3;;;
11A010418: Tropeço;3579,5;;;
11A010421: União das freguesias de Arouca e Burgo;2271,3;;;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;190,2;;;
11A010423: União das freguesias de Canelas e Espiunca;1644,7;;;
11A010424: União das freguesias de Covelo de Paivó e Janarde;262,6;;;
11A010419: Urrô;2352,2;;;
11A010420: Várzea;7511,1;;;
11A0107: Espinho;6445,4;;;
11A010702: Espinho;1750,9;;;
11A010704: Paramos;9451,4;;;
