
Statistical table extracted on October 18, 2022 (23:21:44)
http://www.ine.pt



Geographic localization (NUTS -2013);Value of total standard production (?) of agricultural holdings by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
11A: Área Metropolitana do Porto;193347457;
11A0104: Arouca;9044279;
11A010402: Alvarenga;556494;
11A010407: Chave;975613;
11A010409: Escariz;1838608;
11A010411: Fermedo;755996;
11A010413: Mansores;996167;
11A010414: Moldes;403636;
11A010415: Rossas;466171;
11A010416: Santa Eulália;651026;
11A010417: São Miguel do Mato;192022;
11A010418: Tropeço;506033;
11A010421: União das freguesias de Arouca e Burgo;451624;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;292451;
11A010423: União das freguesias de Canelas e Espiunca;220060;
11A010424: União das freguesias de Covelo de Paivó e Janarde;217913;
11A010419: Urrô;258479;
11A010420: Várzea;261986;
11A0107: Espinho;448403;
11A010702: Espinho;8579;
11A010704: Paramos;362839;
11A010705: Silvalde;53738;
11A010706: União das freguesias de Anta e Guetim;23247;
11A1304: Gondomar;4057545;
11A130412: Baguim do Monte (Rio Tinto);194337;
11A130405: Lomba;56507;
11A130408: Rio Tinto;638219;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;899790;
11A130414: União das freguesias de Foz do Sousa e Covelo;316015;
11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;1696586;
11A130416: União das freguesias de Melres e Medas;256089;
11A1306: Maia;11876134;
11A130601: Águas Santas;951912;
11A130618: Castêlo da Maia;4191823;
11A130619: Cidade da Maia;245165;
11A130603: Folgosa;1634821;
11A130608: Milheirós;138555;
11A130609: Moreira;1502726;
11A130620: Nogueira e Silva Escura;1278005;
11A130617: Pedrouços;47356;
11A130613: São Pedro Fins;1036782;
11A130616: Vila Nova da Telha;848989;
11A1308: Matosinhos;8272192;
11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;2517925;
11A130812: União das freguesias de Matosinhos e Leça da Palmeira;112938;
11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;5201129;
11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;440200;
11A0113: Oliveira de Azeméis;12944332;
11A011301: Carregosa;454939;
11A011302: Cesar;45012;
11A011303: Fajões;921179;
11A011304: Loureiro;4489105;
11A011305: Macieira de Sarnes;106757;
11A011310: Ossela;242004;
11A011315: São Martinho da Gândara;3500036;
11A011318: São Roque;308070;
11A011320: União das freguesias de Nogueira do Cravo e Pindelo;95039;
11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;1699971;
11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;332439;
11A011319: Vila de Cucujães;749780;
11A1310: Paredes;5933348;
11A131001: Aguiar de Sousa;161469;
11A131002: Astromil;137092;
11A131003: Baltar;330024;
11A131004: Beire;479555;
11A131008: Cete;169780;
11A131009: Cristelo;117524;
11A131010: Duas Igrejas;150526;
11A131011: Gandra;242422;
11A131013: Lordelo;136401;
11A131014: Louredo;122273;
11A131017: Parada de Todeia;272212;
11A131025: Paredes;1917337;
11A131018: Rebordosa;319374;
11A131019: Recarei;209465;
11A131020: Sobreira;567890;
11A131021: Sobrosa;178430;
11A131022: Vandoma;154457;
11A131024: Vilela;267119;
11A1312: Porto;154139;
11A131202: Bonfim;2600;
11A131203: Campanhã;68906;
11A131210: Paranhos;32531;
11A131211: Ramalde;42926;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;7176;
11A1313: Póvoa de Varzim;39362386;
11A131305: Balazar;9220053;
11A131307: Estela;5902776;
11A131308: Laundos;3663371;
11A131311: Rates;9766484;
11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;2227623;
11A131314: União das freguesias de Aguçadoura e Navais;3213810;
11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;5368268;
11A0109: Santa Maria da Feira;4874135;
11A010901: Argoncilhe;148393;
11A010902: Arrifana;178911;
11A010904: Escapães;31687;
11A010907: Fiães;41587;
11A010908: Fornos;35200;
11A010913: Lourosa;34903;
11A010914: Milheirós de Poiares;80117;
11A010916: Mozelos;414534;
11A010917: Nogueira da Regedoura;13117;
11A010919: Paços de Brandão;8506;
11A010921: Rio Meão;26291;
11A010922: Romariz;457377;
11A010924: Sanguedo;29011;
11A010925: Santa Maria de Lamas;7198;
11A010926: São João de Ver;63961;
11A010918: São Paio de Oleiros;4319;
11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;198756;
11A010933: União das freguesias de Canedo, Vale e Vila Maior;1156237;
11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;806704;
11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;646223;
11A010936: União de freguesias de São Miguel de Souto e Mosteirô;491103;
11A1314: Santo Tirso;8498290;
