
Statistical table extracted on October 11, 2022 (22:39:22)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);230;129;90;7;4;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;53;10;38;4;1;
;111160223: União das freguesias de Gondar e Orbacém;360;132;214;13;1;
;111160224: União das freguesias de Moledo e Cristelo;65;18;43;4;- -;
;111160225: União das freguesias de Venade e Azevedo;242;76;157;8;1;
;111160217: Vila Praia de Âncora;97;33;58;2;4;
;111160218: Vilar de Mouros;165;29;102;13;21;
;111160220: Vile;61;20;36;5;- -;
;1111603: Melgaço;4130;1710;1979;263;178;
;111160301: Alvaredo;340;95;191;29;25;
;111160304: Cousso;205;104;80;17;4;
;111160305: Cristoval;113;46;59;4;4;
;111160307: Fiães;216;119;85;11;1;
;111160308: Gave;147;82;63;- -;2;
;111160311: Paderne;576;189;278;70;39;
;111160313: Penso;239;76;134;14;15;
;111160317: São Paio;275;131;114;19;11;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;608;304;271;18;15;
;111160320: União das freguesias de Chaviães e Paços;320;120;168;23;9;
;111160321: União das freguesias de Parada do Monte e Cubalhão;522;265;240;13;4;
;111160322: União das freguesias de Prado e Remoães;226;50;125;26;25;
;111160323: União das freguesias de Vila e Roussas;343;129;171;19;24;
;1111604: Monção;7285;2751;3921;387;226;
;111160401: Abedim;199;81;107;7;4;
;111160404: Barbeita;359;133;193;20;13;
;111160405: Barroças e Taias;162;65;93;3;1;
;111160406: Bela;204;73;101;15;15;
;111160407: Cambeses;153;59;74;13;7;
;111160410: Lara;180;63;98;13;6;
;111160411: Longos Vales;460;191;235;19;15;
;111160415: Merufe;790;343;401;37;9;
;111160418: Moreira;346;129;187;14;16;
;111160420: Pias;503;168;285;29;21;
;111160421: Pinheiros;150;43;87;11;9;
;111160422: Podame;154;53;78;11;12;
;111160423: Portela;141;58;73;6;4;
;111160424: Riba de Mouro;473;192;253;22;6;
;111160427: Segude;185;56;109;10;10;
;111160428: Tangil;574;225;304;35;10;
;111160431: Trute;188;75;110;3;- -;
;111160434: União das freguesias de Anhões e Luzio;297;180;114;2;1;
;111160435: União das freguesias de Ceivães e Badim;260;88;147;16;9;
;111160436: União das freguesias de Mazedo e Cortes;415;119;242;39;15;
;111160437: União das freguesias de Messegães, Valadares e Sá;300;105;162;17;16;
;111160438: União das freguesias de Monção e Troviscoso;228;57;131;19;21;
;111160439: União das freguesias de Sago, Lordelo e Parada;386;148;232;5;1;
;111160440: União das freguesias de Troporiz e Lapela;178;47;105;21;5;
;1111605: Paredes de Coura;3732;1609;1933;144;46;
;111160501: Agualonga;169;80;82;5;2;
;111160503: Castanheira;305;126;166;10;3;
;111160505: Coura;202;100;98;4;- -;
;111160507: Cunha;338;137;190;7;4;
;111160510: Infesta;198;91;93;13;1;
;111160513: Mozelos;109;32;69;5;3;
;111160514: Padornelo;179;86;84;5;4;
;111160515: Parada;174;76;87;8;3;
;111160519: Romarigães;156;82;67;4;3;
;111160520: Rubiães;268;131;125;5;7;
;111160522: União das freguesias de Bico e Cristelo;447;196;224;24;3;
;111160523: União das freguesias de Cossourado e Linhares;173;79;90;4;- -;
;111160524: União das freguesias de Formariz e Ferreira;382;156;205;14;7;
;111160525: União das freguesias de Insalde e Porreiras;298;124;158;14;2;
;111160526: União das freguesias de Paredes de Coura e Resende;212;57;138;14;3;
;111160521: Vascões;122;56;57;8;1;
;1111606: Ponte da Barca;3764;1627;1923;147;67;
;111160601: Azias;231;110;120;1;- -;
;111160602: Boivães;214;112;101;1;- -;
;111160603: Bravães;244;104;127;4;9;
;111160604: Britelo;92;31;55;1;5;
;111160606: Cuide de Vila Verde;129;54;71;2;2;
;111160611: Lavradas;465;191;241;25;8;
;111160612: Lindoso;261;101;134;20;6;
;111160613: Nogueira;92;44;42;2;4;
;111160614: Oleiros;180;54;105;15;6;
;111160619: Sampriz;226;93;129;4;- -;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;390;181;177;25;7;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;331;165;152;11;3;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;277;107;145;16;9;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);75;17;54;2;2;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);348;170;169;6;3;
;111160623: Vade (São Pedro);105;42;53;8;2;
;111160624: Vade (São Tomé);104;51;48;4;1;
;1111607: Ponte de Lima;14284;5004;8419;544;317;
;111160701: Anais;473;150;299;19;5;
;111160752: Arca e Ponte de Lima;89;23;47;8;11;
;111160704: Arcozelo;456;143;277;31;5;
;111160753: Ardegão, Freixo e Mato;505;168;280;31;26;
;111160754: Associação de freguesias do Vale do Neiva;423;159;235;17;12;
;111160755: Bárrio e Cepões;294;116;161;10;7;
;111160707: Beiral do Lima;393;126;256;10;1;
;111160708: Bertiandos;188;58;109;12;9;
;111160709: Boalhosa;149;54;95;- -;- -;
;111160710: Brandara;166;42;97;17;10;
;111160756: Cabaços e Fojo Lobal;597;192;390;11;4;
;111160757: Cabração e Moreira do Lima;506;168;315;16;7;
;111160713: Calheiros;337;126;188;13;10;
;111160714: Calvelo;389;138;226;16;9;
;111160716: Correlhã;957;326;575;38;18;
;111160717: Estorãos;288;107;155;15;11;
;111160718: Facha;489;159;302;17;11;
;111160719: Feitosa;86;30;44;6;6;
;111160721: Fontão;335;104;200;26;5;
;111160758: Fornelos e Queijada;887;309;540;25;13;
;111160724: Friastelas;295;124;162;7;2;
;111160726: Gandra;257;69;168;10;10;
;111160727: Gemieira;254;67;183;3;1;
;111160728: Gondufe;243;94;144;3;2;
;111160729: Labruja;224;105;93;18;8;
;111160759: Labrujó, Rendufe e Vilar do Monte;322;146;165;9;2;
;111160760: Navió e Vitorino dos Piães;770;262;466;24;18;
;111160734: Poiares;426;150;263;7;6;
;111160744: Rebordões (Santa Maria);343;117;215;6;5;
;111160747: Rebordões (Souto);409;152;240;10;7;
;111160737: Refóios do Lima;823;385;394;24;20;
;111160739: Ribeira;461;108;325;18;10;
;111160740: Sá;114;46;58;6;4;
;111160742: Santa Comba;74;24;38;5;7;
;111160743: Santa Cruz do Lima;157;64;85;5;3;
;111160703: São Pedro d'Arcos;346;114;199;18;15;
;111160745: Seara;169;55;105;6;3;
;111160746: Serdedelo;378;160;208;10;- -;
;111160750: Vitorino das Donas;212;64;117;17;14;
;1111608: Valença;2500;974;1358;130;38;
;111160802: Boivão;119;58;53;7;1;
;111160803: Cerdal;455;196;234;18;7;
;111160805: Fontoura;241;111;118;9;3;
;111160806: Friestas;115;30;76;6;3;
;111160808: Ganfei;220;88;119;9;4;
;111160812: São Pedro da Torre;154;38;95;18;3;
;111160817: União das freguesias de Gandra e Taião;268;120;137;10;1;
;111160818: União das freguesias de Gondomil e Sanfins;273;119;139;14;1;
;111160819: União das freguesias de São Julião e Silva;310;111;181;13;5;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;179;57;107;10;5;
;111160816: Verdoejo;166;46;99;16;5;
;1111609: Viana do Castelo;9703;3230;5552;603;318;
;111160901: Afife;105;25;63;9;8;
;111160902: Alvarães;329;97;202;15;15;
;111160903: Amonde;197;65;107;17;8;
;111160904: Anha;197;35;140;13;9;
;111160905: Areosa;132;40;76;10;6;
;111160908: Carreço;207;55;127;20;5;
;111160910: Castelo do Neiva;332;154;165;11;2;
;111160940: Chafé;207;68;121;9;9;
;111160911: Darque;44;10;29;4;1;
;111160914: Freixieiro de Soutelo;217;73;133;8;3;
;111160915: Lanheses;407;156;210;27;14;
;111160920: Montaria;435;155;246;23;11;
;111160922: Mujães;117;41;61;11;4;
;111160925: Outeiro;488;167;286;21;14;
;111160926: Perre;498;124;305;46;23;
;111160928: Santa Marta de Portuzelo;480;164;248;47;21;
;111160923: São Romão de Neiva;139;31;94;9;5;
;111160941: União das freguesias de Barroselas e Carvoeiro;542;166;332;27;17;
;111160942: União das freguesias de Cardielos e Serreleis;293;96;162;19;16;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;1339;474;778;67;20;
;111160944: União das freguesias de Mazarefes e Vila Fria;315;102;185;21;7;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;771;268;406;50;47;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;783;293;436;38;16;
;111160947: União das freguesias de Torre e Vila Mou;430;154;232;28;16;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;185;39;123;16;7;
;111160938: Vila de Punhe;123;39;65;12;7;
;111160935: Vila Franca;391;139;220;25;7;
;1111610: Vila Nova de Cerveira;1221;455;674;63;29;
;111161003: Cornes;113;48;62;2;1;
;111161004: Covas;159;65;82;8;4;
;111161006: Gondarém;78;20;47;4;7;
;111161007: Loivo;53;9;30;7;7;
;111161009: Mentrestido;93;47;45;1;- -;
;111161012: Sapardos;81;35;41;4;1;
;111161013: Sopo;158;59;93;5;1;
;111161016: União das freguesias de Campos e Vila Meã;184;59;108;14;3;
;111161017: União das freguesias de Candemil e Gondar;118;52;59;6;1;
;111161018: União das freguesias de Reboreda e Nogueira;148;55;81;11;1;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;36;6;26;1;3;
;112: Cávado;45997;14639;27954;2327;1077;
;1120301: Amares;3316;1108;1954;175;79;
;112030102: Barreiros;180;70;99;7;4;
;112030104: Bico;85;21;53;7;4;
;112030119: Bouro (Santa Maria);274;98;148;22;6;
;112030120: Bouro (Santa Marta);210;69;130;8;3;
;112030105: Caires;178;53;105;17;3;
;112030107: Carrazedo;140;41;86;8;5;
;112030108: Dornelas;203;66;120;12;5;
;112030111: Fiscal;190;68;114;8;- -;
;112030112: Goães;229;48;169;4;8;
;112030113: Lago;161;46;101;9;5;
;112030118: Rendufe;197;58;126;8;5;
;112030125: União das freguesias de Amares e Figueiredo;150;49;83;16;2;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;294;121;157;9;7;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;298;112;149;20;17;
;112030128: União das freguesias de Torre e Portela;177;65;101;7;4;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;350;123;213;13;1;
;1120302: Barcelos;17358;5211;10898;885;364;
;112030201: Abade de Neiva;280;93;175;9;3;
;112030202: Aborim;143;23;106;11;3;
;112030203: Adães;140;42;89;5;4;
;112030205: Airó;198;56;121;15;6;
;112030206: Aldreu;124;37;75;8;4;
;112030208: Alvelos;204;61;128;12;3;
;112030209: Arcozelo;50;14;34;2;- -;
;112030210: Areias;48;5;39;3;1;
;112030212: Balugães;119;36;70;10;3;
;112030213: Barcelinhos;54;14;28;7;5;
;112030215: Barqueiros;392;117;251;16;8;
;112030216: Cambeses;196;39;135;17;5;
;112030218: Carapeços;286;73;196;13;4;
;112030220: Carvalhal;147;38;89;14;6;
;112030221: Carvalhas;112;34;75;1;2;
;112030224: Cossourado;274;167;99;8;- -;
;112030228: Cristelo;451;102;322;20;7;
;112030234: Fornelos;236;82;151;2;1;
;112030235: Fragoso;472;136;285;34;17;
;112030268: Galegos (Santa Maria);192;53;123;11;5;
;112030272: Galegos (São Martinho);65;17;40;5;3;
;112030237: Gilmonde;212;47;151;12;2;
;112030242: Lama;134;40;77;12;5;
;112030243: Lijó;353;108;229;13;3;
;112030244: Macieira de Rates;489;98;367;19;5;
;112030245: Manhente;115;30;62;20;3;
;112030247: Martim;386;134;225;22;5;
;112030252: Moure;131;40;74;8;9;
;112030254: Oliveira;237;79;148;6;4;
;112030255: Palme;309;98;198;11;2;
;112030256: Panque;224;75;145;4;- -;
;112030257: Paradela;297;95;195;6;1;
;112030259: Pereira;157;46;105;5;1;
;112030260: Perelhal;259;69;156;21;13;
;112030261: Pousa;376;115;239;16;6;
;112030263: Remelhe;266;75;177;8;6;
;112030265: Rio Covo (Santa Eugénia);89;24;55;5;5;
;112030264: Roriz;485;287;170;18;10;
;112030279: Silva;119;28;77;11;3;
;112030277: Tamel (São Veríssimo);89;58;25;4;2;
;112030282: Ucha;261;82;147;17;15;
;112030290: União das freguesias de Alheira e Igreja Nova;378;159;196;18;5;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;326;103;192;16;15;
;112030292: União das freguesias de Areias de Vilar e Encourados;338;108;201;18;11;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);300;79;197;12;12;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);284;82;180;22;- -;
;112030295: União das freguesias de Carreira e Fonte Coberta;378;79;261;23;15;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1024;274;685;43;22;
;112030297: União das freguesias de Creixomil e Mariz;321;93;208;13;7;
;112030298: União das freguesias de Durrães e Tregosa;191;62;117;8;4;
;112030299: União das freguesias de Gamil e Midões;180;60;110;4;6;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;578;152;372;44;10;
;1120302FB: União das freguesias de Negreiros e Chavão;486;128;337;19;2;
;1120302FC: União das freguesias de Quintiães e Aguiar;362;150;195;15;2;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);399;138;238;18;5;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);298;79;183;20;16;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;264;79;178;5;2;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;659;152;422;62;23;
;1120302FH: União das freguesias de Vila Cova e Feitos;769;177;553;30;9;
;112030283: Várzea;156;39;105;9;3;
;112030287: Vila Seca;496;151;315;25;5;
;1120303: Braga;6827;2111;3940;487;289;
;112030301: Adaúfe;352;112;201;25;14;
;112030349: Braga (São Vicente);15;8;7;- -;- -;
;112030351: Braga (São Vítor);21;9;12;- -;- -;
;112030312: Espinho;148;50;84;8;6;
;112030313: Esporões;175;55;104;8;8;
;112030315: Figueiredo;99;29;65;3;2;
;112030319: Gualtar;30;8;16;2;4;
;112030322: Lamas;86;21;59;6;- -;
;112030325: Mire de Tibães;240;70;141;22;7;
;112030330: Padim da Graça;189;56;110;16;7;
;112030331: Palmeira;250;64;143;21;22;
;112030334: Pedralva;255;77;163;9;6;
;112030336: Priscos;228;71;133;18;6;
;112030338: Ruilhe;123;39;65;14;5;
;112030354: Sequeira;243;63;143;17;20;
;112030355: Sobreposta;198;52;127;16;3;
;112030356: Tadim;60;25;23;6;6;
;112030357: Tebosa;105;36;54;10;5;
;112030363: União das freguesias de Arentim e Cunha;313;85;200;21;7;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);77;25;45;5;2;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;- -;- -;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);258;73;143;26;16;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;307;108;168;22;9;
;112030368: União das freguesias de Crespos e Pousada;358;125;183;26;24;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);278;87;171;9;11;
;112030370: União das freguesias de Este (São Pedro e São Mamede);185;62;106;10;7;
;112030371: União das freguesias de Ferreiros e Gondizalves;210;54;119;25;12;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);155;37;99;8;11;
;112030373: União das freguesias de Lomar e Arcos;156;50;81;20;5;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;317;107;180;18;12;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;199;54;128;14;3;
;112030376: União das freguesias de Morreira e Trandeiras;183;51;116;12;4;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;160;58;85;13;4;
;112030378: União das freguesias de Nogueiró e Tenões;81;31;35;6;9;
;112030379: União das freguesias de Real, Dume e Semelhe;415;148;228;20;19;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;152;44;91;12;5;
;112030381: União das freguesias de Vilaça e Fradelos;206;67;112;19;8;
;1120306: Esposende;5491;1479;3678;238;96;
;112030601: Antas;349;72;254;15;8;
;112030608: Forjães;385;59;265;32;29;
;112030610: Gemeses;360;79;270;7;4;
;112030616: União das freguesias de Apúlia e Fão;981;252;686;37;6;
;112030617: União das freguesias de Belinho e Mar;726;220;465;32;9;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;1242;337;828;62;15;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;714;231;452;25;6;
;112030620: União das freguesias de Palmeira de Faro e Curvos;537;153;343;23;18;
;112030615: Vila Chã;197;76;115;5;1;
;1120310: Terras de Bouro;2819;997;1647;139;36;
;112031001: Balança;140;47;85;8;- -;
;112031003: Campo do Gerês;53;11;35;5;2;
;112031004: Carvalheira;222;88;122;9;3;
;112031008: Covide;180;54;112;9;5;
;112031009: Gondoriz;178;85;86;5;2;
;112031010: Moimenta;112;24;84;3;1;
;112031012: Ribeira;118;43;70;3;2;
;112031013: Rio Caldo;174;72;90;11;1;
;112031014: Souto;208;82;111;13;2;
;112031018: União das freguesias de Chamoim e Vilar;339;128;187;20;4;
;112031019: União das freguesias de Chorense e Monte;356;93;243;15;5;
;112031020: União das freguesias de Cibões e Brufe;354;138;199;14;3;
;112031015: Valdosende;165;55;87;20;3;
;112031017: Vilar da Veiga;220;77;136;4;3;
;1120313: Vila Verde;10186;3733;5837;403;213;
;112031359: Aboim da Nóbrega e Gondomar;544;234;296;13;1;
;112031304: Atiães;218;78;130;4;6;
;112031308: Cabanelas;160;50;101;3;6;
;112031309: Cervães;376;127;216;19;14;
;112031311: Coucieiro;156;55;90;4;7;
;112031313: Dossãos;261;92;159;9;1;
;112031316: Freiriz;247;90;144;12;1;
;112031317: Gême;97;30;55;6;6;
;112031323: Lage;249;79;147;15;8;
;112031324: Lanhas;100;43;39;7;11;
;112031325: Loureira;106;34;59;11;2;
;112031328: Moure;205;77;111;11;6;
;112031330: Oleiros;112;46;53;7;6;
;112031331: Parada de Gatim;219;79;129;8;3;
;112031335: Pico;195;79;107;6;3;
;112031337: Ponte;84;29;48;3;4;
;112031350: Prado (São Miguel);223;72;137;10;4;
;112031340: Sabariz;48;17;26;4;1;
;112031352: Soutelo;210;71;121;15;3;
;112031354: Turiz;195;79;105;8;3;
;112031360: União das freguesias da Ribeira do Neiva;1691;639;993;43;16;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);328;136;186;3;3;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);267;86;142;26;13;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;296;111;171;8;6;
;112031364: União das freguesias de Marrancos e Arcozelo;189;39;128;12;10;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);279;105;172;2;- -;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;423;134;236;27;26;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;633;215;393;17;8;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);311;130;175;6;- -;
;112031369: União das freguesias do Vade;729;279;410;28;12;
;112031355: Valdreu;414;190;206;15;3;
;112031342: Vila de Prado;230;81;133;10;6;
;112031370: Vila Verde e Barbudo;391;127;219;31;14;
;119: Ave;37879;12980;21778;1840;1281;
;1190304: Cabeceiras de Basto;4670;1753;2548;214;155;
;119030401: Abadim;283;92;154;22;15;
;119030404: Basto;245;100;132;8;5;
;119030405: Bucos;259;92;155;6;6;
;119030406: Cabeceiras de Basto;280;127;138;10;5;
;119030407: Cavez;538;210;273;26;29;
;119030408: Faia;220;91;116;4;9;
;119030413: Pedraça;363;156;168;25;14;
;119030415: Rio Douro;610;236;325;29;20;
;119030418: União das freguesias de Alvite e Passos;357;131;207;15;4;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;389;126;225;19;19;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;276;101;164;5;6;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;850;291;491;45;23;
;1190307: Fafe;7471;2804;4199;254;214;
;119030705: Armil;144;61;74;7;2;
;119030726: Arões (Santa Cristina);89;39;42;6;2;
;119030730: Arões (São Romão);204;100;93;2;9;
;119030708: Estorãos;297;67;212;6;12;
;119030709: Fafe;279;111;144;11;13;
;119030712: Fornelos;163;45;111;6;1;
;119030714: Golães;214;63;129;7;15;
;119030716: Medelo;70;16;43;4;7;
;119030719: Paços;227;76;148;- -;3;
;119030722: Quinchães;316;119;187;7;3;
;119030723: Regadas;283;78;191;6;8;
;119030724: Revelhe;256;91;133;14;18;
;119030725: Ribeiros;128;59;65;3;1;
;119030728: São Gens;539;181;330;16;12;
;119030729: Silvares (São Martinho);180;52;120;5;3;
;119030733: Travassós;512;177;305;11;19;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;515;250;231;25;9;
;119030738: União de freguesias de Agrela e Serafão;332;136;180;10;6;
;119030739: União de freguesias de Antime e Silvares (São Clemente);209;75;118;10;6;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;378;129;224;16;9;
;119030741: União de freguesias de Cepães e Fareja;255;110;129;7;9;
;119030742: União de freguesias de Freitas e Vila Cova;383;147;204;15;17;
;119030743: União de freguesias de Monte e Queimadela;559;238;281;30;10;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;737;349;359;17;12;
;119030736: Vinhós;202;35;146;13;8;
;1190308: Guimarães;7185;2363;4206;354;262;
;119030801: Aldão;72;26;42;1;3;
;119030804: Azurém;66;16;48;2;- -;
;119030806: Barco;112;19;79;7;7;
;119030807: Brito;147;46;92;6;3;
;119030808: Caldelas;80;25;51;2;2;
;119030857: Candoso (São Martinho);101;40;59;2;- -;
;119030812: Costa;101;34;59;4;4;
;119030813: Creixomil;77;27;44;4;2;
;119030815: Fermentões;208;64;118;12;14;
;119030820: Gonça;142;53;77;11;1;
;119030821: Gondar;26;10;16;- -;- -;
;119030823: Guardizela;91;35;46;4;6;
;119030824: Infantas;204;77;117;6;4;
;119030827: Longos;242;78;148;9;7;
;119030828: Lordelo;95;30;57;3;5;
;119030830: Mesão Frio;84;22;54;6;2;
;119030831: Moreira de Cónegos;99;23;57;13;6;
;119030832: Nespereira;74;27;38;7;2;
;119030835: Pencelo;114;27;66;13;8;
;119030836: Pinheiro;93;29;64;- -;- -;
;119030837: Polvoreira;118;46;55;3;14;
;119030838: Ponte;243;88;131;10;14;
;119030842: Prazins (Santa Eufémia);73;28;43;1;1;
;119030840: Ronfe;121;35;71;11;4;
;119030858: Sande (São Martinho);134;39;73;11;11;
;119030865: São Torcato;266;81;147;22;16;
;119030850: Selho (São Cristóvão);34;15;16;3;- -;
;119030854: Selho (São Jorge);133;38;85;8;2;
;119030866: Serzedelo;117;44;69;4;- -;
;119030868: Silvares;160;47;96;12;5;
;119030875: União das freguesias de Abação e Gémeos;252;90;139;7;16;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;250;98;118;21;13;
;119030877: União das freguesias de Arosa e Castelões;229;87;121;13;8;
;119030878: União das freguesias de Atães e Rendufe;386;159;219;2;6;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;174;64;93;16;1;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;241;75;146;14;6;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;118;35;74;5;4;
;119030882: União das freguesias de Conde e Gandarela;96;23;60;4;9;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;245;69;149;19;8;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;- -;- -;- -;- -;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;83;30;50;2;1;
;119030886: União das freguesias de Sande São Lourenço e Balazar;216;62;125;13;16;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;227;62;150;11;4;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;176;57;112;4;3;
;119030889: União das freguesias de Serzedo e Calvos;165;67;87;4;7;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;288;104;160;17;7;
;119030891: União das freguesias de Tabuadelo e São Faustino;303;82;213;4;4;
;119030871: Urgezes;109;30;72;1;6;
;1191705: Mondim de Basto;2898;1160;1591;101;46;
;119170501: Atei;541;185;318;26;12;
;119170502: Bilhó;460;191;239;17;13;
;119170505: São Cristóvão de Mondim de Basto;460;147;269;32;12;
