
Statistical table extracted on October 10, 2022 (16:35:08)
http://www.ine.pt



Geographic localization (NUTS -2013);Utilised agricultural area (ha) by Geographic localization (NUTS -2013) and Legal form -  Decennial (1) ;;;;
;Data reference period;;;;
;2009;;;;
;Legal form;;;;
;Natural person (sole holder);Group of natural persons (group holding);Fallow land comissions;Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...);
;ha ;ha ;ha ;ha ;
111160941: União das freguesias de Barroselas e Carvoeiro;220;3;350;2;
111160942: União das freguesias de Cardielos e Serreleis;79;- -;- -;- -;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;297;1;27;- -;
111160944: União das freguesias de Mazarefes e Vila Fria;143;20;- -;- -;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;320;11;233;- -;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;209;- -;- -;- -;
111160947: União das freguesias de Torre e Vila Mou;115;29;- -;- -;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;69;- -;- -;- -;
111160938: Vila de Punhe;87;- -;- -;- -;
111160935: Vila Franca;116;- -;- -;- -;
1111610: Vila Nova de Cerveira;522;61;786;5;
111161003: Cornes;74;- -;190;- -;
111161004: Covas;50;21;311;1;
111161006: Gondarém;35;- -;- -;- -;
111161007: Loivo;13;- -;- -;- -;
111161009: Mentrestido;29;- -;52;- -;
111161012: Sapardos;44;- -;60;- -;
111161013: Sopo;35;- -;47;- -;
111161016: União das freguesias de Campos e Vila Meã;106;- -;2;- -;
111161017: União das freguesias de Candemil e Gondar;44;- -;55;- -;
111161018: União das freguesias de Reboreda e Nogueira;74;40;61;- -;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;16;- -;10;4;
112: Cávado;22479;2176;3971;1972;
1120301: Amares;1661;267;- -;- -;
112030102: Barreiros;64;21;- -;- -;
112030104: Bico;19;- -;- -;- -;
112030119: Bouro (Santa Maria);90;4;- -;- -;
112030120: Bouro (Santa Marta);102;- -;- -;- -;
112030105: Caires;91;- -;- -;- -;
112030107: Carrazedo;135;97;- -;- -;
112030108: Dornelas;115;- -;- -;- -;
112030111: Fiscal;92;14;- -;- -;
112030112: Goães;88;- -;- -;- -;
112030113: Lago;62;- -;- -;- -;
112030118: Rendufe;134;49;- -;- -;
112030125: União das freguesias de Amares e Figueiredo;84;35;- -;- -;
